Ticker,Date,Open,High,Low,Close,Volume
AB,2022-10-24,24.58,24.58,24.58,24.58,130
AB,2022-10-26,23.9,24.58,23.9,23.9,14301
AB,2022-10-27,24.58,24.58,24.57,24.58,505
AB,2022-10-28,24.58,24.58,24.09,24.58,5882
AB,2022-10-31,24.58,24.58,24.57,24.58,1240
AB,2022-11-01,24.58,24.58,24.0,24.58,2171
AB,2022-11-02,24.58,24.58,24.58,24.58,150
AB,2022-11-03,24.58,24.58,24.58,24.58,1098
AB,2022-11-04,24.58,24.58,24.58,24.58,633
AB,2022-11-07,24.58,24.58,24.58,24.58,150
AB,2022-11-09,24.21,24.58,24.21,24.21,2400
AB,2022-11-10,24.59,24.59,24.57,24.59,150
AB,2022-11-11,24.59,24.59,24.17,24.59,2170
AB,2022-11-14,24.59,24.61,24.59,24.59,11064
AB,2022-11-15,24.59,24.61,24.59,24.59,803
AB,2022-11-16,24.61,24.61,24.6,24.61,256
AB,2022-11-17,24.61,24.61,24.6,24.61,134
AB,2022-11-18,24.3,24.61,24.3,24.3,636
AB,2022-11-21,24.61,24.61,24.3,24.61,2014
AB,2022-11-23,24.61,24.61,24.6,24.61,705
AB,2022-11-24,24.54,24.61,24.29,24.54,4287
AB,2022-11-25,24.55,24.55,24.54,24.55,5
AB,2022-11-28,24.55,24.55,24.55,24.55,2191
AB,2022-11-29,24.6,24.61,24.55,24.6,291
AB,2022-11-30,24.61,24.61,24.6,24.61,2263
AB,2022-12-01,24.61,24.61,24.61,24.61,19
AB,2022-12-02,24.62,24.62,24.61,24.62,1896
AB,2022-12-05,24.62,24.62,24.62,24.62,4270
AB,2022-12-07,24.62,24.62,24.5,24.62,11
AB,2022-12-08,24.64,24.64,24.51,24.64,4590
AB,2022-12-09,25.5,25.5,24.62,25.5,12352
AB,2022-12-12,25.4,25.5,25.39,25.4,185
AB,2022-12-13,26.2,26.2,25.4,26.2,5844
AB,2022-12-14,26.19,26.2,25.8,26.19,11314
AB,2022-12-15,26.0,26.19,26.0,26.0,7117
AB,2022-12-16,26.0,26.0,25.99,26.0,3681
AB,2022-12-19,25.99,26.0,25.8,25.99,1192
AB,2022-12-20,26.0,26.0,25.9,26.0,14486
AB,2022-12-21,26.0,26.0,25.9,26.0,2708
AB,2022-12-22,26.0,26.0,25.9,26.0,1728
AB,2022-12-23,25.9,26.0,25.9,25.9,1040
AB,2022-12-26,25.75,25.9,25.75,25.75,684
AB,2022-12-27,25.75,25.75,25.7,25.75,157
AB,2022-12-28,26.0,26.0,25.49,26.0,6295
AB,2022-12-29,26.1,26.1,25.9,26.1,1183
AB,2022-12-30,26.2,26.2,26.0,26.2,2968
AB,2022-08-01,23.9,23.99,23.9,23.9,5544
AB,2022-08-02,23.98,23.99,23.9,23.98,183
AB,2022-08-03,23.9,23.99,23.9,23.9,4058
AB,2022-08-04,23.9,23.9,23.8,23.9,2774
AB,2022-08-05,23.8,23.9,23.8,23.8,700
AB,2022-08-08,23.98,23.98,23.8,23.98,783
AB,2022-08-09,23.95,23.98,23.8,23.95,6537
AB,2022-08-10,23.8,23.95,23.8,23.8,2569
AB,2022-08-11,23.95,23.95,23.8,23.95,2911
AB,2022-08-12,23.9,23.95,23.8,23.9,2021
AB,2022-08-15,23.95,23.95,23.8,23.95,2467
AB,2022-08-16,24.48,24.5,23.95,24.48,950
AB,2022-08-17,24.5,24.5,24.0,24.5,1484
AB,2022-08-18,24.5,24.5,24.0,24.5,366
AB,2022-08-19,24.5,24.5,24.49,24.5,477
AB,2022-08-22,24.7,24.7,23.9,24.7,1478
AB,2022-08-23,24.8,24.89,24.7,24.8,362
AB,2022-08-24,24.88,24.88,24.8,24.88,2883
AB,2022-08-25,24.85,24.88,24.01,24.85,1070
AB,2022-08-26,24.8,24.85,24.8,24.8,566
AB,2022-08-29,24.6,24.8,24.6,24.6,247
AB,2022-08-30,24.74,24.74,24.6,24.74,16
AB,2022-08-31,24.7,24.74,24.7,24.7,50
AB,2022-09-01,24.85,24.85,24.7,24.85,180
AB,2022-09-06,24.8,24.85,24.69,24.8,134
AB,2022-09-07,24.8,24.8,24.75,24.8,1222
AB,2022-09-08,24.8,24.8,24.75,24.8,310
AB,2022-09-09,24.73,24.8,24.73,24.73,865
AB,2022-09-12,24.7,24.73,24.7,24.7,100
AB,2022-09-14,24.6,24.8,24.59,24.6,230
AB,2022-09-15,24.7,24.7,24.6,24.7,305
AB,2022-09-16,24.7,24.79,24.7,24.7,393
AB,2022-09-19,24.7,24.7,24.7,24.7,220
AB,2022-09-20,24.7,24.7,24.5,24.7,28
AB,2022-09-21,24.5,24.7,24.4,24.5,1300
AB,2022-09-22,24.59,24.7,24.2,24.59,1603
AB,2022-09-23,24.58,24.59,24.5,24.58,930
AB,2022-09-26,24.8,24.8,24.48,24.8,537
AB,2022-09-27,24.73,24.8,24.4,24.73,2686
AB,2022-09-28,24.69,24.75,24.4,24.69,1394
AB,2022-09-29,24.6,24.79,24.4,24.6,1268
AB,2022-09-30,24.7,24.8,24.6,24.7,1296
AB,2022-10-03,24.69,24.7,24.6,24.69,310
AB,2022-10-04,24.58,24.7,24.4,24.58,912
AB,2022-10-05,24.4,24.58,24.2,24.4,2018
AB,2022-10-06,24.45,24.45,24.4,24.45,5
AB,2022-10-07,24.4,24.45,24.2,24.4,707
AB,2022-10-10,24.45,24.45,24.01,24.45,1772
AB,2022-10-11,24.45,24.45,24.01,24.45,510
AB,2022-10-12,24.45,24.45,24.45,24.45,5
AB,2022-10-14,24.45,24.45,24.44,24.45,110
AB,2022-10-17,24.58,24.58,24.01,24.58,3758
AB,2022-10-18,24.45,24.58,24.45,24.45,1570
AB,2022-10-19,24.45,24.45,24.01,24.45,410
AB,2022-10-20,24.45,24.45,24.01,24.45,337
AB,2022-10-21,24.58,24.58,24.45,24.58,28
AB,2022-10-24,24.58,24.58,24.58,24.58,130
AB,2022-05-09,25.25,25.25,25.0,25.25,50
AB,2022-05-11,25.0,25.25,24.98,25.0,1189
AB,2022-05-12,24.5,25.0,24.02,24.5,1080
AB,2022-05-13,24.55,25.1,24.55,24.55,1133
AB,2022-05-16,23.9,24.0,23.55,23.9,51
AB,2022-05-17,23.9,23.9,22.5,23.9,230
AB,2022-05-18,23.9,23.9,23.9,23.9,50
AB,2022-05-19,23.8,23.9,23.8,23.8,237
AB,2022-05-20,23.99,24.0,23.6,23.99,176
AB,2022-05-23,23.6,24.0,23.6,23.6,158
AB,2022-05-24,23.99,24.0,23.8,23.99,2910
AB,2022-05-26,23.95,23.99,23.9,23.95,300
AB,2022-05-27,23.85,23.95,23.85,23.85,330
AB,2022-05-31,23.9,23.95,23.9,23.9,85
AB,2022-06-02,23.89,23.9,23.89,23.89,40
AB,2022-06-03,23.85,23.89,23.5,23.85,209
AB,2022-06-06,23.85,23.85,23.85,23.85,20
AB,2022-06-07,23.85,23.85,23.85,23.85,21
AB,2022-06-09,23.85,23.85,23.83,23.85,981
AB,2022-06-10,23.85,23.95,23.85,23.85,1441
AB,2022-06-13,23.61,24.0,23.51,23.61,2364
AB,2022-06-14,23.85,23.85,23.85,23.85,620
AB,2022-06-15,23.86,24.0,23.85,23.86,1610
AB,2022-06-16,24.0,24.0,23.86,24.0,654
AB,2022-06-17,24.0,24.0,24.0,24.0,101
AB,2022-06-20,24.0,24.0,24.0,24.0,12
AB,2022-06-22,24.0,24.0,24.0,24.0,292
AB,2022-06-23,23.85,24.0,23.85,23.85,360
AB,2022-06-24,24.0,24.0,23.85,24.0,132
AB,2022-06-27,24.0,24.0,24.0,24.0,27
AB,2022-06-28,23.95,24.0,23.95,23.95,1400
AB,2022-06-29,23.95,23.95,23.95,23.95,915
AB,2022-06-30,23.97,23.99,23.95,23.97,1554
AB,2022-07-04,23.97,23.97,23.95,23.97,674
AB,2022-07-06,23.97,24.0,23.97,23.97,1966
AB,2022-07-07,23.98,24.0,23.97,23.98,806
AB,2022-07-08,23.98,23.98,23.98,23.98,604
AB,2022-07-11,23.95,23.98,23.95,23.95,555
AB,2022-07-12,23.8,23.99,23.5,23.8,444
AB,2022-07-13,23.98,23.98,23.8,23.98,13
AB,2022-07-14,23.99,23.99,23.98,23.99,258
AB,2022-07-15,23.99,23.99,23.99,23.99,1104
AB,2022-07-18,23.99,23.99,23.99,23.99,415
AB,2022-07-19,23.95,24.0,23.95,23.95,305
AB,2022-07-22,23.98,23.98,23.95,23.98,51
AB,2022-07-26,23.9,23.98,23.9,23.9,300
AB,2022-07-27,23.9,23.98,23.9,23.9,2874
AB,2022-07-28,23.99,23.99,23.81,23.99,1607
AB,2022-07-29,23.98,23.99,23.91,23.98,3501
AB,2022-02-11,23.6,23.6,23.4,23.6,4377
