Ticker,Date,Open,High,Low,Close,Volume
AETEC,2022-10-24,0.87,0.87,0.87,0.87,342
AETEC,2022-10-25,0.87,0.87,0.87,0.87,2
AETEC,2022-10-31,0.82,0.84,0.82,0.82,1204
AETEC,2022-11-09,0.85,0.85,0.82,0.85,1
AETEC,2022-11-18,0.89,0.89,0.88,0.89,162
AETEC,2022-11-22,0.85,0.89,0.85,0.85,10
AETEC,2022-12-08,0.9,0.9,0.88,0.9,6
AETEC,2022-12-13,0.86,0.9,0.86,0.86,14
AETEC,2022-12-14,0.84,0.86,0.84,0.84,1000
AETEC,2022-12-16,0.84,0.84,0.84,0.84,1
AETEC,2022-12-23,0.82,0.84,0.82,0.82,7005
AETEC,2022-12-28,0.82,0.82,0.82,0.82,9670
AETEC,2022-08-02,0.93,0.94,0.93,0.93,100
AETEC,2022-08-03,0.92,0.93,0.92,0.92,11
AETEC,2022-08-05,0.88,0.92,0.88,0.88,30
AETEC,2022-08-09,0.88,0.91,0.88,0.88,40
AETEC,2022-08-16,0.8,0.82,0.8,0.8,80
AETEC,2022-08-19,0.84,0.85,0.84,0.84,222
AETEC,2022-08-23,0.84,0.84,0.84,0.84,200
AETEC,2022-08-25,0.87,0.87,0.87,0.87,241
AETEC,2022-08-29,0.84,0.84,0.82,0.84,181
AETEC,2022-09-01,0.82,0.84,0.82,0.82,1939
AETEC,2022-09-05,0.82,0.82,0.82,0.82,776
AETEC,2022-09-06,0.83,0.83,0.82,0.83,180
AETEC,2022-09-12,0.83,0.86,0.83,0.83,555
AETEC,2022-09-16,0.83,0.83,0.83,0.83,617
AETEC,2022-09-23,0.83,0.83,0.83,0.83,971
AETEC,2022-09-28,0.83,0.83,0.83,0.83,1500
AETEC,2022-09-29,0.83,0.83,0.83,0.83,910
AETEC,2022-09-30,0.86,0.86,0.83,0.86,111
AETEC,2022-10-04,0.86,0.88,0.86,0.86,183
AETEC,2022-10-05,0.89,0.89,0.86,0.89,144
AETEC,2022-10-06,0.9,0.9,0.89,0.9,336
AETEC,2022-10-07,0.92,0.92,0.9,0.92,111
AETEC,2022-10-10,0.93,0.93,0.92,0.93,111
AETEC,2022-10-11,0.92,0.93,0.92,0.92,39
AETEC,2022-10-18,0.88,0.92,0.88,0.88,15
AETEC,2022-10-19,0.87,0.88,0.87,0.87,39
AETEC,2022-10-20,0.87,0.87,0.87,0.87,50
AETEC,2022-10-24,0.87,0.87,0.87,0.87,342
AETEC,2022-05-09,0.92,0.92,0.92,0.92,700
AETEC,2022-05-18,0.92,0.96,0.92,0.92,600
AETEC,2022-05-27,0.92,0.95,0.92,0.92,695
AETEC,2022-06-08,0.98,1.0,0.98,0.98,7
AETEC,2022-06-29,0.92,0.92,0.92,0.92,1000
AETEC,2022-06-30,0.93,0.93,0.92,0.93,240
AETEC,2022-07-01,0.92,0.92,0.92,0.92,5000
AETEC,2022-07-06,0.96,1.0,0.96,0.96,24
AETEC,2022-07-07,1.0,1.0,0.96,1.0,35
AETEC,2022-07-13,1.0,1.0,0.96,1.0,65
AETEC,2022-07-15,0.94,0.96,0.92,0.94,5656
AETEC,2022-07-18,0.94,0.94,0.94,0.94,100
AETEC,2022-07-19,0.92,0.94,0.92,0.92,2000
AETEC,2022-07-26,0.94,0.94,0.92,0.94,17
AETEC,2022-07-27,0.92,0.94,0.92,0.92,10070
AETEC,2022-07-28,0.92,0.92,0.92,0.92,2371
AETEC,2022-07-29,0.94,0.94,0.9,0.94,20
AETEC,2022-02-11,0.48,0.48,0.47,0.48,452
