Ticker,Date,Open,High,Low,Close,Volume
AL,2022-10-24,91.0,91.0,91.0,91.0,15
AL,2022-10-25,90.99,91.0,90.99,90.99,2
AL,2022-10-26,89.01,90.99,89.01,89.01,2
AL,2022-10-27,89.55,89.55,89.01,89.55,25
AL,2022-10-28,89.54,89.55,89.54,89.54,3
AL,2022-11-01,89.55,89.55,89.54,89.55,22
AL,2022-11-08,87.99,89.55,87.99,87.99,4
AL,2022-11-09,88.0,88.0,87.99,88.0,243
AL,2022-11-10,87.55,88.0,87.55,87.55,4
AL,2022-11-11,88.0,88.0,87.55,88.0,100
AL,2022-11-16,90.97,90.97,88.0,90.97,100
AL,2022-11-18,90.96,90.97,90.96,90.96,1545
AL,2022-11-22,90.96,90.96,90.96,90.96,1500
AL,2022-11-23,90.97,90.97,90.96,90.97,1
AL,2022-11-25,90.97,90.97,90.97,90.97,5
AL,2022-11-29,90.97,90.97,90.97,90.97,94
AL,2022-11-30,90.97,90.97,90.97,90.97,448
AL,2022-12-06,90.0,90.97,90.0,90.0,101
AL,2022-12-08,90.0,90.0,90.0,90.0,70
AL,2022-12-12,87.99,90.0,87.99,87.99,50
AL,2022-12-14,87.99,87.99,87.99,87.99,65
AL,2022-12-15,87.99,87.99,87.99,87.99,5
AL,2022-12-23,85.0,87.99,85.0,85.0,109
AL,2022-12-26,88.0,88.0,85.0,88.0,2
AL,2022-12-27,88.0,88.0,87.99,88.0,70
AL,2022-12-28,85.0,88.0,85.0,85.0,145
AL,2022-12-29,88.0,88.0,85.0,88.0,67
AL,2022-08-02,89.1,89.1,89.1,89.1,135
AL,2022-08-03,89.1,89.1,88.0,89.1,38
AL,2022-08-04,89.0,89.1,89.0,89.0,3
AL,2022-08-05,90.0,90.0,89.0,90.0,243
AL,2022-08-08,90.01,94.0,90.0,90.01,15
AL,2022-08-09,93.49,93.49,90.01,93.49,5
AL,2022-08-12,92.97,93.49,92.97,92.97,2
AL,2022-08-15,92.96,92.97,92.96,92.96,15
AL,2022-08-17,92.96,92.96,92.96,92.96,11
AL,2022-08-19,90.06,92.96,90.05,90.06,8
AL,2022-08-22,93.0,93.0,90.06,93.0,16
AL,2022-08-24,93.0,93.0,93.0,93.0,4
AL,2022-08-26,93.5,93.5,93.0,93.5,5
AL,2022-08-29,94.0,94.0,93.5,94.0,552
AL,2022-08-30,94.0,94.0,94.0,94.0,116
AL,2022-08-31,94.0,94.0,94.0,94.0,30
AL,2022-09-01,94.0,94.0,94.0,94.0,18
AL,2022-09-02,93.5,94.0,93.5,93.5,18
AL,2022-09-05,94.0,94.0,93.5,94.0,39
AL,2022-09-06,94.5,94.5,94.0,94.5,7
AL,2022-09-08,94.5,94.5,94.5,94.5,121
AL,2022-09-12,94.0,94.5,94.0,94.0,9
AL,2022-09-16,91.0,94.0,91.0,91.0,145
AL,2022-09-22,91.0,91.0,91.0,91.0,104
AL,2022-09-23,91.0,91.0,91.0,91.0,70
AL,2022-09-26,91.0,91.0,91.0,91.0,95
AL,2022-09-27,91.0,91.0,91.0,91.0,80
AL,2022-09-28,91.0,91.0,91.0,91.0,40
AL,2022-09-29,91.0,91.0,91.0,91.0,44
AL,2022-09-30,91.0,91.0,91.0,91.0,4
AL,2022-10-03,91.0,91.0,91.0,91.0,15
AL,2022-10-04,91.0,91.0,91.0,91.0,22
AL,2022-10-05,88.51,91.0,88.51,88.51,10
AL,2022-10-06,92.0,92.0,88.51,92.0,5
AL,2022-10-07,92.0,92.0,92.0,92.0,26
AL,2022-10-10,92.0,92.0,92.0,92.0,10
