Ticker,Date,Open,High,Low,Close,Volume
ALKIM,2022-11-10,28.51,29.5,28.51,28.51,11
ALKIM,2022-11-23,31.13,31.13,29.79,31.13,38
ALKIM,2022-11-24,32.5,32.5,31.13,32.5,4
ALKIM,2022-11-25,33.5,33.5,32.5,33.5,176
ALKIM,2022-11-30,33.5,33.5,33.5,33.5,329
ALKIM,2022-12-05,35.0,35.0,33.5,35.0,50
ALKIM,2022-12-07,35.49,35.49,35.0,35.49,265
ALKIM,2022-12-09,33.5,33.9,33.5,33.5,63
ALKIM,2022-12-12,35.0,35.0,33.5,35.0,44
ALKIM,2022-12-13,35.49,35.49,35.0,35.49,45
ALKIM,2022-12-15,35.42,35.42,33.9,35.42,131
ALKIM,2022-12-19,33.83,33.83,33.83,33.83,95
ALKIM,2022-12-21,35.35,35.35,33.83,35.35,5
ALKIM,2022-12-23,35.27,35.27,33.76,35.27,92
ALKIM,2022-12-29,34.0,35.4,34.0,34.0,36
ALKIM,2022-12-30,35.53,35.53,34.0,35.53,554
ALKIM,2022-08-04,32.39,32.39,31.0,32.39,2
ALKIM,2022-08-16,33.5,33.5,32.39,33.5,4
ALKIM,2022-08-18,33.5,33.5,33.5,33.5,9
ALKIM,2022-08-23,33.5,33.5,33.5,33.5,13
ALKIM,2022-08-26,33.88,33.88,33.5,33.88,11
ALKIM,2022-09-14,34.99,34.99,33.88,34.99,15
ALKIM,2022-09-15,34.0,34.99,34.0,34.0,25
ALKIM,2022-09-19,33.5,34.0,33.5,33.5,34
ALKIM,2022-09-21,32.0,33.5,32.0,32.0,31
ALKIM,2022-09-22,30.7,32.0,30.7,30.7,30
ALKIM,2022-09-23,29.5,30.7,29.5,29.5,24
ALKIM,2022-10-03,29.5,29.5,29.5,29.5,90
ALKIM,2022-10-17,29.51,29.51,29.5,29.51,15
ALKIM,2022-10-18,29.5,29.51,29.5,29.5,89
ALKIM,2022-10-20,29.5,29.5,29.5,29.5,13
ALKIM,2022-05-11,35.5,35.5,35.5,35.5,57
ALKIM,2022-05-12,35.5,35.5,35.5,35.5,28
ALKIM,2022-05-13,35.5,35.5,35.5,35.5,88
ALKIM,2022-05-17,35.5,35.5,35.5,35.5,52
ALKIM,2022-05-18,35.5,35.5,35.5,35.5,40
ALKIM,2022-05-19,35.45,35.5,35.45,35.45,24
ALKIM,2022-05-20,35.45,35.45,35.45,35.45,61
ALKIM,2022-05-24,35.0,35.45,35.0,35.0,146
ALKIM,2022-06-08,35.5,35.5,35.0,35.5,125
ALKIM,2022-06-14,33.91,35.5,33.91,33.91,30
ALKIM,2022-06-28,33.9,33.91,33.9,33.9,76
ALKIM,2022-07-05,32.38,33.9,32.38,32.38,35
ALKIM,2022-07-27,31.0,32.38,31.0,31.0,15
ALKIM,2022-02-18,36.5,37.05,36.5,36.5,60
ALKIM,2022-04-05,36.5,38.14,36.5,36.5,9
ALKIM,2022-04-06,36.5,36.5,36.5,36.5,36
