Ticker,Date,Open,High,Low,Close,Volume
AMI,2022-08-01,2.06,2.06,2.06,2.06,2443
AMI,2022-08-02,2.12,2.12,2.12,2.12,28600
AMI,2022-08-03,2.14,2.14,2.14,2.14,6268
AMI,2022-08-04,2.13,2.13,2.13,2.13,9830
AMI,2022-08-05,2.11,2.11,2.11,2.11,6716
AMI,2022-08-08,2.11,2.11,2.11,2.11,23173
AMI,2022-08-09,2.11,2.11,2.11,2.11,4784
AMI,2022-08-10,2.11,2.11,2.11,2.11,2502
AMI,2022-08-11,2.11,2.11,2.11,2.11,9212
AMI,2022-08-12,2.11,2.11,2.11,2.11,11180
AMI,2022-08-15,2.14,2.14,2.14,2.14,500
AMI,2022-08-16,2.14,2.14,2.14,2.14,9362
AMI,2022-08-17,2.15,2.15,2.15,2.15,17162
AMI,2022-08-18,2.15,2.15,2.15,2.15,4390
AMI,2022-08-19,2.15,2.15,2.15,2.15,10288
AMI,2022-08-22,2.13,2.13,2.13,2.13,8710
AMI,2022-08-24,2.13,2.13,2.13,2.13,6390
AMI,2022-08-25,2.13,2.13,2.13,2.13,190
AMI,2022-08-26,2.12,2.12,2.12,2.12,11188
AMI,2022-08-29,2.13,2.13,2.13,2.13,1150
AMI,2022-08-30,2.1,2.1,2.1,2.1,4030
AMI,2022-08-31,2.09,2.09,2.09,2.09,3450
AMI,2022-09-01,2.08,2.08,2.08,2.08,8950
AMI,2022-09-02,2.08,2.08,2.08,2.08,8842
AMI,2022-09-05,2.09,2.09,2.09,2.09,24248
AMI,2022-09-06,2.03,2.03,2.03,2.03,2170
AMI,2022-09-07,2.03,2.03,2.03,2.03,1730
AMI,2022-09-08,2.06,2.06,2.06,2.06,9100
AMI,2022-09-09,2.06,2.06,2.06,2.06,6311
AMI,2022-09-12,2.1,2.1,2.1,2.1,465
AMI,2022-09-13,2.08,2.08,2.08,2.08,3236
AMI,2022-09-14,2.08,2.08,2.08,2.08,1600
AMI,2022-09-15,2.07,2.07,2.07,2.07,12316
AMI,2022-09-16,2.05,2.05,2.05,2.05,2620
AMI,2022-09-19,2.05,2.05,2.05,2.05,3708
AMI,2022-09-20,2.08,2.08,2.08,2.08,11112
AMI,2022-05-09,1.9,1.9,1.9,1.9,16300
AMI,2022-05-10,1.89,1.89,1.89,1.89,10367
AMI,2022-05-11,1.89,1.89,1.89,1.89,150
AMI,2022-05-12,1.88,1.88,1.88,1.88,1480
AMI,2022-05-16,1.89,1.89,1.89,1.89,1100
AMI,2022-05-17,1.94,1.94,1.94,1.94,2500
AMI,2022-05-18,1.9,1.9,1.9,1.9,400
AMI,2022-05-19,1.94,1.94,1.94,1.94,9818
AMI,2022-05-20,1.94,1.94,1.94,1.94,10000
AMI,2022-05-23,1.9,1.9,1.9,1.9,11311
AMI,2022-05-24,1.9,1.9,1.9,1.9,1350
AMI,2022-05-25,1.93,1.93,1.93,1.93,2200
AMI,2022-05-26,1.94,1.94,1.94,1.94,14640
AMI,2022-05-27,1.94,1.94,1.94,1.94,8155
AMI,2022-05-30,1.98,1.98,1.98,1.98,9142
AMI,2022-05-31,2.02,2.02,2.02,2.02,1200
AMI,2022-06-01,2.01,2.01,2.01,2.01,410
AMI,2022-06-07,2.0,2.0,2.0,2.0,9406
AMI,2022-06-08,2.0,2.0,2.0,2.0,1791
AMI,2022-06-09,2.0,2.0,2.0,2.0,11000
AMI,2022-06-10,2.02,2.02,2.02,2.02,8061
AMI,2022-06-13,2.02,2.02,2.02,2.02,16870
