Ticker,Date,Open,High,Low,Close,Volume
ASSAD,2022-10-24,1.21,1.21,1.2,1.21,9588
ASSAD,2022-10-25,1.19,1.21,1.18,1.19,6807
ASSAD,2022-10-26,1.2,1.2,1.18,1.2,5716
ASSAD,2022-10-27,1.17,1.2,1.17,1.17,15060
ASSAD,2022-10-28,1.19,1.19,1.16,1.19,19144
ASSAD,2022-10-31,1.19,1.19,1.16,1.19,34256
ASSAD,2022-11-01,1.18,1.19,1.15,1.18,6186
ASSAD,2022-11-02,1.18,1.18,1.15,1.18,4327
ASSAD,2022-11-03,1.18,1.18,1.17,1.18,483
ASSAD,2022-11-04,1.17,1.18,1.17,1.17,500
ASSAD,2022-11-07,1.17,1.18,1.15,1.17,928
ASSAD,2022-11-08,1.18,1.18,1.16,1.18,11203
ASSAD,2022-11-09,1.18,1.19,1.16,1.18,3495
ASSAD,2022-11-10,1.18,1.19,1.17,1.18,425
ASSAD,2022-11-11,1.16,1.18,1.14,1.16,36251
ASSAD,2022-11-14,1.17,1.17,1.15,1.17,5187
ASSAD,2022-11-15,1.17,1.17,1.15,1.17,1704
ASSAD,2022-11-16,1.17,1.17,1.15,1.17,8539
ASSAD,2022-11-17,1.16,1.17,1.14,1.16,12421
ASSAD,2022-11-18,1.16,1.16,1.14,1.16,8605
ASSAD,2022-11-21,1.15,1.16,1.15,1.15,4562
ASSAD,2022-11-22,1.13,1.15,1.13,1.13,22681
ASSAD,2022-11-23,1.13,1.15,1.13,1.13,17947
ASSAD,2022-11-24,1.15,1.15,1.13,1.15,3468
ASSAD,2022-11-25,1.14,1.15,1.13,1.14,505
ASSAD,2022-11-28,1.19,1.19,1.14,1.19,60748
ASSAD,2022-11-29,1.17,1.2,1.17,1.17,4245
ASSAD,2022-11-30,1.17,1.17,1.15,1.17,2649
ASSAD,2022-12-02,1.14,1.17,1.14,1.14,8451
ASSAD,2022-12-05,1.13,1.16,1.13,1.13,11495
ASSAD,2022-12-06,1.12,1.13,1.12,1.12,788
ASSAD,2022-12-07,1.12,1.12,1.1,1.12,13858
ASSAD,2022-12-08,1.1,1.12,1.09,1.1,7322
ASSAD,2022-12-09,1.09,1.1,1.09,1.09,20565
ASSAD,2022-12-12,1.09,1.12,1.07,1.09,27247
ASSAD,2022-12-13,1.13,1.14,1.08,1.13,38766
ASSAD,2022-12-14,1.14,1.15,1.13,1.14,3923
ASSAD,2022-12-15,1.14,1.14,1.12,1.14,4445
ASSAD,2022-12-19,1.11,1.14,1.11,1.11,1300
ASSAD,2022-12-20,1.11,1.12,1.08,1.11,8970
ASSAD,2022-12-21,1.09,1.11,1.08,1.09,26323
ASSAD,2022-12-22,1.08,1.09,1.08,1.08,14975
ASSAD,2022-12-23,1.08,1.09,1.07,1.08,58457
ASSAD,2022-12-26,1.08,1.1,1.07,1.08,38065
ASSAD,2022-12-27,1.06,1.09,1.06,1.06,32426
ASSAD,2022-12-28,1.03,1.08,1.03,1.03,68929
ASSAD,2022-12-29,1.05,1.05,1.03,1.05,17696
ASSAD,2022-12-30,1.09,1.09,1.04,1.09,37392
ASSAD,2022-08-01,1.12,1.13,1.12,1.12,2116
ASSAD,2022-08-02,1.12,1.12,1.1,1.12,7345
ASSAD,2022-08-03,1.1,1.12,1.1,1.1,29510
ASSAD,2022-08-04,1.13,1.13,1.1,1.13,15477
ASSAD,2022-08-05,1.16,1.16,1.13,1.16,28103
ASSAD,2022-08-08,1.16,1.17,1.14,1.16,4924
ASSAD,2022-08-09,1.16,1.16,1.14,1.16,4705
ASSAD,2022-08-10,1.15,1.18,1.15,1.15,22505
ASSAD,2022-08-11,1.2,1.21,1.15,1.2,45748
ASSAD,2022-08-12,1.23,1.24,1.2,1.23,57803
ASSAD,2022-08-15,1.3,1.3,1.23,1.3,46697
ASSAD,2022-08-16,1.34,1.34,1.3,1.34,41312
ASSAD,2022-08-17,1.29,1.34,1.29,1.29,33772
ASSAD,2022-08-18,1.24,1.29,1.22,1.24,48609
ASSAD,2022-08-19,1.25,1.26,1.21,1.25,11751
ASSAD,2022-08-22,1.2,1.25,1.2,1.2,36823
ASSAD,2022-08-23,1.22,1.24,1.2,1.22,25442
ASSAD,2022-08-24,1.24,1.24,1.21,1.24,24473
ASSAD,2022-08-26,1.28,1.3,1.23,1.28,77274
ASSAD,2022-08-29,1.26,1.3,1.25,1.26,32219
ASSAD,2022-08-30,1.26,1.26,1.23,1.26,20742
ASSAD,2022-08-31,1.26,1.26,1.24,1.26,7531
ASSAD,2022-09-01,1.28,1.28,1.25,1.28,34886
ASSAD,2022-09-02,1.27,1.29,1.27,1.27,53548
ASSAD,2022-09-05,1.27,1.29,1.27,1.27,7700
ASSAD,2022-09-06,1.25,1.27,1.23,1.25,24445
ASSAD,2022-09-07,1.26,1.27,1.23,1.26,13819
ASSAD,2022-09-08,1.26,1.26,1.23,1.26,32674
ASSAD,2022-09-09,1.26,1.26,1.24,1.26,5215
ASSAD,2022-09-12,1.25,1.26,1.21,1.25,14052
ASSAD,2022-09-13,1.23,1.25,1.2,1.23,48841
ASSAD,2022-09-14,1.2,1.25,1.17,1.2,36168
ASSAD,2022-09-15,1.21,1.22,1.17,1.21,9269
ASSAD,2022-09-16,1.21,1.21,1.18,1.21,11287
ASSAD,2022-09-19,1.2,1.22,1.2,1.2,2590
ASSAD,2022-09-20,1.22,1.22,1.19,1.22,3104
ASSAD,2022-09-21,1.22,1.22,1.19,1.22,21281
ASSAD,2022-09-22,1.21,1.22,1.19,1.21,3035
ASSAD,2022-09-23,1.21,1.22,1.19,1.21,23997
ASSAD,2022-09-26,1.24,1.25,1.21,1.24,3012
ASSAD,2022-09-27,1.23,1.25,1.23,1.23,15786
ASSAD,2022-09-28,1.23,1.25,1.2,1.23,21708
ASSAD,2022-09-29,1.22,1.23,1.22,1.22,4195
ASSAD,2022-09-30,1.2,1.22,1.2,1.2,9618
ASSAD,2022-10-03,1.22,1.22,1.2,1.22,999
ASSAD,2022-10-04,1.22,1.22,1.18,1.22,24380
ASSAD,2022-10-05,1.22,1.22,1.2,1.22,7587
ASSAD,2022-10-06,1.2,1.22,1.18,1.2,8112
ASSAD,2022-10-07,1.25,1.25,1.2,1.25,93945
ASSAD,2022-10-10,1.24,1.25,1.22,1.24,2176
ASSAD,2022-10-11,1.24,1.25,1.22,1.24,5881
ASSAD,2022-10-12,1.24,1.24,1.18,1.24,47249
ASSAD,2022-10-13,1.21,1.24,1.19,1.21,23139
ASSAD,2022-10-14,1.21,1.21,1.19,1.21,4281
ASSAD,2022-10-17,1.23,1.23,1.19,1.23,29231
ASSAD,2022-10-18,1.22,1.24,1.19,1.22,3085
ASSAD,2022-10-19,1.23,1.23,1.2,1.23,27554
ASSAD,2022-10-20,1.21,1.23,1.2,1.21,3392
ASSAD,2022-10-21,1.21,1.23,1.2,1.21,21240
ASSAD,2022-10-24,1.21,1.21,1.2,1.21,9588
ASSAD,2022-05-09,1.35,1.36,1.35,1.35,7536
ASSAD,2022-05-10,1.38,1.42,1.35,1.38,72952
ASSAD,2022-05-11,1.36,1.38,1.36,1.36,12187
ASSAD,2022-05-12,1.36,1.37,1.34,1.36,17567
ASSAD,2022-05-13,1.34,1.36,1.32,1.34,12525
ASSAD,2022-05-16,1.33,1.35,1.32,1.33,11317
ASSAD,2022-05-17,1.31,1.33,1.31,1.31,22905
ASSAD,2022-05-18,1.32,1.32,1.3,1.32,2549
ASSAD,2022-05-19,1.32,1.32,1.3,1.32,10993
ASSAD,2022-05-20,1.32,1.32,1.3,1.32,5063
ASSAD,2022-05-23,1.3,1.32,1.29,1.3,16587
ASSAD,2022-05-24,1.29,1.3,1.27,1.29,47898
ASSAD,2022-05-25,1.29,1.32,1.29,1.29,37847
ASSAD,2022-05-26,1.3,1.31,1.29,1.3,2590
ASSAD,2022-05-27,1.3,1.31,1.27,1.3,20745
ASSAD,2022-05-30,1.29,1.31,1.29,1.29,23723
ASSAD,2022-05-31,1.27,1.29,1.27,1.27,9503
ASSAD,2022-06-01,1.27,1.28,1.26,1.27,26539
ASSAD,2022-06-02,1.23,1.29,1.23,1.23,44849
ASSAD,2022-06-03,1.23,1.29,1.23,1.23,11652
ASSAD,2022-06-06,1.23,1.25,1.22,1.23,20523
ASSAD,2022-06-07,1.25,1.29,1.23,1.25,21030
ASSAD,2022-06-08,1.26,1.28,1.24,1.26,12519
ASSAD,2022-06-09,1.26,1.29,1.24,1.26,16974
ASSAD,2022-06-10,1.23,1.26,1.22,1.23,10774
ASSAD,2022-06-13,1.22,1.24,1.2,1.22,23324
ASSAD,2022-06-14,1.22,1.22,1.18,1.22,102586
ASSAD,2022-06-15,1.19,1.22,1.19,1.19,17225
ASSAD,2022-06-16,1.21,1.21,1.2,1.21,12560
ASSAD,2022-06-17,1.2,1.21,1.2,1.2,6404
ASSAD,2022-06-20,1.22,1.22,1.21,1.22,450
ASSAD,2022-06-21,1.22,1.22,1.21,1.22,3012
ASSAD,2022-06-22,1.19,1.22,1.18,1.19,22778
ASSAD,2022-06-23,1.18,1.19,1.14,1.18,68863
ASSAD,2022-06-24,1.18,1.19,1.16,1.18,3397
ASSAD,2022-06-27,1.18,1.18,1.18,1.18,3808
ASSAD,2022-06-28,1.17,1.18,1.17,1.17,3544
ASSAD,2022-06-29,1.13,1.18,1.13,1.13,25584
ASSAD,2022-06-30,1.13,1.16,1.13,1.13,3265
ASSAD,2022-07-01,1.08,1.14,1.08,1.08,30504
ASSAD,2022-07-04,1.09,1.12,1.06,1.09,15284
ASSAD,2022-07-05,1.13,1.13,1.09,1.13,2780
ASSAD,2022-07-06,1.12,1.13,1.12,1.12,13002
ASSAD,2022-07-07,1.12,1.13,1.1,1.12,4729
ASSAD,2022-07-08,1.1,1.12,1.1,1.1,23562
ASSAD,2022-07-11,1.12,1.12,1.09,1.12,9625
ASSAD,2022-07-12,1.12,1.13,1.12,1.12,9901
ASSAD,2022-07-13,1.12,1.13,1.12,1.12,14750
ASSAD,2022-07-14,1.1,1.13,1.09,1.1,5082
ASSAD,2022-07-15,1.12,1.12,1.1,1.12,7066
ASSAD,2022-07-18,1.1,1.12,1.1,1.1,6458
ASSAD,2022-07-19,1.1,1.11,1.1,1.1,2151
ASSAD,2022-07-20,1.08,1.11,1.08,1.08,10399
ASSAD,2022-07-21,1.1,1.1,1.08,1.1,5
ASSAD,2022-07-22,1.1,1.1,1.08,1.1,18004
ASSAD,2022-07-26,1.1,1.1,1.08,1.1,16383
ASSAD,2022-07-27,1.13,1.13,1.1,1.13,10600
ASSAD,2022-07-28,1.11,1.13,1.1,1.11,7233
ASSAD,2022-07-29,1.13,1.13,1.1,1.13,9360
ASSAD,2022-02-11,1.55,1.6,1.55,1.55,8252
ASSAD,2022-02-14,1.55,1.59,1.52,1.55,3726
ASSAD,2022-02-15,1.58,1.58,1.5,1.58,17726
ASSAD,2022-02-16,1.56,1.58,1.56,1.56,777
ASSAD,2022-02-17,1.55,1.56,1.52,1.55,11208
ASSAD,2022-02-18,1.53,1.55,1.52,1.53,2260
ASSAD,2022-02-21,1.5,1.54,1.49,1.5,10609
ASSAD,2022-02-22,1.47,1.51,1.47,1.47,27436
ASSAD,2022-02-23,1.46,1.47,1.45,1.46,19095
ASSAD,2022-02-24,1.45,1.47,1.41,1.45,13584
ASSAD,2022-02-25,1.44,1.45,1.42,1.44,4352
ASSAD,2022-02-28,1.44,1.44,1.38,1.44,6427
ASSAD,2022-03-01,1.4,1.44,1.4,1.4,3297
ASSAD,2022-03-02,1.43,1.43,1.4,1.43,4272
ASSAD,2022-03-03,1.43,1.43,1.4,1.43,1813
ASSAD,2022-03-04,1.43,1.43,1.4,1.43,15001
ASSAD,2022-03-07,1.43,1.43,1.4,1.43,101
ASSAD,2022-03-08,1.41,1.44,1.39,1.41,31821
ASSAD,2022-03-09,1.41,1.41,1.39,1.41,21093
ASSAD,2022-03-10,1.4,1.41,1.38,1.4,18115
ASSAD,2022-03-11,1.41,1.41,1.38,1.41,2765
ASSAD,2022-03-14,1.4,1.41,1.38,1.4,22378
ASSAD,2022-03-15,1.39,1.41,1.38,1.39,18063
ASSAD,2022-03-16,1.38,1.4,1.38,1.38,43505
ASSAD,2022-03-17,1.4,1.4,1.38,1.4,12343
ASSAD,2022-03-18,1.41,1.43,1.38,1.41,28753
ASSAD,2022-03-21,1.4,1.43,1.39,1.4,9845
ASSAD,2022-03-22,1.37,1.4,1.36,1.37,32140
ASSAD,2022-03-23,1.38,1.39,1.36,1.38,8857
ASSAD,2022-03-24,1.39,1.4,1.38,1.39,574
ASSAD,2022-03-25,1.38,1.39,1.36,1.38,6616
ASSAD,2022-03-28,1.35,1.38,1.35,1.35,18866
ASSAD,2022-03-29,1.37,1.37,1.36,1.37,9486
ASSAD,2022-03-30,1.38,1.39,1.35,1.38,1211
ASSAD,2022-03-31,1.37,1.39,1.35,1.37,5986
ASSAD,2022-04-01,1.39,1.39,1.34,1.39,13
ASSAD,2022-04-04,1.36,1.39,1.34,1.36,26369
ASSAD,2022-04-05,1.4,1.4,1.36,1.4,18097
ASSAD,2022-04-06,1.4,1.44,1.4,1.4,34254
ASSAD,2022-04-07,1.4,1.44,1.4,1.4,11210
ASSAD,2022-04-08,1.42,1.43,1.4,1.42,1025
ASSAD,2022-04-11,1.4,1.43,1.4,1.4,5350
ASSAD,2022-04-12,1.4,1.41,1.4,1.4,9860
ASSAD,2022-04-13,1.41,1.41,1.4,1.41,4408
ASSAD,2022-04-14,1.4,1.41,1.4,1.4,4926
ASSAD,2022-04-15,1.4,1.41,1.4,1.4,13233
ASSAD,2022-04-18,1.41,1.41,1.38,1.41,43226
ASSAD,2022-04-19,1.4,1.41,1.4,1.4,10111
ASSAD,2022-04-20,1.4,1.4,1.38,1.4,3030
ASSAD,2022-04-21,1.41,1.41,1.38,1.41,11832
ASSAD,2022-04-22,1.4,1.41,1.4,1.4,7924
ASSAD,2022-04-25,1.4,1.41,1.4,1.4,3286
ASSAD,2022-04-26,1.38,1.4,1.37,1.38,28674
ASSAD,2022-04-27,1.37,1.4,1.37,1.37,15937
ASSAD,2022-04-28,1.38,1.39,1.37,1.38,4845
ASSAD,2022-04-29,1.39,1.39,1.37,1.39,14871
ASSAD,2022-05-04,1.37,1.39,1.36,1.37,22154
ASSAD,2022-05-05,1.35,1.37,1.35,1.35,30781
ASSAD,2022-05-06,1.36,1.37,1.34,1.36,13959
ASSAD,2021-11-18,1.94,1.98,1.94,1.94,681
ASSAD,2021-11-19,1.96,1.96,1.93,1.96,34011
ASSAD,2021-11-22,1.98,1.99,1.94,1.98,5692
ASSAD,2021-11-23,1.95,1.98,1.94,1.95,3147
ASSAD,2021-11-24,1.96,1.96,1.93,1.96,38
ASSAD,2021-11-25,1.97,1.98,1.96,1.97,11025
ASSAD,2021-11-26,1.97,1.97,1.93,1.97,3345
ASSAD,2021-11-29,1.96,1.97,1.95,1.96,458
ASSAD,2021-11-30,1.95,1.96,1.92,1.95,19843
ASSAD,2021-12-01,1.96,1.96,1.92,1.96,12034
ASSAD,2021-12-02,1.92,1.96,1.92,1.92,6553
ASSAD,2021-12-03,1.96,1.97,1.92,1.96,14791
