Ticker,Date,Open,High,Low,Close,Volume
ATB,2022-10-24,3.08,3.08,3.05,3.08,5265
ATB,2022-10-25,3.09,3.11,3.05,3.09,2831
ATB,2022-10-26,3.1,3.1,3.05,3.1,13803
ATB,2022-10-27,3.1,3.11,3.1,3.1,5040
ATB,2022-10-28,3.1,3.1,3.09,3.1,2730
ATB,2022-10-31,3.12,3.12,3.1,3.12,3118
ATB,2022-11-01,3.11,3.12,3.11,3.11,200
ATB,2022-11-02,3.1,3.11,3.08,3.1,17832
ATB,2022-11-03,3.1,3.1,3.0,3.1,6257
ATB,2022-11-07,3.11,3.11,3.09,3.11,13181
ATB,2022-11-08,3.12,3.12,3.11,3.12,6205
ATB,2022-11-11,3.13,3.15,3.09,3.13,1001
ATB,2022-11-15,3.13,3.13,3.07,3.13,60
ATB,2022-11-16,3.1,3.13,3.06,3.1,6260
ATB,2022-11-17,3.1,3.1,3.1,3.1,3380
ATB,2022-11-18,3.1,3.11,3.02,3.1,7952
ATB,2022-11-23,3.09,3.1,3.06,3.09,12589
ATB,2022-11-25,3.1,3.1,3.07,3.1,2002
ATB,2022-11-29,3.09,3.1,3.0,3.09,6152
ATB,2022-11-30,3.01,3.09,3.01,3.01,4005
ATB,2022-12-02,3.09,3.09,3.09,3.09,35
ATB,2022-12-05,3.09,3.09,3.0,3.09,2814
ATB,2022-12-06,3.0,3.09,3.0,3.0,10842
ATB,2022-12-07,3.09,3.09,3.0,3.09,3500
ATB,2022-12-08,3.08,3.09,3.0,3.08,52
ATB,2022-12-09,3.08,3.08,3.08,3.08,5
ATB,2022-12-12,3.09,3.09,3.08,3.09,8240
ATB,2022-12-13,3.09,3.09,3.09,3.09,11
ATB,2022-12-14,3.09,3.09,3.09,3.09,1900
ATB,2022-12-15,3.0,3.09,3.0,3.0,5030
ATB,2022-12-16,3.06,3.07,3.06,3.06,905
ATB,2022-12-20,3.0,3.06,2.94,3.0,22706
ATB,2022-12-21,3.0,3.0,2.9,3.0,34639
ATB,2022-12-22,2.99,3.0,2.85,2.99,27485
ATB,2022-12-23,2.82,2.99,2.82,2.82,24736
ATB,2022-12-26,2.9,2.98,2.82,2.9,11059
ATB,2022-12-27,2.87,2.9,2.87,2.87,1044
ATB,2022-12-28,2.85,2.89,2.85,2.85,2000
ATB,2022-12-29,2.89,2.89,2.87,2.89,5000
ATB,2022-12-30,2.89,2.89,2.89,2.89,200
ATB,2022-08-01,2.35,2.35,2.33,2.35,155
ATB,2022-08-02,2.44,2.44,2.31,2.44,212225
ATB,2022-08-03,2.5,2.58,2.43,2.5,23577
ATB,2022-08-04,2.5,2.5,2.39,2.5,23899
ATB,2022-08-05,2.47,2.5,2.43,2.47,32372
ATB,2022-08-08,2.43,2.47,2.43,2.43,1256
ATB,2022-08-09,2.51,2.51,2.43,2.51,9892
ATB,2022-08-10,2.61,2.65,2.51,2.61,24845
ATB,2022-08-11,2.66,2.66,2.6,2.66,44560
ATB,2022-08-12,2.7,2.7,2.63,2.7,64212
ATB,2022-08-15,2.71,2.75,2.7,2.71,8435
ATB,2022-08-16,2.72,2.72,2.65,2.72,19438
ATB,2022-08-17,2.71,2.72,2.69,2.71,35750
ATB,2022-08-18,2.87,2.87,2.68,2.87,72320
ATB,2022-08-19,2.85,2.87,2.8,2.85,27742
ATB,2022-08-22,2.82,2.85,2.8,2.82,937
ATB,2022-08-23,2.85,2.86,2.75,2.85,83301
ATB,2022-08-24,2.87,2.87,2.85,2.87,6096
ATB,2022-08-25,2.9,2.9,2.86,2.9,17629
ATB,2022-08-26,2.95,2.98,2.85,2.95,60896
ATB,2022-08-29,2.96,2.97,2.85,2.96,25807
ATB,2022-08-30,3.12,3.13,2.95,3.12,222988
ATB,2022-08-31,3.1,3.13,3.04,3.1,23566
ATB,2022-09-01,3.1,3.12,3.02,3.1,41795
ATB,2022-09-02,3.02,3.15,3.02,3.02,41621
ATB,2022-09-05,3.05,3.1,3.02,3.05,5854
ATB,2022-09-06,3.1,3.12,3.02,3.1,29616
ATB,2022-09-07,3.06,3.13,3.01,3.06,9289
ATB,2022-09-08,3.05,3.08,3.0,3.05,16158
ATB,2022-09-09,3.05,3.08,2.99,3.05,26530
ATB,2022-09-12,3.1,3.1,3.0,3.1,14864
ATB,2022-09-13,3.12,3.12,3.0,3.12,21162
ATB,2022-09-14,3.1,3.12,3.05,3.1,13743
ATB,2022-09-15,3.1,3.1,3.0,3.1,8211
ATB,2022-09-16,3.09,3.1,3.08,3.09,820
ATB,2022-09-20,3.03,3.09,3.0,3.03,6525
ATB,2022-09-21,3.05,3.07,3.03,3.05,565
ATB,2022-09-22,3.0,3.05,3.0,3.0,3171
ATB,2022-09-23,3.07,3.09,3.0,3.07,56969
ATB,2022-09-26,3.12,3.12,3.07,3.12,33231
ATB,2022-09-27,3.12,3.12,3.09,3.12,23695
ATB,2022-09-28,3.11,3.12,3.07,3.11,17607
ATB,2022-09-29,3.12,3.15,3.11,3.12,34046
ATB,2022-09-30,3.15,3.22,3.12,3.15,39071
ATB,2022-10-03,3.16,3.22,3.1,3.16,34273
ATB,2022-10-04,3.12,3.18,3.12,3.12,14124
ATB,2022-10-05,3.02,3.12,3.0,3.02,61516
ATB,2022-10-06,3.03,3.09,3.02,3.03,8826
ATB,2022-10-07,3.05,3.08,3.02,3.05,11419
ATB,2022-10-10,3.03,3.05,3.01,3.03,17255
ATB,2022-10-11,3.05,3.1,3.01,3.05,45698
ATB,2022-10-12,3.08,3.08,3.05,3.08,18035
ATB,2022-10-13,3.08,3.09,3.05,3.08,43275
ATB,2022-10-14,3.07,3.08,3.05,3.07,14258
ATB,2022-10-17,3.07,3.07,3.05,3.07,16001
ATB,2022-10-18,3.05,3.07,3.05,3.05,8235
ATB,2022-10-19,3.07,3.07,3.05,3.07,33122
ATB,2022-10-20,3.08,3.08,3.07,3.08,17548
ATB,2022-10-21,3.08,3.08,3.07,3.08,9383
ATB,2022-10-24,3.08,3.08,3.05,3.08,5265
ATB,2022-05-09,2.27,2.27,2.23,2.27,1557
ATB,2022-05-10,2.26,2.27,2.25,2.26,12498
ATB,2022-05-11,2.28,2.28,2.24,2.28,20873
ATB,2022-05-12,2.36,2.36,2.28,2.36,19981
ATB,2022-05-13,2.36,2.4,2.36,2.36,14214
ATB,2022-05-16,2.36,2.38,2.33,2.36,3947
ATB,2022-05-17,2.34,2.36,2.33,2.34,10980
ATB,2022-05-18,2.37,2.37,2.34,2.37,7072
ATB,2022-05-19,2.37,2.37,2.36,2.37,2175
ATB,2022-05-20,2.38,2.4,2.37,2.38,22286
ATB,2022-05-23,2.38,2.4,2.38,2.38,4216
ATB,2022-05-24,2.38,2.38,2.37,2.38,16743
ATB,2022-05-25,2.45,2.49,2.4,2.45,52283
ATB,2022-05-26,2.5,2.56,2.46,2.5,33930
ATB,2022-05-27,2.55,2.58,2.5,2.55,23598
ATB,2022-05-30,2.53,2.59,2.52,2.53,18005
ATB,2022-05-31,2.59,2.59,2.54,2.59,10268
ATB,2022-06-01,2.59,2.6,2.54,2.59,28188
ATB,2022-06-02,2.59,2.59,2.55,2.59,98732
ATB,2022-06-03,2.58,2.59,2.55,2.58,10674
ATB,2022-06-06,2.58,2.58,2.54,2.58,17155
ATB,2022-06-07,2.58,2.6,2.58,2.58,239
ATB,2022-06-08,2.64,2.7,2.58,2.64,118106
ATB,2022-06-09,2.65,2.68,2.64,2.65,2379
ATB,2022-06-10,2.6,2.7,2.6,2.6,6043
ATB,2022-06-13,2.6,2.67,2.6,2.6,284
ATB,2022-06-14,2.58,2.65,2.5,2.58,20473
ATB,2022-06-15,2.5,2.6,2.46,2.5,10234
ATB,2022-06-16,2.59,2.59,2.53,2.59,15500
ATB,2022-06-17,2.59,2.6,2.54,2.59,13456
ATB,2022-06-20,2.6,2.6,2.6,2.6,1003
ATB,2022-06-21,2.6,2.61,2.55,2.6,3254
ATB,2022-06-22,2.59,2.6,2.58,2.59,385
ATB,2022-06-23,2.57,2.59,2.54,2.57,2823
ATB,2022-06-24,2.5,2.54,2.5,2.5,1603
ATB,2022-06-27,2.44,2.5,2.44,2.44,5724
ATB,2022-06-28,2.44,2.45,2.4,2.44,6905
ATB,2022-06-29,2.4,2.44,2.4,2.4,522
ATB,2022-06-30,2.38,2.44,2.38,2.38,2135
ATB,2022-07-01,2.35,2.43,2.35,2.35,580
ATB,2022-07-04,2.26,2.35,2.26,2.26,3985
ATB,2022-07-05,2.3,2.3,2.25,2.3,4548
ATB,2022-07-06,2.39,2.39,2.3,2.39,2140
ATB,2022-07-07,2.39,2.39,2.3,2.39,110
ATB,2022-07-08,2.4,2.4,2.3,2.4,25380
ATB,2022-07-11,2.35,2.4,2.35,2.35,3282
ATB,2022-07-12,2.4,2.4,2.35,2.4,439
ATB,2022-07-13,2.35,2.4,2.35,2.35,1601
ATB,2022-07-14,2.31,2.36,2.31,2.31,3714
ATB,2022-07-15,2.29,2.31,2.25,2.29,24974
ATB,2022-07-18,2.29,2.29,2.25,2.29,3735
ATB,2022-07-19,2.32,2.32,2.29,2.32,3175
ATB,2022-07-20,2.34,2.34,2.32,2.34,151
ATB,2022-07-21,2.32,2.34,2.27,2.32,17000
ATB,2022-07-22,2.33,2.34,2.32,2.33,1476
ATB,2022-07-26,2.33,2.33,2.3,2.33,16669
ATB,2022-07-27,2.3,2.33,2.26,2.3,17594
ATB,2022-07-28,2.3,2.3,2.29,2.3,4769
ATB,2022-07-29,2.33,2.34,2.29,2.33,4004
ATB,2022-02-11,2.71,2.77,2.69,2.71,25680
ATB,2022-02-14,2.69,2.76,2.65,2.69,9851
ATB,2022-02-15,2.69,2.74,2.67,2.69,9839
ATB,2022-02-16,2.69,2.7,2.67,2.69,7912
ATB,2022-02-17,2.69,2.69,2.65,2.69,4153
ATB,2022-02-18,2.65,2.69,2.65,2.65,3367
ATB,2022-02-21,2.6,2.69,2.6,2.6,12788
ATB,2022-02-22,2.63,2.66,2.6,2.63,1501
ATB,2022-02-23,2.63,2.64,2.6,2.63,4500
ATB,2022-02-24,2.6,2.63,2.6,2.6,732
ATB,2022-02-25,2.59,2.6,2.58,2.59,1090
ATB,2022-02-28,2.59,2.6,2.55,2.59,7815
ATB,2022-03-01,2.57,2.6,2.55,2.57,39275
ATB,2022-03-02,2.58,2.59,2.5,2.58,474
ATB,2022-03-03,2.5,2.58,2.5,2.5,1438
ATB,2022-03-04,2.4,2.5,2.39,2.4,13971
