Ticker,Date,Open,High,Low,Close,Volume
BHL,2022-10-25,1.74,1.74,1.72,1.74,1474
BHL,2022-10-26,1.76,1.76,1.74,1.76,1010
BHL,2022-10-27,1.83,1.83,1.76,1.83,1592
BHL,2022-10-28,1.83,1.83,1.83,1.83,5
BHL,2022-10-31,1.82,1.82,1.75,1.82,1106
BHL,2022-11-01,1.82,1.82,1.82,1.82,11
BHL,2022-11-02,1.82,1.82,1.82,1.82,3954
BHL,2022-11-03,1.85,1.88,1.82,1.85,13865
BHL,2022-11-04,1.93,1.93,1.85,1.93,3137
BHL,2022-11-07,2.0,2.0,1.93,2.0,839
BHL,2022-11-08,2.06,2.06,2.0,2.06,267
BHL,2022-11-09,2.15,2.15,2.06,2.15,162
BHL,2022-11-10,2.15,2.15,2.15,2.15,5005
BHL,2022-11-11,2.2,2.2,2.15,2.2,12348
BHL,2022-11-14,2.29,2.29,2.2,2.29,2921
BHL,2022-11-15,2.39,2.39,2.29,2.39,6261
BHL,2022-11-16,2.46,2.47,2.39,2.46,2920
BHL,2022-11-17,2.41,2.46,2.41,2.41,2730
BHL,2022-11-18,2.46,2.46,2.41,2.46,54
BHL,2022-11-21,2.46,2.46,2.46,2.46,5
BHL,2022-11-23,2.15,2.25,2.15,2.15,6460
BHL,2022-11-24,2.06,2.24,2.06,2.06,3035
BHL,2022-11-25,1.97,2.06,1.97,1.97,10307
BHL,2022-11-28,2.05,2.05,1.97,2.05,11
BHL,2022-11-29,2.07,2.14,2.05,2.07,70
BHL,2022-11-30,2.16,2.16,2.07,2.16,44
BHL,2022-12-01,2.07,2.24,2.07,2.07,4482
BHL,2022-12-02,1.98,2.16,1.98,1.98,4001
BHL,2022-12-05,2.06,2.06,1.98,2.06,20
BHL,2022-12-06,1.98,2.06,1.98,1.98,1271
BHL,2022-12-07,1.99,1.99,1.98,1.99,21
BHL,2022-12-08,1.91,1.99,1.91,1.91,1315
BHL,2022-12-09,1.99,1.99,1.91,1.99,22
BHL,2022-12-12,1.98,1.99,1.98,1.98,100
BHL,2022-12-13,1.98,2.0,1.98,1.98,360
BHL,2022-12-14,2.0,2.0,1.98,2.0,25
BHL,2022-12-19,2.0,2.0,2.0,2.0,1174
BHL,2022-12-20,2.0,2.0,2.0,2.0,30
BHL,2022-12-22,2.0,2.0,2.0,2.0,200
BHL,2022-12-23,1.92,2.0,1.92,1.92,38
BHL,2022-12-26,1.91,2.0,1.91,1.91,870
BHL,2022-12-27,1.91,1.91,1.91,1.91,4488
BHL,2022-12-28,1.91,1.95,1.91,1.91,4294
