Ticker,Date,Open,High,Low,Close,Volume
BIAT,2022-10-24,80.5,80.5,80.0,80.5,3204
BIAT,2022-10-25,82.0,82.0,80.0,82.0,4243
BIAT,2022-10-26,83.4,83.69,81.98,83.4,7009
BIAT,2022-10-27,83.4,83.4,83.0,83.4,3512
BIAT,2022-10-28,84.9,85.0,83.2,84.9,10566
BIAT,2022-10-31,87.3,87.49,84.9,87.3,9845
BIAT,2022-11-01,89.95,89.95,87.3,89.95,13507
BIAT,2022-11-02,88.2,89.95,88.0,88.2,8831
BIAT,2022-11-03,87.95,88.5,87.61,87.95,8957
BIAT,2022-11-04,88.0,88.0,87.3,88.0,4714
BIAT,2022-11-07,87.9,88.0,86.5,87.9,6002
BIAT,2022-11-08,89.0,89.0,87.9,89.0,8358
BIAT,2022-11-09,88.1,89.4,88.1,88.1,3821
BIAT,2022-11-10,87.0,88.1,86.6,87.0,5803
BIAT,2022-11-11,86.4,87.0,85.0,86.4,36082
BIAT,2022-11-14,86.9,87.5,86.01,86.9,3533
BIAT,2022-11-15,86.0,87.0,86.0,86.0,3106
BIAT,2022-11-16,85.99,86.99,85.52,85.99,1415
BIAT,2022-11-17,85.49,86.5,85.0,85.49,3622
BIAT,2022-11-18,85.49,86.4,84.5,85.49,3883
BIAT,2022-11-21,87.0,87.0,85.49,87.0,5204
BIAT,2022-11-22,86.0,87.0,85.5,86.0,5542
BIAT,2022-11-23,86.5,86.5,86.0,86.5,4603
BIAT,2022-11-24,86.7,86.7,86.2,86.7,1019
BIAT,2022-11-25,86.2,86.7,86.2,86.2,1330
BIAT,2022-11-28,86.44,86.5,86.4,86.44,3237
BIAT,2022-11-29,87.5,87.6,86.44,87.5,2494
BIAT,2022-11-30,88.0,89.0,87.5,88.0,3653
BIAT,2022-12-01,87.3,88.4,87.3,87.3,2899
BIAT,2022-12-02,86.55,87.3,86.55,86.55,980
BIAT,2022-12-05,87.65,87.65,86.4,87.65,12026
BIAT,2022-12-06,86.66,89.0,86.66,86.66,2433
BIAT,2022-12-07,87.5,88.0,86.41,87.5,3237
BIAT,2022-12-08,87.8,87.85,87.49,87.8,1454
BIAT,2022-12-09,87.8,87.8,86.7,87.8,1948
BIAT,2022-12-12,87.5,87.8,87.5,87.5,2886
BIAT,2022-12-13,87.61,87.7,87.0,87.61,2619
BIAT,2022-12-14,87.62,87.8,87.61,87.62,2655
BIAT,2022-12-15,87.8,87.8,87.62,87.8,1632
BIAT,2022-12-16,88.0,88.15,87.75,88.0,5775
BIAT,2022-12-19,88.1,89.0,88.0,88.1,759
BIAT,2022-12-20,88.4,88.7,88.01,88.4,8210
BIAT,2022-12-21,88.3,88.8,88.3,88.3,4397
BIAT,2022-12-22,88.3,88.5,88.2,88.3,1947
BIAT,2022-12-23,88.95,88.95,88.3,88.95,1706
BIAT,2022-12-26,88.8,89.0,88.5,88.8,2847
BIAT,2022-12-27,89.25,89.5,88.5,89.25,14349
BIAT,2022-12-28,88.5,89.25,88.5,88.5,5507
BIAT,2022-12-29,88.49,88.8,88.3,88.49,4650
BIAT,2022-12-30,88.0,88.52,88.0,88.0,5556
BIAT,2022-08-01,73.0,74.38,73.0,73.0,2116
BIAT,2022-08-02,73.0,73.49,73.0,73.0,154
