Ticker,Date,Open,High,Low,Close,Volume
BNA,2022-10-24,8.18,8.2,8.029,8.18,1737
BNA,2022-10-25,8.12,8.2,8.05,8.12,74330
BNA,2022-10-26,8.2,8.2,8.119,8.2,16611
BNA,2022-10-27,8.2,8.2,8.15,8.2,18160
BNA,2022-10-28,8.2,8.2,8.17,8.2,23191
BNA,2022-10-31,8.2,8.2,8.17,8.2,37979
BNA,2022-11-01,8.2,8.2,8.18,8.2,19236
BNA,2022-11-02,8.2,8.2,8.17,8.2,58040
BNA,2022-11-03,8.4,8.5,8.189,8.4,373126
BNA,2022-11-04,8.39,8.5,8.3,8.39,46895
BNA,2022-11-07,8.38,8.45,8.31,8.38,339363
BNA,2022-11-08,8.38,8.48,8.38,8.38,26771
BNA,2022-11-09,8.41,8.43,8.3,8.41,9942
BNA,2022-11-10,8.37,8.41,8.31,8.37,4913
BNA,2022-11-11,8.38,8.38,8.3,8.38,5611
BNA,2022-11-14,8.35,8.38,8.28,8.35,22018
BNA,2022-11-15,8.37,8.37,8.3,8.37,5380
BNA,2022-11-16,8.34,8.37,8.2,8.34,18263
BNA,2022-11-17,8.51,8.54,8.189,8.51,74801
BNA,2022-11-18,8.78,8.89,8.51,8.78,65482
BNA,2022-11-21,9.05,9.2,8.78,9.05,57927
BNA,2022-11-22,8.86,9.1,8.85,8.86,27392
BNA,2022-11-23,8.9,9.05,8.85,8.9,8223
BNA,2022-11-24,8.85,8.9,8.75,8.85,26683
BNA,2022-11-25,8.8,8.99,8.71,8.8,12695
BNA,2022-11-28,8.78,8.8,8.68,8.78,17239
BNA,2022-11-29,8.9,8.9,8.77,8.9,12566
BNA,2022-11-30,8.9,8.95,8.9,8.9,10588
BNA,2022-12-01,8.9,8.93,8.9,8.9,4185
BNA,2022-12-02,8.89,8.92,8.85,8.89,7101
BNA,2022-12-05,8.85,8.89,8.8,8.85,11866
BNA,2022-12-06,8.8,8.85,8.7,8.8,7575
BNA,2022-12-07,8.78,8.8,8.72,8.78,2279
BNA,2022-12-08,8.75,8.78,8.68,8.75,6611
BNA,2022-12-09,8.74,8.78,8.7,8.74,164
BNA,2022-12-12,8.74,8.8,8.68,8.74,4311
BNA,2022-12-13,8.72,8.8,8.67,8.72,7247
BNA,2022-12-14,8.7,8.72,8.65,8.7,10657
BNA,2022-12-15,8.68,8.7,8.6,8.68,13829
BNA,2022-12-16,8.7,8.7,8.66,8.7,4183
BNA,2022-12-19,8.8,8.8,8.69,8.8,9231
BNA,2022-12-20,8.78,8.8,8.71,8.78,3030
BNA,2022-12-21,8.73,8.79,8.51,8.73,8220
BNA,2022-12-22,8.69,8.73,8.56,8.69,1347
BNA,2022-12-23,8.74,8.79,8.63,8.74,3197
BNA,2022-12-26,8.74,8.78,8.68,8.74,10282
BNA,2022-12-27,8.7,8.75,8.65,8.7,17475
BNA,2022-12-28,8.7,8.72,8.6,8.7,9878
BNA,2022-12-29,8.73,8.75,8.69,8.73,23857
BNA,2022-12-30,8.79,8.8,8.7,8.79,48307
BNA,2022-08-01,8.59,8.68,8.52,8.59,2377
BNA,2022-08-02,8.55,8.59,8.4,8.55,4669
BNA,2022-08-03,8.55,8.55,8.4,8.55,3643
BNA,2022-08-04,8.53,8.55,8.4,8.53,12107
BNA,2022-08-05,8.5,8.55,8.4,8.5,28242
BNA,2022-08-08,8.5,8.5,8.35,8.5,53301
BNA,2022-08-09,8.4,8.5,8.4,8.4,2415
BNA,2022-08-10,8.44,8.45,8.4,8.44,1915
BNA,2022-08-11,8.48,8.48,8.4,8.48,10689
BNA,2022-08-12,8.43,8.48,8.4,8.43,4827
BNA,2022-08-15,8.42,8.46,8.36,8.42,10965
BNA,2022-08-16,8.5,8.5,8.42,8.5,10581
BNA,2022-08-17,8.6,8.65,8.5,8.6,14769
BNA,2022-08-18,8.64,8.65,8.5,8.64,5055
BNA,2022-08-19,8.8,9.0,8.64,8.8,4591
BNA,2022-08-22,8.7,8.8,8.7,8.7,1012
BNA,2022-08-23,8.69,8.7,8.65,8.69,623
BNA,2022-08-24,8.69,8.7,8.69,8.69,2796
BNA,2022-08-25,8.7,8.7,8.66,8.7,8432
BNA,2022-08-26,8.66,8.78,8.66,8.66,5316
BNA,2022-08-29,8.65,8.66,8.6,8.65,1410
BNA,2022-08-30,8.55,8.65,8.5,8.55,7478
BNA,2022-08-31,8.7,8.7,8.5,8.7,17710
BNA,2022-09-01,8.9,9.11,8.63,8.9,24620
BNA,2022-09-02,8.86,8.98,8.75,8.86,25774
BNA,2022-09-05,8.91,8.91,8.81,8.91,5986
BNA,2022-09-06,8.8,8.91,8.8,8.8,5644
BNA,2022-09-07,8.8,8.8,8.7,8.8,17272
BNA,2022-09-08,8.7,8.8,8.63,8.7,12570
BNA,2022-09-09,8.67,8.7,8.63,8.67,2478
BNA,2022-09-12,8.55,8.67,8.5,8.55,27596
BNA,2022-09-13,8.55,8.59,8.5,8.55,13167
BNA,2022-09-14,8.45,8.58,8.45,8.45,42354
BNA,2022-09-15,8.4,8.45,8.4,8.4,15615
BNA,2022-09-16,8.3,8.4,8.28,8.3,14403
BNA,2022-09-19,8.29,8.39,8.2,8.29,8338
BNA,2022-09-20,8.3,8.3,8.29,8.3,6474
BNA,2022-09-21,8.45,8.45,8.3,8.45,4362
BNA,2022-09-22,8.5,8.58,8.41,8.5,37998
BNA,2022-09-23,8.47,8.59,8.39,8.47,31172
BNA,2022-09-26,8.5,8.5,8.41,8.5,22861
BNA,2022-09-27,8.6,8.65,8.4,8.6,52348
BNA,2022-09-28,8.43,8.6,8.09,8.43,186194
BNA,2022-09-29,8.46,8.49,8.31,8.46,19727
BNA,2022-09-30,8.3,8.46,8.2,8.3,22551
BNA,2022-10-03,8.35,8.44,8.24,8.35,12885
BNA,2022-10-04,8.29,8.45,8.2,8.29,18298
BNA,2022-10-05,8.2,8.29,8.1,8.2,7129
BNA,2022-10-06,8.2,8.24,8.109,8.2,7055
BNA,2022-10-07,8.2,8.23,8.1,8.2,23831
BNA,2022-10-10,8.2,8.2,8.18,8.2,8601
BNA,2022-10-11,8.2,8.2,8.15,8.2,3648
BNA,2022-10-12,8.25,8.34,8.15,8.25,6220
BNA,2022-10-13,8.3,8.5,8.2,8.3,19669
BNA,2022-10-14,8.3,8.39,8.21,8.3,6401
BNA,2022-10-17,8.2,8.44,8.189,8.2,382450
BNA,2022-10-18,8.2,8.3,8.16,8.2,8126
BNA,2022-10-19,8.27,8.27,8.189,8.27,34669
BNA,2022-10-20,8.2,8.27,8.1,8.2,15511
BNA,2022-10-21,8.2,8.27,8.1,8.2,51089
BNA,2022-10-24,8.18,8.2,8.029,8.18,1737
BNA,2022-05-09,9.1,9.19,9.01,9.1,26908
BNA,2022-05-10,9.1,9.19,9.05,9.1,7367
BNA,2022-05-11,9.09,9.17,9.09,9.09,10730
BNA,2022-05-12,9.15,9.18,9.14,9.15,20223
BNA,2022-05-13,9.18,9.18,9.1,9.18,8935
BNA,2022-05-16,9.17,9.18,9.1,9.17,5682
BNA,2022-05-17,9.1,9.17,9.08,9.1,16109
BNA,2022-05-18,9.15,9.16,9.1,9.15,34270
BNA,2022-05-19,9.13,9.14,9.05,9.13,3187
BNA,2022-05-20,9.17,9.2,9.1,9.17,48006
BNA,2022-05-23,8.37,8.5,8.37,8.37,4126
BNA,2022-05-24,8.38,8.4,8.2,8.38,11113
BNA,2022-05-25,8.3,8.38,8.29,8.3,15393
BNA,2022-05-26,8.27,8.3,8.25,8.27,577
BNA,2022-05-27,8.3,8.3,8.01,8.3,24864
BNA,2022-05-30,8.25,8.3,8.2,8.25,22668
BNA,2022-05-31,8.38,8.38,8.25,8.38,2702
BNA,2022-06-01,8.3,8.38,8.26,8.3,15801
BNA,2022-06-02,8.34,8.34,8.25,8.34,13474
BNA,2022-06-03,8.3,8.35,8.3,8.3,14188
BNA,2022-06-06,8.3,8.35,8.29,8.3,14379
BNA,2022-06-07,8.25,8.3,8.25,8.25,11595
