Ticker,Date,Open,High,Low,Close,Volume
CELL,2022-10-25,3.63,3.66,3.63,3.63,251
CELL,2022-10-26,3.5,3.63,3.5,3.5,512
CELL,2022-10-27,3.47,3.5,3.47,3.47,1016
CELL,2022-10-31,3.59,3.59,3.44,3.59,160
CELL,2022-11-04,3.21,3.35,3.21,3.21,37
CELL,2022-11-08,3.15,3.15,3.07,3.15,1758
CELL,2022-11-09,3.29,3.29,3.15,3.29,500
CELL,2022-11-10,3.15,3.29,3.15,3.15,9656
CELL,2022-11-11,3.15,3.15,3.15,3.15,10354
CELL,2022-11-15,3.15,3.15,3.15,3.15,4915
CELL,2022-11-17,3.15,3.15,3.15,3.15,20681
CELL,2022-11-18,3.29,3.29,3.15,3.29,1
CELL,2022-11-21,3.2,3.29,3.2,3.2,1001
CELL,2022-11-22,3.2,3.2,3.2,3.2,6479
CELL,2022-11-24,3.2,3.34,3.2,3.2,1655
CELL,2022-11-25,3.2,3.2,3.2,3.2,16264
CELL,2022-11-29,3.47,3.47,3.34,3.47,1
CELL,2022-12-02,3.51,3.51,3.47,3.51,251
CELL,2022-12-13,3.36,3.36,3.36,3.36,10
CELL,2022-12-21,3.25,3.36,3.25,3.25,3000
CELL,2022-12-22,3.15,3.25,3.15,3.15,2350
CELL,2022-12-23,3.29,3.29,3.15,3.29,1
CELL,2022-12-28,3.36,3.36,3.29,3.36,1
CELL,2022-12-30,3.4,3.4,3.36,3.4,5
CELL,2022-08-01,3.89,3.89,3.86,3.89,500
CELL,2022-08-02,3.9,3.9,3.89,3.9,22
CELL,2022-08-04,4.0,4.0,3.9,4.0,1000
CELL,2022-08-09,4.0,4.0,4.0,4.0,5000
CELL,2022-08-10,4.0,4.0,4.0,4.0,7925
CELL,2022-08-12,4.0,4.0,4.0,4.0,2100
CELL,2022-08-15,4.0,4.0,4.0,4.0,3800
CELL,2022-08-16,4.1,4.1,4.0,4.1,761
CELL,2022-08-19,4.2,4.2,4.1,4.2,500
CELL,2022-08-22,4.1,4.2,4.1,4.1,344
CELL,2022-08-23,4.19,4.19,4.1,4.19,5
CELL,2022-08-25,4.2,4.2,4.19,4.2,955
CELL,2022-09-01,4.44,4.44,4.38,4.44,15
CELL,2022-09-07,4.06,4.25,4.059,4.06,4747
CELL,2022-09-12,4.15,4.15,4.06,4.15,1
CELL,2022-10-03,3.8,3.97,3.8,3.8,5
CELL,2022-10-05,3.79,3.8,3.79,3.79,22371
CELL,2022-10-11,3.77,3.79,3.77,3.77,2200
CELL,2022-10-18,3.61,3.61,3.61,3.61,15
CELL,2022-10-20,3.66,3.66,3.61,3.66,1
CELL,2022-05-09,4.59,4.63,4.59,4.59,24341
CELL,2022-05-17,4.3,4.3,4.19,4.3,150
CELL,2022-05-23,4.29,4.3,4.29,4.29,650
CELL,2022-05-27,4.09,4.09,3.92,4.09,875
CELL,2022-05-30,4.27,4.27,4.09,4.27,200
CELL,2022-06-01,4.26,4.26,4.08,4.26,499
CELL,2022-06-02,4.39,4.39,4.26,4.39,2800
CELL,2022-06-03,4.58,4.58,4.39,4.58,910
CELL,2022-06-06,4.6,4.6,4.58,4.6,9000
CELL,2022-06-07,4.6,4.6,4.6,4.6,57051
CELL,2022-06-08,4.58,4.6,4.58,4.58,1520
CELL,2022-06-09,4.38,4.58,4.38,4.38,11837
CELL,2022-06-13,4.37,4.37,4.19,4.37,1
CELL,2022-06-14,4.5,4.5,4.37,4.5,1
CELL,2022-06-15,4.3,4.5,4.3,4.3,180
CELL,2022-06-17,4.5,4.5,4.49,4.5,110
CELL,2022-06-21,4.4,4.5,4.4,4.4,101
CELL,2022-06-22,4.21,4.4,4.21,4.21,10010
CELL,2022-07-07,4.2,4.2,4.02,4.2,195
CELL,2022-07-15,3.86,4.02,3.86,3.86,565
CELL,2022-07-19,4.03,4.03,3.86,4.03,5
CELL,2022-07-21,3.7,3.85,3.7,3.7,261
CELL,2022-07-22,3.7,3.7,3.7,3.7,2496
CELL,2022-07-27,3.7,3.7,3.7,3.7,27842
CELL,2022-02-11,4.67,4.67,4.67,4.67,1
