Ticker,Date,Open,High,Low,Close,Volume
CIL,2022-11-03,19.8,19.8,19.8,19.8,4542
CIL,2022-11-16,19.8,19.8,19.8,19.8,150
CIL,2022-11-17,19.8,19.8,19.8,19.8,1
CIL,2022-11-18,19.8,19.8,19.8,19.8,155
CIL,2022-11-24,19.8,19.8,19.79,19.8,1354
CIL,2022-11-25,19.8,19.8,19.8,19.8,5
CIL,2022-11-28,19.8,19.8,19.7,19.8,329
CIL,2022-11-29,19.1,19.8,19.1,19.1,400
CIL,2022-12-01,19.5,19.5,19.1,19.5,274
CIL,2022-12-05,19.5,19.5,19.5,19.5,250
CIL,2022-12-07,19.0,19.5,19.0,19.0,5
CIL,2022-12-12,19.5,19.5,18.63,19.5,127
CIL,2022-12-13,19.5,19.5,19.5,19.5,26
CIL,2022-12-19,19.1,19.1,19.0,19.1,29
CIL,2022-12-20,19.4,19.4,19.1,19.4,158
CIL,2022-12-21,18.9,19.4,18.9,18.9,1
CIL,2022-12-22,19.5,19.5,18.9,19.5,201
CIL,2022-12-29,19.0,19.0,19.0,19.0,40
CIL,2022-12-30,19.5,19.5,19.0,19.5,701
CIL,2022-08-09,19.5,19.5,18.81,19.5,2
CIL,2022-08-22,18.0,18.63,18.0,18.0,300
CIL,2022-09-01,18.01,18.01,18.0,18.01,700
CIL,2022-09-26,19.65,19.65,18.82,19.65,130
CIL,2022-09-27,19.65,19.65,19.65,19.65,200
CIL,2022-09-28,20.0,20.0,19.65,20.0,5
CIL,2022-10-13,19.8,20.0,19.8,19.8,227
CIL,2022-10-14,19.8,19.8,19.8,19.8,366
CIL,2022-10-19,19.8,19.8,18.91,19.8,601
CIL,2022-06-27,18.2,18.2,18.2,18.2,2
CIL,2022-07-06,18.2,18.2,18.2,18.2,104
CIL,2022-07-18,18.0,18.2,18.0,18.0,200
CIL,2022-07-19,18.0,18.0,18.0,18.0,2
CIL,2022-07-21,18.0,18.0,18.0,18.0,306
CIL,2022-07-28,18.81,18.81,18.0,18.81,5
CIL,2022-07-29,18.81,18.81,18.81,18.81,1000
CIL,2022-02-11,17.35,17.35,17.21,17.35,345
CIL,2022-02-14,17.48,17.48,17.35,17.48,699
CIL,2022-02-15,17.35,17.48,17.35,17.35,2071
CIL,2022-02-16,17.5,17.5,17.35,17.5,3528
CIL,2022-03-04,17.49,17.5,17.49,17.49,761
CIL,2022-03-07,17.49,17.49,17.49,17.49,761
CIL,2022-03-08,17.49,17.49,17.49,17.49,1666
CIL,2022-03-09,17.49,17.49,17.49,17.49,415
CIL,2022-03-15,18.27,18.27,17.49,18.27,671
CIL,2022-03-16,19.09,19.09,18.27,19.09,2585
CIL,2022-03-17,19.5,19.5,19.09,19.5,2000
CIL,2022-03-18,20.72,20.83,19.94,20.72,669
CIL,2022-03-21,20.0,20.72,20.0,20.0,1621
CIL,2022-03-22,20.02,20.02,20.0,20.02,780
CIL,2022-03-23,20.0,20.02,20.0,20.0,2065
CIL,2022-04-05,19.5,19.5,19.5,19.5,250
CIL,2022-04-08,19.5,19.5,19.5,19.5,881
CIL,2022-04-11,19.7,19.7,18.63,19.7,11
