Ticker,Date,Open,High,Low,Close,Volume
CITY,2022-10-24,11.3,11.3,11.3,11.3,338
CITY,2022-10-25,11.3,11.4,11.3,11.3,660
CITY,2022-10-26,11.29,11.3,11.11,11.29,995
CITY,2022-10-27,11.2,11.39,11.2,11.2,321
CITY,2022-10-28,11.2,11.2,11.09,11.2,14311
CITY,2022-10-31,11.21,11.6,11.2,11.21,1767
CITY,2022-11-01,11.21,11.66,11.0,11.21,34747
CITY,2022-11-02,11.2,11.66,11.0,11.2,567
CITY,2022-11-03,11.09,11.25,11.0,11.09,1546
CITY,2022-11-04,11.09,11.09,11.0,11.09,1226
CITY,2022-11-07,11.09,11.09,11.0,11.09,887
CITY,2022-11-08,11.0,11.09,11.0,11.0,2062
CITY,2022-11-09,11.0,11.08,11.0,11.0,1710
CITY,2022-11-10,10.99,11.08,10.99,10.99,1396
CITY,2022-11-11,10.98,11.0,10.98,10.98,732
CITY,2022-11-14,10.96,10.98,10.78,10.96,226
CITY,2022-11-15,10.95,10.96,10.95,10.95,30
CITY,2022-11-16,10.98,10.98,10.95,10.98,30
CITY,2022-11-17,10.98,10.98,10.98,10.98,14
CITY,2022-11-18,10.98,10.98,10.78,10.98,210
CITY,2022-11-21,10.97,10.98,10.97,10.97,9
CITY,2022-11-22,10.95,10.97,10.95,10.95,5
CITY,2022-11-23,10.97,10.97,10.95,10.97,6
CITY,2022-11-24,10.9,10.97,10.78,10.9,219
CITY,2022-11-25,10.75,10.9,10.75,10.75,312
CITY,2022-11-28,10.6,10.9,10.6,10.6,1195
CITY,2022-11-29,10.6,10.9,10.55,10.6,2755
CITY,2022-11-30,10.59,10.6,10.25,10.59,2789
CITY,2022-12-01,10.2,10.59,10.2,10.2,6856
CITY,2022-12-02,10.5,10.5,10.2,10.5,11
CITY,2022-12-05,10.21,10.3,10.21,10.21,189
CITY,2022-12-06,10.3,10.5,10.25,10.3,535
CITY,2022-12-07,10.25,10.3,10.2,10.25,1823
CITY,2022-12-08,10.4,10.5,10.25,10.4,393
CITY,2022-12-09,10.43,10.45,10.4,10.43,749
CITY,2022-12-12,10.5,10.5,10.35,10.5,34
CITY,2022-12-13,10.5,10.5,10.5,10.5,280
CITY,2022-12-14,10.4,10.5,10.4,10.4,1300
CITY,2022-12-15,10.5,10.5,10.4,10.5,1006
CITY,2022-12-16,10.48,10.5,10.4,10.48,1338
CITY,2022-12-19,10.5,10.5,10.48,10.5,5
CITY,2022-12-20,10.7,10.7,10.5,10.7,443
CITY,2022-12-21,10.7,10.7,10.6,10.7,513
CITY,2022-12-23,10.5,10.7,10.3,10.5,738
CITY,2022-12-26,10.65,10.65,10.5,10.65,6
CITY,2022-12-27,10.64,10.64,10.64,10.64,1
CITY,2022-12-28,10.65,10.65,10.64,10.65,592
CITY,2022-12-29,10.7,10.7,10.5,10.7,292
CITY,2022-12-30,10.7,10.7,10.7,10.7,290
CITY,2022-08-01,9.6,9.65,9.5,9.6,2631
CITY,2022-08-02,9.61,9.65,9.6,9.61,4646
CITY,2022-08-03,9.85,9.85,9.61,9.85,165
CITY,2022-08-04,10.1,10.2,9.69,10.1,226
CITY,2022-08-05,10.2,10.2,10.1,10.2,584
CITY,2022-08-08,10.2,10.2,10.2,10.2,6
CITY,2022-08-09,10.0,10.2,10.0,10.0,14
CITY,2022-08-10,10.2,10.2,10.0,10.2,1075
CITY,2022-08-11,10.2,10.2,10.0,10.2,431
CITY,2022-08-12,10.8,10.8,10.2,10.8,442
CITY,2022-08-15,11.44,11.44,10.79,11.44,42
CITY,2022-08-16,11.25,11.44,11.25,11.25,374
CITY,2022-08-17,11.2,11.25,11.17,11.2,151
CITY,2022-08-18,11.15,11.2,11.15,11.15,446
CITY,2022-08-19,11.0,11.17,10.9,11.0,4284
CITY,2022-08-22,11.0,11.0,11.0,11.0,13
CITY,2022-08-23,11.0,11.0,11.0,11.0,6
CITY,2022-08-24,10.99,11.0,10.98,10.99,41
CITY,2022-08-25,11.0,11.0,10.9,11.0,278
CITY,2022-08-26,11.0,11.0,11.0,11.0,10
CITY,2022-08-29,11.0,11.0,11.0,11.0,265
CITY,2022-08-30,10.99,11.0,10.85,10.99,586
CITY,2022-08-31,11.0,11.0,10.99,11.0,4
CITY,2022-09-01,10.51,11.0,10.51,10.51,667
CITY,2022-09-02,10.9,11.0,10.51,10.9,26
CITY,2022-09-05,10.7,10.99,10.51,10.7,229
CITY,2022-09-06,10.8,10.8,10.7,10.8,241
CITY,2022-09-07,10.95,10.99,10.75,10.95,3328
CITY,2022-09-08,10.98,10.98,10.8,10.98,8777
CITY,2022-09-09,11.0,11.0,10.95,11.0,5807
CITY,2022-09-12,11.0,11.0,10.96,11.0,15580
CITY,2022-09-13,11.1,11.1,11.0,11.1,1104
CITY,2022-09-14,11.2,11.45,11.1,11.2,594
CITY,2022-09-15,11.2,11.4,11.2,11.2,239
CITY,2022-09-16,11.3,11.39,11.2,11.3,179
CITY,2022-09-19,11.3,11.4,11.3,11.3,1140
CITY,2022-09-20,11.25,11.3,11.1,11.25,481
CITY,2022-09-21,11.3,11.3,11.25,11.3,2
CITY,2022-09-22,11.2,11.3,11.05,11.2,257
CITY,2022-09-23,11.2,11.25,11.02,11.2,759
CITY,2022-09-26,11.25,11.25,11.02,11.25,1070
CITY,2022-09-27,11.15,11.25,11.0,11.15,2255
CITY,2022-09-28,11.15,11.15,11.0,11.15,301
CITY,2022-09-29,11.19,11.2,11.0,11.19,5490
CITY,2022-09-30,11.2,11.2,11.03,11.2,3191
CITY,2022-10-03,11.2,11.2,11.2,11.2,1
CITY,2022-10-04,11.25,11.25,11.2,11.25,3017
CITY,2022-10-05,11.2,11.3,11.0,11.2,2004
CITY,2022-10-06,11.4,11.4,11.2,11.4,6
CITY,2022-10-07,11.5,11.5,11.01,11.5,1512
CITY,2022-10-10,11.5,11.5,11.5,11.5,105
CITY,2022-10-11,11.45,11.5,11.45,11.45,279
CITY,2022-10-12,11.5,11.5,11.45,11.5,7
CITY,2022-10-13,11.4,11.5,11.4,11.4,427
CITY,2022-10-14,11.4,11.4,11.4,11.4,5
CITY,2022-10-17,11.4,11.4,11.4,11.4,5
CITY,2022-10-18,11.25,11.4,11.25,11.25,30
CITY,2022-10-19,11.34,11.34,11.25,11.34,110
CITY,2022-10-20,11.3,11.34,11.1,11.3,202
CITY,2022-10-21,11.3,11.3,11.28,11.3,6231
CITY,2022-10-24,11.3,11.3,11.3,11.3,338
CITY,2022-05-09,12.25,12.4,12.15,12.25,4806
CITY,2022-05-10,12.25,12.38,12.15,12.25,1087
CITY,2022-05-11,12.03,12.35,12.0,12.03,2971
CITY,2022-05-12,12.18,12.3,12.03,12.18,159
CITY,2022-05-13,12.18,12.2,12.05,12.18,2493
CITY,2022-05-16,12.18,12.2,12.06,12.18,980
CITY,2022-05-17,12.19,12.33,12.08,12.19,2477
CITY,2022-05-18,12.2,12.3,12.05,12.2,1942
CITY,2022-05-19,12.2,12.29,12.1,12.2,2241
CITY,2022-05-20,12.1,12.2,11.95,12.1,1326
CITY,2022-05-23,12.1,12.19,11.91,12.1,834
CITY,2022-05-24,12.25,12.3,12.0,12.25,3099
CITY,2022-05-25,12.2,12.25,12.05,12.2,2459
CITY,2022-05-26,12.32,12.59,12.19,12.32,2678
CITY,2022-05-27,12.3,12.4,12.2,12.3,6514
CITY,2022-05-30,12.36,12.45,12.22,12.36,1975
CITY,2022-05-31,12.29,12.4,12.26,12.29,688
CITY,2022-06-01,12.35,12.4,12.35,12.35,3477
CITY,2022-06-02,12.39,12.45,12.36,12.39,1670
CITY,2022-06-03,12.35,12.45,12.35,12.35,4563
CITY,2022-06-06,12.35,12.45,12.35,12.35,478
CITY,2022-06-07,12.35,12.4,12.35,12.35,3218
CITY,2022-06-08,12.3,12.39,12.3,12.3,573
CITY,2022-06-09,12.25,12.35,12.25,12.25,283
CITY,2022-06-10,12.34,12.35,12.11,12.34,224
CITY,2022-06-13,12.29,12.3,12.1,12.29,1591
CITY,2022-06-14,12.25,12.29,12.25,12.25,369
CITY,2022-06-15,12.28,12.28,12.25,12.28,1335
CITY,2022-06-16,12.39,12.39,12.28,12.39,11
