Ticker,Date,Open,High,Low,Close,Volume
ELBEN,2019-08-14,1.96,1.96,1.96,1.96,40
ELBEN,2019-08-20,1.96,1.96,1.96,1.96,14
ELBEN,2019-09-03,1.96,1.96,1.96,1.96,1
ELBEN,2019-09-13,2.01,2.01,2.01,2.01,160
ELBEN,2019-09-16,2.01,2.01,2.01,2.01,180
ELBEN,2019-09-17,2.01,2.01,2.01,2.01,410
ELBEN,2019-09-18,2.01,2.01,2.01,2.01,300
ELBEN,2019-09-19,2.01,2.01,2.01,2.01,250
ELBEN,2019-09-26,2.07,2.07,2.07,2.07,10793
ELBEN,2019-10-14,2.28,2.28,2.28,2.28,20
ELBEN,2019-05-31,3.37,3.37,3.37,3.37,30
ELBEN,2019-06-12,3.34,3.34,3.34,3.34,1
ELBEN,2019-07-15,1.96,1.96,1.96,1.96,100
ELBEN,2019-03-27,1.24,1.24,1.24,1.24,300
ELBEN,2019-04-24,1.25,1.25,1.25,1.25,190
ELBEN,2018-12-07,2.9,2.9,2.9,2.9,11030
ELBEN,2018-09-24,3.06,3.06,3.06,3.06,11190
ELBEN,2018-09-27,3.06,3.06,3.06,3.06,20522
ELBEN,2018-06-04,3.85,3.85,3.85,3.85,20
ELBEN,2018-06-14,3.45,3.45,3.45,3.45,90
ELBEN,2018-06-19,3.55,3.65,3.55,3.65,480
ELBEN,2018-06-20,3.75,3.75,3.75,3.75,200
ELBEN,2018-03-08,3.47,3.47,3.47,3.47,50
ELBEN,2018-03-12,3.47,3.47,3.47,3.47,5000
ELBEN,2018-04-16,2.44,2.44,2.44,2.44,250
ELBEN,2018-04-20,2.85,2.85,2.85,2.85,30
ELBEN,2018-04-24,2.85,2.85,2.85,2.85,19
ELBEN,2017-12-04,3.69,3.69,3.69,3.69,50
ELBEN,2017-12-28,3.38,3.38,3.38,3.38,10
ELBEN,2017-12-29,3.48,3.58,3.48,3.58,205
ELBEN,2018-01-23,3.58,3.58,3.58,3.58,1990
ELBEN,2017-09-19,3.7,3.7,3.7,3.7,40
ELBEN,2017-12-04,3.69,3.69,3.69,3.69,50
ELBEN,2017-07-13,3.75,3.75,3.75,3.75,50
ELBEN,2017-07-17,3.86,3.86,3.86,3.86,30
ELBEN,2017-08-01,3.69,3.69,3.69,3.69,24400
ELBEN,2017-09-06,3.7,3.7,3.7,3.7,100
ELBEN,2017-03-24,3.48,3.48,3.48,3.48,48
ELBEN,2017-03-31,3.79,3.79,3.79,3.79,100
ELBEN,2017-04-17,2.95,2.95,2.95,2.95,100
ELBEN,2016-12-29,3.8,3.8,3.8,3.8,6193
ELBEN,2017-02-09,3.2,3.2,3.2,3.2,400
ELBEN,2017-03-21,3.38,3.38,3.38,3.38,898
ELBEN,2017-03-24,3.48,3.48,3.48,3.48,48
ELBEN,2016-10-07,3.0,3.0,3.0,3.0,100
ELBEN,2016-10-10,3.08,3.17,3.08,3.17,1654
ELBEN,2016-10-11,3.31,3.31,3.31,3.31,430
ELBEN,2016-10-12,3.35,3.35,3.23,3.23,300
ELBEN,2016-10-17,3.35,3.35,3.35,3.35,60
ELBEN,2016-10-18,3.35,3.35,3.35,3.35,87
ELBEN,2016-10-19,3.4,3.4,3.4,3.4,39
ELBEN,2016-10-20,3.65,3.65,3.65,3.65,290
ELBEN,2016-10-21,3.75,3.75,3.75,3.75,105
ELBEN,2016-10-24,3.86,3.97,3.86,3.9,268
ELBEN,2016-10-25,4.0,4.12,4.0,4.12,1302
ELBEN,2016-10-26,4.11,4.11,4.11,4.11,530
ELBEN,2016-10-27,4.09,4.09,4.09,4.09,1350
ELBEN,2016-10-28,4.1,4.1,3.98,3.98,1030
ELBEN,2016-10-31,4.09,4.09,4.09,4.09,200
ELBEN,2016-11-01,4.09,4.09,4.0,4.0,170
ELBEN,2016-11-02,4.0,4.0,4.0,4.0,4702
ELBEN,2016-11-04,4.0,4.0,4.0,4.0,50
ELBEN,2016-11-07,4.0,4.0,4.0,4.0,50
ELBEN,2016-11-08,3.77,3.77,3.77,3.77,90
ELBEN,2016-11-10,3.71,3.71,3.71,3.71,50
ELBEN,2016-11-11,3.93,3.93,3.93,3.93,25
ELBEN,2016-11-15,4.04,4.04,4.04,4.04,12
ELBEN,2016-11-21,3.92,3.92,3.92,3.92,33
ELBEN,2016-11-22,3.75,3.75,3.75,3.75,110
