Ticker,Date,Open,High,Low,Close,Volume
GIF,2022-10-24,0.48,0.48,0.47,0.48,2933
GIF,2022-10-25,0.49,0.49,0.48,0.49,700
GIF,2022-10-26,0.49,0.49,0.49,0.49,418
GIF,2022-11-01,0.43,0.45,0.43,0.43,8388
GIF,2022-11-07,0.48,0.48,0.47,0.48,355
GIF,2022-11-08,0.46,0.48,0.46,0.46,5000
GIF,2022-11-09,0.48,0.48,0.46,0.48,124
GIF,2022-11-14,0.46,0.46,0.46,0.46,900
GIF,2022-11-18,0.44,0.44,0.44,0.44,845
GIF,2022-11-22,0.44,0.45,0.44,0.44,250
GIF,2022-11-23,0.43,0.44,0.43,0.43,550
GIF,2022-11-24,0.42,0.43,0.42,0.42,5575
GIF,2022-11-25,0.42,0.42,0.42,0.42,100
GIF,2022-11-28,0.41,0.42,0.41,0.41,4950
GIF,2022-11-29,0.4,0.41,0.4,0.4,7892
GIF,2022-12-01,0.4,0.41,0.4,0.4,3800
GIF,2022-12-06,0.42,0.42,0.41,0.42,400
GIF,2022-12-07,0.42,0.42,0.42,0.42,545
GIF,2022-12-08,0.42,0.42,0.42,0.42,541
GIF,2022-12-09,0.42,0.42,0.42,0.42,633
GIF,2022-12-14,0.45,0.45,0.44,0.45,10
GIF,2022-12-16,0.44,0.45,0.44,0.44,45
GIF,2022-08-01,0.56,0.58,0.56,0.56,4011
GIF,2022-08-02,0.56,0.56,0.56,0.56,7075
GIF,2022-08-03,0.58,0.58,0.56,0.58,1140
GIF,2022-08-04,0.56,0.58,0.56,0.56,15397
GIF,2022-08-05,0.56,0.56,0.56,0.56,5627
GIF,2022-08-08,0.56,0.56,0.56,0.56,953
GIF,2022-08-09,0.56,0.56,0.56,0.56,637
GIF,2022-08-11,0.55,0.55,0.54,0.55,10670
GIF,2022-08-12,0.55,0.55,0.55,0.55,1800
GIF,2022-08-15,0.54,0.55,0.54,0.54,6416
GIF,2022-08-16,0.55,0.55,0.54,0.55,11468
GIF,2022-08-17,0.53,0.55,0.53,0.53,2000
GIF,2022-08-18,0.55,0.55,0.53,0.55,7803
GIF,2022-08-19,0.53,0.55,0.53,0.53,8480
GIF,2022-08-22,0.53,0.53,0.53,0.53,14915
GIF,2022-08-23,0.55,0.55,0.53,0.55,3010
GIF,2022-08-24,0.53,0.55,0.53,0.53,50
GIF,2022-08-25,0.55,0.55,0.53,0.55,4376
GIF,2022-08-26,0.55,0.55,0.55,0.55,7005
GIF,2022-08-29,0.56,0.56,0.55,0.56,8385
GIF,2022-08-30,0.54,0.56,0.54,0.54,1275
GIF,2022-08-31,0.53,0.54,0.53,0.53,11666
GIF,2022-09-01,0.53,0.53,0.53,0.53,5703
GIF,2022-09-02,0.54,0.54,0.53,0.54,15000
GIF,2022-09-05,0.54,0.54,0.54,0.54,12120
GIF,2022-09-06,0.53,0.54,0.53,0.53,5051
GIF,2022-09-07,0.52,0.53,0.52,0.52,3928
GIF,2022-09-08,0.5,0.52,0.5,0.5,7684
GIF,2022-09-12,0.52,0.52,0.52,0.52,2056
GIF,2022-09-15,0.46,0.48,0.46,0.46,9319
GIF,2022-09-16,0.47,0.47,0.46,0.47,14075
GIF,2022-09-19,0.47,0.47,0.47,0.47,4600
GIF,2022-09-20,0.49,0.49,0.47,0.49,565
GIF,2022-09-21,0.48,0.49,0.48,0.48,5408
