Ticker,Date,Open,High,Low,Close,Volume
HL,2022-10-24,4.55,4.58,4.55,4.55,2
HL,2022-10-25,4.54,4.55,4.54,4.54,1000
HL,2022-10-28,4.55,4.55,4.54,4.55,4090
HL,2022-10-31,4.55,4.55,4.55,4.55,4052
HL,2022-11-02,4.3,4.35,4.3,4.3,7099
HL,2022-11-03,4.11,4.3,4.11,4.11,6252
HL,2022-11-04,4.29,4.29,4.11,4.29,545
HL,2022-11-09,4.3,4.3,4.2,4.3,5150
HL,2022-11-10,4.3,4.3,4.3,4.3,100
HL,2022-11-15,4.3,4.3,4.3,4.3,800
HL,2022-11-17,4.12,4.3,4.12,4.12,38
HL,2022-11-21,4.29,4.29,4.12,4.29,50
HL,2022-11-24,4.29,4.29,4.29,4.29,4
HL,2022-11-29,4.15,4.29,4.15,4.15,1125
HL,2022-11-30,4.28,4.28,4.15,4.28,50
HL,2022-12-07,4.16,4.28,4.16,4.16,4
HL,2022-12-08,4.28,4.28,4.15,4.28,52
HL,2022-12-12,4.47,4.47,4.28,4.47,5100
HL,2022-12-16,4.4,4.47,4.4,4.4,200
HL,2022-12-23,4.15,4.21,4.15,4.15,2180
HL,2022-12-26,4.2,4.2,4.15,4.2,675
HL,2022-12-27,4.2,4.2,4.2,4.2,2218
HL,2022-12-29,4.38,4.38,4.2,4.38,2600
HL,2022-12-30,4.4,4.4,4.38,4.4,950
HL,2022-08-01,4.3,4.3,4.3,4.3,14005
HL,2022-08-02,4.3,4.3,4.3,4.3,4000
HL,2022-08-03,4.3,4.3,4.3,4.3,10
HL,2022-08-04,4.3,4.3,4.3,4.3,2500
HL,2022-08-05,4.3,4.3,4.3,4.3,594
HL,2022-08-08,4.3,4.3,4.3,4.3,2693
HL,2022-08-10,4.4,4.4,4.3,4.4,1519
HL,2022-08-11,4.45,4.45,4.4,4.45,1036
HL,2022-08-12,4.64,4.64,4.45,4.64,2336
HL,2022-08-22,4.44,4.64,4.44,4.44,6570
HL,2022-08-23,4.6,4.6,4.35,4.6,28690
HL,2022-08-30,4.58,4.6,4.58,4.58,200
HL,2022-08-31,4.4,4.58,4.4,4.4,1484
HL,2022-09-02,4.64,4.64,4.59,4.64,29890
