Ticker,Date,Open,High,Low,Close,Volume
LNDOR,2022-10-24,6.5,6.6,6.5,6.5,594
LNDOR,2022-10-25,6.59,6.6,6.59,6.59,531
LNDOR,2022-10-26,6.5,6.6,6.5,6.5,18
LNDOR,2022-10-27,6.6,6.6,6.6,6.6,1
LNDOR,2022-10-28,6.5,6.6,6.5,6.5,301
LNDOR,2022-10-31,6.37,6.5,6.37,6.37,32
LNDOR,2022-11-01,6.5,6.59,6.35,6.5,2629
LNDOR,2022-11-02,6.5,6.5,6.49,6.5,1000
LNDOR,2022-11-03,6.29,6.5,6.29,6.29,5040
LNDOR,2022-11-04,6.3,6.3,6.29,6.3,1358
LNDOR,2022-11-07,6.45,6.45,6.3,6.45,230
LNDOR,2022-11-08,6.4,6.45,6.4,6.4,747
LNDOR,2022-11-09,6.3,6.4,6.2,6.3,1456
LNDOR,2022-11-10,6.4,6.4,6.28,6.4,369
LNDOR,2022-11-11,6.39,6.4,6.3,6.39,1065
LNDOR,2022-11-16,6.2,6.39,6.1,6.2,868
LNDOR,2022-11-17,6.2,6.2,6.2,6.2,1966
LNDOR,2022-11-21,6.0,6.2,6.0,6.0,78263
LNDOR,2022-11-22,6.15,6.2,6.0,6.15,173
LNDOR,2022-11-23,6.2,6.2,6.15,6.2,3215
LNDOR,2022-11-24,6.2,6.2,6.15,6.2,3592
LNDOR,2022-11-25,6.57,6.57,6.2,6.57,15818
LNDOR,2022-11-28,6.65,6.95,6.57,6.65,20816
LNDOR,2022-11-29,6.52,6.65,6.41,6.52,8088
LNDOR,2022-11-30,6.65,6.65,6.52,6.65,1
LNDOR,2022-12-02,6.49,6.65,6.4,6.49,718
LNDOR,2022-12-05,6.64,6.64,6.49,6.64,5
LNDOR,2022-12-06,6.25,6.64,6.25,6.25,51927
LNDOR,2022-12-07,6.55,6.55,6.25,6.55,3400
LNDOR,2022-12-08,6.57,6.57,6.5,6.57,1
LNDOR,2022-12-09,6.3,6.57,6.3,6.3,1104
LNDOR,2022-12-12,6.3,6.3,6.3,6.3,1759
LNDOR,2022-12-13,6.49,6.49,6.3,6.49,1556
LNDOR,2022-12-14,6.3,6.49,6.3,6.3,721
LNDOR,2022-12-15,6.48,6.48,6.3,6.48,584
LNDOR,2022-12-16,6.3,6.48,6.3,6.3,1140
LNDOR,2022-12-19,6.22,6.4,6.2,6.22,3736
LNDOR,2022-12-20,6.4,6.4,6.22,6.4,312
LNDOR,2022-12-21,6.2,6.4,6.2,6.2,3544
LNDOR,2022-12-22,6.25,6.25,6.2,6.25,790
LNDOR,2022-12-23,6.25,6.25,6.25,6.25,400
LNDOR,2022-12-27,6.25,6.25,6.1,6.25,1071
LNDOR,2022-12-28,6.24,6.25,6.24,6.24,516
LNDOR,2022-12-29,6.25,6.25,6.16,6.25,43
LNDOR,2022-12-30,6.02,6.25,6.0,6.02,37079
LNDOR,2022-08-01,7.8,7.8,7.7,7.8,390
LNDOR,2022-08-02,7.8,7.8,7.8,7.8,2374
LNDOR,2022-08-03,7.85,7.85,7.8,7.85,1376
LNDOR,2022-08-04,8.0,8.0,7.85,8.0,620
LNDOR,2022-08-05,8.16,8.32,8.0,8.16,10994
LNDOR,2022-08-08,8.25,8.48,8.16,8.25,2425
LNDOR,2022-08-09,8.35,8.4,8.25,8.35,503
LNDOR,2022-08-10,8.35,8.35,8.35,8.35,500
LNDOR,2022-08-11,8.48,8.48,8.35,8.48,1227
LNDOR,2022-08-12,8.4,8.48,8.4,8.4,619
LNDOR,2022-08-15,8.4,8.48,8.4,8.4,774
LNDOR,2022-08-16,8.39,8.4,8.39,8.39,505
LNDOR,2022-08-17,8.2,8.39,8.2,8.2,850
LNDOR,2022-08-18,8.2,8.2,8.2,8.2,1350
LNDOR,2022-08-19,8.2,8.2,8.15,8.2,830
LNDOR,2022-08-22,8.2,8.3,8.2,8.2,1212
LNDOR,2022-08-23,8.19,8.2,8.1,8.19,540
LNDOR,2022-08-24,8.19,8.19,8.189,8.19,520
LNDOR,2022-08-25,8.0,8.19,8.0,8.0,737
LNDOR,2022-08-26,7.99,8.0,7.9,7.99,426
LNDOR,2022-08-29,7.71,7.99,7.68,7.71,33923
LNDOR,2022-08-30,7.8,8.09,7.71,7.8,17714
LNDOR,2022-08-31,7.76,7.8,7.76,7.76,3731
LNDOR,2022-09-01,7.76,7.8,7.75,7.76,7242
LNDOR,2022-09-02,7.68,7.76,7.68,7.68,5371
LNDOR,2022-09-05,7.65,7.78,7.65,7.65,45186
LNDOR,2022-09-06,7.63,7.75,7.55,7.63,1574
LNDOR,2022-09-07,7.68,7.7,7.6,7.68,4099
LNDOR,2022-09-08,7.67,7.68,7.52,7.67,2116
LNDOR,2022-09-09,7.26,7.67,7.26,7.26,6729
LNDOR,2022-09-12,7.3,7.3,7.14,7.3,1626
LNDOR,2022-09-13,7.25,7.3,7.18,7.25,2277
LNDOR,2022-09-14,7.0,7.25,7.0,7.0,3747
LNDOR,2022-09-15,7.02,7.14,7.0,7.02,22193
LNDOR,2022-09-16,7.1,7.1,6.92,7.1,7143
LNDOR,2022-09-19,6.94,7.1,6.94,6.94,4973
LNDOR,2022-09-20,6.97,6.97,6.92,6.97,507
LNDOR,2022-09-21,6.93,6.97,6.93,6.93,2435
LNDOR,2022-09-22,6.88,6.93,6.8,6.88,2804
LNDOR,2022-09-23,6.92,6.94,6.8,6.92,3303
LNDOR,2022-09-26,6.85,6.92,6.7,6.85,2595
LNDOR,2022-09-27,6.75,6.9,6.59,6.75,5832
LNDOR,2022-09-28,6.73,6.9,6.6,6.73,6746
LNDOR,2022-09-29,6.6,6.73,6.5,6.6,14248
LNDOR,2022-09-30,6.5,6.6,6.3,6.5,18612
LNDOR,2022-10-03,6.5,6.76,6.5,6.5,1116
LNDOR,2022-10-04,6.55,6.65,6.37,6.55,4718
LNDOR,2022-10-05,6.6,6.6,6.37,6.6,6503
