Ticker,Date,Open,High,Low,Close,Volume
LSTR,2022-11-02,0.31,0.32,0.31,0.31,4204
LSTR,2022-11-04,0.32,0.32,0.32,0.32,4450
LSTR,2022-11-08,0.31,0.31,0.31,0.31,7502
LSTR,2022-11-09,0.31,0.31,0.31,0.31,13455
LSTR,2022-11-11,0.3,0.3,0.3,0.3,3526
LSTR,2022-11-14,0.3,0.3,0.3,0.3,588
LSTR,2022-11-15,0.3,0.3,0.3,0.3,8116
LSTR,2022-11-21,0.3,0.3,0.3,0.3,1945
LSTR,2022-11-22,0.3,0.3,0.3,0.3,3000
LSTR,2022-11-23,0.3,0.3,0.3,0.3,3000
LSTR,2022-11-30,0.29,0.29,0.29,0.29,1200
LSTR,2022-12-02,0.28,0.29,0.28,0.28,500
LSTR,2022-12-06,0.28,0.28,0.28,0.28,10
LSTR,2022-12-13,0.26,0.27,0.26,0.26,101
LSTR,2022-12-14,0.26,0.26,0.26,0.26,521
LSTR,2022-12-15,0.26,0.26,0.26,0.26,80
LSTR,2022-12-23,0.26,0.26,0.25,0.26,330
LSTR,2022-12-28,0.29,0.29,0.28,0.29,3314
LSTR,2022-12-29,0.29,0.29,0.29,0.29,1202
LSTR,2022-08-08,0.74,0.75,0.74,0.74,70
LSTR,2022-08-10,0.74,0.74,0.74,0.74,141
LSTR,2022-08-15,0.77,0.77,0.74,0.77,100
LSTR,2022-08-18,0.77,0.77,0.74,0.77,100
LSTR,2022-08-22,0.75,0.77,0.75,0.75,539
LSTR,2022-08-23,0.74,0.75,0.74,0.74,500
LSTR,2022-08-24,0.74,0.74,0.74,0.74,650
LSTR,2022-08-29,0.71,0.74,0.71,0.71,121
LSTR,2022-08-30,0.7,0.71,0.7,0.7,111
LSTR,2022-08-31,0.68,0.7,0.68,0.68,114
LSTR,2022-09-01,0.66,0.68,0.66,0.66,5362
LSTR,2022-09-02,0.67,0.67,0.66,0.67,1000
LSTR,2022-09-05,0.66,0.67,0.66,0.66,2783
LSTR,2022-09-06,0.66,0.66,0.66,0.66,700
LSTR,2022-09-07,0.66,0.66,0.66,0.66,1681
LSTR,2022-09-09,0.62,0.64,0.62,0.62,356
LSTR,2022-09-12,0.62,0.62,0.62,0.62,2573
LSTR,2022-09-14,0.62,0.62,0.62,0.62,1000
LSTR,2022-09-15,0.62,0.62,0.62,0.62,7120
LSTR,2022-09-16,0.61,0.62,0.61,0.61,4550
LSTR,2022-09-19,0.61,0.61,0.61,0.61,28
LSTR,2022-09-20,0.59,0.61,0.59,0.59,3000
LSTR,2022-09-21,0.58,0.59,0.58,0.58,3000
LSTR,2022-09-23,0.58,0.58,0.58,0.58,10
LSTR,2022-09-26,0.56,0.58,0.56,0.56,2000
LSTR,2022-09-27,0.55,0.56,0.55,0.55,2025
LSTR,2022-10-03,0.54,0.55,0.54,0.54,600
LSTR,2022-10-19,0.39,0.4,0.39,0.39,8328
LSTR,2022-10-20,0.4,0.4,0.39,0.4,6100
LSTR,2022-05-11,0.7,0.73,0.7,0.7,7
LSTR,2022-05-17,0.7,0.7,0.67,0.7,1058
LSTR,2022-05-18,0.7,0.7,0.7,0.7,2300
LSTR,2022-05-23,0.68,0.7,0.68,0.68,573
LSTR,2022-05-24,0.68,0.68,0.68,0.68,151
LSTR,2022-05-25,0.69,0.69,0.68,0.69,150
LSTR,2022-05-26,0.69,0.69,0.69,0.69,520
LSTR,2022-05-27,0.69,0.69,0.69,0.69,200
LSTR,2022-05-30,0.7,0.7,0.69,0.7,1195
LSTR,2022-05-31,0.7,0.7,0.7,0.7,1052
LSTR,2022-06-02,0.73,0.73,0.73,0.73,100
LSTR,2022-06-03,0.76,0.76,0.73,0.76,109
LSTR,2022-06-06,0.77,0.77,0.76,0.77,389
LSTR,2022-06-08,0.8,0.8,0.8,0.8,222
LSTR,2022-06-10,0.83,0.83,0.83,0.83,33
LSTR,2022-06-23,0.74,0.77,0.74,0.74,426
LSTR,2022-06-24,0.74,0.74,0.74,0.74,100
LSTR,2022-06-29,0.73,0.74,0.73,0.73,400
LSTR,2022-07-04,0.77,0.77,0.76,0.77,70
LSTR,2022-07-15,0.76,0.77,0.76,0.76,1089
LSTR,2022-07-20,0.76,0.76,0.76,0.76,911
LSTR,2022-07-21,0.78,0.78,0.76,0.78,1
LSTR,2022-07-22,0.78,0.78,0.78,0.78,27
LSTR,2022-02-16,0.79,0.8,0.79,0.79,127
LSTR,2022-02-18,0.82,0.82,0.79,0.82,1771
LSTR,2022-02-21,0.82,0.82,0.82,0.82,401
LSTR,2022-02-22,0.85,0.85,0.82,0.85,200
LSTR,2022-02-25,0.88,0.88,0.85,0.88,2
LSTR,2022-02-28,0.9,0.9,0.88,0.9,409
LSTR,2022-03-01,0.91,0.91,0.9,0.91,552
LSTR,2022-03-02,0.93,0.93,0.91,0.93,8
LSTR,2022-03-04,0.93,0.93,0.93,0.93,100
LSTR,2022-03-14,0.93,0.93,0.91,0.93,22
LSTR,2022-03-22,0.89,0.93,0.89,0.89,500
LSTR,2022-03-24,0.93,0.93,0.89,0.93,1
LSTR,2022-03-29,0.93,0.93,0.93,0.93,101
LSTR,2022-04-07,0.94,0.94,0.93,0.94,2
LSTR,2022-04-11,0.93,0.94,0.93,0.93,300
LSTR,2022-04-19,0.88,0.89,0.88,0.88,998
LSTR,2022-04-21,0.88,0.88,0.88,0.88,30
LSTR,2022-04-22,0.88,0.88,0.88,0.88,2
LSTR,2022-04-25,0.88,0.88,0.88,0.88,1
LSTR,2022-04-26,0.88,0.88,0.88,0.88,500
LSTR,2021-11-30,0.83,0.83,0.83,0.83,100
LSTR,2021-12-01,0.81,0.83,0.81,0.81,500
LSTR,2021-12-02,0.8,0.81,0.8,0.8,2000
LSTR,2021-12-03,0.83,0.83,0.8,0.83,11
LSTR,2021-12-06,0.8,0.83,0.8,0.8,66
LSTR,2021-12-09,0.86,0.86,0.86,0.86,100
LSTR,2021-12-22,0.68,0.71,0.68,0.68,156
LSTR,2021-12-23,0.7,0.7,0.68,0.7,494
LSTR,2021-12-28,0.79,0.79,0.76,0.79,2
LSTR,2021-12-29,0.8,0.8,0.79,0.8,897
LSTR,2021-12-30,0.8,0.8,0.8,0.8,802
LSTR,2021-12-31,0.83,0.83,0.8,0.83,68
LSTR,2022-01-03,0.83,0.83,0.83,0.83,16
LSTR,2022-01-04,0.83,0.83,0.83,0.83,30
LSTR,2022-01-05,0.83,0.83,0.83,0.83,270
LSTR,2022-01-19,0.78,0.8,0.78,0.78,878
LSTR,2022-01-20,0.77,0.78,0.77,0.77,929
LSTR,2022-01-25,0.75,0.77,0.75,0.75,55
LSTR,2022-01-26,0.74,0.75,0.74,0.74,285
LSTR,2022-01-28,0.76,0.77,0.76,0.76,19
LSTR,2022-02-01,0.78,0.78,0.76,0.78,11
LSTR,2022-02-02,0.8,0.8,0.78,0.8,6
LSTR,2022-02-04,0.75,0.77,0.75,0.75,120
LSTR,2022-02-09,0.78,0.78,0.78,0.78,1
LSTR,2022-02-10,0.8,0.8,0.78,0.8,1
LSTR,2021-08-25,0.99,0.99,0.99,0.99,5068
LSTR,2021-09-10,1.02,1.02,1.02,1.02,6
LSTR,2021-09-30,1.01,1.01,1.01,1.01,10
LSTR,2021-10-05,1.0,1.01,1.0,1.0,994
LSTR,2021-10-06,0.96,1.0,0.96,0.96,374
LSTR,2021-10-07,1.0,1.0,0.96,1.0,5
LSTR,2021-10-13,1.0,1.0,1.0,1.0,1
LSTR,2021-10-20,0.92,0.96,0.92,0.92,200
LSTR,2021-10-21,0.95,0.95,0.92,0.95,1
LSTR,2021-10-27,0.94,0.95,0.94,0.94,1
LSTR,2021-11-01,0.9,0.94,0.9,0.9,150
LSTR,2021-11-03,0.9,0.9,0.9,0.9,186
LSTR,2021-11-04,0.89,0.9,0.89,0.89,677
LSTR,2021-11-08,0.86,0.89,0.86,0.86,484
LSTR,2021-11-10,0.86,0.86,0.86,0.86,550
LSTR,2021-11-12,0.86,0.86,0.86,0.86,129
LSTR,2021-06-01,1.0,1.0,0.98,0.98,993
LSTR,2021-06-07,1.02,1.05,1.01,1.05,13347
LSTR,2021-06-08,1.05,1.09,1.05,1.09,12688
LSTR,2021-06-09,1.1,1.13,1.1,1.13,11131
LSTR,2021-06-10,1.17,1.18,1.17,1.17,5808
LSTR,2021-06-11,1.14,1.14,1.11,1.11,1968
LSTR,2021-06-16,1.08,1.08,1.07,1.07,1156
LSTR,2021-06-17,1.1,1.1,1.1,1.1,5
LSTR,2021-06-21,1.06,1.06,1.06,1.06,200
LSTR,2021-06-22,1.05,1.09,1.03,1.09,5182
LSTR,2021-06-23,1.09,1.09,1.09,1.09,1
LSTR,2021-06-24,1.05,1.06,1.02,1.06,3793
LSTR,2021-06-25,1.03,1.06,1.03,1.06,1239
LSTR,2021-06-28,1.03,1.07,1.03,1.07,642
LSTR,2021-06-29,1.02,1.02,1.02,1.02,180
LSTR,2021-06-30,1.05,1.05,1.05,1.05,4
LSTR,2021-07-01,1.08,1.08,1.08,1.08,6
LSTR,2021-07-02,1.08,1.08,1.08,1.08,35
LSTR,2021-07-14,1.05,1.05,1.05,1.05,100
LSTR,2021-07-15,1.02,1.02,1.02,1.02,220
LSTR,2021-07-19,1.0,1.0,1.0,1.0,333
LSTR,2021-07-23,1.0,1.0,1.0,1.0,248
LSTR,2021-07-26,1.0,1.0,1.0,1.0,73
LSTR,2021-07-29,1.0,1.0,1.0,1.0,100
LSTR,2021-07-30,0.97,0.97,0.97,0.97,333
LSTR,2021-08-02,0.97,0.97,0.97,0.97,10312
LSTR,2021-08-03,0.99,0.99,0.99,0.99,4
LSTR,2021-08-05,1.04,1.04,1.04,1.04,10
LSTR,2021-08-06,1.03,1.03,1.03,1.03,30
LSTR,2021-08-23,1.0,1.0,1.0,1.0,5
LSTR,2021-08-24,1.0,1.0,1.0,1.0,20
LSTR,2021-08-25,0.99,0.99,0.99,0.99,5068
LSTR,2021-03-08,1.07,1.07,1.07,1.07,155
LSTR,2021-03-09,1.05,1.05,1.04,1.04,140
LSTR,2021-03-10,1.04,1.04,1.01,1.01,9370
LSTR,2021-03-11,1.0,1.04,0.98,1.04,7391
LSTR,2021-03-12,1.04,1.04,1.04,1.04,2121
LSTR,2021-03-15,1.04,1.04,1.01,1.01,1003
LSTR,2021-03-16,1.01,1.01,1.01,1.01,76
LSTR,2021-03-17,1.01,1.01,1.01,1.01,424
LSTR,2021-03-18,0.98,0.98,0.98,0.98,7591
LSTR,2021-03-19,0.98,0.98,0.98,0.98,1549
LSTR,2021-03-22,0.98,1.01,0.98,1.01,635
LSTR,2021-03-23,1.03,1.03,1.03,1.03,61
LSTR,2021-03-24,1.03,1.03,1.03,1.03,40
LSTR,2021-03-29,1.0,1.03,1.0,1.03,88
LSTR,2021-03-30,1.0,1.03,1.0,1.03,84
LSTR,2021-03-31,1.0,1.0,1.0,1.0,27
LSTR,2021-04-01,0.99,1.02,0.99,1.02,2880
LSTR,2021-04-05,1.0,1.0,1.0,1.0,744
LSTR,2021-04-06,0.99,1.0,0.97,1.0,7995
LSTR,2021-04-15,0.99,0.99,0.97,0.97,1038
LSTR,2021-04-16,0.97,0.97,0.97,0.97,23
LSTR,2021-04-19,1.0,1.0,1.0,1.0,2337
LSTR,2021-04-20,0.99,1.0,0.98,1.0,521
LSTR,2021-04-21,0.99,0.99,0.99,0.99,30
LSTR,2021-04-22,0.99,1.0,0.99,1.0,1956
LSTR,2021-04-23,1.0,1.0,1.0,1.0,203
