Ticker,Date,Open,High,Low,Close,Volume
MAG,2022-10-24,10.01,10.01,10.01,10.01,19
MAG,2022-11-15,10.99,10.99,10.93,10.99,8
MAG,2022-11-16,10.99,10.99,10.99,10.99,3
MAG,2022-11-22,10.99,10.99,10.99,10.99,69
MAG,2022-11-24,10.99,10.99,10.99,10.99,4
MAG,2022-12-06,10.01,10.03,10.01,10.01,14
MAG,2022-12-08,9.99,9.99,9.56,9.99,1
MAG,2022-12-09,9.99,9.99,9.99,9.99,75
MAG,2022-12-13,10.89,10.89,10.43,10.89,10
MAG,2022-12-15,10.98,10.98,10.89,10.98,10
MAG,2022-12-26,11.47,11.47,11.47,11.47,10
MAG,2022-12-30,10.96,11.47,10.96,10.96,500
MAG,2022-08-01,12.49,12.49,12.49,12.49,78
MAG,2022-08-03,12.49,12.49,12.49,12.49,18
MAG,2022-08-05,12.49,12.49,12.49,12.49,660
MAG,2022-08-08,12.03,12.49,12.03,12.03,100
MAG,2022-08-10,12.05,12.05,12.03,12.05,100
MAG,2022-08-19,12.59,12.59,12.05,12.59,2
MAG,2022-08-26,12.9,12.9,12.59,12.9,100
MAG,2022-09-01,12.32,12.32,12.32,12.32,700
MAG,2022-09-02,12.35,12.35,12.32,12.35,810
MAG,2022-09-05,12.35,12.35,12.35,12.35,488
MAG,2022-09-07,12.49,12.49,12.35,12.49,217
MAG,2022-09-08,12.5,12.5,12.49,12.5,353
MAG,2022-09-09,12.5,12.5,12.5,12.5,3
MAG,2022-09-20,12.3,12.5,12.3,12.3,220
MAG,2022-09-23,12.3,12.3,12.3,12.3,200
MAG,2022-09-26,12.25,12.3,12.25,12.25,220
MAG,2022-09-28,12.01,12.25,12.01,12.01,33
MAG,2022-09-30,12.01,12.01,12.01,12.01,15
MAG,2022-10-03,12.01,12.01,12.01,12.01,3
MAG,2022-10-07,11.51,12.01,11.51,11.51,103
MAG,2022-10-10,11.51,11.51,11.51,11.51,11
MAG,2022-10-12,11.01,11.51,11.01,11.01,18
MAG,2022-10-13,11.01,11.01,11.01,11.01,2
MAG,2022-10-18,10.1,10.52,10.1,10.1,50
MAG,2022-10-19,10.1,10.1,10.1,10.1,65
MAG,2022-10-20,10.01,10.1,10.01,10.01,10
MAG,2022-10-24,10.01,10.01,10.01,10.01,19
MAG,2022-05-10,12.0,12.0,11.9,12.0,100
MAG,2022-05-24,12.54,12.54,12.0,12.54,1
MAG,2022-05-25,13.05,13.05,12.54,13.05,1
MAG,2022-05-27,14.23,14.23,13.62,14.23,9
MAG,2022-06-03,14.22,14.22,14.22,14.22,7
MAG,2022-06-06,14.23,14.23,14.22,14.23,10
MAG,2022-06-24,14.6,15.28,14.6,14.6,200
MAG,2022-06-29,14.0,14.6,14.0,14.0,203
MAG,2022-07-01,13.01,13.5,13.01,13.01,588
MAG,2022-07-04,13.59,13.59,13.01,13.59,1
MAG,2022-07-07,13.03,13.59,13.03,13.03,72
MAG,2022-07-08,13.03,13.03,13.03,13.03,50
MAG,2022-07-11,13.03,13.03,13.03,13.03,3
MAG,2022-07-13,13.03,13.03,13.03,13.03,3
MAG,2022-07-14,13.03,13.03,13.03,13.03,540
MAG,2022-07-19,13.03,13.03,13.03,13.03,103
MAG,2022-07-21,13.5,13.5,13.03,13.5,1
MAG,2022-07-22,13.0,13.5,13.0,13.0,200
MAG,2022-07-26,12.42,13.0,12.42,12.42,2
MAG,2022-07-28,12.49,12.97,12.49,12.49,250
MAG,2022-02-16,13.38,14.0,13.38,13.38,57
MAG,2022-02-17,13.38,13.38,13.38,13.38,4
MAG,2022-02-18,13.38,13.38,13.38,13.38,34
MAG,2022-03-10,13.0,13.38,13.0,13.0,444
MAG,2022-03-11,13.0,13.0,13.0,13.0,50
MAG,2022-03-16,13.0,13.0,13.0,13.0,60
MAG,2022-03-17,13.0,13.0,13.0,13.0,1000
MAG,2022-03-23,12.43,12.97,12.43,12.43,345
MAG,2022-04-06,12.43,12.43,12.43,12.43,305
MAG,2022-04-08,12.43,12.43,12.43,12.43,306
MAG,2022-04-13,12.0,12.43,12.0,12.0,6
MAG,2022-04-14,12.0,12.0,12.0,12.0,3
MAG,2022-04-15,12.0,12.0,12.0,12.0,166
MAG,2022-04-19,11.66,12.0,11.66,11.66,203
MAG,2022-04-20,11.14,11.66,11.14,11.14,8
MAG,2022-04-25,11.14,11.14,11.14,11.14,213
MAG,2022-04-27,11.9,11.9,11.64,11.9,87
MAG,2021-11-22,16.0,16.0,15.4,16.0,34
MAG,2021-12-03,16.72,16.72,16.0,16.72,810
MAG,2021-12-21,16.65,16.72,16.65,16.65,15
MAG,2021-12-29,16.63,16.65,16.63,16.63,745
MAG,2021-12-30,16.63,16.63,16.63,16.63,75
MAG,2022-01-17,16.58,16.63,16.58,16.58,10
MAG,2022-01-31,15.84,15.84,15.84,15.84,130
MAG,2022-02-02,15.0,15.13,15.0,15.0,807
MAG,2022-02-03,15.0,15.0,15.0,15.0,30
MAG,2022-02-07,14.33,15.0,14.33,14.33,684
MAG,2022-02-10,14.0,14.33,14.0,14.0,172
MAG,2021-09-09,17.0,17.0,17.0,17.0,25
MAG,2021-09-16,17.5,17.5,17.5,17.5,4830
MAG,2021-09-29,17.0,17.0,17.0,17.0,25
MAG,2021-09-30,17.0,17.0,17.0,17.0,3
MAG,2021-10-01,17.0,17.0,17.0,17.0,1
MAG,2021-10-14,16.52,17.0,16.52,16.52,3
MAG,2021-10-19,16.0,16.52,16.0,16.0,5
MAG,2021-10-20,16.0,16.0,16.0,16.0,25
MAG,2021-10-28,15.9,16.0,15.9,15.9,3
MAG,2021-11-05,15.5,15.9,15.5,15.5,40
MAG,2021-11-15,15.4,15.5,15.4,15.4,10
MAG,2021-11-16,15.4,15.4,15.4,15.4,103
MAG,2021-06-01,17.7,17.7,17.7,17.7,395
MAG,2021-06-02,17.45,17.45,17.45,17.45,3749
MAG,2021-06-03,17.01,17.01,17.01,17.01,3
MAG,2021-06-04,16.49,16.49,16.49,16.49,27
MAG,2021-06-09,16.21,16.21,16.21,16.21,80
MAG,2021-06-10,16.5,16.5,16.5,16.5,1890
MAG,2021-06-11,16.5,16.5,16.5,16.5,3432
MAG,2021-06-16,17.0,17.0,17.0,17.0,595
MAG,2021-06-21,17.0,17.0,17.0,17.0,18070
MAG,2021-06-22,17.5,17.51,17.5,17.51,10303
MAG,2021-06-23,17.51,18.0,17.51,18.0,10019
MAG,2021-06-24,18.0,18.0,18.0,18.0,8
MAG,2021-06-25,18.0,18.0,18.0,18.0,1300
MAG,2021-06-28,18.0,18.0,18.0,18.0,55
MAG,2021-06-29,18.0,18.0,18.0,18.0,2209
MAG,2021-06-30,18.0,18.0,18.0,18.0,500
MAG,2021-07-01,18.0,18.0,18.0,18.0,2050
MAG,2021-07-02,18.01,18.01,18.01,18.01,590
MAG,2021-07-06,18.0,18.01,18.0,18.01,7659
MAG,2021-07-07,18.0,18.0,18.0,18.0,11066
MAG,2021-07-08,18.0,18.01,18.0,18.01,1708
MAG,2021-07-09,18.02,18.02,18.02,18.02,997
MAG,2021-07-12,18.0,18.0,18.0,18.0,1580
MAG,2021-07-13,18.5,18.5,18.5,18.5,30
MAG,2021-07-14,18.5,18.5,18.5,18.5,100
MAG,2021-07-27,18.0,18.0,18.0,18.0,4732
MAG,2021-07-28,18.0,18.0,18.0,18.0,473
MAG,2021-08-05,18.0,18.0,18.0,18.0,50
MAG,2021-08-06,18.0,18.0,18.0,18.0,43307
MAG,2021-08-09,18.0,18.0,18.0,18.0,250
MAG,2021-03-09,18.3,18.3,18.3,18.3,504
MAG,2021-03-10,18.3,18.3,18.3,18.3,192
MAG,2021-03-11,18.3,18.3,18.3,18.3,808
MAG,2021-03-16,18.3,18.3,18.3,18.3,800
MAG,2021-03-17,18.3,18.3,18.3,18.3,110
MAG,2021-03-18,18.3,18.3,18.3,18.3,90
MAG,2021-03-19,18.29,18.29,18.29,18.29,162
MAG,2021-03-23,18.5,18.5,18.5,18.5,3210
MAG,2021-03-24,18.5,18.5,18.3,18.3,118
MAG,2021-03-25,18.29,18.29,18.29,18.29,20
MAG,2021-03-26,17.75,17.75,17.75,17.75,68
MAG,2021-03-30,17.75,17.75,17.75,17.75,500
MAG,2021-03-31,17.61,17.61,17.61,17.61,151
MAG,2021-04-06,17.65,17.65,17.65,17.65,130
MAG,2021-04-07,17.65,17.65,17.65,17.65,376
MAG,2021-04-08,17.99,17.99,17.99,17.99,4310
