Ticker,Date,Open,High,Low,Close,Volume
MGR,2022-10-24,4.89,4.9,4.83,4.89,1303
MGR,2022-10-25,4.87,4.9,4.82,4.87,3637
MGR,2022-10-26,5.03,5.03,4.8,5.03,12623
MGR,2022-10-27,4.98,5.03,4.9,4.98,1261
MGR,2022-10-28,4.9,4.98,4.85,4.9,3265
MGR,2022-10-31,4.8,4.9,4.75,4.8,7564
MGR,2022-11-01,4.87,4.9,4.8,4.87,3450
MGR,2022-11-02,4.84,4.87,4.7,4.84,15082
MGR,2022-11-03,4.83,4.86,4.7,4.83,6478
MGR,2022-11-04,4.79,4.83,4.7,4.79,2232
MGR,2022-11-07,4.8,4.81,4.72,4.8,1966
MGR,2022-11-08,4.79,4.89,4.79,4.79,15048
MGR,2022-11-09,4.81,4.85,4.7,4.81,29500
MGR,2022-11-10,4.79,4.84,4.7,4.79,15076
MGR,2022-11-11,4.72,4.83,4.72,4.72,19489
MGR,2022-11-14,4.79,4.8,4.7,4.79,13691
MGR,2022-11-15,4.85,4.9,4.7,4.85,6257
MGR,2022-11-16,4.85,4.88,4.79,4.85,1026
MGR,2022-11-17,4.81,4.9,4.7,4.81,27221
MGR,2022-11-18,4.78,4.83,4.7,4.78,26563
MGR,2022-11-21,4.77,4.78,4.71,4.77,500
MGR,2022-11-22,4.8,4.82,4.7,4.8,21567
MGR,2022-11-23,4.85,4.87,4.73,4.85,4880
MGR,2022-11-24,4.9,4.9,4.8,4.9,29671
MGR,2022-11-25,4.88,5.03,4.88,4.88,5104
MGR,2022-11-28,5.0,5.0,4.88,5.0,1000
MGR,2022-11-29,5.04,5.04,4.9,5.04,6084
MGR,2022-11-30,5.07,5.07,4.9,5.07,13390
MGR,2022-12-01,5.1,5.1,5.07,5.1,1535
MGR,2022-12-02,5.11,5.12,5.0,5.11,1114
MGR,2022-12-05,5.04,5.11,5.0,5.04,1684
MGR,2022-12-06,4.98,5.09,4.9,4.98,1678
MGR,2022-12-07,5.04,5.04,4.91,5.04,20500
MGR,2022-12-08,4.95,5.06,4.95,4.95,1088
MGR,2022-12-09,4.97,5.1,4.97,4.97,3107
MGR,2022-12-12,5.1,5.1,4.96,5.1,2628
MGR,2022-12-13,5.08,5.11,5.0,5.08,15636
MGR,2022-12-14,5.05,5.1,5.0,5.05,12869
