Ticker,Date,Open,High,Low,Close,Volume
MNP,2022-10-24,5.85,5.85,5.8,5.85,29164
MNP,2022-10-25,5.85,5.9,5.8,5.85,4361
MNP,2022-10-26,5.9,5.9,5.85,5.9,5
MNP,2022-10-27,5.7,5.8,5.7,5.7,8389
MNP,2022-10-28,5.8,5.8,5.7,5.8,2062
MNP,2022-10-31,5.99,6.0,5.8,5.99,670
MNP,2022-11-03,5.79,5.9,5.79,5.79,7
MNP,2022-11-04,5.79,5.79,5.78,5.79,3337
MNP,2022-11-07,5.85,5.85,5.79,5.85,70
MNP,2022-11-08,5.64,5.85,5.64,5.64,880
MNP,2022-11-09,5.64,5.8,5.64,5.64,4255
MNP,2022-11-10,5.9,5.9,5.64,5.9,20869
MNP,2022-11-11,6.1,6.25,5.9,6.1,10901
MNP,2022-11-14,6.3,6.3,5.9,6.3,75
MNP,2022-11-15,6.1,6.2,6.08,6.1,7261
MNP,2022-11-16,6.1,6.1,5.99,6.1,120
MNP,2022-11-17,5.82,6.2,5.82,5.82,7520
MNP,2022-11-18,6.14,6.14,5.64,6.14,82
MNP,2022-11-21,5.8,6.18,5.8,5.8,7
MNP,2022-11-22,6.0,6.0,5.8,6.0,3000
MNP,2022-11-23,6.01,6.04,6.0,6.01,4212
MNP,2022-11-24,6.0,6.09,6.0,6.0,1335
MNP,2022-11-25,6.0,6.0,6.0,6.0,10
MNP,2022-11-28,6.0,6.0,6.0,6.0,1921
MNP,2022-11-30,6.0,6.0,6.0,6.0,1018
MNP,2022-12-02,6.0,6.0,6.0,6.0,987
MNP,2022-12-05,6.0,6.0,6.0,6.0,1300
MNP,2022-12-06,6.0,6.0,6.0,6.0,10923
MNP,2022-12-07,6.01,6.01,6.0,6.01,1239
MNP,2022-12-08,6.02,6.02,6.01,6.02,344
MNP,2022-12-09,6.01,6.02,6.01,6.01,2419
MNP,2022-12-12,6.0,6.01,6.0,6.0,2000
MNP,2022-12-13,6.0,6.0,6.0,6.0,3000
MNP,2022-12-15,6.0,6.01,6.0,6.0,2595
MNP,2022-12-16,6.01,6.03,6.0,6.01,3580
MNP,2022-12-19,6.02,6.02,6.01,6.02,1726
MNP,2022-12-20,6.05,6.05,6.01,6.05,3056
MNP,2022-12-21,6.05,6.05,6.01,6.05,2600
MNP,2022-12-22,6.07,6.07,6.05,6.07,100
MNP,2022-12-23,6.08,6.13,6.08,6.08,15195
MNP,2022-12-26,6.01,6.08,6.0,6.01,3850
MNP,2022-12-27,6.09,6.09,6.01,6.09,2116
MNP,2022-12-29,6.1,6.1,6.09,6.1,750
MNP,2022-08-01,4.8,4.95,4.8,4.8,6217
MNP,2022-08-02,4.8,4.93,4.74,4.8,7838
MNP,2022-08-03,4.79,5.0,4.75,4.79,4488
MNP,2022-08-04,4.94,4.94,4.79,4.94,2
MNP,2022-08-05,4.8,4.94,4.8,4.8,35
MNP,2022-08-08,4.8,4.8,4.8,4.8,686
MNP,2022-08-09,4.8,4.99,4.8,4.8,16123
MNP,2022-08-10,4.8,4.8,4.8,4.8,5
MNP,2022-08-11,4.91,4.94,4.8,4.91,300
MNP,2022-08-15,4.85,4.91,4.85,4.85,150
MNP,2022-08-16,4.85,4.85,4.76,4.85,176
MNP,2022-08-17,4.84,4.85,4.84,4.84,246
MNP,2022-09-23,5.81,5.81,5.5,5.81,709692
MNP,2022-09-26,5.52,5.81,5.51,5.52,45504
MNP,2022-09-27,5.51,5.52,5.51,5.51,163102
