Ticker,Date,Open,High,Low,Close,Volume
NBL,2022-10-24,4.75,4.9,4.75,4.75,54
NBL,2022-10-25,4.89,4.9,4.75,4.89,214
NBL,2022-10-26,4.94,5.05,4.8,4.94,202657
NBL,2022-10-27,5.08,5.09,5.05,5.08,76
NBL,2022-10-28,5.07,5.08,5.07,5.07,1200
NBL,2022-10-31,4.8,5.07,4.8,4.8,1
NBL,2022-11-01,5.0,5.04,4.8,5.0,367
NBL,2022-11-02,5.03,5.03,5.0,5.03,49
NBL,2022-11-03,4.9,5.03,4.9,4.9,516
NBL,2022-11-04,4.9,5.02,4.9,4.9,1425
NBL,2022-11-07,4.71,5.0,4.71,4.71,17
NBL,2022-11-09,5.0,5.03,4.95,5.0,237
NBL,2022-11-10,5.02,5.02,5.0,5.02,1
NBL,2022-11-11,4.87,5.02,4.87,4.87,3577
NBL,2022-11-14,5.0,5.03,5.0,5.0,465
NBL,2022-11-15,5.0,5.0,4.99,5.0,2186
NBL,2022-11-16,5.0,5.0,4.95,5.0,176
NBL,2022-11-17,4.95,5.03,4.9,4.95,1080
NBL,2022-11-18,5.0,5.02,4.85,5.0,1257
NBL,2022-11-21,5.02,5.03,5.0,5.02,1142
NBL,2022-11-22,5.01,5.02,5.01,5.01,62
NBL,2022-11-23,5.01,5.01,5.01,5.01,20
NBL,2022-11-24,5.01,5.01,5.01,5.01,42
NBL,2022-11-25,5.01,5.01,5.01,5.01,1
NBL,2022-11-28,5.03,5.03,5.0,5.03,14
NBL,2022-11-29,5.03,5.03,5.03,5.03,2
NBL,2022-11-30,5.02,5.03,5.02,5.02,150
NBL,2022-12-01,5.09,5.09,5.02,5.09,6
NBL,2022-12-02,5.0,5.08,4.9,5.0,213
NBL,2022-12-05,5.02,5.02,5.0,5.02,2250
NBL,2022-12-06,5.0,5.0,5.0,5.0,30
NBL,2022-12-07,5.0,5.0,4.9,5.0,50
NBL,2022-12-09,5.0,5.0,4.9,5.0,19
NBL,2022-12-12,4.99,5.0,4.7,4.99,4030
NBL,2022-12-13,4.99,4.99,4.99,4.99,24
NBL,2022-12-16,4.95,4.99,4.95,4.95,150
NBL,2022-12-19,4.95,4.95,4.95,4.95,95
NBL,2022-12-20,4.94,4.95,4.93,4.94,457
NBL,2022-12-21,4.94,4.94,4.94,4.94,35
NBL,2022-12-22,4.9,4.94,4.9,4.9,130
NBL,2022-12-23,4.94,4.94,4.9,4.94,50
NBL,2022-12-26,4.94,4.94,4.92,4.94,62
NBL,2022-12-27,4.98,4.99,4.94,4.98,332
NBL,2022-12-28,4.73,4.98,4.72,4.73,1986
NBL,2022-12-29,4.98,4.99,4.9,4.98,210
NBL,2022-12-30,4.98,4.98,4.97,4.98,1091
NBL,2022-08-01,5.08,5.2,5.06,5.08,4207
NBL,2022-08-02,5.15,5.15,5.06,5.15,9400
NBL,2022-08-03,5.2,5.2,5.05,5.2,17881
NBL,2022-08-04,5.24,5.24,5.18,5.24,6325
NBL,2022-08-05,5.24,5.24,5.2,5.24,3623
NBL,2022-08-08,5.23,5.24,5.23,5.23,2420
NBL,2022-08-09,5.35,5.35,5.23,5.35,11121
NBL,2022-08-10,5.4,5.4,5.3,5.4,3005
NBL,2022-08-11,5.48,5.5,5.4,5.48,3208
NBL,2022-08-12,5.48,5.5,5.4,5.48,2066
NBL,2022-08-15,5.49,5.49,5.48,5.49,933
NBL,2022-08-16,5.49,5.5,5.45,5.49,2897
NBL,2022-08-17,5.6,5.6,5.45,5.6,5036
NBL,2022-08-18,5.6,5.6,5.5,5.6,3069
NBL,2022-08-19,5.6,5.6,5.5,5.6,2032
NBL,2022-08-23,5.55,5.6,5.45,5.55,2589
NBL,2022-08-24,5.5,5.55,5.5,5.5,3678
NBL,2022-08-25,5.49,5.5,5.45,5.49,3085
NBL,2022-08-26,5.48,5.49,5.4,5.48,436
NBL,2022-08-29,5.53,5.55,5.45,5.53,7711
NBL,2022-08-30,5.41,5.55,5.4,5.41,5315
NBL,2022-08-31,5.5,5.55,5.41,5.5,3025
NBL,2022-09-01,5.49,5.54,5.49,5.49,2001
NBL,2022-09-02,5.48,5.49,5.36,5.48,3675
NBL,2022-09-05,5.34,5.48,5.3,5.34,5615
NBL,2022-09-06,5.26,5.34,5.17,5.26,16057
NBL,2022-09-07,5.16,5.41,5.15,5.16,3727
NBL,2022-09-08,5.13,5.24,5.13,5.13,4365
NBL,2022-09-09,5.2,5.2,5.13,5.2,236
NBL,2022-09-12,5.19,5.2,5.13,5.19,433
NBL,2022-09-13,5.2,5.2,5.16,5.2,1684
NBL,2022-09-14,5.25,5.25,5.18,5.25,7227
NBL,2022-09-15,5.19,5.28,5.15,5.19,1161
NBL,2022-09-16,5.19,5.19,5.19,5.19,2905
NBL,2022-09-19,5.19,5.19,5.18,5.19,1416
NBL,2022-09-20,5.19,5.19,5.13,5.19,2339
NBL,2022-09-21,5.44,5.45,5.19,5.44,9250
NBL,2022-09-22,5.55,5.58,5.44,5.55,16937
NBL,2022-09-23,5.53,5.55,5.47,5.53,1080
NBL,2022-09-26,5.11,5.25,5.03,5.11,2489
NBL,2022-09-27,5.08,5.12,5.0,5.08,3345
NBL,2022-09-28,4.99,5.08,4.9,4.99,3974
NBL,2022-09-29,4.88,4.99,4.88,4.88,1898
NBL,2022-09-30,4.8,4.9,4.8,4.8,2226
NBL,2022-10-03,4.91,4.91,4.75,4.91,3418
NBL,2022-10-04,4.91,4.91,4.91,4.91,57
NBL,2022-10-05,4.76,4.91,4.62,4.76,6385
NBL,2022-10-06,4.88,4.91,4.7,4.88,612
NBL,2022-10-07,4.87,4.88,4.87,4.87,367
NBL,2022-10-10,4.91,5.05,4.87,4.91,2376
NBL,2022-10-11,4.9,5.04,4.89,4.9,1988
NBL,2022-10-12,4.89,4.9,4.89,4.89,605
NBL,2022-10-13,4.89,5.05,4.89,4.89,2096
NBL,2022-10-14,4.99,5.08,4.89,4.99,1094
NBL,2022-10-17,4.9,5.09,4.9,4.9,135730
NBL,2022-10-18,4.92,4.92,4.89,4.92,3290
NBL,2022-10-19,4.9,4.94,4.9,4.9,701
NBL,2022-10-20,4.79,4.9,4.61,4.79,1801
NBL,2022-10-21,4.75,4.79,4.63,4.75,63
NBL,2022-10-24,4.75,4.9,4.75,4.75,54
NBL,2022-05-09,6.09,6.41,6.09,6.09,986
NBL,2022-05-10,6.16,6.17,5.83,6.16,350
NBL,2022-05-11,6.0,6.16,6.0,6.0,601
NBL,2022-05-12,6.0,6.1,5.88,6.0,208
NBL,2022-05-13,6.0,6.16,6.0,6.0,877
NBL,2022-05-16,6.05,6.16,6.0,6.05,2968
NBL,2022-05-17,6.05,6.16,6.05,6.05,4632
NBL,2022-05-18,6.0,6.16,5.99,6.0,3765
NBL,2022-05-19,6.1,6.1,5.96,6.1,2935
NBL,2022-05-20,6.28,6.28,6.1,6.28,3058
NBL,2022-05-23,6.4,6.4,6.28,6.4,16
NBL,2022-05-24,6.4,6.46,6.4,6.4,3980
NBL,2022-05-25,6.35,6.43,6.32,6.35,2237
NBL,2022-05-26,6.39,6.42,6.21,6.39,1293
NBL,2022-05-27,6.24,6.41,6.24,6.24,857
NBL,2022-05-30,6.35,6.43,6.29,6.35,553
NBL,2022-05-31,6.36,6.42,6.21,6.36,2561
NBL,2022-06-01,6.28,6.45,6.23,6.28,3887
NBL,2022-06-02,6.25,6.28,6.2,6.25,757
NBL,2022-06-03,6.29,6.29,6.25,6.29,3
NBL,2022-06-06,6.29,6.29,6.17,6.29,574
NBL,2022-06-07,6.2,6.29,6.16,6.2,1803
NBL,2022-06-08,6.19,6.25,6.19,6.19,3565
NBL,2022-06-09,6.18,6.24,6.11,6.18,317
NBL,2022-06-10,5.97,6.25,5.92,5.97,5093
NBL,2022-06-13,5.93,6.29,5.92,5.93,2692
NBL,2022-06-14,6.12,6.12,6.0,6.12,931
NBL,2022-06-15,5.96,6.12,5.96,5.96,36
NBL,2022-06-16,5.95,6.1,5.95,5.95,3202
NBL,2022-06-17,6.0,6.0,6.0,6.0,6460
NBL,2022-06-21,5.91,6.0,5.9,5.91,6624
NBL,2022-06-22,5.9,6.09,5.9,5.9,3311
NBL,2022-06-23,5.98,6.1,5.9,5.98,630
NBL,2022-06-24,5.85,5.95,5.85,5.85,4429
NBL,2022-06-27,6.09,6.14,6.0,6.09,60
NBL,2022-06-28,5.91,6.09,5.88,5.91,3046
NBL,2022-06-29,5.96,6.1,5.87,5.96,38256
NBL,2022-06-30,6.04,6.09,5.95,6.04,4600
NBL,2022-07-01,5.9,6.04,5.9,5.9,5169
NBL,2022-07-04,5.98,5.99,5.9,5.98,22
NBL,2022-07-05,5.7,5.98,5.7,5.7,59867
NBL,2022-07-06,5.7,5.7,5.59,5.7,407
NBL,2022-07-07,5.7,5.7,5.6,5.7,3674
NBL,2022-07-08,5.7,5.7,5.7,5.7,300
NBL,2022-07-11,5.6,5.7,5.6,5.6,417
NBL,2022-07-12,5.5,5.6,5.27,5.5,5908
NBL,2022-07-13,5.4,5.5,5.2,5.4,17857
NBL,2022-07-14,5.5,5.56,5.2,5.5,5268
NBL,2022-07-15,5.26,5.5,5.26,5.26,228
NBL,2022-07-18,5.5,5.5,5.26,5.5,3642
NBL,2022-07-19,5.45,5.56,5.45,5.45,4097
NBL,2022-07-20,5.13,5.45,5.13,5.13,6979
NBL,2022-07-21,5.2,5.2,5.0,5.2,11065
NBL,2022-07-22,5.25,5.25,5.1,5.25,12588
NBL,2022-07-26,5.35,5.35,5.2,5.35,1533
NBL,2022-07-27,5.24,5.35,5.13,5.24,6911
NBL,2022-07-28,5.24,5.24,5.1,5.24,9384
NBL,2022-07-29,5.13,5.24,5.0,5.13,50105
NBL,2022-02-11,6.62,6.64,6.62,6.62,2916
NBL,2022-02-14,6.6,6.67,6.6,6.6,2436
NBL,2022-02-15,6.6,6.67,6.6,6.6,2024
NBL,2022-02-16,6.6,6.67,6.6,6.6,301
NBL,2022-02-17,6.79,6.79,6.5,6.79,2591
NBL,2022-02-18,7.1,7.1,6.78,7.1,217218
NBL,2022-02-21,7.15,7.29,7.0,7.15,19925
NBL,2022-02-22,7.33,7.33,7.15,7.33,23575
NBL,2022-02-23,7.35,7.4,7.26,7.35,21244
NBL,2022-02-24,7.08,7.35,6.92,7.08,31336
NBL,2022-02-25,7.0,7.2,6.92,7.0,6338
NBL,2022-02-28,6.85,7.0,6.85,6.85,10971
NBL,2022-03-01,7.0,7.12,6.85,7.0,4506
NBL,2022-03-02,6.69,7.0,6.69,6.69,10193
NBL,2022-03-03,6.6,6.69,6.6,6.6,2354
NBL,2022-03-04,6.5,6.6,6.46,6.5,5115
NBL,2022-03-07,6.46,6.64,6.21,6.46,10904
NBL,2022-03-08,6.4,6.64,6.35,6.4,7412
NBL,2022-03-09,6.3,6.4,6.3,6.3,9837
NBL,2022-03-10,6.2,6.3,6.18,6.2,7184
NBL,2022-03-11,6.15,6.2,6.08,6.15,1139
NBL,2022-03-14,6.49,6.49,6.15,6.49,7065
NBL,2022-03-15,6.55,6.59,6.34,6.55,6994
NBL,2022-03-16,6.46,6.55,6.46,6.46,4426
NBL,2022-03-18,6.29,6.46,6.26,6.29,716
NBL,2022-03-21,6.35,6.42,6.29,6.35,74
NBL,2022-03-22,6.25,6.43,6.2,6.25,2653
NBL,2022-03-23,6.44,6.44,6.25,6.44,1
NBL,2022-03-25,6.44,6.44,6.15,6.44,901
NBL,2022-03-29,6.3,6.44,6.3,6.3,85
NBL,2022-04-01,6.3,6.3,6.1,6.3,10
NBL,2022-04-06,6.3,6.3,6.3,6.3,1600
NBL,2022-04-07,6.2,6.3,6.2,6.2,2323
NBL,2022-04-08,6.44,6.44,6.2,6.44,4348
NBL,2022-04-11,6.41,6.44,6.4,6.41,5040
NBL,2022-04-12,6.44,6.44,6.41,6.44,13
NBL,2022-04-13,6.49,6.49,6.44,6.49,10
NBL,2022-04-14,6.7,6.7,6.49,6.7,1391
NBL,2022-04-18,6.7,6.7,6.69,6.7,130052
NBL,2022-04-19,6.57,6.7,6.57,6.57,1107
NBL,2022-04-20,6.67,6.69,6.56,6.67,1043
NBL,2022-04-21,6.66,6.67,6.66,6.66,5
NBL,2022-04-22,6.6,6.66,6.6,6.6,300
NBL,2022-04-25,6.5,6.65,6.5,6.5,1441
NBL,2022-04-26,6.35,6.5,6.35,6.35,315
NBL,2022-04-27,6.29,6.49,6.29,6.29,3
NBL,2022-04-28,6.09,6.29,6.09,6.09,4348
NBL,2022-04-29,6.2,6.44,6.09,6.2,1565
NBL,2022-05-04,6.32,6.32,6.2,6.32,52
NBL,2022-05-05,6.55,6.55,6.32,6.55,1
NBL,2022-05-06,6.2,6.55,6.2,6.2,1732
NBL,2021-11-18,5.45,5.46,5.44,5.45,851
NBL,2021-11-19,5.46,5.46,5.4,5.46,447
NBL,2021-11-22,5.44,5.46,5.39,5.44,2904
NBL,2021-11-23,5.47,5.47,5.44,5.47,1
NBL,2021-11-24,5.47,5.48,5.47,5.47,3312
NBL,2021-11-25,5.47,5.48,5.41,5.47,1980
NBL,2021-11-26,5.47,5.47,5.42,5.47,631
NBL,2021-11-29,5.47,5.47,5.47,5.47,1
NBL,2021-11-30,5.47,5.47,5.4,5.47,1870
NBL,2021-12-01,5.46,5.47,5.4,5.46,654
NBL,2021-12-02,5.47,5.47,5.36,5.47,729
NBL,2021-12-03,5.45,5.47,5.4,5.45,670
NBL,2021-12-06,5.4,5.48,5.4,5.4,121
NBL,2021-12-07,5.45,5.45,5.4,5.45,1
NBL,2021-12-08,5.44,5.45,5.44,5.44,10
NBL,2021-12-09,5.43,5.45,5.25,5.43,878
NBL,2021-12-10,5.42,5.46,5.42,5.42,598
NBL,2021-12-13,5.44,5.45,5.26,5.44,1614
NBL,2021-12-14,5.35,5.44,5.3,5.35,4111
NBL,2021-12-15,5.35,5.43,5.34,5.35,1716
NBL,2021-12-20,5.34,5.35,5.34,5.34,520
NBL,2021-12-21,5.33,5.34,5.25,5.33,175
NBL,2021-12-22,5.33,5.34,5.33,5.33,151
NBL,2021-12-23,5.32,5.33,5.23,5.32,254
NBL,2021-12-27,5.34,5.34,5.3,5.34,900
NBL,2021-12-28,5.43,5.43,5.34,5.43,3276
NBL,2021-12-29,5.48,5.48,5.41,5.48,2311
NBL,2021-12-30,5.47,5.48,5.38,5.47,525
NBL,2021-12-31,5.48,5.5,5.35,5.48,19780
NBL,2022-01-03,5.8,5.8,5.48,5.8,24644
NBL,2022-01-04,5.94,6.09,5.8,5.94,15311
NBL,2022-01-05,5.82,5.94,5.69,5.82,6826
NBL,2022-01-06,5.9,5.9,5.72,5.9,414
NBL,2022-01-07,5.8,5.9,5.7,5.8,4974
NBL,2022-01-10,5.77,5.9,5.7,5.77,5906
NBL,2022-01-11,5.8,5.9,5.75,5.8,4983
NBL,2022-01-12,5.78,5.89,5.75,5.78,2663
NBL,2022-01-13,5.77,5.79,5.75,5.77,5749
NBL,2022-01-14,5.78,5.78,5.7,5.78,6323
NBL,2022-01-17,5.79,5.79,5.7,5.79,39513
NBL,2022-01-18,5.76,5.79,5.69,5.76,508
NBL,2022-01-19,5.76,5.76,5.76,5.76,1275
NBL,2022-01-20,5.62,5.76,5.62,5.62,4231
NBL,2022-01-21,5.67,5.67,5.29,5.67,16377
NBL,2022-01-25,5.6,5.67,5.49,5.6,918
NBL,2022-01-26,5.65,5.67,5.51,5.65,5681
NBL,2022-01-27,5.9,5.95,5.65,5.9,13582
NBL,2022-01-28,5.91,6.1,5.85,5.91,18340
NBL,2022-01-31,5.94,6.0,5.9,5.94,6433
NBL,2022-02-01,6.08,6.08,5.8,6.08,14937
NBL,2022-02-02,6.25,6.25,5.95,6.25,236279
NBL,2022-02-03,6.3,6.5,6.23,6.3,12678
NBL,2022-02-04,6.45,6.47,6.19,6.45,2384
NBL,2022-02-07,6.4,6.46,6.4,6.4,649
NBL,2022-02-08,6.63,6.7,6.4,6.63,4960
NBL,2022-02-09,6.67,6.67,6.54,6.67,15855
NBL,2022-02-10,6.64,6.67,6.56,6.64,1495
NBL,2022-02-11,6.62,6.64,6.62,6.62,2916
NBL,2021-08-25,5.81,5.96,5.8,5.8,10585
NBL,2021-08-26,5.9,5.9,5.79,5.88,2171
NBL,2021-08-27,5.71,5.85,5.71,5.79,230
NBL,2021-08-30,5.8,5.8,5.79,5.8,200
NBL,2021-08-31,5.7,5.8,5.7,5.7,43
NBL,2021-09-01,5.6,5.6,5.44,5.44,1607
NBL,2021-09-02,5.5,5.5,5.39,5.4,260
NBL,2021-09-03,5.44,5.44,5.1,5.38,775
NBL,2021-09-07,5.38,5.38,5.38,5.38,10
NBL,2021-09-08,5.25,5.25,5.25,5.25,19
NBL,2021-09-09,5.35,5.35,5.35,5.35,10
NBL,2021-09-10,5.25,5.25,5.25,5.25,305
NBL,2021-09-13,5.24,5.24,5.23,5.24,2066
