Ticker,Date,Open,High,Low,Close,Volume
OTH,2022-10-24,7.3,7.3,7.1,7.3,7724
OTH,2022-10-25,7.29,7.3,7.06,7.29,2611
OTH,2022-10-26,7.28,7.29,7.25,7.28,620
OTH,2022-10-27,7.29,7.29,7.16,7.29,1675
OTH,2022-10-28,7.27,7.29,7.25,7.27,959
OTH,2022-10-31,7.29,7.29,7.26,7.29,4620
OTH,2022-11-01,7.29,7.29,7.18,7.29,3924
OTH,2022-11-02,7.3,7.3,7.17,7.3,4196
OTH,2022-11-03,7.3,7.3,7.16,7.3,8210
OTH,2022-11-04,7.3,7.3,7.28,7.3,717
OTH,2022-11-07,7.28,7.3,7.23,7.28,1333
OTH,2022-11-08,7.23,7.28,7.23,7.23,365
OTH,2022-11-09,7.2,7.21,7.2,7.2,2229
OTH,2022-11-10,7.18,7.21,7.18,7.18,1130
OTH,2022-11-11,7.25,7.25,7.2,7.25,5480
OTH,2022-11-14,7.25,7.25,7.18,7.25,5051
OTH,2022-11-15,7.18,7.25,7.18,7.18,3660
OTH,2022-11-16,7.2,7.2,7.12,7.2,753
OTH,2022-11-17,7.18,7.2,7.18,7.18,500
OTH,2022-11-18,7.2,7.25,7.18,7.2,2618
OTH,2022-11-21,7.2,7.2,7.0,7.2,136887
OTH,2022-11-22,7.2,7.2,7.06,7.2,1986
OTH,2022-11-23,7.2,7.21,7.06,7.2,1857
OTH,2022-11-24,7.2,7.2,7.16,7.2,145
OTH,2022-11-25,7.2,7.2,7.08,7.2,3108
OTH,2022-11-28,7.18,7.3,7.18,7.18,5694
OTH,2022-11-29,7.18,7.3,7.18,7.18,920
OTH,2022-11-30,7.16,7.18,7.05,7.16,5717
OTH,2022-12-01,7.05,7.16,7.05,7.05,11657
OTH,2022-12-02,7.04,7.25,7.0,7.04,11236
OTH,2022-12-05,7.15,7.25,7.04,7.15,5025
OTH,2022-12-06,7.11,7.17,7.1,7.11,3108
OTH,2022-12-07,7.15,7.15,7.11,7.15,832
OTH,2022-12-08,7.12,7.15,7.1,7.12,5490
OTH,2022-12-09,7.1,7.15,7.1,7.1,2163
OTH,2022-12-12,7.12,7.17,7.1,7.12,1273
OTH,2022-12-13,7.15,7.15,7.05,7.15,1155
OTH,2022-12-14,7.08,7.15,7.08,7.08,2228
OTH,2022-12-15,7.05,7.15,7.05,7.05,2739
OTH,2022-12-16,7.08,7.14,7.05,7.08,370
OTH,2022-12-19,7.14,7.14,7.08,7.14,89
OTH,2022-12-20,7.06,7.13,7.05,7.06,1500
OTH,2022-12-21,7.13,7.13,7.12,7.13,1168
OTH,2022-12-22,7.13,7.13,7.0,7.13,7146
OTH,2022-12-26,7.09,7.13,7.0,7.09,1767
OTH,2022-12-27,7.0,7.1,6.97,7.0,2960
OTH,2022-12-28,7.1,7.1,7.0,7.1,1
OTH,2022-12-29,7.0,7.1,6.93,7.0,4037
OTH,2022-12-30,7.05,7.06,6.9,7.05,25692
OTH,2022-08-01,7.9,7.9,7.74,7.9,3563
OTH,2022-08-02,7.8,7.9,7.7,7.8,5341
OTH,2022-08-03,7.8,7.8,7.8,7.8,4225
OTH,2022-08-04,7.8,7.8,7.7,7.8,7150
OTH,2022-08-05,7.64,7.8,7.64,7.64,4570
OTH,2022-08-08,7.89,7.9,7.6,7.89,13867
OTH,2022-08-09,7.85,7.89,7.8,7.85,386
OTH,2022-08-10,7.89,7.89,7.85,7.89,593
OTH,2022-08-11,7.8,7.89,7.8,7.8,3629
OTH,2022-08-12,7.85,7.85,7.75,7.85,324
OTH,2022-08-15,7.89,7.98,7.75,7.89,5123
OTH,2022-08-16,7.85,7.98,7.85,7.85,975
OTH,2022-08-17,7.8,7.85,7.75,7.8,2121
OTH,2022-08-18,7.8,7.9,7.78,7.8,2571
OTH,2022-08-19,7.78,7.8,7.73,7.78,3069
OTH,2022-08-22,7.75,7.78,7.65,7.75,3296
OTH,2022-08-23,7.74,7.75,7.67,7.74,2766
OTH,2022-08-24,7.75,7.77,7.74,7.75,3663
OTH,2022-08-25,7.68,7.75,7.67,7.68,4576
OTH,2022-08-26,7.75,7.79,7.68,7.75,17185
OTH,2022-08-29,7.75,7.78,7.69,7.75,1825
OTH,2022-08-30,7.6,7.75,7.5,7.6,13761
OTH,2022-08-31,7.5,7.6,7.46,7.5,6716
OTH,2022-09-01,7.5,7.55,7.4,7.5,9173
OTH,2022-09-02,7.55,7.55,7.45,7.55,4256
OTH,2022-09-05,7.45,7.56,7.45,7.45,21207
OTH,2022-09-06,7.5,7.5,7.35,7.5,11339
OTH,2022-09-07,7.6,7.6,7.3,7.6,4722
OTH,2022-09-08,7.5,7.6,7.5,7.5,3122
OTH,2022-09-09,7.5,7.59,7.4,7.5,6157
OTH,2022-09-12,7.5,7.53,7.4,7.5,4849
OTH,2022-09-13,7.4,7.5,7.4,7.4,2379
OTH,2022-09-14,7.45,7.45,7.35,7.45,8185
OTH,2022-09-15,7.45,7.45,7.37,7.45,18357
OTH,2022-09-16,7.35,7.45,7.32,7.35,16157
OTH,2022-09-19,7.35,7.4,7.32,7.35,1455
OTH,2022-09-20,7.35,7.39,7.34,7.35,5582
OTH,2022-09-21,7.57,7.57,7.28,7.57,18121
OTH,2022-09-22,7.55,7.57,7.55,7.55,1117
OTH,2022-09-23,7.5,7.57,7.49,7.5,6420
OTH,2022-09-26,7.45,7.54,7.38,7.45,4570
OTH,2022-09-27,7.41,7.46,7.36,7.41,9521
OTH,2022-09-28,7.37,7.54,7.36,7.37,9624
OTH,2022-09-29,7.35,7.41,7.35,7.35,8038
OTH,2022-09-30,7.4,7.54,7.3,7.4,9241
OTH,2022-10-03,7.39,7.4,7.31,7.39,437
OTH,2022-10-04,7.27,7.39,7.26,7.27,5114
OTH,2022-10-05,7.35,7.38,7.2,7.35,4878
OTH,2022-10-06,7.34,7.35,7.21,7.34,2535
OTH,2022-10-07,7.33,7.35,7.2,7.33,1806
OTH,2022-10-10,7.34,7.35,7.3,7.34,1335
OTH,2022-10-11,7.3,7.35,7.3,7.3,1411
OTH,2022-10-12,7.3,7.34,7.24,7.3,2498
OTH,2022-10-13,7.29,7.3,7.26,7.29,3146
OTH,2022-10-14,7.29,7.3,7.25,7.29,3951
OTH,2022-10-17,7.29,7.29,7.2,7.29,6350
OTH,2022-10-18,7.25,7.29,7.2,7.25,1802
OTH,2022-10-19,7.24,7.25,7.2,7.24,3861
OTH,2022-10-20,7.12,7.24,7.12,7.12,3725
OTH,2022-10-21,7.1,7.2,7.1,7.1,7425
OTH,2022-10-24,7.3,7.3,7.1,7.3,7724
OTH,2022-05-09,8.07,8.14,8.06,8.07,4533
OTH,2022-05-10,8.0,8.14,8.0,8.0,5088
OTH,2022-05-11,8.15,8.18,8.1,8.15,3868
OTH,2022-05-12,8.14,8.15,8.0,8.14,1778
OTH,2022-05-13,8.14,8.189,8.13,8.14,2621
OTH,2022-05-16,8.18,8.22,8.14,8.18,972
OTH,2022-05-17,8.1,8.13,8.0,8.1,1685
OTH,2022-05-18,7.98,8.1,7.97,7.98,16763
OTH,2022-05-19,7.98,7.98,7.8,7.98,16784
OTH,2022-05-20,7.97,7.98,7.85,7.97,2002
OTH,2022-05-23,7.97,7.97,7.7,7.97,6163
OTH,2022-05-24,7.95,7.97,7.95,7.95,5088
OTH,2022-05-25,7.95,7.98,7.84,7.95,2815
OTH,2022-05-26,8.0,8.0,7.95,8.0,2104
OTH,2022-05-27,7.95,8.0,7.8,7.95,8595
OTH,2022-05-30,7.92,7.95,7.8,7.92,11799
OTH,2022-05-31,7.7,7.9,7.7,7.7,18904
OTH,2022-06-01,7.7,7.81,7.7,7.7,2669
OTH,2022-06-02,7.7,7.8,7.65,7.7,17146
OTH,2022-06-03,7.78,7.8,7.65,7.78,4883
OTH,2022-06-06,7.7,7.78,7.62,7.7,7070
OTH,2022-06-07,7.6,7.7,7.6,7.6,12570
OTH,2022-06-08,7.64,7.64,7.63,7.64,3201
OTH,2022-06-09,7.64,7.64,7.6,7.64,1699
OTH,2022-06-10,7.42,7.85,7.41,7.42,4091
OTH,2022-06-13,7.55,7.55,7.42,7.55,4287
OTH,2022-06-14,7.55,7.55,7.44,7.55,1484
OTH,2022-06-15,7.55,7.55,7.55,7.55,2546
OTH,2022-06-16,7.54,7.54,7.45,7.54,6862
OTH,2022-06-17,7.5,7.54,7.4,7.5,13105
OTH,2022-06-20,7.5,7.5,7.49,7.5,4650
OTH,2022-06-21,7.54,7.55,7.4,7.54,26261
OTH,2022-06-22,7.54,7.55,7.5,7.54,17179
OTH,2022-06-23,7.5,7.54,7.4,7.5,24350
OTH,2022-06-24,7.5,7.5,7.5,7.5,1524
OTH,2022-06-27,7.47,7.49,7.35,7.47,1473
OTH,2022-06-28,7.5,7.5,7.47,7.5,1637
OTH,2022-06-29,7.47,7.5,7.4,7.47,6127
OTH,2022-06-30,7.47,7.48,7.4,7.47,553
OTH,2022-07-01,7.46,7.47,7.46,7.46,1150
OTH,2022-07-04,7.45,7.46,7.4,7.45,4560
OTH,2022-07-05,7.36,7.45,7.36,7.36,15952
OTH,2022-07-06,7.47,7.47,7.36,7.47,7848
OTH,2022-07-07,7.47,7.5,7.4,7.47,26544
OTH,2022-07-08,7.48,7.48,7.47,7.48,536
OTH,2022-07-11,7.6,7.7,7.48,7.6,7467
OTH,2022-07-12,8.05,8.05,7.6,8.05,32076
OTH,2022-07-13,8.18,8.21,8.05,8.18,6589
OTH,2022-07-14,8.14,8.18,7.87,8.14,9368
OTH,2022-07-15,8.12,8.14,8.06,8.12,2757
OTH,2022-07-18,8.17,8.17,8.02,8.17,6056
OTH,2022-07-19,8.09,8.17,7.91,8.09,2811
OTH,2022-07-20,8.08,8.09,7.93,8.08,2841
OTH,2022-07-21,8.05,8.08,8.05,8.05,70
OTH,2022-07-22,8.0,8.05,8.0,8.0,2841
OTH,2022-07-26,7.84,8.0,7.84,7.84,7277
OTH,2022-07-27,7.84,7.84,7.75,7.84,3351
OTH,2022-07-28,7.75,7.84,7.74,7.75,1280
OTH,2022-07-29,7.74,7.81,7.74,7.74,5482
OTH,2022-02-11,8.77,8.85,8.64,8.77,8572
OTH,2022-02-14,8.77,8.8,8.75,8.77,2940
OTH,2022-02-15,8.76,8.8,8.6,8.76,4783
OTH,2022-02-16,8.75,8.77,8.6,8.75,4008
OTH,2022-02-17,8.78,8.8,8.75,8.78,1777
OTH,2022-02-18,8.75,8.78,8.7,8.75,2000
OTH,2022-02-21,8.73,8.75,8.51,8.73,7752
OTH,2022-02-22,8.68,8.73,8.6,8.68,317
OTH,2022-02-23,8.65,8.68,8.51,8.65,5294
OTH,2022-02-24,8.3,8.65,8.3,8.3,6981
OTH,2022-02-25,8.64,8.64,8.2,8.64,21972
OTH,2022-02-28,8.6,8.64,8.4,8.6,7436
OTH,2022-03-01,8.43,8.6,8.4,8.43,5911
OTH,2022-03-02,8.42,8.5,8.29,8.42,3374
OTH,2022-03-03,8.37,8.49,8.27,8.37,30439
OTH,2022-03-04,8.47,8.5,8.37,8.47,3325
OTH,2022-03-07,8.4,8.47,8.4,8.4,805
OTH,2022-03-08,8.4,8.4,8.25,8.4,11132
OTH,2022-03-09,8.35,8.44,8.25,8.35,4171
OTH,2022-03-10,8.44,8.54,8.35,8.44,12206
OTH,2022-03-11,8.44,8.54,8.27,8.44,7588
OTH,2022-03-14,8.39,8.44,8.27,8.39,2376
OTH,2022-03-15,8.38,8.39,8.27,8.38,2171
OTH,2022-03-16,8.38,8.46,8.32,8.38,3403
OTH,2022-03-17,8.47,8.48,8.3,8.47,25723
OTH,2022-03-18,8.4,8.47,8.3,8.4,952
OTH,2022-03-21,8.34,8.44,8.3,8.34,4175
OTH,2022-03-22,8.34,8.39,8.27,8.34,836
OTH,2022-03-23,8.3,8.35,8.3,8.3,6681
OTH,2022-03-24,8.3,8.35,8.25,8.3,2017378
OTH,2022-03-25,8.34,8.35,8.26,8.34,15388
OTH,2022-03-28,8.23,8.34,8.2,8.23,8712
OTH,2022-03-29,8.27,8.29,8.21,8.27,660
OTH,2022-03-30,8.2,8.27,8.2,8.2,891
OTH,2022-03-31,8.3,8.35,8.1,8.3,12218
OTH,2022-04-01,8.34,8.35,8.33,8.34,16
OTH,2022-04-04,8.32,8.34,8.2,8.32,1278
OTH,2022-04-05,8.25,8.32,8.2,8.25,4310
OTH,2022-04-06,8.3,8.3,8.119,8.3,8635
OTH,2022-04-08,8.28,8.3,8.25,8.28,1742
OTH,2022-04-11,8.27,8.28,8.1,8.27,3611
OTH,2022-04-12,8.25,8.28,8.119,8.25,2997
OTH,2022-04-13,8.25,8.25,8.2,8.25,14320
OTH,2022-04-14,8.25,8.28,8.15,8.25,7222
OTH,2022-04-15,8.25,8.28,8.119,8.25,1071
OTH,2022-04-18,8.25,8.25,8.23,8.25,8006
OTH,2022-04-19,8.19,8.25,8.1,8.19,4897
OTH,2022-04-20,8.25,8.25,8.189,8.25,4328
OTH,2022-04-21,8.25,8.25,8.2,8.25,8261
OTH,2022-04-22,8.14,8.25,8.14,8.14,5552
OTH,2022-04-25,8.23,8.24,8.109,8.23,8180
OTH,2022-04-26,8.22,8.24,8.109,8.22,9503
OTH,2022-04-27,8.2,8.22,8.119,8.2,1735
OTH,2022-04-28,8.2,8.2,8.2,8.2,1397
OTH,2022-04-29,8.18,8.2,8.18,8.18,861
OTH,2022-05-04,8.19,8.2,8.18,8.19,6234
OTH,2022-05-05,8.12,8.2,8.06,8.12,3235
OTH,2022-05-06,8.14,8.18,8.14,8.14,1401
OTH,2021-11-18,9.3,9.31,9.13,9.3,2904
OTH,2021-11-19,9.3,9.47,9.3,9.3,5086
OTH,2021-11-22,9.36,9.39,9.3,9.36,5479
