Ticker,Date,Open,High,Low,Close,Volume
PGH,2022-10-24,9.13,9.13,8.86,9.13,22
PGH,2022-10-25,9.13,9.13,9.1,9.13,541
PGH,2022-10-26,9.1,9.13,9.1,9.1,222
PGH,2022-10-27,9.0,9.1,8.8,9.0,1499
PGH,2022-10-31,8.6,8.9,8.51,8.6,70523
PGH,2022-11-01,8.45,8.6,8.44,8.45,814
PGH,2022-11-02,8.55,8.55,8.55,8.55,10
PGH,2022-11-03,8.8,9.0,8.55,8.8,2283
PGH,2022-11-07,8.94,8.97,8.94,8.94,70
PGH,2022-11-08,9.0,9.0,8.94,9.0,200
PGH,2022-11-09,8.8,9.0,8.8,8.8,200
PGH,2022-11-11,8.5,8.94,8.49,8.5,59112
PGH,2022-11-14,8.48,8.7,8.48,8.48,16892
PGH,2022-11-15,8.4,8.48,8.4,8.4,104
PGH,2022-11-16,8.7,8.7,8.4,8.7,18
PGH,2022-11-18,9.0,9.0,8.5,9.0,4998
PGH,2022-11-21,8.98,9.0,8.98,8.98,45
PGH,2022-11-22,8.58,8.98,8.58,8.58,233
PGH,2022-11-23,8.35,8.58,8.35,8.35,41846
PGH,2022-11-24,8.49,8.49,8.02,8.49,355
PGH,2022-11-28,8.98,8.98,8.67,8.98,27
PGH,2022-11-30,8.47,8.98,8.45,8.47,115
PGH,2022-12-01,8.31,8.47,8.31,8.31,19
PGH,2022-12-02,8.47,8.47,8.45,8.47,4
PGH,2022-12-06,8.45,8.96,8.45,8.45,352
PGH,2022-12-07,8.27,8.5,8.27,8.27,1163
PGH,2022-12-09,8.4,8.5,8.4,8.4,440
PGH,2022-12-12,8.69,8.69,8.4,8.69,50
PGH,2022-12-13,8.4,8.69,8.4,8.4,1135
PGH,2022-12-14,8.4,8.67,8.4,8.4,935
PGH,2022-12-15,8.17,8.4,8.17,8.17,1601
PGH,2022-12-16,8.55,8.77,8.39,8.55,363
PGH,2022-12-20,8.11,8.55,8.11,8.11,3
PGH,2022-12-21,8.11,8.55,8.109,8.11,350
PGH,2022-12-22,8.75,8.76,8.54,8.75,1708
PGH,2022-12-23,8.75,8.75,8.75,8.75,1350
PGH,2022-12-26,8.9,8.9,8.75,8.9,3206
PGH,2022-12-27,8.85,8.85,8.85,8.85,2500
PGH,2022-12-28,9.1,9.1,8.83,9.1,3283
PGH,2022-12-29,8.78,8.95,8.78,8.78,5010
PGH,2022-12-30,8.78,8.78,8.78,8.78,1
PGH,2022-08-01,9.54,9.54,9.0,9.54,3947
PGH,2022-08-02,9.5,9.54,9.5,9.5,1650
PGH,2022-08-03,9.88,9.88,9.5,9.88,1000
PGH,2022-08-04,9.79,9.88,9.79,9.79,1150
PGH,2022-08-05,9.79,9.79,9.79,9.79,36
PGH,2022-08-08,9.79,9.79,9.79,9.79,917
PGH,2022-08-09,9.79,9.79,9.79,9.79,911
PGH,2022-08-11,9.78,9.79,9.78,9.78,5
PGH,2022-08-12,9.78,9.79,9.78,9.78,1000
PGH,2022-08-16,9.79,9.98,9.78,9.79,2303
PGH,2022-08-17,10.2,10.37,9.79,10.2,1377
PGH,2022-08-18,10.75,10.79,10.2,10.75,704
PGH,2022-08-19,10.75,10.75,10.75,10.75,1200
PGH,2022-08-22,10.75,10.75,10.4,10.75,31601
PGH,2022-08-23,10.7,10.75,10.69,10.7,250
PGH,2022-08-24,10.64,10.7,10.6,10.64,22107
PGH,2022-08-26,10.5,10.64,10.5,10.5,100
PGH,2022-08-29,10.5,10.7,10.1,10.5,1069
PGH,2022-08-31,10.5,10.5,10.1,10.5,1759
PGH,2022-09-01,10.49,10.5,10.49,10.49,500
PGH,2022-09-02,10.35,10.49,9.94,10.35,361
PGH,2022-09-05,10.35,10.35,10.34,10.35,50
PGH,2022-09-08,10.15,10.35,9.91,10.15,62
PGH,2022-09-09,10.1,10.2,9.9,10.1,828
PGH,2022-09-12,9.5,10.19,9.5,9.5,2935
PGH,2022-09-13,9.25,9.97,9.09,9.25,8846
PGH,2022-09-14,9.79,9.79,9.25,9.79,125
PGH,2022-09-15,9.78,9.79,9.21,9.78,375
PGH,2022-09-16,9.23,9.79,9.2,9.23,797
PGH,2022-09-19,9.74,9.77,9.23,9.74,818
PGH,2022-09-20,9.68,9.74,9.5,9.68,504
PGH,2022-09-21,9.67,9.68,9.67,9.67,13
PGH,2022-09-22,9.68,9.68,9.3,9.68,660
PGH,2022-09-23,9.28,9.68,9.25,9.28,2050
PGH,2022-09-26,9.41,9.6,9.23,9.41,2597
PGH,2022-09-27,9.4,9.68,9.02,9.4,1284
PGH,2022-09-28,9.68,9.73,9.4,9.68,716
PGH,2022-09-29,9.67,9.68,9.67,9.67,42000
PGH,2022-09-30,9.48,9.67,9.47,9.48,411
PGH,2022-10-03,9.5,9.5,9.48,9.5,5
PGH,2022-10-04,9.35,9.6,9.16,9.35,433
PGH,2022-10-05,9.6,9.6,9.35,9.6,100
PGH,2022-10-06,9.6,9.6,9.35,9.6,530
PGH,2022-10-07,9.2,9.6,9.2,9.2,2078
PGH,2022-10-10,9.2,9.58,9.2,9.2,1635
PGH,2022-10-11,9.35,9.58,9.0,9.35,555
PGH,2022-10-12,9.0,9.35,9.0,9.0,1034
PGH,2022-10-13,9.2,9.2,8.85,9.2,1912
PGH,2022-10-14,9.47,9.47,9.18,9.47,310
PGH,2022-10-18,9.15,9.47,8.98,9.15,1782
PGH,2022-10-19,9.13,9.15,8.85,9.13,14
PGH,2022-10-20,8.9,9.13,8.9,8.9,10104
PGH,2022-10-21,8.86,9.12,8.85,8.86,1020
PGH,2022-10-24,9.13,9.13,8.86,9.13,22
