Ticker,Date,Open,High,Low,Close,Volume
PLAST,2022-10-24,1.29,1.29,1.25,1.29,19
PLAST,2022-10-25,1.29,1.29,1.29,1.29,132
PLAST,2022-10-26,1.34,1.34,1.29,1.34,193
PLAST,2022-10-27,1.39,1.39,1.34,1.39,100
PLAST,2022-10-28,1.45,1.45,1.39,1.45,200
PLAST,2022-10-31,1.49,1.49,1.45,1.49,51
PLAST,2022-11-09,1.4,1.4,1.37,1.4,50
PLAST,2022-11-10,1.44,1.44,1.4,1.44,26
PLAST,2022-11-29,1.22,1.27,1.22,1.22,1083
PLAST,2022-11-30,1.27,1.27,1.22,1.27,32
PLAST,2022-12-01,1.27,1.27,1.27,1.27,135
PLAST,2022-12-02,1.32,1.32,1.27,1.32,10
PLAST,2022-12-06,1.37,1.37,1.32,1.37,100
PLAST,2022-12-07,1.43,1.43,1.37,1.43,196
PLAST,2022-12-26,1.49,1.49,1.43,1.49,5000
PLAST,2022-12-27,1.55,1.55,1.49,1.55,1195
PLAST,2022-12-29,1.6,1.6,1.55,1.6,1500
PLAST,2022-12-30,1.6,1.6,1.6,1.6,51000
PLAST,2022-08-01,1.41,1.46,1.41,1.41,25
PLAST,2022-08-04,1.45,1.45,1.41,1.45,1
PLAST,2022-08-11,1.39,1.46,1.39,1.39,626
PLAST,2022-08-12,1.39,1.39,1.39,1.39,308
PLAST,2022-08-15,1.39,1.39,1.39,1.39,150
PLAST,2022-08-16,1.42,1.42,1.39,1.42,3550
PLAST,2022-08-17,1.45,1.45,1.42,1.45,20
PLAST,2022-08-23,1.37,1.39,1.37,1.37,32
PLAST,2022-08-24,1.36,1.37,1.36,1.36,7
PLAST,2022-08-25,1.4,1.4,1.36,1.4,1437
PLAST,2022-08-26,1.45,1.45,1.42,1.45,2165
PLAST,2022-08-29,1.46,1.46,1.45,1.46,9789
PLAST,2022-08-30,1.48,1.48,1.46,1.48,2390
PLAST,2022-08-31,1.54,1.54,1.48,1.54,4238
PLAST,2022-09-01,1.59,1.59,1.54,1.59,421
PLAST,2022-09-02,1.56,1.64,1.56,1.56,2071
PLAST,2022-09-05,1.5,1.56,1.5,1.5,20
PLAST,2022-09-06,1.45,1.56,1.45,1.45,220
PLAST,2022-09-07,1.43,1.51,1.43,1.43,3672
PLAST,2022-09-08,1.43,1.43,1.42,1.43,335
PLAST,2022-09-09,1.4,1.43,1.4,1.4,225
PLAST,2022-09-12,1.37,1.4,1.37,1.37,1783
PLAST,2022-09-13,1.37,1.37,1.37,1.37,6975
PLAST,2022-09-14,1.38,1.4,1.37,1.38,192
PLAST,2022-09-15,1.38,1.38,1.38,1.38,100
PLAST,2022-09-16,1.33,1.38,1.33,1.33,595
PLAST,2022-09-20,1.4,1.4,1.38,1.4,150
PLAST,2022-09-21,1.46,1.46,1.4,1.46,1160
PLAST,2022-09-22,1.48,1.48,1.46,1.48,46
PLAST,2022-09-23,1.42,1.48,1.42,1.42,509
PLAST,2022-09-26,1.39,1.42,1.39,1.39,200
PLAST,2022-09-27,1.45,1.45,1.39,1.45,5
PLAST,2022-09-28,1.49,1.49,1.45,1.49,85
PLAST,2022-10-04,1.37,1.43,1.37,1.37,89
PLAST,2022-10-05,1.36,1.37,1.36,1.36,800
PLAST,2022-10-06,1.32,1.37,1.32,1.32,137
PLAST,2022-10-07,1.31,1.32,1.31,1.31,3228
PLAST,2022-10-11,1.31,1.31,1.31,1.31,5
PLAST,2022-10-12,1.26,1.31,1.26,1.26,236
PLAST,2022-10-13,1.23,1.26,1.23,1.23,357
PLAST,2022-10-14,1.27,1.28,1.23,1.27,46
