Ticker,Date,Open,High,Low,Close,Volume
SAH,2022-10-24,9.69,9.7,9.69,9.69,794
SAH,2022-10-25,9.69,9.71,9.6,9.69,35755
SAH,2022-10-26,9.65,9.69,9.61,9.65,3478
SAH,2022-10-27,9.64,9.65,9.6,9.64,81919
SAH,2022-10-28,9.58,9.65,9.55,9.58,12991
SAH,2022-10-31,9.4,9.58,9.3,9.4,14167
SAH,2022-11-01,9.5,9.54,9.32,9.5,26119
SAH,2022-11-02,9.4,9.5,9.4,9.4,2951
SAH,2022-11-03,9.54,9.55,9.3,9.54,37591
SAH,2022-11-04,9.5,9.55,9.41,9.5,36591
SAH,2022-11-07,9.49,9.55,9.4,9.49,7103
SAH,2022-11-08,9.46,9.49,9.35,9.46,17787
SAH,2022-11-09,9.4,9.46,9.26,9.4,10641
SAH,2022-11-10,9.39,9.45,9.3,9.39,7854
SAH,2022-11-11,9.3,9.39,9.2,9.3,22087
SAH,2022-11-14,9.39,9.4,9.2,9.39,19268
SAH,2022-11-15,9.38,9.4,9.25,9.38,14366
SAH,2022-11-16,9.3,9.38,9.1,9.3,7628
SAH,2022-11-17,9.2,9.3,9.2,9.2,6503
SAH,2022-11-18,9.37,9.4,9.2,9.37,16155
SAH,2022-11-21,9.05,9.46,9.05,9.05,32992
SAH,2022-11-22,9.2,9.25,8.93,9.2,119411
SAH,2022-11-23,9.2,9.2,9.01,9.2,3842
SAH,2022-11-24,9.2,9.2,9.15,9.2,1301
SAH,2022-11-25,9.14,9.2,9.05,9.14,7880
SAH,2022-11-28,9.13,9.14,9.1,9.13,1222
SAH,2022-11-29,9.05,9.14,9.05,9.05,9056
SAH,2022-11-30,9.0,9.05,8.9,9.0,7654
SAH,2022-12-01,9.1,9.1,8.95,9.1,3804
SAH,2022-12-02,9.25,9.25,9.0,9.25,11660
SAH,2022-12-05,9.1,9.25,9.0,9.1,202
SAH,2022-12-06,9.1,9.1,9.0,9.1,10152
SAH,2022-12-07,9.09,9.1,9.0,9.09,122
SAH,2022-12-08,9.01,9.09,8.91,9.01,4470
SAH,2022-12-09,9.08,9.09,9.0,9.08,5364
SAH,2022-12-12,9.03,9.08,9.0,9.03,8519
SAH,2022-12-13,9.02,9.03,8.93,9.02,6464
SAH,2022-12-14,9.0,9.02,8.92,9.0,1482
SAH,2022-12-15,9.0,9.03,8.99,9.0,50002
SAH,2022-12-16,9.04,9.04,9.0,9.04,16380
SAH,2022-12-19,9.0,9.08,9.0,9.0,1284
SAH,2022-12-20,9.0,9.0,8.91,9.0,2509
SAH,2022-12-21,8.9,9.04,8.86,8.9,4828
SAH,2022-12-22,8.98,9.0,8.8,8.98,9506
SAH,2022-12-23,8.98,9.0,8.65,8.98,3680
SAH,2022-12-26,8.99,9.0,8.65,8.99,3992
SAH,2022-12-27,9.2,9.2,8.81,9.2,27561
SAH,2022-12-28,9.19,9.2,9.0,9.19,12115
SAH,2022-12-29,9.15,9.19,8.9,9.15,14859
SAH,2022-12-30,9.1,9.15,9.0,9.1,24319
SAH,2022-08-01,7.92,7.936,7.76,7.92,7852
SAH,2022-08-02,7.88,7.92,7.872,7.88,47172
SAH,2022-08-03,7.840000000000001,7.88,7.840000000000001,7.840000000000001,4606
SAH,2022-08-04,7.872,7.88,7.840000000000001,7.872,13576
SAH,2022-08-05,7.872,7.88,7.848000000000001,7.872,19013
SAH,2022-08-08,7.912000000000001,7.912000000000001,7.872,7.912000000000001,74827
SAH,2022-08-09,8.032,8.032,7.912000000000001,8.032,19845
SAH,2022-08-10,8.0,8.16,8.0,8.0,25405
SAH,2022-08-11,8.0,8.08,7.952,8.0,8615
SAH,2022-08-12,8.08,8.088,8.0,8.08,10745
SAH,2022-08-15,8.296,8.32,8.08,8.296,16861
SAH,2022-08-16,8.24,8.32,8.184000000000001,8.24,9247
SAH,2022-08-17,8.152,8.24,8.152,8.152,5492
SAH,2022-08-18,8.16,8.2,8.152,8.16,47558
SAH,2022-08-19,8.176,8.28,8.16,8.176,13006
SAH,2022-08-22,8.25,8.49,8.18,8.25,20625
SAH,2022-08-23,8.24,8.25,8.18,8.24,8057
SAH,2022-08-24,8.15,8.24,8.15,8.15,5224
SAH,2022-08-25,8.2,8.22,8.14,8.2,4468
SAH,2022-08-26,8.15,8.22,8.13,8.15,7150
SAH,2022-08-29,8.15,8.189,8.14,8.15,5300
SAH,2022-08-30,8.19,8.189,8.13,8.19,18152
SAH,2022-08-31,8.18,8.2,8.13,8.18,3370
SAH,2022-09-01,8.4,8.67,8.18,8.4,489280
SAH,2022-09-02,8.6,8.6,8.4,8.6,611336
SAH,2022-09-05,8.5,8.65,8.5,8.5,78216
SAH,2022-09-06,8.85,8.9,8.5,8.85,256696
SAH,2022-09-07,8.8,8.98,8.75,8.8,20252
SAH,2022-09-08,9.0,9.08,8.73,9.0,171017
SAH,2022-09-09,9.05,9.05,9.0,9.05,277011
SAH,2022-09-12,9.23,9.29,9.05,9.23,82477
SAH,2022-09-13,9.4,9.53,9.2,9.4,74387
SAH,2022-09-14,9.38,9.49,9.36,9.38,158787
SAH,2022-09-15,9.24,9.46,9.18,9.24,101927
SAH,2022-09-16,9.3,9.32,9.05,9.3,191890
SAH,2022-09-19,9.3,9.3,9.2,9.3,91731
SAH,2022-09-20,9.33,9.35,9.2,9.33,16028
SAH,2022-09-21,9.46,9.47,9.25,9.46,371216
SAH,2022-09-22,9.45,9.46,9.33,9.45,298625
SAH,2022-09-23,9.55,9.55,9.4,9.55,78947
SAH,2022-09-26,9.74,9.74,9.53,9.74,116901
SAH,2022-09-27,9.67,9.9,9.6,9.67,91810
SAH,2022-09-28,9.78,9.79,9.5,9.78,239487
