Ticker,Date,Open,High,Low,Close,Volume
SAM,2022-10-24,3.08,3.14,3.08,3.08,608
SAM,2022-10-25,3.1,3.14,3.06,3.1,613
SAM,2022-10-26,3.08,3.12,3.07,3.08,199
SAM,2022-10-27,3.12,3.12,3.1,3.12,5
SAM,2022-10-28,3.2,3.2,3.12,3.2,314
SAM,2022-10-31,3.23,3.23,3.2,3.23,120
SAM,2022-11-01,3.22,3.23,3.2,3.22,1132
SAM,2022-11-02,3.2,3.22,3.2,3.2,4
SAM,2022-11-07,3.15,3.2,3.06,3.15,719
SAM,2022-11-08,3.18,3.18,3.15,3.18,10
SAM,2022-11-10,3.1,3.19,3.08,3.1,78356
SAM,2022-11-11,3.16,3.16,3.1,3.16,68
SAM,2022-11-14,3.16,3.17,3.15,3.16,1714
SAM,2022-11-15,3.13,3.16,3.13,3.13,54
SAM,2022-11-16,3.18,3.18,3.13,3.18,23
SAM,2022-11-17,3.1,3.18,3.05,3.1,1074
SAM,2022-11-18,3.07,3.17,3.03,3.07,3704
SAM,2022-11-21,3.09,3.16,3.04,3.09,4300
SAM,2022-11-22,3.03,3.1,3.01,3.03,8419
SAM,2022-11-23,3.09,3.09,3.09,3.09,2
SAM,2022-11-24,3.08,3.09,3.03,3.08,196
SAM,2022-11-25,3.01,3.1,3.01,3.01,2709
SAM,2022-11-28,3.11,3.11,3.1,3.11,510
SAM,2022-11-29,3.01,3.11,3.01,3.01,5618
SAM,2022-11-30,3.01,3.1,3.0,3.01,6491
SAM,2022-12-01,3.06,3.06,3.0,3.06,126
SAM,2022-12-02,3.1,3.1,3.06,3.1,58
SAM,2022-12-05,3.04,3.1,3.04,3.04,400
SAM,2022-12-06,3.04,3.04,3.04,3.04,5
SAM,2022-12-07,3.0,3.04,2.94,3.0,1016
SAM,2022-12-08,2.91,3.03,2.91,2.91,1087
SAM,2022-12-09,3.02,3.02,3.0,3.02,12
SAM,2022-12-12,2.96,3.03,2.96,2.96,1016
SAM,2022-12-13,3.02,3.04,3.02,3.02,227
SAM,2022-12-14,3.03,3.03,3.02,3.03,91
SAM,2022-12-15,3.04,3.04,3.0,3.04,152
SAM,2022-12-16,3.04,3.04,3.04,3.04,17
SAM,2022-12-19,3.02,3.04,2.86,3.02,413
SAM,2022-12-20,2.99,3.02,2.89,2.99,3496
SAM,2022-12-21,2.95,3.01,2.95,2.95,48
SAM,2022-12-22,2.9,3.03,2.85,2.9,1151
SAM,2022-12-23,2.97,2.99,2.9,2.97,3962
SAM,2022-12-26,2.99,2.99,2.97,2.99,21
SAM,2022-12-27,2.94,2.99,2.93,2.94,724
SAM,2022-12-28,2.95,2.95,2.9,2.95,2002
SAM,2022-12-29,2.9,2.95,2.9,2.9,252
SAM,2022-12-30,2.8,3.0,2.8,2.8,10775
SAM,2022-08-01,2.85,2.92,2.79,2.85,5403
SAM,2022-08-02,2.92,2.95,2.85,2.92,457
SAM,2022-08-03,2.92,2.92,2.91,2.92,31
SAM,2022-08-04,2.92,2.92,2.88,2.92,1825
SAM,2022-08-05,2.96,2.96,2.88,2.96,2741
SAM,2022-08-08,3.02,3.05,2.96,3.02,1500
SAM,2022-08-09,3.02,3.03,3.0,3.02,466
SAM,2022-08-10,3.03,3.03,3.02,3.03,149
SAM,2022-08-11,3.03,3.03,3.02,3.03,198
SAM,2022-08-12,3.02,3.03,3.02,3.02,5
SAM,2022-08-15,3.13,3.13,3.0,3.13,1104
SAM,2022-08-16,3.15,3.15,3.09,3.15,167
SAM,2022-08-17,3.12,3.15,3.05,3.12,3569
SAM,2022-08-18,3.08,3.13,2.99,3.08,1811
SAM,2022-08-19,3.13,3.13,3.0,3.13,1036
SAM,2022-08-23,3.08,3.13,3.02,3.08,545
SAM,2022-08-24,3.07,3.1,3.07,3.07,65
SAM,2022-08-25,3.1,3.15,3.07,3.1,416
SAM,2022-08-26,3.15,3.15,3.05,3.15,7781
SAM,2022-08-29,3.14,3.15,3.13,3.14,255
SAM,2022-08-30,3.12,3.14,3.05,3.12,460
SAM,2022-08-31,3.1,3.12,3.02,3.1,1939
SAM,2022-09-01,3.1,3.11,3.06,3.1,2096
SAM,2022-09-02,3.15,3.15,3.05,3.15,8312
SAM,2022-09-05,3.12,3.15,3.05,3.12,245
SAM,2022-09-06,3.15,3.17,3.0,3.15,39155
SAM,2022-09-07,3.04,3.17,3.04,3.04,4575
SAM,2022-09-08,3.11,3.14,3.03,3.11,2428
SAM,2022-09-09,3.12,3.14,3.05,3.12,3182
SAM,2022-09-12,3.12,3.12,3.12,3.12,4
SAM,2022-09-13,3.11,3.12,3.11,3.11,6
SAM,2022-09-14,3.12,3.12,3.03,3.12,1099
SAM,2022-09-15,3.09,3.12,3.03,3.09,1815
SAM,2022-09-16,3.11,3.11,3.09,3.11,10
SAM,2022-09-20,3.09,3.11,3.05,3.09,505
SAM,2022-09-21,3.07,3.09,2.94,3.07,17740
SAM,2022-09-22,3.09,3.09,3.07,3.09,91
