Ticker,Date,Open,High,Low,Close,Volume
SERVI,2022-10-25,0.35,0.35,0.35,0.35,17779
SERVI,2022-10-26,0.35,0.35,0.35,0.35,11785
SERVI,2022-10-27,0.34,0.35,0.34,0.34,47926
SERVI,2022-10-31,0.34,0.34,0.33,0.34,62819
SERVI,2022-11-03,0.31,0.32,0.31,0.31,6801
SERVI,2022-11-04,0.31,0.31,0.31,0.31,10390
SERVI,2022-11-07,0.3,0.31,0.3,0.3,22876
SERVI,2022-11-08,0.3,0.3,0.3,0.3,17892
SERVI,2022-11-09,0.31,0.31,0.3,0.31,63671
SERVI,2022-11-10,0.32,0.32,0.31,0.32,27914
SERVI,2022-11-15,0.33,0.34,0.33,0.33,30310
SERVI,2022-11-16,0.33,0.33,0.33,0.33,22996
SERVI,2022-11-17,0.34,0.34,0.33,0.34,8280
SERVI,2022-11-18,0.34,0.34,0.34,0.34,4749
SERVI,2022-11-21,0.33,0.34,0.33,0.33,2740
SERVI,2022-11-23,0.32,0.32,0.32,0.32,8694
SERVI,2022-11-30,0.28,0.28,0.28,0.28,28585
SERVI,2022-12-02,0.26,0.27,0.26,0.26,14440
SERVI,2022-12-07,0.23,0.24,0.23,0.23,35930
SERVI,2022-12-09,0.21,0.22,0.21,0.21,92952
SERVI,2022-12-15,0.2,0.2,0.2,0.2,87229
SERVI,2022-12-19,0.18,0.19,0.18,0.18,76463
SERVI,2022-12-20,0.19,0.19,0.18,0.19,29130
SERVI,2022-12-21,0.2,0.2,0.19,0.2,22015
SERVI,2022-12-22,0.21,0.21,0.2,0.21,15540
SERVI,2022-12-23,0.22,0.22,0.21,0.22,16695
SERVI,2022-12-29,0.2,0.21,0.2,0.2,33998
SERVI,2022-12-30,0.21,0.21,0.2,0.21,9900
SERVI,2022-08-02,0.97,1.0,0.97,0.97,1190
SERVI,2022-08-03,0.93,0.97,0.93,0.93,860
SERVI,2022-08-04,0.91,0.93,0.91,0.91,1385
SERVI,2022-08-05,0.95,0.95,0.91,0.95,505
SERVI,2022-08-09,0.88,0.91,0.88,0.88,37626
SERVI,2022-08-10,0.9,0.9,0.88,0.9,800
