Ticker,Date,Open,High,Low,Close,Volume
SFBT,2022-10-24,14.85,14.9,14.7,14.85,18604
SFBT,2022-10-25,14.8,14.85,14.8,14.8,8048
SFBT,2022-10-26,14.77,14.82,14.77,14.77,6959
SFBT,2022-10-27,14.82,14.82,14.7,14.82,15389
SFBT,2022-10-28,14.8,14.85,14.7,14.8,1687
SFBT,2022-10-31,14.79,14.8,14.7,14.79,21859
SFBT,2022-11-01,14.69,14.79,14.51,14.69,23444
SFBT,2022-11-02,14.6,14.69,14.5,14.6,21647
SFBT,2022-11-03,14.4,14.6,14.33,14.4,18002
SFBT,2022-11-04,14.3,14.4,14.2,14.3,4648
SFBT,2022-11-07,14.19,14.3,14.1,14.19,20471
SFBT,2022-11-08,14.0,14.19,13.6,14.0,67557
SFBT,2022-11-09,13.8,14.0,13.72,13.8,11025
SFBT,2022-11-10,13.8,13.8,13.8,13.8,8657
SFBT,2022-11-11,13.72,13.8,13.72,13.72,2340
SFBT,2022-11-14,13.7,13.72,13.6,13.7,15797
SFBT,2022-11-15,13.55,13.7,13.5,13.55,20323
SFBT,2022-11-16,13.4,13.55,13.15,13.4,10146
SFBT,2022-11-17,13.4,13.4,13.35,13.4,4242
SFBT,2022-11-18,13.35,13.4,13.2,13.35,23133
SFBT,2022-11-21,13.38,13.38,13.2,13.38,14391
SFBT,2022-11-22,13.4,13.4,13.02,13.4,197656
SFBT,2022-11-23,13.38,13.55,13.36,13.38,11358
SFBT,2022-11-24,13.25,13.38,13.25,13.25,12320
SFBT,2022-11-25,13.38,13.38,13.35,13.38,614
SFBT,2022-11-28,13.55,13.55,13.37,13.55,27242
SFBT,2022-11-29,13.4,13.55,13.31,13.4,31180
SFBT,2022-11-30,13.35,13.4,13.32,13.35,16260
SFBT,2022-12-01,13.2,13.55,13.2,13.2,23686
SFBT,2022-12-02,13.34,13.34,13.16,13.34,4605
SFBT,2022-12-05,13.15,13.34,13.15,13.15,167476
SFBT,2022-12-06,13.1,13.15,13.08,13.1,9033
SFBT,2022-12-07,13.14,13.15,13.09,13.14,16416
SFBT,2022-12-08,13.12,13.15,13.12,13.12,5172
SFBT,2022-12-09,13.9,13.9,13.12,13.9,20821
SFBT,2022-12-12,14.45,14.7,13.9,14.45,31537
SFBT,2022-12-13,14.3,14.5,14.01,14.3,13853
SFBT,2022-12-14,14.1,14.3,14.03,14.1,185841
SFBT,2022-12-15,14.2,14.3,14.1,14.2,12307
SFBT,2022-12-16,14.2,14.2,14.1,14.2,6086
SFBT,2022-12-19,14.2,14.2,14.1,14.2,911
SFBT,2022-12-20,14.19,14.2,14.11,14.19,244839
SFBT,2022-12-21,14.0,14.19,13.9,14.0,39750
SFBT,2022-12-22,13.8,14.09,13.8,13.8,5633
SFBT,2022-12-23,13.61,14.0,13.4,13.61,21553
SFBT,2022-12-26,13.5,13.8,13.49,13.5,9945
SFBT,2022-12-27,13.5,13.5,13.42,13.5,16963
SFBT,2022-12-28,13.45,13.5,13.2,13.45,8736
SFBT,2022-12-29,13.49,13.49,13.22,13.49,8092
SFBT,2022-12-30,13.49,13.49,13.45,13.49,5950
SFBT,2022-08-01,15.91,16.0,15.86,15.91,950
SFBT,2022-08-02,15.85,15.99,15.85,15.85,8729
SFBT,2022-08-03,15.9,15.9,15.85,15.9,8514
SFBT,2022-08-04,15.9,15.9,15.85,15.9,9755
SFBT,2022-08-05,15.85,15.9,15.78,15.85,8470
SFBT,2022-08-08,15.8,15.85,15.78,15.8,3510
SFBT,2022-08-09,15.8,15.85,15.76,15.8,4433
SFBT,2022-08-10,15.8,15.85,15.8,15.8,21115
SFBT,2022-08-11,15.8,15.8,15.75,15.8,4492
SFBT,2022-08-12,15.85,15.85,15.8,15.85,8225
SFBT,2022-08-15,15.8,15.85,15.71,15.8,5341
SFBT,2022-08-16,15.89,15.94,15.8,15.89,19488
SFBT,2022-08-17,15.8,15.9,15.75,15.8,19824
SFBT,2022-08-18,15.8,15.8,15.75,15.8,6003
SFBT,2022-08-19,15.8,15.8,15.75,15.8,3956
SFBT,2022-08-22,15.9,15.9,15.8,15.9,22313
SFBT,2022-08-23,15.85,15.9,15.83,15.85,1879
SFBT,2022-08-24,15.9,15.9,15.85,15.9,13776
SFBT,2022-08-25,16.19,16.2,15.9,16.19,6546
SFBT,2022-08-26,16.09,16.19,15.95,16.09,1829
SFBT,2022-08-29,15.95,16.18,15.95,15.95,15145
SFBT,2022-08-30,16.0,16.04,15.95,16.0,2250
SFBT,2022-08-31,16.0,16.02,15.98,16.0,5979
SFBT,2022-09-01,16.0,16.0,15.96,16.0,6701
SFBT,2022-09-02,16.0,16.18,15.95,16.0,6003
SFBT,2022-09-05,16.0,16.0,15.95,16.0,1746
SFBT,2022-09-06,15.95,16.0,15.95,15.95,6431
SFBT,2022-09-07,16.0,16.0,15.91,16.0,6871
SFBT,2022-09-08,15.85,16.0,15.8,15.85,26055
SFBT,2022-09-09,15.81,15.85,15.77,15.81,5754
SFBT,2022-09-12,15.85,15.9,15.81,15.85,10241
SFBT,2022-09-13,15.88,15.88,15.84,15.88,9382
SFBT,2022-09-14,15.85,15.88,15.8,15.85,8779
SFBT,2022-09-15,15.86,15.86,15.82,15.86,12367
SFBT,2022-09-16,15.89,15.9,15.84,15.89,10355
SFBT,2022-09-19,15.88,15.9,15.88,15.88,5082
SFBT,2022-09-20,15.88,15.88,15.84,15.88,11481
SFBT,2022-09-21,15.88,15.88,15.81,15.88,8515
SFBT,2022-09-22,15.88,15.9,15.81,15.88,16784
SFBT,2022-09-23,15.74,15.88,15.7,15.74,105845
SFBT,2022-09-26,15.74,15.9,15.69,15.74,13464
SFBT,2022-09-27,15.41,15.75,15.4,15.41,22963
SFBT,2022-09-28,15.2,15.6,15.1,15.2,27479
SFBT,2022-09-29,15.6,15.76,15.2,15.6,15135
SFBT,2022-09-30,15.51,15.6,15.5,15.51,8700
SFBT,2022-10-03,15.5,15.51,15.4,15.5,7207
SFBT,2022-10-04,15.39,15.69,15.23,15.39,13101
SFBT,2022-10-05,15.2,15.6,15.2,15.2,4546
SFBT,2022-10-06,15.46,15.55,15.1,15.46,16577
SFBT,2022-10-07,15.22,15.46,15.2,15.22,4022
SFBT,2022-10-10,15.45,15.48,15.2,15.45,13809
SFBT,2022-10-11,15.33,15.45,15.2,15.33,3609
SFBT,2022-10-12,15.2,15.33,15.15,15.2,8970
SFBT,2022-10-13,15.2,15.2,15.11,15.2,6710
SFBT,2022-10-14,15.1,15.38,15.09,15.1,17207
SFBT,2022-10-17,15.0,15.12,15.0,15.0,8855
SFBT,2022-10-18,15.09,15.2,15.0,15.09,23184
SFBT,2022-10-19,14.95,15.09,14.9,14.95,27740
SFBT,2022-10-20,14.96,15.0,14.95,14.96,14959
SFBT,2022-10-21,14.9,15.09,14.9,14.9,3818
SFBT,2022-10-24,14.85,14.9,14.7,14.85,18604
SFBT,2022-05-09,16.65,16.7,16.65,16.65,6413
SFBT,2022-05-10,16.4,16.7,16.219,16.4,14549
SFBT,2022-05-11,15.43,16.49,15.42,15.43,69926
SFBT,2022-05-12,16.1,16.3,15.6,16.1,24340
SFBT,2022-05-13,16.25,16.48,15.98,16.25,53935
SFBT,2022-05-16,16.2,16.39,16.0,16.2,6761
SFBT,2022-05-17,16.07,16.2,15.96,16.07,16432
SFBT,2022-05-18,16.19,16.19,16.0,16.19,2703
SFBT,2022-05-19,15.99,16.02,15.86,15.99,17392
SFBT,2022-05-20,16.0,16.2,15.95,16.0,27617
SFBT,2022-05-23,16.19,16.2,16.149,16.19,9087
SFBT,2022-05-24,15.7,16.2,15.61,15.7,9906
SFBT,2022-05-25,15.8,16.0,15.8,15.8,26245
SFBT,2022-05-26,15.7,15.8,15.65,15.7,21543
SFBT,2022-05-27,15.7,15.7,15.66,15.7,14771
SFBT,2022-05-30,15.67,15.69,15.66,15.67,10139
SFBT,2022-05-31,15.55,15.69,15.55,15.55,10686
SFBT,2022-06-01,15.58,15.6,15.57,15.58,8227
SFBT,2022-06-02,15.3,15.57,15.0,15.3,27987
SFBT,2022-06-03,15.0,15.3,14.8,15.0,31873
SFBT,2022-06-06,14.99,15.0,14.9,14.99,3812
SFBT,2022-06-07,14.85,15.0,14.82,14.85,11894
SFBT,2022-06-08,15.0,15.0,14.82,15.0,9353
SFBT,2022-06-09,14.99,15.0,14.89,14.99,7542
SFBT,2022-06-10,14.9,15.0,14.9,14.9,4874
SFBT,2022-06-13,15.0,15.1,14.9,15.0,21226
SFBT,2022-06-14,15.1,15.18,14.97,15.1,4434
SFBT,2022-06-15,15.6,15.6,15.1,15.6,4094
SFBT,2022-06-16,15.69,15.7,15.58,15.69,29577
SFBT,2022-06-17,15.71,15.9,15.7,15.71,5250
SFBT,2022-06-20,15.63,15.8,15.63,15.63,3076
SFBT,2022-06-21,15.6,15.6,15.52,15.6,1902
SFBT,2022-06-22,15.75,15.75,15.5,15.75,7137
SFBT,2022-06-23,15.72,15.88,15.71,15.72,13028
SFBT,2022-06-24,15.75,15.78,15.72,15.75,2096
SFBT,2022-06-27,15.7,15.78,15.61,15.7,6550
SFBT,2022-06-28,15.75,15.75,15.6,15.75,1777
SFBT,2022-06-29,15.7,15.75,15.6,15.7,3552
SFBT,2022-06-30,15.7,15.7,15.65,15.7,6596
SFBT,2022-07-01,15.55,15.74,15.55,15.55,3497
SFBT,2022-07-04,15.7,15.7,15.42,15.7,3664
SFBT,2022-07-05,15.6,15.7,15.6,15.6,5177
SFBT,2022-07-06,15.64,15.69,15.5,15.64,1418
SFBT,2022-07-07,15.45,15.64,15.45,15.45,2782
SFBT,2022-07-08,15.45,15.5,15.41,15.45,6631
SFBT,2022-07-11,15.65,15.68,15.4,15.65,511
SFBT,2022-07-12,15.65,15.65,15.4,15.65,1811
SFBT,2022-07-13,15.6,15.65,15.55,15.6,1170
SFBT,2022-07-14,15.6,15.6,15.5,15.6,11102
SFBT,2022-07-15,15.51,15.67,15.51,15.51,5296
SFBT,2022-07-18,15.58,15.58,15.51,15.58,8310
SFBT,2022-07-19,15.55,15.58,15.5,15.55,10710
SFBT,2022-07-20,15.55,15.55,15.5,15.55,2162
SFBT,2022-07-21,15.56,15.6,15.55,15.56,6753
SFBT,2022-07-22,15.8,15.8,15.56,15.8,5648
SFBT,2022-07-26,15.7,16.0,15.7,15.7,7193
SFBT,2022-07-27,15.95,15.95,15.7,15.95,7364
SFBT,2022-07-28,15.9,15.95,15.8,15.9,4960
SFBT,2022-07-29,15.98,15.98,15.8,15.98,5666
SFBT,2022-02-11,18.18,18.19,18.03,18.18,5415
SFBT,2022-02-14,18.17,18.18,18.1,18.17,1685
SFBT,2022-02-15,18.25,18.25,18.03,18.25,14130
SFBT,2022-02-16,18.19,18.25,18.0,18.19,22482
SFBT,2022-02-17,18.18,18.2,18.0,18.18,10266
SFBT,2022-02-18,18.17,18.18,18.1,18.17,12626
SFBT,2022-02-21,18.17,18.18,18.02,18.17,5553
SFBT,2022-02-22,18.0,18.17,17.85,18.0,34139
SFBT,2022-02-23,18.0,18.0,17.9,18.0,3723
SFBT,2022-02-24,17.9,18.0,17.81,17.9,12745
SFBT,2022-02-25,17.89,17.98,17.8,17.89,10844
SFBT,2022-02-28,17.9,18.0,17.89,17.9,18377
SFBT,2022-03-01,17.8,18.0,17.8,17.8,7293
SFBT,2022-03-02,18.0,18.0,17.76,18.0,7938
SFBT,2022-03-03,17.85,18.0,17.76,17.85,2108
SFBT,2022-03-04,17.8,17.99,17.8,17.8,2907
