Ticker,Date,Open,High,Low,Close,Volume
SIAME,2022-10-24,3.5,3.55,3.5,3.5,1531
SIAME,2022-10-25,3.5,3.5,3.44,3.5,3150
SIAME,2022-10-26,3.65,3.69,3.5,3.65,695685
SIAME,2022-10-27,3.65,3.65,3.65,3.65,553
SIAME,2022-10-28,3.65,3.65,3.6,3.65,820
SIAME,2022-10-31,3.65,3.65,3.65,3.65,45255
SIAME,2022-11-01,3.62,3.65,3.62,3.62,20757
SIAME,2022-11-07,3.6,3.64,3.6,3.6,7354
SIAME,2022-11-08,3.6,3.6,3.6,3.6,1000
SIAME,2022-11-10,3.57,3.6,3.57,3.57,3000
SIAME,2022-11-11,3.57,3.59,3.54,3.57,946
SIAME,2022-11-14,3.58,3.58,3.46,3.58,1025
SIAME,2022-11-17,3.58,3.59,3.57,3.58,1317
SIAME,2022-11-18,3.6,3.6,3.58,3.6,7070
SIAME,2022-11-21,3.6,3.65,3.6,3.6,4759
SIAME,2022-11-22,3.79,3.8,3.6,3.79,154420
SIAME,2022-11-23,3.79,3.79,3.75,3.79,2554
SIAME,2022-11-24,3.77,3.79,3.75,3.77,322
SIAME,2022-11-25,3.79,3.79,3.7,3.79,1090
SIAME,2022-11-28,3.75,3.79,3.73,3.75,5734
SIAME,2022-11-29,3.75,3.75,3.7,3.75,5100
SIAME,2022-11-30,3.75,3.75,3.74,3.75,2470
SIAME,2022-12-01,3.7,3.75,3.63,3.7,2817
SIAME,2022-12-02,3.7,3.7,3.7,3.7,200
SIAME,2022-12-05,3.7,3.74,3.7,3.7,4005
SIAME,2022-12-06,3.73,3.73,3.58,3.73,9501
SIAME,2022-12-07,3.7,3.73,3.66,3.7,109
SIAME,2022-12-09,3.7,3.7,3.69,3.7,70100
SIAME,2022-12-12,3.7,3.7,3.61,3.7,2355
SIAME,2022-12-13,3.7,3.7,3.7,3.7,495
SIAME,2022-12-14,3.7,3.7,3.63,3.7,2055
SIAME,2022-12-15,3.69,3.7,3.69,3.69,5100
SIAME,2022-12-16,3.68,3.7,3.64,3.68,1459
SIAME,2022-12-19,3.67,3.68,3.64,3.67,200
SIAME,2022-12-20,3.67,3.67,3.66,3.67,2984
SIAME,2022-12-21,3.68,3.68,3.67,3.68,589
SIAME,2022-12-22,3.68,3.68,3.68,3.68,83
SIAME,2022-12-23,3.68,3.68,3.6,3.68,1526
SIAME,2022-12-26,3.66,3.68,3.51,3.66,1502
SIAME,2022-12-27,3.75,3.83,3.66,3.75,12552
SIAME,2022-12-28,3.72,3.79,3.7,3.72,6097
SIAME,2022-12-29,3.83,3.85,3.76,3.83,16621
SIAME,2022-12-30,3.83,3.83,3.78,3.83,2813
SIAME,2022-08-01,3.82,3.83,3.76,3.82,1225
SIAME,2022-08-02,3.81,3.82,3.75,3.81,1197
SIAME,2022-08-03,3.79,3.81,3.73,3.79,2279
SIAME,2022-08-04,3.8,3.8,3.79,3.8,1
SIAME,2022-08-05,3.78,3.8,3.75,3.78,1991
SIAME,2022-08-08,3.78,3.8,3.73,3.78,1132
SIAME,2022-08-09,3.8,3.8,3.73,3.8,1667
