Ticker,Date,Open,High,Low,Close,Volume
SIMPA,2022-10-26,32.44,32.44,32.0,32.44,3
SIMPA,2022-10-27,32.44,32.44,32.439,32.44,100
SIMPA,2022-10-28,32.44,32.44,32.44,32.44,50
SIMPA,2022-10-31,32.43,32.44,32.43,32.43,50
SIMPA,2022-11-01,32.6,32.6,32.43,32.6,301
SIMPA,2022-11-03,32.59,32.6,32.59,32.59,30
SIMPA,2022-11-04,32.8,32.8,32.59,32.8,30
SIMPA,2022-11-07,32.8,32.8,32.8,32.8,30
SIMPA,2022-11-08,34.27,34.27,32.8,34.27,72
SIMPA,2022-11-09,34.27,34.27,34.27,34.27,30
SIMPA,2022-11-16,34.27,34.27,34.27,34.27,40
SIMPA,2022-11-17,34.27,34.27,34.27,34.27,50
SIMPA,2022-11-18,34.27,34.27,34.27,34.27,100
SIMPA,2022-11-21,34.27,34.27,34.27,34.27,100
SIMPA,2022-11-22,34.27,34.27,34.27,34.27,100
SIMPA,2022-11-23,34.27,34.27,34.27,34.27,100
SIMPA,2022-11-24,34.27,34.27,34.27,34.27,100
SIMPA,2022-11-25,34.27,34.27,34.27,34.27,20
SIMPA,2022-11-28,34.27,34.27,34.27,34.27,84
SIMPA,2022-11-29,34.27,34.27,34.27,34.27,100
SIMPA,2022-12-05,34.27,34.27,34.27,34.27,10
SIMPA,2022-12-07,34.27,34.27,34.27,34.27,10
SIMPA,2022-12-14,34.27,34.27,34.27,34.27,2
SIMPA,2022-12-30,35.0,35.0,34.27,35.0,163
SIMPA,2022-10-10,29.98,31.39,29.98,29.98,10
SIMPA,2022-10-11,28.64,29.98,28.64,28.64,10
SIMPA,2022-10-19,31.29,31.29,31.26,31.29,4
SIMPA,2022-03-15,,,,,59
SIMPA,2022-03-16,,,,,330
SIMPA,2021-12-22,32.43,34.5,32.43,32.43,100
SIMPA,2021-12-28,34.0,34.0,32.43,34.0,200
SIMPA,2021-12-29,34.5,34.5,34.0,34.5,185
SIMPA,2021-12-30,35.0,35.0,34.5,35.0,50
SIMPA,2021-12-31,35.0,36.0,35.0,35.0,150
SIMPA,2022-01-21,33.99,35.0,33.99,33.99,500
SIMPA,2022-01-25,33.99,33.99,33.99,33.99,100
SIMPA,2022-01-27,33.98,33.99,33.98,33.98,8
SIMPA,2022-01-31,33.98,33.98,33.98,33.98,23
SIMPA,2022-02-04,33.98,33.98,33.98,33.98,200
SIMPA,2022-02-07,33.99,33.99,33.98,33.99,268
SIMPA,2022-02-10,34.0,34.0,33.99,34.0,125
SIMPA,2021-10-13,34.5,34.5,34.48,34.5,161
SIMPA,2021-06-09,35.5,35.5,35.5,35.5,20
SIMPA,2021-06-15,34.51,34.51,34.51,34.51,15
SIMPA,2021-06-17,34.51,34.51,34.51,34.51,960
SIMPA,2021-06-18,34.51,35.5,34.51,35.5,75
SIMPA,2021-06-25,34.51,34.51,34.51,34.51,15
SIMPA,2021-07-27,34.5,34.5,34.5,34.5,41
SIMPA,2021-03-11,34.5,34.5,34.5,34.5,100
SIMPA,2021-03-16,34.5,34.5,34.5,34.5,150
SIMPA,2021-03-17,34.5,34.5,34.5,34.5,50
SIMPA,2021-03-19,34.5,34.5,34.5,34.5,165
SIMPA,2021-03-23,34.5,34.5,34.5,34.5,50
SIMPA,2021-03-25,34.5,34.5,34.5,34.5,126
SIMPA,2021-03-30,34.5,34.5,34.5,34.5,50
SIMPA,2021-04-05,34.5,34.5,34.5,34.5,5
SIMPA,2021-04-07,34.5,34.5,34.5,34.5,195
SIMPA,2021-04-19,34.5,34.5,34.5,34.5,800
SIMPA,2021-04-21,34.5,34.5,34.5,34.5,4
SIMPA,2021-04-23,34.5,34.5,34.5,34.5,996
SIMPA,2021-04-28,34.5,34.5,34.5,34.5,1000
SIMPA,2021-04-29,34.5,34.5,34.5,34.5,608
SIMPA,2021-04-30,34.5,34.5,34.5,34.5,455
SIMPA,2021-05-05,34.5,34.5,34.5,34.5,14
SIMPA,2021-05-10,34.5,34.5,34.5,34.5,37
SIMPA,2021-05-17,34.5,34.5,34.5,34.5,40
SIMPA,2021-05-18,34.5,34.5,34.5,34.5,85
SIMPA,2021-05-19,34.5,34.5,34.5,34.5,52
SIMPA,2021-05-21,34.5,34.5,34.5,34.5,107
SIMPA,2021-05-24,34.5,34.5,34.5,34.5,100
SIMPA,2021-05-25,34.5,34.5,34.5,34.5,30
SIMPA,2021-05-28,35.5,35.5,35.5,35.5,21
SIMPA,2020-12-30,33.1,33.1,33.0,33.0,12
SIMPA,2021-01-11,32.01,32.01,32.01,32.01,7
SIMPA,2021-01-12,31.05,31.05,30.12,30.12,18
SIMPA,2021-01-25,30.0,30.0,30.0,30.0,120
SIMPA,2021-01-29,29.25,29.25,29.1,29.1,201
SIMPA,2021-02-12,28.23,28.23,28.23,28.23,2
SIMPA,2021-02-17,28.23,29.0,28.23,29.0,194
SIMPA,2021-02-18,29.0,29.0,28.23,29.0,95
SIMPA,2021-02-23,29.87,29.87,29.87,29.87,2
SIMPA,2021-02-24,31.21,31.68,31.21,31.68,50
SIMPA,2021-02-25,31.68,31.68,31.68,31.68,61
SIMPA,2021-02-26,33.59,34.59,33.58,34.59,86
SIMPA,2021-03-01,35.62,35.62,35.62,35.62,20
SIMPA,2021-03-02,35.62,35.62,35.62,35.62,2
SIMPA,2021-03-03,34.03,35.99,34.03,35.99,74
SIMPA,2021-03-05,35.0,35.5,35.0,35.5,31
SIMPA,2020-10-06,38.6,38.61,38.6,38.61,2045
SIMPA,2020-10-28,38.61,38.61,38.61,38.61,44
SIMPA,2020-11-02,39.0,39.0,37.46,37.46,629
SIMPA,2020-11-05,38.58,38.58,38.58,38.58,1
SIMPA,2020-11-26,38.58,38.58,38.58,38.58,541
SIMPA,2020-12-11,35.2,35.2,35.2,35.2,3
SIMPA,2020-06-26,38.8,38.8,38.8,38.8,3
SIMPA,2020-07-16,39.8,39.8,39.8,39.8,5
SIMPA,2020-07-17,39.8,39.8,39.8,39.8,45
SIMPA,2020-06-17,40.0,40.0,40.0,40.0,5545
SIMPA,2020-06-18,39.99,40.0,39.99,40.0,980
SIMPA,2020-06-26,38.8,38.8,38.8,38.8,3
SIMPA,2020-01-08,38.32,38.32,38.32,38.32,1
SIMPA,2020-01-09,38.3,38.3,37.17,38.3,104
SIMPA,2020-01-10,39.3,39.5,38.5,39.4,9849
SIMPA,2020-01-13,39.49,39.5,39.49,39.5,1195
SIMPA,2020-01-21,38.32,39.5,38.32,39.5,809
SIMPA,2020-01-22,39.5,39.5,39.5,39.5,100
SIMPA,2020-01-30,39.0,39.0,39.0,39.0,2
SIMPA,2020-02-05,39.0,39.0,39.0,39.0,101
SIMPA,2020-02-07,39.49,39.5,39.49,39.5,150
SIMPA,2020-02-12,39.0,39.0,39.0,39.0,30
