Ticker,Date,Open,High,Low,Close,Volume
SIPHA,2022-10-24,4.34,4.34,4.3,4.34,60
SIPHA,2022-10-26,4.3,4.34,4.3,4.3,300
SIPHA,2022-11-30,4.11,4.3,4.11,4.11,5
SIPHA,2022-08-26,3.28,3.28,3.28,3.28,55
SIPHA,2022-08-29,3.23,3.28,3.23,3.23,33
SIPHA,2022-08-30,3.22,3.23,3.22,3.22,33
SIPHA,2022-09-01,3.23,3.23,3.22,3.23,5
SIPHA,2022-09-06,3.59,3.59,3.52,3.59,280
SIPHA,2022-09-08,3.89,3.89,3.75,3.89,34
SIPHA,2022-09-09,3.89,3.89,3.89,3.89,5
SIPHA,2022-09-12,4.06,4.06,3.89,4.06,57
SIPHA,2022-09-13,4.04,4.06,4.04,4.04,518
SIPHA,2022-09-14,4.1,4.1,4.04,4.1,77
SIPHA,2022-09-15,4.11,4.11,4.1,4.11,25
SIPHA,2022-10-03,3.93,3.93,3.93,3.93,5
SIPHA,2022-10-06,3.93,3.93,3.93,3.93,7
SIPHA,2022-10-11,3.93,3.93,3.93,3.93,7
SIPHA,2022-10-12,4.1,4.1,3.93,4.1,50
SIPHA,2022-10-14,4.1,4.1,4.1,4.1,10
SIPHA,2022-10-18,4.1,4.1,4.1,4.1,61
SIPHA,2022-10-21,4.3,4.3,4.28,4.3,488
SIPHA,2022-10-24,4.34,4.34,4.3,4.34,60
SIPHA,2022-05-09,3.95,3.95,3.9,3.95,150
SIPHA,2022-05-17,4.0,4.0,3.95,4.0,18
SIPHA,2022-06-03,3.65,3.65,3.65,3.65,29
SIPHA,2022-06-07,3.49,3.49,3.49,3.49,6
SIPHA,2022-06-09,3.62,3.62,3.49,3.62,100
SIPHA,2022-06-10,3.65,3.65,3.62,3.65,19
SIPHA,2022-06-13,3.81,3.81,3.65,3.81,57
SIPHA,2022-06-15,3.81,3.81,3.81,3.81,148
SIPHA,2022-06-17,3.65,3.81,3.65,3.65,1352
SIPHA,2022-06-20,3.59,3.65,3.59,3.59,172
SIPHA,2022-02-11,3.68,3.73,3.68,3.68,77
SIPHA,2022-02-14,3.69,3.69,3.68,3.69,80
SIPHA,2022-02-23,3.4,3.53,3.4,3.4,50
SIPHA,2022-02-28,3.25,3.4,3.25,3.25,1550
SIPHA,2022-03-09,3.2,3.24,3.2,3.2,210
SIPHA,2022-03-10,3.2,3.2,3.2,3.2,26
SIPHA,2022-03-11,3.25,3.25,3.2,3.25,100
SIPHA,2022-03-21,3.54,3.54,3.54,3.54,100
SIPHA,2022-04-21,3.53,3.53,3.53,3.53,550
SIPHA,2022-04-28,3.58,3.58,3.53,3.58,50
SIPHA,2022-05-04,3.74,3.74,3.58,3.74,2
SIPHA,2022-05-05,3.9,3.9,3.74,3.9,25
SIPHA,2022-05-06,3.9,3.9,3.9,3.9,12
SIPHA,2021-12-14,5.6,5.6,5.6,5.6,20
SIPHA,2022-01-31,3.9,4.07,3.9,3.9,6
SIPHA,2022-02-04,3.9,3.9,3.9,3.9,16
SIPHA,2022-02-11,3.68,3.73,3.68,3.68,77
SIPHA,2021-09-14,6.12,6.12,6.12,6.12,32
SIPHA,2021-09-15,6.12,6.12,6.12,6.12,46
SIPHA,2021-10-20,6.12,6.12,6.12,6.12,800
SIPHA,2021-11-09,5.61,5.85,5.61,5.61,22
SIPHA,2021-11-11,5.61,5.61,5.61,5.61,100
SIPHA,2021-11-15,5.6,5.61,5.6,5.6,6
SIPHA,2021-06-04,5.5,5.5,5.5,5.5,12
SIPHA,2021-06-18,3.95,3.95,3.95,3.95,2
SIPHA,2021-06-24,4.12,4.24,4.12,4.24,7
SIPHA,2021-06-28,4.62,4.62,4.62,4.62,1
SIPHA,2021-07-08,5.15,5.15,5.15,5.15,2
SIPHA,2021-07-09,5.3,5.3,5.3,5.3,1
SIPHA,2021-07-12,5.45,5.45,5.45,5.45,5
SIPHA,2021-07-13,5.61,5.61,5.61,5.61,200
SIPHA,2021-07-14,5.77,5.77,5.77,5.77,2
SIPHA,2021-07-16,5.94,5.94,5.94,5.94,1
SIPHA,2021-07-19,6.11,6.11,6.11,6.11,1
SIPHA,2021-03-12,3.88,3.88,3.88,3.88,21
SIPHA,2021-03-15,3.88,3.88,3.88,3.88,13
SIPHA,2021-03-16,3.88,3.99,3.88,3.99,148
SIPHA,2021-03-17,4.08,4.08,4.08,4.08,22
SIPHA,2021-03-19,4.08,4.2,4.08,4.2,296
SIPHA,2021-03-23,4.28,4.28,4.2,4.2,101
SIPHA,2021-03-24,4.28,4.3,4.28,4.3,256
SIPHA,2021-03-25,4.4,4.45,4.4,4.45,352
SIPHA,2021-03-26,4.45,4.48,4.45,4.48,117
SIPHA,2021-03-29,4.5,4.5,4.5,4.5,122
SIPHA,2021-04-01,4.6,4.6,4.6,4.6,122
SIPHA,2021-04-02,4.73,4.73,4.73,4.73,2
SIPHA,2021-04-05,4.73,4.73,4.73,4.73,25
SIPHA,2021-04-06,4.75,4.8,4.75,4.8,113
SIPHA,2021-04-07,4.8,4.94,4.8,4.94,133
SIPHA,2021-04-08,4.98,5.09,4.98,5.09,103
SIPHA,2021-04-12,5.24,5.24,5.24,5.24,11
SIPHA,2021-04-14,5.39,5.39,5.39,5.39,2
SIPHA,2021-04-15,5.49,5.49,5.49,5.49,40
SIPHA,2021-04-16,5.5,5.66,5.5,5.66,40
SIPHA,2021-04-19,5.82,5.82,5.82,5.82,2
SIPHA,2021-04-20,5.98,5.98,5.98,5.98,12
SIPHA,2021-04-21,5.98,5.98,5.98,5.98,90
SIPHA,2021-04-22,5.98,5.98,5.98,5.98,100
SIPHA,2021-04-23,5.98,5.98,5.98,5.98,160
SIPHA,2021-04-27,5.98,5.98,5.98,5.98,20
SIPHA,2021-04-28,6.0,6.0,6.0,6.0,18
SIPHA,2021-04-29,6.18,6.18,6.18,6.18,2
SIPHA,2021-04-30,6.0,6.18,6.0,6.18,52
SIPHA,2021-05-03,6.24,6.24,6.24,6.24,2
SIPHA,2021-05-07,6.24,6.24,6.2,6.2,25
SIPHA,2021-05-10,6.2,6.2,6.2,6.2,2
SIPHA,2021-05-11,6.2,6.2,6.2,6.2,1
SIPHA,2021-05-17,6.1,6.2,6.1,6.2,80
SIPHA,2020-12-16,4.05,4.05,4.05,4.05,222
SIPHA,2020-12-23,4.05,4.05,4.05,4.05,20
SIPHA,2020-12-31,3.84,3.84,3.84,3.84,639
SIPHA,2021-01-05,3.73,3.73,3.73,3.73,405
SIPHA,2021-01-07,3.83,3.83,3.83,3.83,141
SIPHA,2021-01-08,3.83,3.83,3.83,3.83,9
SIPHA,2021-01-21,3.94,3.94,3.94,3.94,133
SIPHA,2021-01-27,3.94,3.94,3.94,3.94,100
SIPHA,2021-01-29,3.7,3.71,3.7,3.71,123
SIPHA,2021-02-02,3.6,3.6,3.6,3.6,6
SIPHA,2021-02-08,3.5,3.5,3.5,3.5,200
SIPHA,2021-02-11,3.6,3.6,3.6,3.6,12
SIPHA,2021-02-15,3.5,3.5,3.5,3.5,15
SIPHA,2021-02-17,3.6,3.6,3.6,3.6,6
SIPHA,2021-02-18,3.6,3.6,3.6,3.6,2
SIPHA,2021-02-19,3.6,3.6,3.6,3.6,210
SIPHA,2021-02-25,3.7,3.7,3.7,3.7,11
SIPHA,2021-02-26,3.6,3.6,3.6,3.6,2
SIPHA,2021-03-01,3.5,3.5,3.5,3.5,2
SIPHA,2021-03-04,3.41,3.41,3.4,3.4,1558
SIPHA,2021-03-05,3.32,3.32,3.32,3.32,2
SIPHA,2020-09-21,4.84,4.84,4.84,4.84,1
SIPHA,2020-09-22,4.84,4.84,4.84,4.84,420
SIPHA,2020-09-23,4.7,4.7,4.7,4.7,5
SIPHA,2020-09-24,4.85,5.06,4.85,5.06,125
SIPHA,2020-09-25,5.06,5.1,5.06,5.1,249
SIPHA,2020-10-05,4.95,4.95,4.95,4.95,1
SIPHA,2020-10-06,4.95,4.95,4.95,4.95,8
SIPHA,2020-10-07,4.95,5.09,4.95,5.09,51
SIPHA,2020-10-08,5.1,5.1,5.1,5.1,25
SIPHA,2020-10-09,5.1,5.1,5.1,5.1,174
SIPHA,2020-10-16,4.73,4.73,4.73,4.73,2
SIPHA,2020-10-19,4.73,4.73,4.73,4.73,10
SIPHA,2020-10-20,4.73,4.73,4.73,4.73,118
SIPHA,2020-10-21,4.39,4.39,4.39,4.39,2
SIPHA,2020-10-23,4.29,4.41,4.29,4.41,11
SIPHA,2020-10-26,4.31,4.31,4.31,4.31,3
SIPHA,2020-10-27,4.32,4.32,4.32,4.32,78
SIPHA,2020-11-03,4.31,4.31,4.31,4.31,10
SIPHA,2020-11-04,4.31,4.31,4.31,4.31,106
SIPHA,2020-11-06,4.19,4.19,4.11,4.11,16
SIPHA,2020-11-09,4.12,4.12,4.12,4.12,6
SIPHA,2020-11-10,4.24,4.24,4.24,4.24,8
SIPHA,2020-11-11,4.31,4.31,4.31,4.31,94
SIPHA,2020-11-13,4.31,4.31,4.31,4.31,1
SIPHA,2020-11-16,4.31,4.31,4.31,4.31,141
SIPHA,2020-11-17,4.31,4.31,4.31,4.31,111
SIPHA,2020-11-18,4.31,4.31,4.31,4.31,247
SIPHA,2020-11-19,4.4,4.4,4.4,4.4,5
SIPHA,2020-11-25,4.31,4.31,4.31,4.31,5
SIPHA,2020-11-26,4.31,4.31,4.31,4.31,92
SIPHA,2020-06-30,4.69,4.69,4.69,4.69,133
SIPHA,2020-07-03,4.83,4.83,4.83,4.83,10
SIPHA,2020-07-13,4.88,4.88,4.88,4.88,111
SIPHA,2020-07-14,4.97,4.97,4.97,4.97,133
SIPHA,2020-07-15,5.1,5.1,5.1,5.1,2
SIPHA,2020-07-17,4.95,4.95,4.95,4.95,10
SIPHA,2020-07-23,4.95,4.95,4.95,4.95,74
SIPHA,2020-08-03,4.81,4.81,4.81,4.81,67
SIPHA,2020-08-05,4.96,4.96,4.96,4.96,6
SIPHA,2020-08-07,5.1,5.1,5.1,5.1,11
SIPHA,2020-08-11,5.1,5.1,5.1,5.1,109
SIPHA,2020-08-19,5.11,5.11,5.11,5.11,5
SIPHA,2020-08-25,4.82,4.82,4.82,4.82,109
SIPHA,2020-08-27,4.82,4.82,4.82,4.82,13
SIPHA,2020-09-04,4.82,4.82,4.82,4.82,6
SIPHA,2020-09-08,4.57,4.57,4.57,4.57,126
SIPHA,2020-09-09,4.44,4.44,4.44,4.44,37
SIPHA,2020-09-10,4.3,4.3,4.3,4.3,11
SIPHA,2020-09-11,4.31,4.31,4.31,4.31,25
SIPHA,2020-09-18,4.57,4.7,4.57,4.7,649
SIPHA,2020-04-13,5.66,5.66,5.66,5.66,30
SIPHA,2020-04-17,5.18,5.18,5.18,5.18,5
SIPHA,2020-04-20,5.33,5.33,5.33,5.33,1
SIPHA,2020-04-23,5.48,5.48,5.48,5.48,1
SIPHA,2020-04-29,5.48,5.48,5.48,5.48,119
SIPHA,2020-05-08,5.64,5.64,5.64,5.64,1
SIPHA,2020-05-11,5.8,5.8,5.8,5.8,1
SIPHA,2020-05-14,5.63,5.63,5.63,5.63,20
SIPHA,2020-05-27,5.62,5.62,5.62,5.62,30
SIPHA,2020-05-29,5.77,5.77,5.77,5.77,1
SIPHA,2020-06-01,5.6,5.6,5.6,5.6,101
SIPHA,2020-06-22,4.96,4.96,4.96,4.96,2
SIPHA,2020-06-24,4.7,4.7,4.56,4.56,263
SIPHA,2020-06-25,4.43,4.43,4.43,4.43,135
SIPHA,2020-01-08,4.66,4.66,4.66,4.66,12
SIPHA,2020-01-17,3.89,4.0,3.89,4.0,16
SIPHA,2020-01-21,4.08,4.08,4.08,4.08,112
SIPHA,2020-01-22,3.96,3.97,3.96,3.97,508
SIPHA,2020-01-23,3.97,3.97,3.97,3.97,122
SIPHA,2020-02-06,4.59,4.59,4.59,4.59,290
SIPHA,2020-02-07,4.59,4.59,4.59,4.59,23
SIPHA,2020-02-11,4.98,4.98,4.98,4.98,11
SIPHA,2020-02-14,4.97,4.98,4.97,4.98,31
SIPHA,2020-02-17,4.98,4.98,4.98,4.98,125
SIPHA,2020-02-18,4.96,4.96,4.96,4.96,460
SIPHA,2020-02-19,4.98,4.99,4.98,4.99,125
SIPHA,2020-02-20,4.99,4.99,4.99,4.99,220
SIPHA,2020-02-21,5.0,5.0,5.0,5.0,80
SIPHA,2020-02-24,5.0,5.15,5.0,5.15,920
SIPHA,2020-02-25,5.24,5.39,5.24,5.39,1421
SIPHA,2020-02-26,5.54,5.54,5.54,5.54,160
SIPHA,2020-02-27,5.59,5.59,5.59,5.59,80
SIPHA,2020-02-28,5.59,5.59,5.59,5.59,215
SIPHA,2020-03-02,5.75,5.92,5.75,5.92,311
SIPHA,2020-03-03,5.99,6.2,5.99,6.2,85
SIPHA,2020-03-04,6.2,6.2,6.02,6.02,80
SIPHA,2020-03-05,6.19,6.19,6.19,6.19,1
SIPHA,2020-03-06,6.01,6.01,5.85,5.85,56
SIPHA,2020-03-11,5.19,5.19,5.19,5.19,2
SIPHA,2020-03-12,5.19,5.19,5.19,5.19,20
SIPHA,2020-03-16,4.82,5.04,4.82,5.04,42
SIPHA,2020-03-19,4.89,4.89,4.89,4.89,30
SIPHA,2020-03-24,5.03,5.03,5.03,5.03,50
SIPHA,2020-03-27,5.48,5.48,5.48,5.48,50
SIPHA,2020-03-30,5.5,5.5,5.5,5.5,200
SIPHA,2020-03-31,5.5,5.5,5.5,5.5,30
SIPHA,2019-10-18,4.09,4.09,4.09,4.09,1800
SIPHA,2019-10-22,4.09,4.21,4.09,4.21,502
SIPHA,2019-10-23,4.03,4.03,4.03,4.03,76
SIPHA,2019-10-24,4.15,4.15,4.15,4.15,2
SIPHA,2019-10-29,3.97,4.14,3.97,4.14,216
SIPHA,2019-10-30,4.16,4.28,4.16,4.28,153
SIPHA,2019-10-31,4.36,4.47,4.36,4.47,110
SIPHA,2019-11-01,4.44,4.44,4.44,4.44,50
SIPHA,2019-11-04,4.47,4.47,4.47,4.47,125
SIPHA,2019-11-05,4.6,4.6,4.47,4.47,55
SIPHA,2019-11-15,4.21,4.21,4.21,4.21,600
SIPHA,2019-11-18,4.21,4.21,4.21,4.21,278
SIPHA,2019-11-19,4.21,4.3,4.21,4.3,510
SIPHA,2019-11-21,4.2,4.2,4.2,4.2,706
SIPHA,2019-11-22,4.3,4.42,4.3,4.42,1390
