Ticker,Date,Open,High,Low,Close,Volume
SITS,2022-10-26,1.86,1.86,1.86,1.86,1
SITS,2022-11-01,1.86,1.86,1.86,1.86,180
SITS,2022-11-16,1.86,1.86,1.86,1.86,500
SITS,2022-11-18,1.86,1.86,1.86,1.86,2
SITS,2022-11-21,1.87,1.87,1.86,1.87,1656
SITS,2022-11-22,1.86,1.87,1.86,1.86,100
SITS,2022-11-23,1.86,1.86,1.86,1.86,163
SITS,2022-11-24,1.86,1.86,1.86,1.86,837
SITS,2022-11-30,1.86,1.86,1.86,1.86,2039
SITS,2022-12-12,1.87,1.87,1.86,1.87,1080
SITS,2022-12-28,1.86,1.87,1.86,1.86,500
SITS,2022-12-29,1.86,1.86,1.86,1.86,684
SITS,2022-08-09,1.9,1.9,1.9,1.9,500
SITS,2022-08-15,1.99,1.99,1.98,1.99,16
SITS,2022-08-17,1.91,1.99,1.91,1.91,10
SITS,2022-08-24,1.91,1.91,1.91,1.91,10
SITS,2022-09-02,1.86,1.91,1.86,1.86,100
SITS,2022-09-22,1.86,1.86,1.86,1.86,300
SITS,2022-09-28,1.86,1.86,1.86,1.86,450
SITS,2022-09-29,1.86,1.86,1.86,1.86,880
SITS,2022-09-30,1.86,1.86,1.86,1.86,2535
SITS,2022-10-05,1.86,1.86,1.86,1.86,150
SITS,2022-10-12,1.86,1.86,1.86,1.86,110
SITS,2022-10-13,1.86,1.86,1.86,1.86,3650
SITS,2022-10-14,1.86,1.86,1.86,1.86,755
SITS,2022-10-18,1.86,1.86,1.86,1.86,556
SITS,2022-10-19,1.86,1.86,1.86,1.86,3000
SITS,2022-07-01,2.05,2.09,2.05,2.05,400
SITS,2022-07-05,2.3,2.3,2.27,2.3,322237
SITS,2022-07-07,2.3,2.3,2.3,2.3,51000
SITS,2022-07-21,1.91,1.93,1.91,1.91,10
SITS,2022-07-22,1.9,1.9,1.85,1.9,938
SITS,2022-07-26,1.9,1.9,1.9,1.9,578
SITS,2022-07-28,1.9,1.9,1.9,1.9,10
SITS,2022-07-29,1.9,1.9,1.9,1.9,400
SITS,2022-03-03,2.1,2.11,2.1,2.1,72
SITS,2022-03-10,2.2,2.2,2.19,2.2,250
SITS,2022-03-21,2.01,2.1,2.01,2.01,55
SITS,2022-04-08,2.01,2.01,2.009,2.01,16575
SITS,2022-04-13,2.01,2.01,2.01,2.01,2070
SITS,2022-04-15,2.0,2.01,2.0,2.0,11347
SITS,2022-04-25,2.0,2.0,2.0,2.0,1500
SITS,2022-04-29,2.05,2.05,2.0,2.05,300
SITS,2021-12-02,2.33,2.33,2.23,2.33,1
SITS,2021-12-07,2.33,2.33,2.33,2.33,30
SITS,2021-12-27,2.32,2.32,2.23,2.32,1
SITS,2021-12-29,2.33,2.33,2.32,2.33,435
SITS,2022-01-11,2.42,2.42,2.33,2.42,302
SITS,2022-01-12,2.42,2.42,2.42,2.42,1
SITS,2022-01-14,2.42,2.42,2.42,2.42,30
SITS,2022-01-18,2.4,2.42,2.4,2.4,240
SITS,2022-01-20,2.4,2.4,2.4,2.4,45
SITS,2022-01-26,2.4,2.4,2.4,2.4,2000
SITS,2022-01-27,2.4,2.4,2.4,2.4,44
SITS,2021-09-01,2.22,2.22,2.22,2.22,50
SITS,2021-09-07,2.22,2.22,2.22,2.22,10
SITS,2021-09-20,2.2,2.2,2.2,2.2,290
SITS,2021-09-22,2.15,2.15,2.13,2.15,30
SITS,2021-09-23,2.13,2.13,2.13,2.24,10
SITS,2021-10-04,2.14,2.24,2.14,2.14,20
SITS,2021-10-08,2.22,2.22,2.14,2.22,1
SITS,2021-10-11,2.23,2.23,2.22,2.23,3
SITS,2021-10-14,2.23,2.23,2.23,2.23,900
SITS,2021-10-20,2.33,2.33,2.23,2.33,25
SITS,2021-10-26,2.33,2.33,2.33,2.33,355
SITS,2021-11-03,2.33,2.33,2.33,2.33,480
SITS,2021-11-04,2.33,2.33,2.33,2.33,75
SITS,2021-11-05,2.33,2.33,2.33,2.33,500
SITS,2021-11-15,2.23,2.33,2.23,2.23,50
SITS,2021-06-01,2.3,2.34,2.3,2.34,2900
SITS,2021-06-02,2.39,2.39,2.39,2.39,1
SITS,2021-06-03,2.3,2.4,2.3,2.4,551
SITS,2021-06-07,2.3,2.3,2.3,2.3,1465
SITS,2021-06-08,2.3,2.3,2.3,2.3,1635
SITS,2021-06-09,2.36,2.36,2.36,2.36,559
SITS,2021-06-16,2.29,2.29,2.29,2.29,366
SITS,2021-07-06,2.25,2.25,2.25,2.25,50
SITS,2021-07-19,2.25,2.25,2.25,2.25,100
SITS,2021-07-23,2.26,2.26,2.26,2.26,1000
SITS,2021-07-26,2.31,2.31,2.31,2.31,1000
SITS,2021-07-27,2.37,2.37,2.31,2.31,503
SITS,2021-07-28,2.31,2.31,2.31,2.31,500
SITS,2021-07-30,2.44,2.44,2.37,2.37,507
SITS,2021-08-03,2.51,2.58,2.51,2.58,540
SITS,2021-08-04,2.51,2.51,2.51,2.51,2000
SITS,2021-08-05,2.51,2.58,2.51,2.58,877
SITS,2021-08-06,2.55,2.6,2.55,2.6,902
SITS,2021-08-09,2.65,2.72,2.65,2.72,2001
SITS,2021-08-11,2.6,2.6,2.6,2.6,20
SITS,2021-08-16,2.6,2.6,2.6,2.6,2
SITS,2021-03-08,2.29,2.29,2.29,2.29,226
SITS,2021-03-10,2.25,2.25,2.25,2.25,5
SITS,2021-03-11,2.31,2.31,2.31,2.31,220
SITS,2021-03-12,2.25,2.25,2.25,2.25,2
SITS,2021-03-15,2.25,2.25,2.25,2.25,7
SITS,2021-03-16,2.25,2.25,2.25,2.25,65
SITS,2021-03-17,2.25,2.35,2.25,2.35,1303
SITS,2021-03-18,2.36,2.36,2.36,2.36,1024
SITS,2021-03-19,2.41,2.48,2.41,2.44,3062
SITS,2021-03-22,2.44,2.51,2.44,2.51,19
SITS,2021-03-23,2.62,2.62,2.62,2.62,1250
SITS,2021-03-24,2.64,2.7,2.64,2.7,1212
SITS,2021-03-25,2.78,2.81,2.78,2.8,1878
SITS,2021-03-26,2.7,2.7,2.7,2.7,3553
SITS,2021-03-29,2.7,2.7,2.7,2.7,10351
