Ticker,Date,Open,High,Low,Close,Volume
SMART,2022-10-24,21.98,21.98,21.5,21.98,303
SMART,2022-10-25,21.98,22.05,21.97,21.98,699
SMART,2022-10-28,21.12,21.98,21.12,21.12,932
SMART,2022-10-31,21.0,21.12,20.95,21.0,1098
SMART,2022-11-01,21.0,21.0,20.98,21.0,1613
SMART,2022-11-02,20.5,21.0,20.5,20.5,573
SMART,2022-11-03,20.8,20.99,20.8,20.8,80
SMART,2022-11-07,20.7,20.9,20.7,20.7,636
SMART,2022-11-08,20.7,20.7,20.55,20.7,439
SMART,2022-11-09,20.7,20.7,20.5,20.7,142
SMART,2022-11-10,20.4,20.7,20.21,20.4,1541
SMART,2022-11-11,20.4,20.4,20.21,20.4,311
SMART,2022-11-14,20.6,20.69,20.1,20.6,132
SMART,2022-11-15,20.49,20.65,20.1,20.49,352
SMART,2022-11-16,20.48,20.49,20.1,20.48,11
SMART,2022-11-17,20.49,20.49,20.0,20.49,163
SMART,2022-11-21,19.91,20.48,19.91,19.91,48544
SMART,2022-11-22,20.0,20.0,19.91,20.0,1
SMART,2022-11-23,20.46,20.47,20.0,20.46,396
SMART,2022-11-24,20.45,20.46,20.44,20.45,682
SMART,2022-11-28,20.45,20.46,20.45,20.45,1
SMART,2022-11-30,20.1,20.45,20.02,20.1,119
SMART,2022-12-01,21.0,21.0,20.0,21.0,46
SMART,2022-12-02,21.9,22.0,20.8,21.9,67
SMART,2022-12-05,21.8,21.9,20.79,21.8,53
SMART,2022-12-07,21.3,21.8,20.5,21.3,446
SMART,2022-12-08,20.99,21.3,20.99,20.99,448
SMART,2022-12-09,21.0,21.0,20.99,21.0,1
SMART,2022-12-12,20.89,21.0,20.0,20.89,12
SMART,2022-12-13,20.06,20.89,20.0,20.06,94
SMART,2022-12-14,20.74,20.78,20.0,20.74,1475
SMART,2022-12-15,20.1,20.75,20.1,20.1,410
SMART,2022-12-16,20.75,20.75,20.0,20.75,704
SMART,2022-12-19,20.9,21.0,20.7,20.9,242
SMART,2022-12-20,20.9,21.0,20.9,20.9,4981
SMART,2022-12-21,20.1,20.9,20.1,20.1,74
SMART,2022-12-22,20.89,20.9,20.6,20.89,14551
SMART,2022-12-23,20.9,21.0,20.89,20.9,4343
SMART,2022-12-26,22.15,22.15,20.9,22.15,2916
SMART,2022-12-27,23.2,23.2,22.15,23.2,4110
SMART,2022-12-28,23.9,23.9,23.2,23.9,6571
SMART,2022-12-29,24.0,24.2,23.88,24.0,6995
SMART,2022-12-30,24.2,24.2,23.95,24.2,7375
SMART,2022-08-01,22.69,22.69,22.5,22.69,953
SMART,2022-08-02,22.69,22.69,22.3,22.69,137
SMART,2022-08-03,22.3,22.69,22.2,22.3,157
