Ticker,Date,Open,High,Low,Close,Volume
SMD,2022-12-05,1.83,1.91,1.83,1.83,115
SMD,2022-12-06,1.75,1.9,1.75,1.75,450
SMD,2022-12-07,1.71,1.75,1.71,1.71,60
SMD,2022-12-08,1.64,1.71,1.64,1.64,250
SMD,2022-12-14,1.57,1.64,1.57,1.57,413
SMD,2022-12-22,1.71,1.71,1.64,1.71,5
SMD,2022-08-11,1.83,1.91,1.83,1.83,33
SMD,2022-08-15,1.9,1.9,1.83,1.9,50
SMD,2022-08-16,1.98,1.98,1.9,1.98,10
SMD,2022-09-12,1.9,1.98,1.9,1.9,604
SMD,2022-09-14,1.79,1.82,1.79,1.79,911
SMD,2022-09-21,1.87,1.87,1.79,1.87,10
SMD,2022-10-03,1.86,1.87,1.86,1.86,3770
SMD,2022-10-05,1.94,1.94,1.86,1.94,10
SMD,2022-10-06,1.99,1.99,1.94,1.99,10
SMD,2022-05-13,2.31,2.31,2.22,2.31,20
SMD,2022-06-09,2.19,2.21,2.19,2.19,9000
SMD,2022-06-10,2.2,2.2,2.19,2.2,585
SMD,2022-06-17,2.2,2.2,2.19,2.2,9430
SMD,2022-07-28,2.08,2.09,2.08,2.08,1
SMD,2022-02-11,2.17,2.26,2.16,2.17,14350
SMD,2022-02-14,2.17,2.17,2.17,2.17,4849
SMD,2022-02-15,2.17,2.17,2.17,2.17,500
SMD,2022-02-16,2.16,2.17,2.16,2.16,9036
SMD,2022-02-17,2.16,2.16,2.16,2.16,1950
SMD,2022-02-18,2.16,2.16,2.16,2.16,1720
SMD,2022-02-24,2.35,2.35,2.25,2.35,11
SMD,2022-03-07,2.34,2.35,2.34,2.34,100
SMD,2022-03-08,2.38,2.38,2.34,2.38,100
SMD,2022-03-24,2.28,2.38,2.28,2.28,123
SMD,2022-03-25,2.28,2.29,2.28,2.28,500
SMD,2022-03-29,2.18,2.28,2.18,2.18,1300
SMD,2022-04-01,2.37,2.37,2.27,2.37,20
SMD,2022-04-26,2.39,2.39,2.37,2.39,40
