Ticker,Date,Open,High,Low,Close,Volume
SOKNA,2022-10-24,2.74,2.74,2.74,2.74,800
SOKNA,2022-10-25,2.73,2.73,2.62,2.73,1
SOKNA,2022-10-26,2.73,2.73,2.73,2.73,10
SOKNA,2022-10-27,2.73,2.73,2.73,2.73,20
SOKNA,2022-10-28,2.73,2.73,2.73,2.73,5
SOKNA,2022-11-02,2.59,2.72,2.59,2.59,301
SOKNA,2022-11-03,2.6,2.6,2.59,2.6,1
SOKNA,2022-11-04,2.61,2.61,2.6,2.61,201
SOKNA,2022-11-07,2.5,2.61,2.5,2.5,475
SOKNA,2022-11-08,2.61,2.61,2.5,2.61,11
SOKNA,2022-11-10,2.61,2.61,2.61,2.61,230
SOKNA,2022-11-14,2.5,2.61,2.5,2.5,1564
SOKNA,2022-11-15,2.5,2.61,2.5,2.5,19660
SOKNA,2022-11-16,2.61,2.61,2.5,2.61,10
SOKNA,2022-11-23,2.29,2.39,2.29,2.29,10
SOKNA,2022-11-24,2.29,2.29,2.29,2.29,10
SOKNA,2022-11-25,2.19,2.19,2.19,2.19,1035
SOKNA,2022-11-28,2.19,2.19,2.19,2.19,645
SOKNA,2022-11-29,2.19,2.19,2.19,2.19,1196
SOKNA,2022-12-01,2.19,2.19,2.19,2.19,195
SOKNA,2022-12-02,2.18,2.19,2.18,2.18,175
SOKNA,2022-12-05,2.19,2.19,2.18,2.19,2
SOKNA,2022-12-07,2.19,2.19,2.19,2.19,27180
SOKNA,2022-12-08,2.26,2.28,2.19,2.26,741
SOKNA,2022-12-09,2.28,2.28,2.26,2.28,760
SOKNA,2022-12-16,2.28,2.28,2.28,2.28,39
SOKNA,2022-08-01,2.3,2.3,2.3,2.3,10
SOKNA,2022-08-02,2.3,2.3,2.3,2.3,10
SOKNA,2022-08-03,2.3,2.3,2.3,2.3,10
SOKNA,2022-08-04,2.3,2.3,2.3,2.3,10
SOKNA,2022-08-05,2.3,2.3,2.3,2.3,5
SOKNA,2022-08-08,2.3,2.3,2.3,2.3,10
SOKNA,2022-08-09,2.3,2.3,2.3,2.3,10
SOKNA,2022-08-10,2.3,2.3,2.3,2.3,2
SOKNA,2022-08-11,2.3,2.3,2.3,2.3,111
SOKNA,2022-08-12,2.3,2.3,2.3,2.3,12
SOKNA,2022-08-15,2.3,2.3,2.3,2.3,410
SOKNA,2022-08-16,2.3,2.3,2.3,2.3,5
SOKNA,2022-08-17,2.38,2.38,2.3,2.38,2070
SOKNA,2022-08-18,2.4,2.4,2.38,2.4,672
SOKNA,2022-08-19,2.4,2.4,2.4,2.4,1
SOKNA,2022-08-22,2.4,2.4,2.4,2.4,2274
SOKNA,2022-08-23,2.5,2.5,2.4,2.5,736
SOKNA,2022-08-24,2.5,2.56,2.5,2.5,9855
SOKNA,2022-08-25,2.54,2.56,2.5,2.54,734
SOKNA,2022-08-26,2.64,2.65,2.54,2.64,2116
SOKNA,2022-08-29,2.74,2.74,2.64,2.74,736
SOKNA,2022-08-30,2.8,2.86,2.74,2.8,3252
SOKNA,2022-08-31,2.9,2.9,2.8,2.9,150
SOKNA,2022-09-01,3.03,3.03,2.9,3.03,1049
SOKNA,2022-09-02,3.0,3.03,3.0,3.0,140
SOKNA,2022-09-13,2.8,2.87,2.8,2.8,178
SOKNA,2022-09-14,2.8,2.8,2.8,2.8,200
SOKNA,2022-09-15,2.75,2.8,2.75,2.75,3000
SOKNA,2022-09-16,2.8,2.8,2.75,2.8,85
SOKNA,2022-09-21,2.8,2.8,2.8,2.8,180
SOKNA,2022-09-26,2.6,2.68,2.6,2.6,55
SOKNA,2022-09-27,2.67,2.67,2.6,2.67,210
SOKNA,2022-09-28,2.68,2.68,2.67,2.68,1
SOKNA,2022-09-30,2.63,2.63,2.49,2.63,91
SOKNA,2022-10-03,2.56,2.63,2.56,2.56,12
SOKNA,2022-10-04,2.56,2.56,2.56,2.56,200
SOKNA,2022-10-05,2.67,2.67,2.56,2.67,100
SOKNA,2022-10-06,2.73,2.73,2.67,2.73,7
SOKNA,2022-10-07,2.85,2.85,2.73,2.85,115
SOKNA,2022-10-10,2.84,2.85,2.84,2.84,10
SOKNA,2022-10-11,2.83,2.84,2.83,2.83,3
SOKNA,2022-10-12,2.83,2.83,2.83,2.83,30
SOKNA,2022-10-13,2.85,2.85,2.83,2.85,31
SOKNA,2022-10-14,2.65,2.71,2.65,2.65,286
SOKNA,2022-10-17,2.76,2.76,2.65,2.76,59
SOKNA,2022-10-18,2.76,2.76,2.76,2.76,5
SOKNA,2022-10-20,2.75,2.75,2.64,2.75,1
SOKNA,2022-10-21,2.74,2.76,2.7,2.74,935
SOKNA,2022-10-24,2.74,2.74,2.74,2.74,800
SOKNA,2022-05-09,2.41,2.41,2.31,2.41,1
SOKNA,2022-05-10,2.31,2.31,2.31,2.31,2
SOKNA,2022-05-11,2.31,2.31,2.31,2.31,10
SOKNA,2022-05-12,2.31,2.31,2.31,2.31,207
SOKNA,2022-05-13,2.4,2.4,2.39,2.4,4
SOKNA,2022-05-19,2.4,2.4,2.35,2.4,20
SOKNA,2022-05-20,2.35,2.35,2.25,2.35,1
SOKNA,2022-05-23,2.39,2.39,2.35,2.39,1
SOKNA,2022-05-26,2.38,2.38,2.28,2.38,1
SOKNA,2022-05-27,2.18,2.18,2.18,2.18,1000
SOKNA,2022-05-30,2.29,2.29,2.2,2.29,1
SOKNA,2022-06-01,2.28,2.28,2.19,2.28,1
SOKNA,2022-06-02,2.38,2.38,2.28,2.38,51
SOKNA,2022-06-03,2.37,2.37,2.37,2.37,5
SOKNA,2022-06-07,2.27,2.27,2.21,2.27,25
SOKNA,2022-06-08,2.27,2.27,2.27,2.27,1
SOKNA,2022-06-09,2.27,2.27,2.27,2.27,7
SOKNA,2022-06-10,2.27,2.27,2.27,2.27,1
SOKNA,2022-06-13,2.27,2.27,2.27,2.27,1
SOKNA,2022-06-14,2.27,2.27,2.27,2.27,1
SOKNA,2022-06-17,2.11,2.17,2.11,2.11,1248
SOKNA,2022-06-21,2.26,2.26,2.17,2.26,1
SOKNA,2022-06-22,2.2,2.2,2.2,2.2,2
SOKNA,2022-06-24,2.07,2.11,2.07,2.07,3985
SOKNA,2022-06-27,2.16,2.16,2.07,2.16,6
SOKNA,2022-06-29,2.15,2.15,2.06,2.15,90
SOKNA,2022-06-30,2.15,2.15,2.15,2.15,6
SOKNA,2022-07-01,2.15,2.22,2.15,2.15,271
SOKNA,2022-07-04,2.22,2.22,2.15,2.22,202
SOKNA,2022-07-05,2.22,2.22,2.22,2.22,1
SOKNA,2022-07-06,2.22,2.22,2.13,2.22,208
SOKNA,2022-07-07,2.22,2.22,2.22,2.22,5
SOKNA,2022-07-08,2.22,2.22,2.22,2.22,7
SOKNA,2022-07-11,2.22,2.22,2.22,2.22,13
SOKNA,2022-07-12,2.22,2.22,2.22,2.22,2
SOKNA,2022-07-13,2.13,2.22,2.13,2.13,581
SOKNA,2022-07-14,2.22,2.22,2.13,2.22,6
SOKNA,2022-07-15,2.22,2.22,2.22,2.22,19566
SOKNA,2022-07-18,2.31,2.31,2.22,2.31,18
SOKNA,2022-07-19,2.31,2.31,2.31,2.31,45
SOKNA,2022-07-20,2.29,2.31,2.21,2.29,513
SOKNA,2022-07-21,2.3,2.3,2.29,2.3,10
SOKNA,2022-07-22,2.3,2.3,2.3,2.3,107
SOKNA,2022-07-26,2.3,2.3,2.3,2.3,4
SOKNA,2022-07-27,2.3,2.3,2.3,2.3,7
SOKNA,2022-07-28,2.3,2.3,2.3,2.3,10
SOKNA,2022-07-29,2.3,2.3,2.3,2.3,10
SOKNA,2022-02-11,2.24,2.24,2.15,2.24,2458
SOKNA,2022-02-14,2.32,2.32,2.24,2.32,2222
SOKNA,2022-02-15,2.42,2.42,2.34,2.42,3513
SOKNA,2022-02-16,2.52,2.52,2.42,2.52,11266
SOKNA,2022-02-17,2.52,2.53,2.52,2.52,24400
SOKNA,2022-02-18,2.52,2.52,2.52,2.52,85
SOKNA,2022-02-21,2.56,2.56,2.52,2.56,126
SOKNA,2022-02-23,2.48,2.56,2.48,2.48,31
SOKNA,2022-02-24,2.46,2.48,2.46,2.46,25
SOKNA,2022-02-25,2.35,2.46,2.35,2.35,1
SOKNA,2022-02-28,2.45,2.45,2.35,2.45,218
SOKNA,2022-03-01,2.46,2.46,2.45,2.46,3
SOKNA,2022-03-02,2.46,2.46,2.46,2.46,23
SOKNA,2022-03-03,2.46,2.46,2.46,2.46,16
SOKNA,2022-03-10,2.44,2.45,2.35,2.44,2
SOKNA,2022-03-18,2.44,2.44,2.34,2.44,10
SOKNA,2022-03-23,2.24,2.34,2.24,2.24,500
SOKNA,2022-03-25,2.34,2.34,2.24,2.34,1273
SOKNA,2022-03-28,2.37,2.37,2.34,2.37,10
SOKNA,2022-04-18,2.3,2.3,2.27,2.3,1
SOKNA,2022-04-19,2.35,2.35,2.3,2.35,3
SOKNA,2022-04-20,2.37,2.37,2.35,2.37,1890
SOKNA,2022-04-21,2.41,2.41,2.37,2.41,7150
SOKNA,2022-04-22,2.44,2.44,2.41,2.44,401
SOKNA,2022-04-25,2.44,2.44,2.44,2.44,16
SOKNA,2022-04-26,2.42,2.44,2.42,2.42,25
SOKNA,2022-04-27,2.32,2.43,2.32,2.32,281
SOKNA,2022-04-28,2.41,2.42,2.32,2.41,73
SOKNA,2022-04-29,2.42,2.42,2.41,2.42,1
SOKNA,2022-05-04,2.44,2.44,2.42,2.44,54
SOKNA,2022-05-05,2.41,2.41,2.32,2.41,201
SOKNA,2021-11-18,2.13,2.13,2.07,2.13,1
SOKNA,2021-11-22,2.13,2.13,2.05,2.13,1501
SOKNA,2021-11-23,2.09,2.13,2.04,2.09,1060
SOKNA,2021-11-24,2.01,2.09,2.009,2.01,605
SOKNA,2021-11-25,2.01,2.01,2.01,2.01,1
SOKNA,2021-11-26,2.05,2.05,2.009,2.05,82
SOKNA,2021-11-29,2.05,2.05,2.05,2.05,1
SOKNA,2021-11-30,2.05,2.05,2.05,2.05,1
SOKNA,2021-12-02,2.05,2.1,2.05,2.05,2405
SOKNA,2021-12-03,1.94,2.05,1.93,1.94,922
SOKNA,2021-12-09,2.03,2.03,2.0,2.03,3
SOKNA,2021-12-13,2.05,2.05,2.0,2.05,301
SOKNA,2021-12-14,2.0,2.05,2.0,2.0,5496
SOKNA,2021-12-15,2.05,2.05,2.0,2.05,7
SOKNA,2021-12-16,2.05,2.05,2.05,2.05,1
SOKNA,2021-12-20,2.05,2.05,1.96,2.05,306
SOKNA,2021-12-21,2.05,2.05,2.05,2.05,1
SOKNA,2021-12-22,2.05,2.05,2.05,2.05,158
SOKNA,2021-12-23,2.05,2.11,2.05,2.05,35
SOKNA,2021-12-24,2.11,2.11,2.05,2.11,1
SOKNA,2021-12-27,2.12,2.12,2.11,2.12,1
SOKNA,2021-12-28,2.07,2.07,1.95,2.07,51
SOKNA,2021-12-29,2.07,2.07,2.07,2.07,10
SOKNA,2021-12-30,1.95,2.07,1.95,1.95,75
SOKNA,2021-12-31,2.06,2.06,1.84,2.06,2610
SOKNA,2022-01-03,1.97,2.06,1.97,1.97,6779
SOKNA,2022-01-04,2.02,2.02,1.97,2.02,6
SOKNA,2022-01-06,2.0,2.009,1.93,2.0,801
SOKNA,2022-01-07,1.95,2.0,1.95,1.95,1014
SOKNA,2022-01-10,1.9,1.95,1.9,1.9,169
SOKNA,2022-01-11,1.89,1.92,1.89,1.89,636
SOKNA,2022-01-12,1.84,1.89,1.84,1.84,734
SOKNA,2022-01-13,1.86,1.86,1.84,1.86,100
SOKNA,2022-01-14,1.93,1.93,1.86,1.93,2
SOKNA,2022-01-19,1.85,1.93,1.85,1.85,472
SOKNA,2022-01-20,1.85,1.85,1.85,1.85,20
SOKNA,2022-01-25,1.84,1.85,1.84,1.84,260
SOKNA,2022-01-27,1.85,1.85,1.84,1.85,106
SOKNA,2022-01-28,1.85,1.85,1.85,1.85,768
SOKNA,2022-01-31,1.9,1.93,1.85,1.9,2810
SOKNA,2022-02-01,1.9,1.98,1.9,1.9,3582
SOKNA,2022-02-02,1.9,1.9,1.9,1.9,8575
SOKNA,2022-02-03,1.9,1.9,1.9,1.9,4835
SOKNA,2022-02-04,1.98,1.98,1.9,1.98,5520
SOKNA,2022-02-07,2.05,2.05,1.98,2.05,2294
SOKNA,2022-02-08,2.05,2.06,2.05,2.05,1829
SOKNA,2022-02-09,2.09,2.09,2.05,2.09,2426
SOKNA,2022-02-10,2.15,2.15,2.09,2.15,2111
SOKNA,2022-02-11,2.24,2.24,2.15,2.24,2458
SOKNA,2021-09-02,2.69,2.69,2.69,2.69,55
SOKNA,2021-09-03,2.69,2.69,2.69,2.69,19
SOKNA,2021-09-13,2.29,2.49,2.29,2.52,202
SOKNA,2021-09-14,2.55,2.58,2.55,2.58,83
SOKNA,2021-09-15,2.58,2.58,2.58,2.58,2
SOKNA,2021-09-16,2.58,2.58,2.58,2.58,1
SOKNA,2021-09-17,2.58,2.58,2.58,2.58,1
SOKNA,2021-09-29,2.5,2.5,2.45,2.5,544
SOKNA,2021-09-30,2.5,2.5,2.5,2.5,1
SOKNA,2021-10-01,2.5,2.5,2.41,2.5,13
SOKNA,2021-10-05,2.4,2.5,2.36,2.4,157
SOKNA,2021-10-06,2.26,2.4,2.26,2.26,2811
SOKNA,2021-10-07,2.19,2.26,2.17,2.19,195
SOKNA,2021-10-08,2.2,2.2,2.14,2.2,309
SOKNA,2021-10-11,2.2,2.3,2.2,2.2,183
SOKNA,2021-10-12,2.2,2.24,2.2,2.2,14
SOKNA,2021-10-13,2.23,2.23,2.2,2.23,5
SOKNA,2021-10-14,2.19,2.23,2.19,2.19,511
SOKNA,2021-10-19,2.24,2.24,2.06,2.24,265
SOKNA,2021-10-20,2.16,2.24,2.16,2.16,10
SOKNA,2021-10-21,2.16,2.2,2.12,2.16,17
SOKNA,2021-10-22,2.16,2.16,2.16,2.16,10
SOKNA,2021-10-25,2.16,2.16,2.16,2.16,10
SOKNA,2021-10-26,2.16,2.16,2.16,2.16,8
SOKNA,2021-10-27,2.16,2.16,2.16,2.16,3
SOKNA,2021-10-28,2.16,2.16,2.16,2.16,1
SOKNA,2021-10-29,2.16,2.16,2.16,2.16,1
SOKNA,2021-11-01,2.16,2.21,2.16,2.16,43
SOKNA,2021-11-02,2.21,2.21,2.16,2.21,1
SOKNA,2021-11-05,2.17,2.21,2.17,2.17,12
SOKNA,2021-11-08,2.16,2.2,2.16,2.16,41
SOKNA,2021-11-09,2.16,2.2,2.16,2.16,11
SOKNA,2021-11-10,2.13,2.2,2.13,2.13,745
SOKNA,2021-11-11,2.2,2.2,2.13,2.2,1
SOKNA,2021-11-12,2.09,2.2,2.07,2.09,1416
SOKNA,2021-11-15,2.13,2.13,2.09,2.13,251
SOKNA,2021-11-16,2.13,2.13,2.13,2.13,1
SOKNA,2021-11-17,2.07,2.13,2.07,2.07,643
SOKNA,2021-11-18,2.13,2.13,2.07,2.13,1
SOKNA,2021-06-01,2.57,2.64,2.5,2.6,4261
SOKNA,2021-06-02,2.66,2.66,2.64,2.65,32
SOKNA,2021-06-03,2.67,2.67,2.67,2.67,1
SOKNA,2021-06-04,2.59,2.59,2.59,2.59,20
SOKNA,2021-06-07,2.52,2.66,2.52,2.66,722
SOKNA,2021-06-08,2.66,2.66,2.66,2.66,38
SOKNA,2021-06-11,2.6,2.65,2.6,2.65,55
SOKNA,2021-06-15,2.64,2.64,2.64,2.64,3
SOKNA,2021-07-01,2.63,2.67,2.63,2.67,95
SOKNA,2021-07-14,2.64,2.64,2.64,2.64,625
SOKNA,2021-08-02,2.67,2.67,2.67,2.67,101
SOKNA,2021-03-08,3.04,3.04,3.04,3.04,5
SOKNA,2021-03-09,3.04,3.04,3.04,3.04,3
SOKNA,2021-03-10,3.04,3.04,3.04,3.04,5
SOKNA,2021-03-12,2.95,2.95,2.95,2.95,200
SOKNA,2021-03-15,3.0,3.0,2.91,3.0,208
SOKNA,2021-03-16,3.0,3.0,3.0,3.0,1
SOKNA,2021-03-17,2.92,3.0,2.92,3.0,52
SOKNA,2021-03-18,3.0,3.0,2.91,3.0,227
SOKNA,2021-03-31,2.63,2.63,2.63,2.63,10
SOKNA,2021-04-01,2.63,2.78,2.48,2.5,3484
SOKNA,2021-04-02,2.61,2.61,2.61,2.61,213
SOKNA,2021-04-05,2.64,2.64,2.64,2.64,5
SOKNA,2021-04-07,2.57,2.57,2.57,2.57,15
SOKNA,2021-04-08,2.52,2.52,2.42,2.5,3180
SOKNA,2021-04-12,2.57,2.57,2.57,2.57,1
SOKNA,2021-04-13,2.5,2.57,2.5,2.57,92
SOKNA,2021-04-27,2.57,2.57,2.57,2.57,200
SOKNA,2021-04-29,2.5,2.57,2.5,2.57,1002
SOKNA,2021-04-30,2.5,2.57,2.5,2.57,527
SOKNA,2021-05-04,2.5,2.5,2.5,2.5,200
SOKNA,2021-05-05,2.57,2.57,2.57,2.57,1
SOKNA,2021-05-07,2.49,2.5,2.46,2.49,6160
SOKNA,2021-05-10,2.5,2.57,2.43,2.57,1168
SOKNA,2021-05-11,2.57,2.57,2.57,2.57,1
SOKNA,2021-05-17,2.57,2.57,2.57,2.57,36
SOKNA,2021-05-20,2.57,2.57,2.57,2.57,1
SOKNA,2021-05-21,2.57,2.57,2.5,2.57,537
SOKNA,2021-05-26,2.5,2.57,2.5,2.57,29
SOKNA,2021-05-28,2.5,2.57,2.5,2.55,1006
SOKNA,2021-05-31,2.57,2.57,2.57,2.57,1
SOKNA,2021-06-01,2.57,2.64,2.5,2.6,4261
SOKNA,2020-12-15,2.6,2.66,2.6,2.66,719
SOKNA,2020-12-16,2.62,2.73,2.62,2.73,3241
SOKNA,2020-12-17,2.65,2.72,2.65,2.72,4054
SOKNA,2020-12-22,2.72,2.75,2.72,2.75,7356
SOKNA,2020-12-25,2.75,2.8,2.75,2.8,15850
SOKNA,2020-12-28,2.8,2.88,2.8,2.88,4600
SOKNA,2020-12-31,2.8,2.86,2.8,2.86,605
SOKNA,2021-01-04,2.86,2.86,2.86,2.86,20
SOKNA,2021-01-05,2.85,2.85,2.85,2.85,4724
SOKNA,2021-01-06,2.77,2.77,2.77,2.77,400
SOKNA,2021-01-07,2.72,2.72,2.72,2.72,354
SOKNA,2021-01-12,2.64,2.64,2.64,2.64,20
SOKNA,2021-01-15,2.65,2.65,2.6,2.6,966
SOKNA,2021-01-18,2.57,2.57,2.57,2.57,144
SOKNA,2021-01-19,2.5,2.5,2.5,2.5,1907
SOKNA,2021-01-26,2.56,2.7,2.56,2.7,1500
SOKNA,2021-01-27,2.76,2.76,2.72,2.76,1203
SOKNA,2021-01-29,2.74,2.77,2.74,2.77,2260
SOKNA,2021-02-01,2.85,2.93,2.77,2.92,597
SOKNA,2021-02-02,2.84,2.88,2.84,2.88,960
SOKNA,2021-02-03,2.88,2.88,2.8,2.88,591
SOKNA,2021-02-08,2.88,2.93,2.88,2.93,1200
SOKNA,2021-02-09,2.88,3.0,2.88,3.0,5476
SOKNA,2021-02-10,2.91,2.99,2.91,2.99,2700
SOKNA,2021-02-11,2.91,3.07,2.91,3.07,4422
SOKNA,2021-02-12,3.07,3.1,3.07,3.1,1614
SOKNA,2021-02-15,3.1,3.1,3.1,3.1,500
SOKNA,2021-02-18,3.03,3.04,3.03,3.04,27
SOKNA,2021-02-22,3.1,3.1,3.1,3.1,10
SOKNA,2021-03-01,3.11,3.11,3.11,3.11,26
SOKNA,2021-03-03,3.02,3.04,3.02,3.04,69
SOKNA,2021-03-04,3.04,3.04,3.04,3.04,26
SOKNA,2021-03-05,3.04,3.04,3.04,3.04,26
SOKNA,2021-03-08,3.04,3.04,3.04,3.04,5
SOKNA,2020-09-22,2.9,2.9,2.9,2.9,1
SOKNA,2020-09-25,2.82,2.88,2.78,2.88,703
SOKNA,2020-10-05,2.77,2.9,2.76,2.9,7782
SOKNA,2020-10-07,2.77,2.77,2.77,2.77,119
SOKNA,2020-10-08,2.69,2.77,2.61,2.61,421
SOKNA,2020-10-09,2.54,2.61,2.47,2.52,3201
SOKNA,2020-10-12,2.48,2.48,2.48,2.48,1444
SOKNA,2020-10-13,2.49,2.49,2.48,2.48,985
SOKNA,2020-10-14,2.55,2.55,2.55,2.55,20
SOKNA,2020-10-16,2.62,2.62,2.62,2.62,25
SOKNA,2020-10-19,2.69,2.69,2.69,2.69,1
SOKNA,2020-10-20,2.77,2.85,2.69,2.69,9029
SOKNA,2020-10-21,2.69,2.79,2.69,2.79,100
SOKNA,2020-10-22,2.79,2.79,2.79,2.79,101
SOKNA,2020-10-23,2.8,2.8,2.72,2.79,2403
SOKNA,2020-10-26,2.79,2.8,2.71,2.79,5228
SOKNA,2020-10-27,2.86,2.86,2.78,2.78,79
SOKNA,2020-10-28,2.72,2.73,2.72,2.72,5005
SOKNA,2020-10-30,2.7,2.7,2.7,2.7,1706
SOKNA,2020-11-02,2.66,2.7,2.66,2.7,111
SOKNA,2020-11-03,2.78,2.78,2.64,2.64,3084
SOKNA,2020-11-04,2.6,2.6,2.58,2.58,839
SOKNA,2020-11-05,2.58,2.58,2.58,2.58,4150
SOKNA,2020-11-06,2.58,2.58,2.58,2.58,965
SOKNA,2020-11-10,2.65,2.65,2.65,2.65,1123
SOKNA,2020-11-12,2.7,2.7,2.7,2.7,30
SOKNA,2020-11-13,2.7,2.78,2.7,2.78,28
SOKNA,2020-11-16,2.79,2.86,2.79,2.86,103
SOKNA,2020-11-17,2.88,2.89,2.88,2.89,165
SOKNA,2020-11-18,2.9,2.9,2.9,2.9,30
SOKNA,2020-11-19,2.82,2.82,2.82,2.82,10
SOKNA,2020-11-20,2.74,2.74,2.66,2.74,1611
SOKNA,2020-11-23,2.68,2.74,2.67,2.67,141
SOKNA,2020-11-24,2.61,2.65,2.6,2.65,333
SOKNA,2020-11-25,2.65,2.72,2.65,2.65,5132
SOKNA,2020-11-26,2.64,2.71,2.64,2.71,16
SOKNA,2020-11-27,2.71,2.71,2.71,2.71,10
SOKNA,2020-11-30,2.74,2.74,2.71,2.71,56
SOKNA,2020-12-01,2.66,2.66,2.66,2.66,19
SOKNA,2020-12-02,2.67,2.7,2.67,2.7,17
SOKNA,2020-12-04,2.74,2.74,2.74,2.74,110
SOKNA,2020-12-07,2.69,2.69,2.69,2.69,68
SOKNA,2020-12-08,2.61,2.61,2.61,2.61,325
SOKNA,2020-12-09,2.57,2.57,2.54,2.54,3623
SOKNA,2020-12-10,2.65,2.65,2.51,2.51,29
SOKNA,2020-12-11,2.51,2.51,2.51,2.51,1015
SOKNA,2020-06-29,2.66,2.68,2.66,2.68,5826
SOKNA,2020-07-01,2.75,2.75,2.75,2.75,15
SOKNA,2020-07-02,2.63,2.7,2.63,2.63,805
SOKNA,2020-07-06,2.52,2.52,2.52,2.52,97
SOKNA,2020-07-07,2.51,2.58,2.51,2.58,301
SOKNA,2020-07-08,2.6,2.67,2.59,2.67,123
SOKNA,2020-07-09,2.67,2.75,2.67,2.75,1151
SOKNA,2020-07-10,2.74,2.83,2.74,2.83,689
SOKNA,2020-07-13,2.91,2.99,2.83,2.95,669
SOKNA,2020-07-14,2.87,2.87,2.87,2.87,25
SOKNA,2020-07-15,2.9,2.9,2.87,2.87,203
SOKNA,2020-07-24,2.87,2.87,2.87,2.87,101
SOKNA,2020-07-29,2.91,2.98,2.91,2.98,171
SOKNA,2020-07-30,2.99,2.99,2.99,2.99,600
SOKNA,2020-08-11,2.97,2.97,2.97,2.97,6
SOKNA,2020-08-12,2.98,2.98,2.98,2.98,20
SOKNA,2020-08-17,2.97,2.97,2.97,2.97,1
SOKNA,2020-08-18,2.98,2.98,2.9,2.98,295
SOKNA,2020-08-26,2.98,2.98,2.98,2.98,10
SOKNA,2020-08-28,2.98,2.98,2.98,2.98,50
SOKNA,2020-09-08,2.9,2.9,2.82,2.9,630
SOKNA,2020-09-16,2.89,2.89,2.89,2.89,165
SOKNA,2020-09-18,2.88,2.88,2.88,2.88,5
SOKNA,2020-04-02,2.22,2.22,2.22,2.22,10
SOKNA,2020-04-03,2.22,2.22,2.16,2.22,172
SOKNA,2020-04-06,2.22,2.22,2.22,2.22,10
SOKNA,2020-04-07,2.22,2.22,2.22,2.22,3
SOKNA,2020-04-08,2.22,2.22,2.22,2.22,4
SOKNA,2020-04-13,2.28,2.28,2.28,2.28,91
SOKNA,2020-04-14,2.31,2.31,2.25,2.31,41
SOKNA,2020-04-15,2.36,2.36,2.3,2.36,177
SOKNA,2020-04-16,2.4,2.4,2.4,2.4,1
SOKNA,2020-04-17,2.39,2.39,2.38,2.39,16
SOKNA,2020-04-20,2.4,2.4,2.32,2.32,51
SOKNA,2020-04-21,2.38,2.38,2.38,2.38,1
SOKNA,2020-04-22,2.4,2.4,2.4,2.4,46
SOKNA,2020-04-24,2.4,2.4,2.39,2.4,531
SOKNA,2020-04-28,2.39,2.39,2.39,2.39,1
