Ticker,Date,Open,High,Low,Close,Volume
SOMOC,2022-10-24,0.81,0.83,0.8,0.81,33423
SOMOC,2022-10-25,0.81,0.83,0.8,0.81,74251
SOMOC,2022-10-26,0.8,0.83,0.8,0.8,38295
SOMOC,2022-10-27,0.82,0.82,0.8,0.82,13456
SOMOC,2022-10-28,0.83,0.83,0.82,0.83,23014
SOMOC,2022-10-31,0.82,0.83,0.81,0.82,3886
SOMOC,2022-11-01,0.81,0.83,0.8,0.81,47540
SOMOC,2022-11-02,0.81,0.82,0.81,0.81,3100
SOMOC,2022-11-03,0.81,0.82,0.79,0.81,7469
SOMOC,2022-11-04,0.79,0.82,0.79,0.79,34593
SOMOC,2022-11-07,0.79,0.82,0.79,0.79,101019
SOMOC,2022-11-08,0.8,0.81,0.79,0.8,34679
SOMOC,2022-11-09,0.8,0.81,0.8,0.8,15691
SOMOC,2022-11-10,0.8,0.81,0.8,0.8,7286
SOMOC,2022-11-11,0.8,0.8,0.79,0.8,41896
SOMOC,2022-11-14,0.82,0.83,0.8,0.82,61845
SOMOC,2022-11-15,0.83,0.84,0.82,0.83,38304
SOMOC,2022-11-16,0.83,0.84,0.82,0.83,26608
SOMOC,2022-11-17,0.83,0.84,0.82,0.83,25361
SOMOC,2022-11-18,0.83,0.84,0.82,0.83,42153
SOMOC,2022-11-21,0.83,0.84,0.82,0.83,14705
SOMOC,2022-11-22,0.81,0.84,0.81,0.81,9512
SOMOC,2022-11-23,0.82,0.83,0.81,0.82,52392
SOMOC,2022-11-24,0.82,0.82,0.82,0.82,550
SOMOC,2022-11-25,0.83,0.83,0.82,0.83,8223
SOMOC,2022-11-28,0.83,0.83,0.8,0.83,33712
SOMOC,2022-11-30,0.8,0.83,0.8,0.8,64267
SOMOC,2022-12-01,0.82,0.82,0.8,0.82,3139
SOMOC,2022-12-02,0.8,0.83,0.8,0.8,10287
SOMOC,2022-12-05,0.82,0.82,0.82,0.82,3300
SOMOC,2022-12-06,0.82,0.82,0.8,0.82,5450
SOMOC,2022-12-07,0.82,0.82,0.81,0.82,23788
SOMOC,2022-12-08,0.82,0.82,0.81,0.82,10020
SOMOC,2022-12-09,0.81,0.82,0.81,0.81,11429
SOMOC,2022-12-12,0.8,0.82,0.8,0.8,15052
SOMOC,2022-12-13,0.81,0.81,0.8,0.81,25899
SOMOC,2022-12-14,0.82,0.82,0.81,0.82,13244
SOMOC,2022-12-15,0.81,0.82,0.8,0.81,17908
SOMOC,2022-12-16,0.81,0.81,0.8,0.81,2836
SOMOC,2022-12-19,0.79,0.81,0.79,0.79,9759
SOMOC,2022-12-20,0.8,0.81,0.79,0.8,4177
SOMOC,2022-12-21,0.8,0.81,0.8,0.8,10025
SOMOC,2022-12-22,0.8,0.81,0.8,0.8,14922
SOMOC,2022-12-23,0.79,0.81,0.79,0.79,55995
SOMOC,2022-12-26,0.79,0.81,0.79,0.79,188813
SOMOC,2022-12-27,0.79,0.8,0.79,0.79,29375
SOMOC,2022-12-28,0.8,0.8,0.79,0.8,15293
SOMOC,2022-12-29,0.79,0.8,0.78,0.79,31500
SOMOC,2022-12-30,0.79,0.8,0.79,0.79,3595
SOMOC,2022-08-01,0.82,0.84,0.81,0.82,39551
SOMOC,2022-08-02,0.84,0.85,0.8,0.84,271763
SOMOC,2022-08-03,0.83,0.85,0.83,0.83,14219
SOMOC,2022-08-04,0.84,0.84,0.83,0.84,24793
SOMOC,2022-08-05,0.84,0.85,0.83,0.84,11894
SOMOC,2022-08-08,0.84,0.85,0.83,0.84,6770
SOMOC,2022-08-09,0.84,0.85,0.83,0.84,464
SOMOC,2022-08-10,0.84,0.85,0.83,0.84,14374
SOMOC,2022-08-11,0.86,0.86,0.84,0.86,50555
SOMOC,2022-08-12,0.85,0.86,0.85,0.85,22754
SOMOC,2022-08-15,0.86,0.86,0.85,0.86,9361
SOMOC,2022-08-16,0.86,0.86,0.84,0.86,19898
SOMOC,2022-08-17,0.85,0.86,0.85,0.85,19515
SOMOC,2022-08-18,0.86,0.86,0.84,0.86,23392
SOMOC,2022-08-19,0.85,0.86,0.84,0.85,7248
SOMOC,2022-08-22,0.86,0.86,0.85,0.86,14530
SOMOC,2022-08-23,0.85,0.86,0.84,0.85,13042
SOMOC,2022-08-24,0.85,0.85,0.84,0.85,9105
SOMOC,2022-08-25,0.85,0.86,0.84,0.85,51065
SOMOC,2022-08-26,0.85,0.85,0.84,0.85,29936
SOMOC,2022-08-29,0.85,0.86,0.85,0.85,21797
SOMOC,2022-08-30,0.85,0.85,0.83,0.85,64661
SOMOC,2022-08-31,0.9,0.9,0.84,0.9,292784
SOMOC,2022-09-01,0.95,0.95,0.9,0.95,513374
SOMOC,2022-09-02,0.98,1.0,0.95,0.98,484733
SOMOC,2022-09-05,0.94,0.99,0.94,0.94,411183
SOMOC,2022-09-06,0.94,0.97,0.93,0.94,216121
SOMOC,2022-09-07,0.98,0.99,0.94,0.98,396222
SOMOC,2022-09-08,1.03,1.03,0.98,1.03,436520
SOMOC,2022-09-09,1.09,1.09,1.03,1.09,359324
SOMOC,2022-09-12,1.12,1.15,1.09,1.12,379576
SOMOC,2022-09-13,1.09,1.12,1.06,1.09,305258
SOMOC,2022-09-14,1.03,1.09,1.03,1.03,95130
SOMOC,2022-09-16,0.97,0.98,0.92,0.97,169208
SOMOC,2022-09-19,0.98,1.0,0.97,0.98,54550
SOMOC,2022-09-20,0.96,0.99,0.93,0.96,27368
SOMOC,2022-09-21,0.98,0.98,0.93,0.98,179441
SOMOC,2022-09-22,1.0,1.01,0.97,1.0,119786
SOMOC,2022-09-23,1.0,1.01,0.98,1.0,91009
SOMOC,2022-09-26,0.98,1.0,0.97,0.98,48441
