Ticker,Date,Open,High,Low,Close,Volume
SOPAT,2022-10-24,1.37,1.37,1.37,1.37,280
SOPAT,2022-10-25,1.37,1.37,1.37,1.37,1000
SOPAT,2022-10-27,1.39,1.39,1.37,1.39,2000
SOPAT,2022-10-31,1.39,1.39,1.39,1.39,7139
SOPAT,2022-11-01,1.45,1.45,1.39,1.45,420
SOPAT,2022-11-02,1.46,1.46,1.45,1.46,30
SOPAT,2022-11-07,1.51,1.53,1.46,1.51,3073
SOPAT,2022-11-08,1.51,1.51,1.51,1.51,40
SOPAT,2022-11-09,1.47,1.51,1.47,1.47,20435
SOPAT,2022-11-15,1.44,1.51,1.44,1.44,13450
SOPAT,2022-11-16,1.45,1.49,1.44,1.45,600
SOPAT,2022-11-17,1.45,1.45,1.45,1.45,5000
SOPAT,2022-11-18,1.45,1.46,1.45,1.45,22600
SOPAT,2022-11-21,1.45,1.45,1.45,1.45,300
SOPAT,2022-11-29,1.41,1.41,1.4,1.41,38
SOPAT,2022-11-30,1.39,1.41,1.39,1.39,1073
SOPAT,2022-12-01,1.45,1.45,1.45,1.45,5419
SOPAT,2022-12-02,1.5,1.5,1.45,1.5,11994
SOPAT,2022-12-05,1.5,1.5,1.5,1.5,3629
SOPAT,2022-12-06,1.46,1.5,1.46,1.46,9815
SOPAT,2022-12-07,1.46,1.47,1.46,1.46,31164
SOPAT,2022-12-08,1.46,1.46,1.46,1.46,5221
SOPAT,2022-12-09,1.46,1.46,1.46,1.46,200
SOPAT,2022-12-13,1.45,1.46,1.45,1.45,2400
SOPAT,2022-12-15,1.42,1.45,1.42,1.42,11626
SOPAT,2022-12-16,1.42,1.42,1.42,1.42,13903
SOPAT,2022-12-19,1.41,1.42,1.41,1.41,3590
SOPAT,2022-12-20,1.41,1.41,1.41,1.41,129
SOPAT,2022-12-21,1.41,1.42,1.41,1.41,7050
SOPAT,2022-12-22,1.41,1.41,1.41,1.41,5000
SOPAT,2022-12-23,1.41,1.41,1.41,1.41,6063
SOPAT,2022-12-26,1.41,1.41,1.41,1.41,1000
SOPAT,2022-12-27,1.4,1.41,1.39,1.4,8469
SOPAT,2022-12-29,1.4,1.4,1.4,1.4,205
SOPAT,2022-12-30,1.44,1.44,1.4,1.44,100
SOPAT,2022-08-01,1.42,1.42,1.42,1.42,18100
SOPAT,2022-08-02,1.41,1.45,1.41,1.41,4200
SOPAT,2022-08-03,1.41,1.42,1.41,1.41,2725
