Ticker,Date,Open,High,Low,Close,Volume
SOTEM,2022-12-12,3.15,3.15,3.14,3.15,58
SOTEM,2022-12-14,3.4,3.4,3.29,3.4,500
SOTEM,2022-12-15,3.4,3.4,3.4,3.4,10
SOTEM,2022-12-22,3.4,3.4,3.39,3.4,500
SOTEM,2022-12-26,3.38,3.4,3.38,3.38,2400
SOTEM,2022-12-28,3.3,3.38,3.3,3.3,2000
SOTEM,2022-12-30,3.4,3.4,3.3,3.4,7895
SOTEM,2022-08-02,3.13,3.13,3.09,3.13,50
SOTEM,2022-08-03,3.15,3.15,3.13,3.15,105
SOTEM,2022-08-31,3.01,3.15,3.01,3.01,188
SOTEM,2022-09-07,2.5,2.53,2.5,2.5,312
SOTEM,2022-09-14,3.14,3.14,3.12,3.14,788
SOTEM,2022-09-20,3.13,3.14,3.13,3.13,950
SOTEM,2022-10-03,3.15,3.15,3.13,3.15,250
SOTEM,2022-10-04,3.14,3.15,3.14,3.14,9
SOTEM,2022-05-23,2.39,2.39,2.39,2.39,20
SOTEM,2022-06-02,2.6,2.6,2.49,2.6,251
SOTEM,2022-06-09,3.07,3.08,3.07,3.07,10
SOTEM,2022-06-10,3.15,3.15,3.07,3.15,50
SOTEM,2022-07-22,2.5,2.52,2.5,2.5,360000
SOTEM,2022-04-25,3.1,3.1,2.99,3.1,600
SOTEM,2022-04-26,2.98,3.1,2.98,2.98,1001
SOTEM,2022-04-29,2.61,2.73,2.61,2.61,651
SOTEM,2022-05-05,2.39,2.5,2.39,2.39,500
SOTEM,2021-12-29,3.05,3.15,3.05,3.05,4850
SOTEM,2022-01-04,3.15,3.15,3.05,3.15,83
SOTEM,2022-01-06,3.15,3.15,3.15,3.15,2000
SOTEM,2022-01-11,3.14,3.15,3.14,3.14,99
SOTEM,2021-08-25,3.2,3.2,3.2,3.2,718
SOTEM,2021-09-23,3.1,3.1,3.1,3.1,101
SOTEM,2021-09-30,3.15,3.15,3.15,3.15,150
SOTEM,2021-10-07,3.15,3.15,3.15,3.15,1250
SOTEM,2021-11-01,3.15,3.15,3.15,3.15,7500
SOTEM,2021-06-01,3.33,3.33,3.33,3.33,2500
SOTEM,2021-06-07,3.33,3.33,3.33,3.33,99
SOTEM,2021-07-02,3.24,3.24,3.24,3.24,1340
SOTEM,2021-07-06,3.15,3.15,3.15,3.15,4968
SOTEM,2021-08-25,3.2,3.2,3.2,3.2,718
SOTEM,2021-04-05,3.33,3.33,3.33,3.33,1000
SOTEM,2021-05-04,3.33,3.33,3.33,3.33,500
SOTEM,2021-06-01,3.33,3.33,3.33,3.33,2500
SOTEM,2021-01-07,3.53,3.53,3.53,3.53,150
SOTEM,2021-01-08,3.53,3.53,3.53,3.53,1461
SOTEM,2021-01-22,3.38,3.38,3.38,3.38,200
SOTEM,2021-01-27,3.28,3.28,3.28,3.28,1000
SOTEM,2021-03-04,3.35,3.35,3.35,3.35,65
SOTEM,2020-09-28,3.12,3.12,3.12,3.12,1500
SOTEM,2020-09-29,3.12,3.12,3.12,3.12,2000
SOTEM,2020-09-30,3.18,3.18,3.18,3.18,50
SOTEM,2020-10-01,3.2,3.2,3.2,3.2,1440
SOTEM,2020-10-02,3.2,3.2,3.2,3.2,1550
SOTEM,2020-11-03,3.29,3.29,3.29,3.29,100
SOTEM,2020-11-13,3.3,3.3,3.3,3.3,350
SOTEM,2020-11-18,3.35,3.35,3.35,3.35,1
SOTEM,2020-12-01,3.45,3.45,3.45,3.45,400
SOTEM,2020-12-02,3.45,3.45,3.45,3.45,1771
SOTEM,2020-12-09,3.54,3.54,3.54,3.54,200
SOTEM,2020-06-26,2.99,2.99,2.99,2.99,500
SOTEM,2020-07-03,3.0,3.0,3.0,3.0,50
SOTEM,2020-07-06,3.0,3.03,3.0,3.03,750
SOTEM,2020-07-07,3.12,3.12,3.12,3.12,2596
SOTEM,2020-07-13,3.12,3.12,3.12,3.12,19
SOTEM,2020-08-21,3.12,3.12,3.12,3.12,80
SOTEM,2020-08-24,3.12,3.12,3.12,3.12,20
SOTEM,2020-09-10,3.12,3.12,3.12,3.12,3480
SOTEM,2020-04-06,3.07,3.07,3.07,3.07,50
SOTEM,2020-04-27,3.0,3.0,3.0,3.0,500
SOTEM,2020-04-28,3.0,3.0,3.0,3.0,1200
SOTEM,2020-05-19,2.91,2.91,2.91,2.91,240
SOTEM,2020-05-26,2.91,2.91,2.91,2.91,90
SOTEM,2020-05-27,2.91,2.91,2.91,2.91,400
SOTEM,2020-06-19,2.99,2.99,2.99,2.99,100
SOTEM,2020-06-26,2.99,2.99,2.99,2.99,500
SOTEM,2020-01-09,2.89,2.9,2.87,2.9,1515
SOTEM,2020-01-10,2.82,2.82,2.82,2.82,1000
SOTEM,2020-01-15,2.9,2.9,2.9,2.9,1300
SOTEM,2020-01-16,2.89,2.89,2.89,2.89,500
SOTEM,2020-01-20,2.9,2.9,2.89,2.89,1700
SOTEM,2020-01-21,2.89,2.9,2.89,2.9,550
SOTEM,2020-01-22,2.89,2.89,2.89,2.89,1000
SOTEM,2020-01-23,2.89,2.89,2.89,2.89,500
SOTEM,2020-01-27,2.9,2.9,2.9,2.9,1100
SOTEM,2020-01-29,2.89,2.89,2.89,2.89,1500
SOTEM,2020-01-30,2.89,2.89,2.89,2.89,500
SOTEM,2020-02-21,2.88,2.89,2.88,2.89,1396
SOTEM,2020-02-24,2.89,2.89,2.89,2.89,500
SOTEM,2020-02-26,2.89,2.89,2.89,2.89,500
SOTEM,2020-02-28,2.89,2.89,2.89,2.89,3700
SOTEM,2020-03-05,2.88,2.88,2.88,2.88,1082
SOTEM,2020-03-12,2.88,2.88,2.88,2.88,15
SOTEM,2020-03-25,2.96,2.96,2.96,2.96,1000
SOTEM,2020-03-31,3.04,3.04,3.04,3.04,300
SOTEM,2020-04-01,3.04,3.04,3.04,3.04,560
SOTEM,2019-10-21,2.3,2.3,2.3,2.3,11000
SOTEM,2019-10-23,2.34,2.34,2.34,2.34,1000
SOTEM,2019-11-06,2.39,2.39,2.39,2.39,130
SOTEM,2019-11-20,2.46,2.46,2.46,2.46,56
SOTEM,2019-11-21,2.53,2.53,2.53,2.53,875
SOTEM,2019-11-27,2.53,2.53,2.53,2.53,100
SOTEM,2019-11-28,2.53,2.53,2.53,2.53,1959
SOTEM,2019-12-04,2.5,2.5,2.5,2.5,1350
SOTEM,2019-12-06,2.5,2.5,2.5,2.5,500
SOTEM,2019-12-11,2.5,2.5,2.5,2.5,200
SOTEM,2019-12-12,2.5,2.5,2.5,2.5,554
SOTEM,2019-12-13,2.5,2.5,2.5,2.5,396
SOTEM,2019-12-17,2.5,2.5,2.5,2.5,1404
SOTEM,2019-12-18,2.5,2.5,2.5,2.5,1000
SOTEM,2019-12-19,2.5,2.5,2.5,2.5,1120
SOTEM,2019-12-24,2.59,2.59,2.59,2.59,2595
SOTEM,2019-12-25,2.63,2.7,2.63,2.7,3225
SOTEM,2019-12-26,2.78,2.78,2.78,2.78,2200
SOTEM,2019-12-27,2.78,2.78,2.78,2.78,7090
SOTEM,2019-12-30,2.8,2.86,2.8,2.86,6680
SOTEM,2019-12-31,2.9,2.9,2.9,2.9,1000
SOTEM,2020-01-02,2.9,2.9,2.9,2.9,400
SOTEM,2020-01-06,2.89,2.89,2.89,2.89,1000
SOTEM,2019-07-29,2.29,2.29,2.29,2.29,4600
