Ticker,Date,Open,High,Low,Close,Volume
SOTET,2022-10-24,3.37,3.37,3.31,3.37,2734
SOTET,2022-10-25,3.35,3.37,3.32,3.35,1090
SOTET,2022-10-26,3.31,3.35,3.3,3.31,1300
SOTET,2022-10-27,3.38,3.4,3.32,3.38,10284
SOTET,2022-10-28,3.45,3.52,3.38,3.45,16188
SOTET,2022-10-31,3.41,3.45,3.4,3.41,10285
SOTET,2022-11-01,3.61,3.61,3.41,3.61,43488
SOTET,2022-11-02,3.67,3.79,3.6,3.67,22641
SOTET,2022-11-03,3.52,3.67,3.45,3.52,14717
SOTET,2022-11-04,3.56,3.64,3.5,3.56,1346
SOTET,2022-11-07,3.56,3.56,3.51,3.56,1095
SOTET,2022-11-08,3.64,3.66,3.45,3.64,10555
SOTET,2022-11-09,3.63,3.66,3.6,3.63,1129
SOTET,2022-11-10,3.62,3.63,3.6,3.62,1700
SOTET,2022-11-11,3.52,3.6,3.52,3.52,94
SOTET,2022-11-14,3.64,3.7,3.59,3.64,12090
SOTET,2022-11-15,3.62,3.65,3.6,3.62,683
SOTET,2022-11-16,3.51,3.62,3.51,3.51,17797
SOTET,2022-11-17,3.59,3.61,3.51,3.59,10241
SOTET,2022-11-18,3.57,3.61,3.52,3.57,1057
SOTET,2022-11-21,3.49,3.59,3.39,3.49,36830
SOTET,2022-11-22,3.45,3.49,3.36,3.45,32965
SOTET,2022-11-23,3.55,3.58,3.45,3.55,2545
SOTET,2022-11-24,3.42,3.55,3.42,3.42,2949
SOTET,2022-11-25,3.49,3.53,3.49,3.49,266
SOTET,2022-11-28,3.45,3.49,3.45,3.45,450
SOTET,2022-11-29,3.41,3.52,3.41,3.41,1930
SOTET,2022-11-30,3.42,3.5,3.42,3.42,12409
SOTET,2022-12-01,3.44,3.52,3.44,3.44,5630
SOTET,2022-12-02,3.48,3.5,3.41,3.48,6142
SOTET,2022-12-05,3.31,3.5,3.31,3.31,81
SOTET,2022-12-06,3.39,3.44,3.31,3.39,797
SOTET,2022-12-07,3.37,3.39,3.33,3.37,136
SOTET,2022-12-08,3.38,3.38,3.31,3.38,34
SOTET,2022-12-12,3.35,3.38,3.3,3.35,1636
SOTET,2022-12-13,3.34,3.35,3.28,3.34,1214
SOTET,2022-12-14,3.27,3.34,3.27,3.27,2078
SOTET,2022-12-15,3.3,3.33,3.27,3.3,2995
SOTET,2022-12-16,3.3,3.3,3.26,3.3,1301
SOTET,2022-12-19,3.29,3.3,3.25,3.29,84
SOTET,2022-12-20,3.19,3.3,3.11,3.19,10112
SOTET,2022-12-21,3.21,3.22,3.19,3.21,267
SOTET,2022-12-22,3.19,3.21,3.16,3.19,139
SOTET,2022-12-23,3.09,3.19,3.08,3.09,1317
SOTET,2022-12-26,3.02,3.09,2.96,3.02,5404
SOTET,2022-12-27,2.95,3.08,2.95,2.95,128
SOTET,2022-12-28,2.9,3.0,2.83,2.9,8328
SOTET,2022-12-29,2.87,2.94,2.87,2.87,3552
SOTET,2022-12-30,2.94,3.04,2.87,2.94,2411
SOTET,2022-08-01,3.15,3.21,3.07,3.15,5988
SOTET,2022-08-02,3.11,3.15,3.09,3.11,2096
