Ticker,Date,Open,High,Low,Close,Volume
SOTUV,2022-10-24,9.7,9.7,9.68,9.7,1001
SOTUV,2022-10-25,9.67,9.7,9.5,9.67,16707
SOTUV,2022-10-26,9.7,9.7,9.67,9.7,11594
SOTUV,2022-10-27,9.6,9.7,9.6,9.6,603
SOTUV,2022-10-28,9.59,9.65,9.5,9.59,15058
SOTUV,2022-10-31,9.45,9.6,9.45,9.45,17080
SOTUV,2022-11-01,9.3,9.45,9.3,9.3,30957
SOTUV,2022-11-02,9.35,9.45,9.12,9.35,6732
SOTUV,2022-11-03,9.35,9.4,9.25,9.35,6175
SOTUV,2022-11-04,9.42,9.42,9.35,9.42,2916
SOTUV,2022-11-07,9.2,9.42,9.15,9.2,18041
SOTUV,2022-11-08,9.28,9.28,9.05,9.28,15540
SOTUV,2022-11-09,9.25,9.35,9.15,9.25,7015
SOTUV,2022-11-10,9.05,9.26,9.03,9.05,15740
SOTUV,2022-11-11,9.0,9.05,8.8,9.0,16249
SOTUV,2022-11-14,9.0,9.0,8.77,9.0,5794
SOTUV,2022-11-15,8.95,9.0,8.9,8.95,8170
SOTUV,2022-11-16,8.95,8.95,8.95,8.95,2670
SOTUV,2022-11-17,8.7,8.95,8.65,8.7,11864
SOTUV,2022-11-18,8.8,8.9,8.65,8.8,8228
SOTUV,2022-11-21,8.86,8.9,8.8,8.86,230
SOTUV,2022-11-22,8.85,8.86,8.79,8.85,594
SOTUV,2022-11-23,8.8,8.89,8.77,8.8,14216
SOTUV,2022-11-24,8.8,8.8,8.76,8.8,15119
SOTUV,2022-11-25,8.75,8.88,8.75,8.75,5137
SOTUV,2022-11-28,8.85,9.04,8.8,8.85,2382
SOTUV,2022-11-29,8.9,8.9,8.72,8.9,2295
SOTUV,2022-11-30,8.71,8.9,8.71,8.71,3783
SOTUV,2022-12-01,8.7,8.8,8.7,8.7,1354
SOTUV,2022-12-02,8.71,8.8,8.69,8.71,3143
SOTUV,2022-12-05,8.64,8.71,8.62,8.64,13633
SOTUV,2022-12-06,8.66,8.7,8.64,8.66,983
SOTUV,2022-12-07,8.65,8.67,8.6,8.65,3703
SOTUV,2022-12-08,8.61,8.65,8.6,8.61,898
SOTUV,2022-12-09,8.61,8.62,8.5,8.61,2946
SOTUV,2022-12-12,8.6,8.65,8.6,8.6,13889
SOTUV,2022-12-13,8.65,8.68,8.6,8.65,11459
SOTUV,2022-12-14,8.8,8.8,8.65,8.8,50055
SOTUV,2022-12-15,8.78,8.8,8.73,8.78,5530
SOTUV,2022-12-16,8.7,8.8,8.7,8.7,14971
SOTUV,2022-12-19,8.65,8.8,8.65,8.65,13206
SOTUV,2022-12-20,8.7,8.7,8.55,8.7,6283
SOTUV,2022-12-21,8.6,8.7,8.6,8.6,2590
SOTUV,2022-12-22,8.6,8.61,8.59,8.6,4073
SOTUV,2022-12-23,8.65,8.7,8.6,8.65,5856
SOTUV,2022-12-26,8.65,8.75,8.6,8.65,16641
SOTUV,2022-12-27,8.66,8.7,8.62,8.66,8853
SOTUV,2022-12-28,8.68,8.68,8.64,8.68,28021
SOTUV,2022-12-29,8.68,8.7,8.63,8.68,29501
SOTUV,2022-12-30,8.7,8.79,8.68,8.7,78386
SOTUV,2022-08-01,8.49,8.5,8.48,8.49,896
SOTUV,2022-08-02,8.26,8.49,8.16,8.26,11971
SOTUV,2022-08-03,8.3,8.4,8.26,8.3,6532
SOTUV,2022-08-04,8.37,8.38,8.25,8.37,6932
SOTUV,2022-08-05,8.44,8.45,8.26,8.44,8176
SOTUV,2022-08-08,8.32,8.44,8.3,8.32,3607
SOTUV,2022-08-09,8.3,8.39,8.3,8.3,7656
SOTUV,2022-08-10,8.32,8.39,8.28,8.32,530
SOTUV,2022-08-11,8.37,8.37,8.28,8.37,1646
SOTUV,2022-08-12,8.35,8.37,8.27,8.35,2366
SOTUV,2022-08-15,8.3,8.35,8.3,8.3,14576
SOTUV,2022-08-16,8.28,8.36,8.28,8.28,26005
SOTUV,2022-08-17,8.28,8.29,8.2,8.28,9264
SOTUV,2022-08-18,8.2,8.3,8.2,8.2,21020
SOTUV,2022-08-19,8.28,8.28,8.2,8.28,6980
SOTUV,2022-08-22,8.25,8.28,8.24,8.25,3390
SOTUV,2022-08-23,8.25,8.27,8.189,8.25,8788
SOTUV,2022-08-24,8.35,8.35,8.25,8.35,23465
SOTUV,2022-08-25,8.45,8.45,8.26,8.45,22025
SOTUV,2022-08-26,8.82,8.95,8.45,8.82,25345
SOTUV,2022-08-29,8.81,8.84,8.65,8.81,16502
SOTUV,2022-08-30,9.05,9.1,8.81,9.05,54565
SOTUV,2022-08-31,9.2,9.2,9.0,9.2,32654
SOTUV,2022-09-01,9.2,9.28,9.15,9.2,8741
SOTUV,2022-09-02,8.98,9.25,8.88,8.98,20686
SOTUV,2022-09-05,9.29,9.5,8.98,9.29,72517
SOTUV,2022-09-06,9.19,9.34,9.05,9.19,20110
SOTUV,2022-09-07,9.2,9.2,9.1,9.2,33737
SOTUV,2022-09-08,9.35,9.35,9.15,9.35,29218
SOTUV,2022-09-09,9.3,9.4,9.2,9.3,9051
SOTUV,2022-09-12,9.37,9.5,9.3,9.37,40265
SOTUV,2022-09-13,9.38,9.49,9.37,9.38,10487
SOTUV,2022-09-14,9.4,9.5,9.38,9.4,11354
SOTUV,2022-09-15,9.33,9.5,9.27,9.33,9678
SOTUV,2022-09-16,9.38,9.39,9.32,9.38,10197
SOTUV,2022-09-19,9.3,9.38,9.3,9.3,15417
SOTUV,2022-09-20,9.3,9.37,9.3,9.3,15833
SOTUV,2022-09-21,9.38,9.38,9.28,9.38,3775
SOTUV,2022-09-22,9.38,9.38,9.3,9.38,26115
SOTUV,2022-09-23,9.48,9.5,9.37,9.48,22480
SOTUV,2022-09-26,9.4,9.49,9.38,9.4,24747
SOTUV,2022-09-27,9.59,9.6,9.4,9.59,8577
SOTUV,2022-09-28,9.69,9.77,9.59,9.69,25932
SOTUV,2022-09-29,9.73,9.8,9.69,9.73,7622
SOTUV,2022-09-30,9.7,9.9,9.7,9.7,15858
SOTUV,2022-10-03,9.74,9.8,9.65,9.74,2569
SOTUV,2022-10-04,9.6,9.74,9.5,9.6,12075
SOTUV,2022-10-05,9.6,9.6,9.5,9.6,5764
SOTUV,2022-10-06,9.92,9.95,9.6,9.92,73555
SOTUV,2022-10-07,9.76,9.92,9.76,9.76,2174
SOTUV,2022-10-10,9.79,9.8,9.7,9.79,4270
SOTUV,2022-10-11,9.7,9.79,9.7,9.7,2992
SOTUV,2022-10-12,9.69,9.78,9.6,9.69,13346
SOTUV,2022-10-13,9.6,9.69,9.55,9.6,15056
SOTUV,2022-10-14,9.68,9.68,9.55,9.68,15445
SOTUV,2022-10-17,9.65,9.68,9.65,9.65,1769
SOTUV,2022-10-18,9.77,9.77,9.65,9.77,2751
SOTUV,2022-10-19,9.68,9.8,9.65,9.68,10136
SOTUV,2022-10-20,9.6,9.68,9.53,9.6,16163
SOTUV,2022-10-21,9.68,9.69,9.6,9.68,2850
SOTUV,2022-10-24,9.7,9.7,9.68,9.7,1001
SOTUV,2022-05-09,6.41394482992046,6.439329835843629,6.3885598239972925,6.41394482992046,2724
SOTUV,2022-05-10,6.41394482992046,6.41394482992046,6.363174818074124,6.41394482992046,677
SOTUV,2022-05-11,6.405483161279404,6.430868167202572,6.346251480792012,6.405483161279404,3227
SOTUV,2022-05-12,6.329328143509901,6.346251480792012,6.329328143509901,6.329328143509901,2182
SOTUV,2022-05-13,6.346251480792012,6.439329835843629,6.346251480792012,6.346251480792012,9361
SOTUV,2022-05-16,6.346251480792012,6.422406498561516,6.346251480792012,6.346251480792012,12237
SOTUV,2022-05-17,6.363174818074124,6.41394482992046,6.346251480792012,6.363174818074124,7929
SOTUV,2022-05-18,6.490099847689964,6.515484853613133,6.363174818074124,6.490099847689964,6677
SOTUV,2022-05-19,6.473176510407853,6.507023184972077,6.473176510407853,6.473176510407853,2390
SOTUV,2022-05-20,6.473176510407853,6.473176510407853,6.430868167202572,6.473176510407853,536
SOTUV,2022-05-23,6.49856151633102,6.49856151633102,6.422406498561516,6.49856151633102,2896
SOTUV,2022-05-24,6.473176510407853,6.481638179048908,6.464714841766797,6.473176510407853,1478
SOTUV,2022-05-25,6.49856151633102,6.49856151633102,6.490099847689964,6.49856151633102,4015
SOTUV,2022-05-26,6.769334912844813,6.802335420544932,6.490099847689964,6.769334912844813,25372
SOTUV,2022-05-27,6.853951599255373,6.853951599255373,6.769334912844813,6.853951599255373,16755
SOTUV,2022-05-30,6.870874936537485,6.938568285665933,6.853951599255373,6.870874936537485,93605
SOTUV,2022-05-31,6.90472161110171,6.913183279742765,6.896259942460654,6.90472161110171,11803
SOTUV,2022-06-01,7.040108309358606,7.040108309358606,6.90472161110171,7.040108309358606,19030
SOTUV,2022-06-02,6.980876628871214,7.099339989845999,6.963953291589102,6.980876628871214,18276
SOTUV,2022-06-03,6.938568285665933,6.997799966153325,6.90472161110171,6.938568285665933,7578
SOTUV,2022-06-06,6.921644948383821,6.930106617024877,6.861567101032324,6.921644948383821,5767
SOTUV,2022-06-07,6.913183279742765,6.929260450160772,6.861567101032324,6.913183279742765,9312
SOTUV,2022-06-08,6.896259942460654,6.913183279742765,6.853951599255373,6.896259942460654,3745
SOTUV,2022-06-09,6.879336605178542,6.879336605178542,6.853951599255373,6.879336605178542,2616
SOTUV,2022-06-10,6.870874936537485,6.896259942460654,6.861567101032324,6.870874936537485,2319
SOTUV,2022-06-13,6.853951599255373,6.938568285665933,6.853951599255373,6.853951599255373,11543
SOTUV,2022-06-14,6.853951599255373,6.921644948383821,6.82010492469115,6.853951599255373,2915
SOTUV,2022-06-15,6.870874936537485,6.896259942460654,6.853951599255373,6.870874936537485,7259
SOTUV,2022-06-16,6.853951599255373,6.87002876967338,6.853951599255373,6.853951599255373,22165
SOTUV,2022-06-17,6.862413267896429,6.87002876967338,6.837028261973261,6.862413267896429,8384
SOTUV,2022-06-20,6.853951599255373,6.862413267896429,6.845489930614317,6.853951599255373,9283
SOTUV,2022-06-21,6.862413267896429,6.913183279742765,6.853951599255373,6.862413267896429,10636
SOTUV,2022-06-22,6.90472161110171,6.90472161110171,6.853951599255373,6.90472161110171,4882
SOTUV,2022-06-23,7.023184972076495,7.023184972076495,6.896259942460654,7.023184972076495,14924
SOTUV,2022-06-24,7.446268404129295,7.454730072770351,7.040108309358606,7.446268404129295,29444
SOTUV,2022-06-27,7.615501776950415,7.615501776950415,7.446268404129295,7.615501776950415,27792
SOTUV,2022-06-28,7.556270096463023,7.700118463360975,7.488576747334574,7.556270096463023,16713
SOTUV,2022-06-29,7.615501776950415,7.657810120155696,7.539346759180911,7.615501776950415,3769
SOTUV,2022-06-30,7.615501776950415,7.683195126078863,7.530885090539855,7.615501776950415,28443
SOTUV,2022-07-01,7.700118463360975,7.742426806566256,7.615501776950415,7.700118463360975,16360
SOTUV,2022-07-04,7.793196818412592,7.852428498899982,7.691656794719919,7.793196818412592,10713
SOTUV,2022-07-05,7.860890167541038,7.869351836182096,7.742426806566256,7.860890167541038,19662
SOTUV,2022-07-06,7.937045185310544,7.9455068539516,7.860890167541038,7.937045185310544,9212
SOTUV,2022-07-07,7.9285835166694865,7.937045185310544,7.911660179387375,7.9285835166694865,9117
SOTUV,2022-07-08,7.962430191233712,7.970891859874768,7.911660179387375,7.962430191233712,13770
SOTUV,2022-07-11,7.937045185310544,7.962430191233712,7.9285835166694865,7.937045185310544,15006
SOTUV,2022-07-12,7.827043492976816,7.953968522592656,7.827043492976816,7.827043492976816,16169
SOTUV,2022-07-13,7.827043492976816,7.937045185310544,7.793196818412592,7.827043492976816,23028
SOTUV,2022-07-14,7.98781519715688,8.013200203080048,7.827043492976816,7.98781519715688,30079
SOTUV,2022-07-15,8.038585209003216,8.047046877644272,7.98781519715688,8.038585209003216,15369
SOTUV,2022-07-18,8.123201895413775,8.275511930952783,8.038585209003216,8.123201895413775,11925
SOTUV,2022-07-19,8.19935691318328,8.275511930952783,8.038585209003216,8.19935691318328,28564
SOTUV,2022-07-20,8.283973599593839,8.292435268234897,8.19935691318328,8.283973599593839,7615
SOTUV,2022-07-21,8.19935691318328,8.377051954645456,8.19935691318328,8.19935691318328,44380
SOTUV,2022-07-22,8.038585209003216,8.123201895413775,7.860890167541038,8.038585209003216,2240
SOTUV,2022-07-26,8.004738534438992,8.123201895413775,8.004738534438992,8.004738534438992,8780
SOTUV,2022-07-27,7.869351836182096,8.038585209003216,7.869351836182096,7.869351836182096,10980
SOTUV,2022-07-28,8.2,8.2,7.93,8.2,5723
SOTUV,2022-07-29,8.48,8.5,8.2,8.48,2051
SOTUV,2022-02-11,6.253173125740396,6.253173125740396,6.20240311389406,6.253173125740396,21773
SOTUV,2022-02-14,6.253173125740396,6.253173125740396,6.210864782535116,6.253173125740396,8670
SOTUV,2022-02-15,6.253173125740396,6.253173125740396,6.219326451176172,6.253173125740396,1206
SOTUV,2022-02-16,6.253173125740396,6.270096463022508,6.193941445253004,6.253173125740396,659
SOTUV,2022-02-17,6.261634794381452,6.270096463022508,6.193941445253004,6.261634794381452,1913
SOTUV,2022-02-18,6.261634794381452,6.261634794381452,6.20240311389406,6.261634794381452,2154
SOTUV,2022-02-21,6.261634794381452,6.261634794381452,6.20240311389406,6.261634794381452,4375
SOTUV,2022-02-22,6.261634794381452,6.261634794381452,6.20240311389406,6.261634794381452,14095
SOTUV,2022-02-23,6.270096463022508,6.270096463022508,6.253173125740396,6.270096463022508,3545
SOTUV,2022-02-24,6.168556439329836,6.270096463022508,6.168556439329836,6.168556439329836,21320
SOTUV,2022-02-25,6.261634794381452,6.261634794381452,6.134709764765612,6.261634794381452,5972
SOTUV,2022-02-28,6.261634794381452,6.261634794381452,6.261634794381452,6.261634794381452,1187
SOTUV,2022-03-01,6.193941445253004,6.261634794381452,6.109324758842444,6.193941445253004,3181
SOTUV,2022-03-02,6.253173125740396,6.261634794381452,6.143171433406668,6.253173125740396,20194
SOTUV,2022-03-03,6.24471145709934,6.253173125740396,6.193941445253004,6.24471145709934,4893
SOTUV,2022-03-04,6.236249788458284,6.24471145709934,6.177018107970892,6.236249788458284,2330
SOTUV,2022-03-07,6.219326451176172,6.236249788458284,6.143171433406668,6.219326451176172,14
SOTUV,2022-03-08,6.253173125740396,6.253173125740396,6.219326451176172,6.253173125740396,11
SOTUV,2022-03-09,6.236249788458284,6.253173125740396,6.210864782535116,6.236249788458284,732
SOTUV,2022-03-10,6.236249788458284,6.236249788458284,6.236249788458284,6.236249788458284,7
SOTUV,2022-03-11,6.236249788458284,6.236249788458284,6.134709764765612,6.236249788458284,1597
SOTUV,2022-03-14,6.210864782535116,6.236249788458284,6.134709764765612,6.210864782535116,1132
SOTUV,2022-03-15,6.20240311389406,6.210864782535116,6.092401421560332,6.20240311389406,6548
SOTUV,2022-03-16,6.210864782535116,6.210864782535116,6.20240311389406,6.210864782535116,1
SOTUV,2022-03-17,6.134709764765612,6.210864782535116,6.092401421560332,6.134709764765612,233
SOTUV,2022-03-18,6.177018107970892,6.177018107970892,6.067016415637164,6.177018107970892,4149
SOTUV,2022-03-21,6.16009477068878,6.2277881198172285,5.965476391944492,6.16009477068878,1198
SOTUV,2022-03-22,6.16009477068878,6.177018107970892,6.092401421560332,6.16009477068878,5085
SOTUV,2022-03-24,6.177018107970892,6.177018107970892,6.016246403790828,6.177018107970892,5228
SOTUV,2022-03-25,6.177018107970892,6.177018107970892,6.151633102047724,6.177018107970892,7899
SOTUV,2022-03-28,6.177018107970892,6.219326451176172,6.177018107970892,6.177018107970892,7285
SOTUV,2022-03-29,6.219326451176172,6.219326451176172,6.177018107970892,6.219326451176172,14
SOTUV,2022-03-30,6.219326451176172,6.219326451176172,6.100863090201388,6.219326451176172,596
SOTUV,2022-03-31,6.177018107970892,6.219326451176172,6.092401421560332,6.177018107970892,649
SOTUV,2022-04-01,6.177018107970892,6.177018107970892,6.177018107970892,6.177018107970892,1772
SOTUV,2022-04-04,6.193941445253004,6.193941445253004,6.177018107970892,6.193941445253004,354
SOTUV,2022-04-06,6.134709764765612,6.193941445253004,6.0754780842782194,6.134709764765612,31
SOTUV,2022-04-07,6.193941445253004,6.193941445253004,6.134709764765612,6.193941445253004,9330
SOTUV,2022-04-08,6.177018107970892,6.193941445253004,6.092401421560332,6.177018107970892,8819
SOTUV,2022-04-11,6.2277881198172285,6.236249788458284,6.177018107970892,6.2277881198172285,3986
SOTUV,2022-04-12,6.329328143509901,6.329328143509901,6.2277881198172285,6.329328143509901,22787
SOTUV,2022-04-13,6.320866474868844,6.346251480792012,6.219326451176172,6.320866474868844,54
SOTUV,2022-04-14,6.295481468945677,6.320866474868844,6.2277881198172285,6.295481468945677,171
SOTUV,2022-04-15,6.28701980030462,6.295481468945677,6.2277881198172285,6.28701980030462,2417
SOTUV,2022-04-18,6.295481468945677,6.312404806227788,6.28701980030462,6.295481468945677,79568
SOTUV,2022-04-19,6.295481468945677,6.295481468945677,6.219326451176172,6.295481468945677,4248
SOTUV,2022-04-20,6.3885598239972925,6.3885598239972925,6.270096463022508,6.3885598239972925,21844
SOTUV,2022-04-21,6.507023184972077,6.515484853613133,6.3885598239972925,6.507023184972077,18582
SOTUV,2022-04-22,6.583178202741581,6.600101540023693,6.507023184972077,6.583178202741581,19450
SOTUV,2022-04-25,6.515484853613133,6.583178202741581,6.430868167202572,6.515484853613133,3020
SOTUV,2022-04-26,6.3039431375867325,6.515484853613133,6.3039431375867325,6.3039431375867325,1877
SOTUV,2022-04-27,6.354713149433068,6.5408698595363015,6.3039431375867325,6.354713149433068,8761
SOTUV,2022-04-28,6.3885598239972925,6.481638179048908,6.354713149433068,6.3885598239972925,7055
SOTUV,2022-04-29,6.447791504484685,6.447791504484685,6.380098155356237,6.447791504484685,3382
SOTUV,2022-05-04,6.447791504484685,6.447791504484685,6.447791504484685,6.447791504484685,667
SOTUV,2022-05-05,6.430868167202572,6.464714841766797,6.397021492638348,6.430868167202572,19505
SOTUV,2022-05-06,6.447791504484685,6.456253173125741,6.346251480792012,6.447791504484685,5777
SOTUV,2021-11-18,6.270096463022508,6.346251480792012,6.261634794381452,6.270096463022508,3218
SOTUV,2021-11-19,6.253173125740396,6.346251480792012,6.253173125740396,6.253173125740396,1551
SOTUV,2021-11-22,6.253173125740396,6.261634794381452,6.177018107970892,6.253173125740396,1048
SOTUV,2021-11-23,6.16009477068878,6.270096463022508,6.16009477068878,6.16009477068878,6482
SOTUV,2021-11-24,6.151633102047724,6.261634794381452,6.151633102047724,6.151633102047724,3933
SOTUV,2021-11-25,6.092401421560332,6.210864782535116,6.092401421560332,6.092401421560332,8748
SOTUV,2021-11-26,6.0754780842782194,6.092401421560332,6.007784735149771,6.0754780842782194,7049
SOTUV,2021-11-29,6.24471145709934,6.253173125740396,6.0754780842782194,6.24471145709934,1476
SOTUV,2021-11-30,6.177018107970892,6.24471145709934,6.177018107970892,6.177018107970892,142
SOTUV,2021-12-01,6.20240311389406,6.236249788458284,5.973938060585548,6.20240311389406,1710
SOTUV,2021-12-02,6.058554746996108,6.210864782535116,5.973938060585548,6.058554746996108,4168
SOTUV,2021-12-03,6.177018107970892,6.177018107970892,6.058554746996108,6.177018107970892,472
SOTUV,2021-12-06,6.092401421560332,6.177018107970892,5.982399729226604,6.092401421560332,1595
SOTUV,2021-12-07,6.007784735149771,6.092401421560332,5.965476391944492,6.007784735149771,3166
SOTUV,2021-12-08,5.999323066508715,6.007784735149771,5.923168048739211,5.999323066508715,6902
SOTUV,2021-12-09,5.965476391944492,5.965476391944492,5.923168048739211,5.965476391944492,7148
SOTUV,2021-12-10,6.007784735149771,6.083939752919276,5.923168048739211,6.007784735149771,4989
SOTUV,2021-12-13,6.007784735149771,6.050093078355052,5.923168048739211,6.007784735149771,3491
SOTUV,2021-12-14,6.007784735149771,6.007784735149771,5.923168048739211,6.007784735149771,17009
SOTUV,2021-12-15,6.050093078355052,6.058554746996108,6.007784735149771,6.050093078355052,1190
SOTUV,2021-12-16,6.041631409713996,6.050093078355052,5.923168048739211,6.041631409713996,6121
SOTUV,2021-12-20,5.923168048739211,6.041631409713996,5.923168048739211,5.923168048739211,4013
SOTUV,2021-12-21,6.007784735149771,6.007784735149771,5.923168048739211,6.007784735149771,13764
SOTUV,2021-12-22,5.965476391944492,6.024708072431884,5.923168048739211,5.965476391944492,19045
SOTUV,2021-12-23,6.007784735149771,6.024708072431884,5.923168048739211,6.007784735149771,4496
SOTUV,2021-12-24,6.007784735149771,6.024708072431884,5.923168048739211,6.007784735149771,11433
SOTUV,2021-12-27,6.007784735149771,6.024708072431884,5.923168048739211,6.007784735149771,3509
SOTUV,2021-12-28,5.965476391944492,6.007784735149771,5.923168048739211,5.965476391944492,9036
SOTUV,2021-12-29,5.973938060585548,5.973938060585548,5.923168048739211,5.973938060585548,4190
SOTUV,2021-12-30,6.261634794381452,6.329328143509901,5.923168048739211,6.261634794381452,28968
SOTUV,2021-12-31,6.193941445253004,6.261634794381452,5.931629717380267,6.193941445253004,1632
SOTUV,2022-01-03,6.134709764765612,6.2277881198172285,5.923168048739211,6.134709764765612,854
SOTUV,2022-01-04,6.050093078355052,6.134709764765612,5.923168048739211,6.050093078355052,52263
SOTUV,2022-01-05,6.007784735149771,6.092401421560332,6.007784735149771,6.007784735149771,532
SOTUV,2022-01-06,6.007784735149771,6.092401421560332,5.931629717380267,6.007784735149771,3336
SOTUV,2022-01-07,5.965476391944492,6.007784735149771,5.965476391944492,5.965476391944492,670
SOTUV,2022-01-10,5.923168048739211,5.999323066508715,5.880859705533932,5.923168048739211,11090
SOTUV,2022-01-11,5.923168048739211,5.999323066508715,5.880859705533932,5.923168048739211,4626
SOTUV,2022-01-12,5.880859705533932,5.923168048739211,5.872398036892876,5.880859705533932,3674
SOTUV,2022-01-13,5.965476391944492,5.965476391944492,5.872398036892876,5.965476391944492,7489
SOTUV,2022-01-14,6.067016415637164,6.067016415637164,5.923168048739211,6.067016415637164,6691
SOTUV,2022-01-17,6.007784735149771,6.067016415637164,5.923168048739211,6.007784735149771,1283
SOTUV,2022-01-18,6.067016415637164,6.067016415637164,5.923168048739211,6.067016415637164,3647
SOTUV,2022-01-19,6.050093078355052,6.067016415637164,6.007784735149771,6.050093078355052,4854
SOTUV,2022-01-20,6.168556439329836,6.168556439329836,6.050093078355052,6.168556439329836,53888
SOTUV,2022-01-21,6.168556439329836,6.168556439329836,6.134709764765612,6.168556439329836,4458
SOTUV,2022-01-25,6.168556439329836,6.168556439329836,6.007784735149771,6.168556439329836,3840
SOTUV,2022-01-26,6.168556439329836,6.168556439329836,6.168556439329836,6.168556439329836,3078
SOTUV,2022-01-27,6.16009477068878,6.168556439329836,6.092401421560332,6.16009477068878,889
SOTUV,2022-01-28,6.210864782535116,6.2277881198172285,6.16009477068878,6.210864782535116,15845
SOTUV,2022-01-31,6.253173125740396,6.253173125740396,6.210864782535116,6.253173125740396,18112
SOTUV,2022-02-01,6.24471145709934,6.253173125740396,6.134709764765612,6.24471145709934,7249
SOTUV,2022-02-02,6.253173125740396,6.261634794381452,6.236249788458284,6.253173125740396,5441
SOTUV,2022-02-03,6.261634794381452,6.270096463022508,6.20240311389406,6.261634794381452,20148
SOTUV,2022-02-04,6.28701980030462,6.28701980030462,6.2277881198172285,6.28701980030462,4645
SOTUV,2022-02-07,6.28701980030462,6.295481468945677,6.20240311389406,6.28701980030462,2209
SOTUV,2022-02-08,6.261634794381452,6.295481468945677,6.20240311389406,6.261634794381452,6436
SOTUV,2022-02-09,6.24471145709934,6.261634794381452,6.20240311389406,6.24471145709934,913
SOTUV,2022-02-10,6.2277881198172285,6.24471145709934,6.210864782535116,6.2277881198172285,24574
SOTUV,2022-02-11,6.253173125740396,6.253173125740396,6.20240311389406,6.253173125740396,21773
SOTUV,2021-08-25,5.542392959891691,5.610086309020139,5.500084616686411,5.610086309020139,1428
SOTUV,2021-08-26,5.5847013030969705,5.5847013030969705,5.500084616686411,5.5847013030969705,9110
SOTUV,2021-08-27,5.5847013030969705,5.652394652225419,5.5847013030969705,5.652394652225419,2708
SOTUV,2021-08-31,5.627009646302251,5.652394652225419,5.517007953968522,5.627009646302251,744
SOTUV,2021-09-01,5.5847013030969705,5.627009646302251,5.517007953968522,5.517007953968522,154
SOTUV,2021-09-02,5.627009646302251,5.627009646302251,5.627009646302251,5.627009646302251,35
SOTUV,2021-09-03,5.517007953968522,5.5847013030969705,5.517007953968522,5.5847013030969705,1935
SOTUV,2021-09-06,5.627009646302251,5.711626332712811,5.5847013030969705,5.669317989507531,6482
