Ticker,Date,Open,High,Low,Close,Volume
SPHAX,2014-09-01,5.53,5.53,5.37,5.4,810
SPHAX,2014-09-02,5.2,5.37,5.16,5.35,3739
SPHAX,2014-09-03,5.37,5.37,5.21,5.21,1048
SPHAX,2014-09-04,5.2,5.21,5.1,5.17,933
SPHAX,2014-09-05,5.1,5.14,5.02,5.09,2671
SPHAX,2014-09-08,5.1,5.1,4.95,5.0,2021
SPHAX,2014-09-09,5.06,5.06,4.95,5.0,384
SPHAX,2014-09-10,4.99,5.0,4.85,4.9,1684
SPHAX,2014-09-11,4.96,5.1,4.88,5.1,23065
SPHAX,2014-09-12,5.18,5.18,5.03,5.1,8701
SPHAX,2014-09-15,5.1,5.15,5.05,5.12,2546
SPHAX,2014-09-16,4.97,5.11,4.97,5.08,2038
SPHAX,2014-09-17,5.0,5.0,4.85,4.98,497
SPHAX,2014-09-18,4.84,4.95,4.76,4.93,3358
SPHAX,2014-09-19,4.8,4.93,4.66,4.8,437
SPHAX,2014-09-22,4.88,4.88,4.75,4.75,1025
SPHAX,2014-09-23,4.78,4.78,4.64,4.64,920
SPHAX,2014-09-24,4.64,4.64,4.51,4.51,900
SPHAX,2014-09-25,4.49,4.49,4.36,4.36,1366
SPHAX,2014-09-26,4.21,4.45,4.17,4.17,2489
SPHAX,2014-09-29,4.15,4.25,4.03,4.03,2812
SPHAX,2014-09-30,4.09,4.09,3.97,4.09,3229
SPHAX,2014-10-01,3.95,4.06,3.9,4.06,4579
SPHAX,2014-10-02,4.06,4.16,4.06,4.15,769
SPHAX,2014-10-03,4.15,4.15,4.12,4.12,888
SPHAX,2014-10-06,4.1,4.1,4.1,4.1,297
SPHAX,2014-10-07,4.06,4.1,4.06,4.1,116
SPHAX,2014-10-08,4.0,4.1,4.0,4.1,525
SPHAX,2014-10-09,3.98,4.1,3.98,4.0,640
SPHAX,2014-10-10,4.09,4.09,3.97,4.07,990
SPHAX,2014-10-13,4.0,4.07,3.96,4.07,451
SPHAX,2014-10-14,4.08,4.08,3.97,4.0,1080
SPHAX,2014-10-16,4.0,4.07,3.95,4.07,1535
SPHAX,2014-10-17,4.0,4.07,4.0,4.07,1387
SPHAX,2014-10-20,4.08,4.09,4.07,4.07,897
SPHAX,2014-10-21,4.09,4.09,4.09,4.09,781
SPHAX,2014-10-22,4.09,4.09,4.05,4.05,9359
SPHAX,2014-10-23,4.0,4.05,4.0,4.05,111
SPHAX,2014-10-27,4.0,4.0,3.93,3.93,1736
SPHAX,2014-10-28,3.76,3.92,3.76,3.91,2625
SPHAX,2014-10-29,3.9,3.93,3.79,3.8,4625
SPHAX,2014-10-30,3.7,3.81,3.7,3.8,2957
SPHAX,2014-10-31,3.91,4.02,3.9,4.02,27045
SPHAX,2014-11-03,4.0,4.12,4.0,4.12,14182
SPHAX,2014-11-04,4.12,4.2,4.12,4.2,11639
SPHAX,2014-11-05,4.26,4.26,4.14,4.14,1723
SPHAX,2014-11-06,4.14,4.25,4.09,4.25,475
SPHAX,2014-11-07,4.21,4.21,4.1,4.1,646
SPHAX,2014-11-10,4.0,4.09,3.98,4.0,556
SPHAX,2014-11-11,4.0,4.08,3.9,4.0,24125
SPHAX,2014-11-12,4.0,4.0,3.88,4.0,3242
SPHAX,2014-11-13,3.95,3.95,3.88,3.95,7568
SPHAX,2014-11-14,4.0,4.0,3.98,3.98,23380
SPHAX,2014-11-17,3.88,3.9,3.88,3.9,711
SPHAX,2014-06-09,6.27,6.27,6.09,6.2,1353
SPHAX,2014-06-10,6.22,6.22,6.04,6.2,4089
SPHAX,2014-06-11,6.26,6.26,6.1,6.2,746
SPHAX,2014-06-12,6.03,6.18,6.02,6.16,701
SPHAX,2014-06-13,6.02,6.15,6.02,6.15,216
SPHAX,2014-06-16,6.15,6.15,6.15,6.15,195
SPHAX,2014-06-17,6.14,6.14,6.02,6.13,420
SPHAX,2014-06-18,6.14,6.14,6.0,6.12,1869
SPHAX,2014-06-19,6.06,6.1,6.02,6.02,1646
SPHAX,2014-06-20,6.11,6.12,6.0,6.12,943
SPHAX,2014-06-23,6.19,6.19,6.01,6.1,2378
SPHAX,2014-06-24,6.05,6.15,6.0,6.05,1594
SPHAX,2014-06-25,6.13,6.13,6.13,6.13,60
SPHAX,2014-06-26,6.12,6.12,6.0,6.0,827
SPHAX,2014-06-27,6.1,6.1,6.0,6.08,966
SPHAX,2014-06-30,6.08,6.08,5.99,6.08,130
SPHAX,2014-07-01,6.06,6.06,5.9,6.02,401
SPHAX,2014-07-02,6.17,6.17,5.9,5.9,2884
SPHAX,2014-07-03,5.73,5.9,5.73,5.9,414
SPHAX,2014-07-04,6.04,6.09,5.9,5.9,541
SPHAX,2014-07-07,6.0,6.0,5.9,5.9,78
SPHAX,2014-07-08,5.9,6.0,5.73,5.9,688
SPHAX,2014-07-09,5.89,5.9,5.7,5.7,659
SPHAX,2014-07-10,5.87,5.9,5.7,5.78,1145
SPHAX,2014-07-11,5.78,5.78,5.61,5.7,1330
SPHAX,2014-07-14,5.86,6.0,5.69,5.97,870
SPHAX,2014-07-15,5.94,5.94,5.7,5.9,1572
SPHAX,2014-07-16,5.9,5.9,5.73,5.84,1232
SPHAX,2014-07-17,5.88,5.88,5.71,5.83,4498
SPHAX,2014-07-18,5.88,5.88,5.88,5.88,492
SPHAX,2014-07-21,5.94,5.94,5.8,5.86,1103
SPHAX,2014-07-22,5.94,5.94,5.86,5.92,575
SPHAX,2014-07-23,5.93,5.93,5.78,5.92,2816
SPHAX,2014-07-24,5.82,5.82,5.7,5.8,2556
SPHAX,2014-07-31,5.81,5.81,5.65,5.8,420
SPHAX,2014-08-01,5.64,5.8,5.6,5.77,486
SPHAX,2014-08-04,5.77,5.77,5.64,5.77,160
SPHAX,2014-08-05,5.77,5.77,5.6,5.75,424
SPHAX,2014-08-06,5.74,5.74,5.74,5.74,10
SPHAX,2014-08-07,5.6,5.7,5.6,5.7,389
SPHAX,2014-08-08,5.71,5.71,5.57,5.68,791
SPHAX,2014-08-11,5.72,5.72,5.69,5.69,250
SPHAX,2014-08-12,5.7,5.7,5.68,5.68,410
SPHAX,2014-08-14,5.69,5.69,5.5,5.5,460
SPHAX,2014-08-15,5.66,5.69,5.6,5.65,352
