Ticker,Date,Open,High,Low,Close,Volume
STEQ,2020-12-16,6.5,6.5,6.5,6.5,15760
STEQ,2020-12-17,6.5,6.5,6.5,6.5,1814
STEQ,2020-12-18,6.5,6.5,6.5,6.5,4466
STEQ,2020-12-21,6.5,6.5,6.5,6.5,2796
STEQ,2020-12-22,6.5,6.5,6.5,6.5,2005
STEQ,2020-12-23,6.5,6.5,6.5,6.5,6728
STEQ,2020-12-24,6.5,6.5,6.5,6.5,513
STEQ,2020-12-25,6.5,6.5,6.5,6.5,423
STEQ,2020-12-28,6.5,6.5,6.5,6.5,1361
STEQ,2020-12-29,6.5,6.5,6.5,6.5,2973
STEQ,2020-12-30,6.5,6.5,6.5,6.5,21015
STEQ,2020-09-28,4.7,4.7,4.7,4.7,137
STEQ,2020-10-12,4.56,4.56,4.56,4.56,100
STEQ,2020-10-27,4.36,4.36,4.36,4.36,126
STEQ,2020-11-23,4.45,4.45,4.45,4.45,77
STEQ,2020-11-25,4.45,4.45,4.45,4.45,10
STEQ,2020-12-03,4.45,4.45,4.45,4.45,6975
STEQ,2020-07-08,6.37,6.37,6.37,6.37,6
STEQ,2020-07-13,5.91,5.91,5.91,5.91,5
STEQ,2020-07-20,5.0,5.0,5.0,5.0,5
STEQ,2020-07-22,5.06,5.06,5.06,5.06,1
STEQ,2020-07-24,5.05,5.05,5.05,5.05,412
STEQ,2020-07-27,5.05,5.05,5.05,5.05,88
STEQ,2020-08-07,5.1,5.1,5.1,5.1,24
STEQ,2020-08-10,5.1,5.1,5.1,5.1,230
STEQ,2020-08-14,5.71,5.88,5.71,5.88,3
STEQ,2020-08-17,6.05,6.05,6.05,6.05,1
STEQ,2020-08-21,6.05,6.23,6.05,6.23,6
STEQ,2020-09-01,5.28,5.28,5.28,5.28,345
STEQ,2020-09-04,5.43,5.43,5.43,5.43,442
STEQ,2020-09-10,5.42,5.42,5.42,5.42,27
STEQ,2020-09-11,5.3,5.3,5.3,5.3,450
STEQ,2020-09-14,4.92,4.92,4.92,4.92,10
STEQ,2020-04-21,4.9,4.9,4.9,4.9,63
STEQ,2020-05-22,6.9,6.9,6.9,6.9,1
STEQ,2020-06-08,6.9,6.9,6.9,6.9,650
STEQ,2020-06-10,6.89,6.89,6.89,6.89,10
STEQ,2020-06-22,7.19,7.19,7.19,7.19,2
STEQ,2020-01-15,4.64,4.64,4.64,4.64,3
STEQ,2020-01-21,4.7,4.7,4.7,4.7,180
STEQ,2020-01-23,4.7,4.7,4.7,4.7,104
STEQ,2020-01-27,4.7,4.7,4.7,4.7,18164
STEQ,2020-02-07,5.36,5.36,5.36,5.36,1
STEQ,2020-02-12,4.91,4.91,4.91,4.91,63
STEQ,2020-02-13,4.9,4.9,4.9,4.9,590
STEQ,2020-02-14,4.9,4.9,4.9,4.9,21
STEQ,2020-02-19,5.12,5.12,5.12,5.12,1
STEQ,2020-02-26,5.12,5.12,5.12,5.12,500
STEQ,2020-02-28,5.12,5.12,5.12,5.12,100
STEQ,2020-03-13,4.15,4.15,4.15,4.15,36
STEQ,2019-10-18,5.49,5.49,5.49,5.49,15
STEQ,2019-10-22,5.49,5.49,5.49,5.49,16
STEQ,2019-10-25,5.03,5.03,5.03,5.03,17
STEQ,2019-10-29,4.95,4.95,4.95,4.95,15
STEQ,2019-11-26,7.39,7.39,7.39,7.39,15
