Ticker,Date,Open,High,Low,Close,Volume
STIP,2022-10-24,4.89,4.98,4.89,4.89,1690
STIP,2022-10-25,5.01,5.01,4.89,5.01,1259
STIP,2022-10-26,5.23,5.23,5.01,5.23,949
STIP,2022-10-27,5.02,5.23,5.02,5.02,3282
STIP,2022-10-28,5.2,5.2,5.02,5.2,750
STIP,2022-10-31,5.35,5.35,5.2,5.35,3
STIP,2022-11-01,5.35,5.35,5.35,5.35,45
STIP,2022-11-02,5.34,5.35,5.34,5.34,3311
STIP,2022-11-03,5.19,5.34,5.19,5.19,1756
STIP,2022-11-04,5.0,5.19,5.0,5.0,1100
STIP,2022-11-11,5.0,5.0,5.0,5.0,27
STIP,2022-11-14,5.2,5.2,5.0,5.2,200
STIP,2022-11-17,5.2,5.2,5.2,5.2,540
STIP,2022-11-18,5.0,5.2,5.0,5.0,437
STIP,2022-11-23,5.2,5.2,5.0,5.2,250
STIP,2022-11-24,5.0,5.2,5.0,5.0,763
STIP,2022-11-28,5.0,5.22,5.0,5.0,400
STIP,2022-11-29,5.22,5.22,5.0,5.22,1
STIP,2022-12-05,4.36,4.56,4.36,4.36,224
STIP,2022-12-06,4.55,4.55,4.36,4.55,45
STIP,2022-12-09,5.0,5.0,4.96,5.0,14
STIP,2022-12-12,5.0,5.0,5.0,5.0,5
STIP,2022-12-13,4.99,5.0,4.99,4.99,1
STIP,2022-12-16,4.75,4.77,4.75,4.75,1580
STIP,2022-12-22,4.36,4.5,4.36,4.36,1291
STIP,2022-12-23,4.17,4.36,4.17,4.17,22
STIP,2022-12-27,4.18,4.35,4.18,4.18,5
STIP,2022-12-28,4.0,4.18,4.0,4.0,25
STIP,2022-08-04,3.4,3.4,3.3,3.4,1
STIP,2022-08-05,3.25,3.4,3.25,3.25,1048
STIP,2022-08-09,3.11,3.25,3.11,3.11,2150
STIP,2022-08-16,2.98,3.11,2.98,2.98,214
STIP,2022-08-17,2.98,2.98,2.98,2.98,500
STIP,2022-08-29,2.98,2.98,2.98,2.98,210
STIP,2022-08-31,2.98,2.98,2.98,2.98,25
STIP,2022-09-07,3.0,3.0,2.98,3.0,1
STIP,2022-09-08,3.13,3.13,3.0,3.13,9
STIP,2022-09-09,3.13,3.13,3.13,3.13,326
STIP,2022-09-12,3.14,3.14,3.13,3.14,300
STIP,2022-09-14,3.23,3.23,3.14,3.23,520
STIP,2022-09-16,3.52,3.52,3.37,3.52,2243
STIP,2022-09-20,3.61,3.67,3.61,3.61,1000
STIP,2022-09-23,3.81,3.81,3.77,3.81,935
STIP,2022-09-26,3.98,3.98,3.81,3.98,15108
STIP,2022-09-27,4.15,4.15,3.98,4.15,5090
STIP,2022-09-29,4.52,4.52,4.33,4.52,1010
STIP,2022-09-30,4.72,4.72,4.52,4.72,2208
STIP,2022-10-03,4.93,4.93,4.72,4.93,2538
STIP,2022-10-04,5.15,5.15,4.93,5.15,530
STIP,2022-10-05,5.38,5.38,5.15,5.38,16430
STIP,2022-10-06,5.5,5.5,5.38,5.5,6558
STIP,2022-10-07,5.5,5.5,5.5,5.5,1342
STIP,2022-10-10,5.26,5.5,5.26,5.26,5215
STIP,2022-10-11,5.03,5.26,5.03,5.03,3110
STIP,2022-10-12,4.81,5.03,4.81,4.81,5970
STIP,2022-10-13,4.6,4.81,4.6,4.6,1111
STIP,2022-10-17,4.21,4.4,4.21,4.21,880
STIP,2022-10-18,4.38,4.38,4.21,4.38,176
STIP,2022-10-24,4.89,4.98,4.89,4.89,1690
STIP,2022-05-11,3.64,3.64,3.64,3.64,380
STIP,2022-05-17,3.6,3.6,3.48,3.6,1
STIP,2022-05-23,3.01,3.15,3.01,3.01,200
STIP,2022-05-26,3.42,3.42,3.28,3.42,98
STIP,2022-05-27,3.27,3.42,3.27,3.27,587
STIP,2022-05-30,3.13,3.27,3.13,3.13,212
STIP,2022-06-02,3.13,3.13,3.13,3.13,2
STIP,2022-06-03,3.13,3.13,3.13,3.13,1000
STIP,2022-06-06,3.13,3.13,3.13,3.13,122
STIP,2022-06-09,3.13,3.13,3.13,3.13,149
STIP,2022-06-16,3.0,3.13,3.0,3.0,480
STIP,2022-06-17,2.99,3.0,2.99,2.99,700
STIP,2022-06-23,2.99,2.99,2.99,2.99,275
STIP,2022-06-29,3.26,3.26,3.12,3.26,5
STIP,2022-06-30,3.4,3.4,3.26,3.4,29
STIP,2022-07-04,3.3,3.4,3.3,3.3,930
STIP,2022-07-05,3.16,3.3,3.16,3.16,3085
STIP,2022-07-06,3.2,3.2,3.16,3.2,762
STIP,2022-07-08,3.11,3.2,3.11,3.11,4
STIP,2022-07-12,3.0,3.11,3.0,3.0,1499
STIP,2022-07-21,3.39,3.39,3.27,3.39,1
STIP,2022-07-22,3.45,3.45,3.39,3.45,900
STIP,2022-07-26,3.3,3.45,3.3,3.3,999
STIP,2022-02-11,3.83,3.83,3.79,3.83,1403
STIP,2022-02-14,3.66,3.83,3.66,3.66,3105
STIP,2022-02-15,3.5,3.66,3.5,3.5,2169
STIP,2022-02-16,3.35,3.5,3.35,3.35,1870
STIP,2022-02-22,2.95,2.95,2.93,2.95,1518
STIP,2022-02-23,2.94,2.95,2.94,2.94,905
STIP,2022-02-24,2.83,2.94,2.83,2.83,3160
STIP,2022-02-25,2.81,2.83,2.81,2.81,1151
STIP,2022-02-28,2.88,2.88,2.81,2.88,611
STIP,2022-03-01,2.88,2.88,2.88,2.88,244
STIP,2022-03-03,2.88,2.88,2.88,2.88,95
STIP,2022-03-09,2.88,2.88,2.88,2.88,708
STIP,2022-03-10,2.77,2.88,2.77,2.77,1480
STIP,2022-03-14,2.77,2.77,2.77,2.77,182
STIP,2022-03-16,2.77,2.77,2.77,2.77,646
STIP,2022-03-17,2.65,2.77,2.65,2.65,954
STIP,2022-03-18,2.65,2.65,2.65,2.65,200
STIP,2022-03-21,2.66,2.66,2.65,2.66,81
STIP,2022-03-29,2.77,2.77,2.66,2.77,600
STIP,2022-03-31,2.89,2.89,2.77,2.89,749
STIP,2022-04-01,2.95,2.95,2.89,2.95,1110
STIP,2022-04-04,3.0,3.0,2.95,3.0,220
STIP,2022-04-08,3.55,3.55,3.41,3.55,3
STIP,2022-04-11,3.7,3.7,3.55,3.7,157
STIP,2022-04-12,3.83,3.83,3.7,3.83,7
STIP,2022-04-15,3.66,3.66,3.66,3.66,20
STIP,2022-04-18,3.66,3.66,3.66,3.66,128
STIP,2022-05-04,3.64,3.65,3.64,3.64,20
STIP,2022-05-05,3.64,3.64,3.64,3.64,1
STIP,2021-11-19,1.7,1.7,1.68,1.7,176721
STIP,2021-11-22,1.7,1.7,1.7,1.7,62366
STIP,2021-11-26,1.7,1.7,1.7,1.7,376373
STIP,2021-12-01,1.6,1.63,1.6,1.6,24
STIP,2021-12-24,2.5,2.5,2.43,2.5,2300
STIP,2021-12-30,2.5,2.5,2.5,2.5,22
STIP,2022-01-05,2.4,2.5,2.4,2.4,2007
STIP,2022-01-07,2.42,2.42,2.4,2.42,423
STIP,2022-01-10,2.41,2.42,2.41,2.41,500
STIP,2022-01-18,2.42,2.42,2.41,2.42,1000
STIP,2022-01-19,2.52,2.52,2.42,2.52,60
STIP,2022-01-20,2.52,2.52,2.52,2.52,114
STIP,2022-01-21,2.61,2.61,2.52,2.61,16
STIP,2022-01-28,2.99,2.99,2.96,2.99,2472
STIP,2022-02-01,3.0,3.0,2.99,3.0,197
STIP,2022-02-02,3.08,3.08,3.0,3.08,426
STIP,2022-02-03,3.14,3.14,3.08,3.14,2004
STIP,2022-02-04,3.28,3.28,3.14,3.28,1204
STIP,2022-02-07,3.42,3.42,3.28,3.42,2106
STIP,2022-02-08,3.57,3.57,3.42,3.57,2913
STIP,2022-02-09,3.7,3.7,3.57,3.7,4556
STIP,2022-02-10,3.79,3.79,3.7,3.79,2501
STIP,2022-02-11,3.83,3.83,3.79,3.83,1403
STIP,2021-08-25,1.79,1.79,1.79,1.79,100
STIP,2021-08-26,1.79,1.79,1.79,1.79,1
STIP,2021-09-15,1.8,1.8,1.8,1.8,1
STIP,2021-09-20,1.8,1.8,1.8,1.8,2000
STIP,2021-09-22,1.8,1.8,1.8,1.8,24
STIP,2021-09-28,1.87,1.87,1.8,1.87,200
STIP,2021-10-04,1.95,1.95,1.87,1.95,200
STIP,2021-10-05,2.02,2.02,1.95,2.02,300
STIP,2021-10-06,2.1,2.1,2.02,2.1,20
STIP,2021-10-08,2.19,2.19,2.1,2.19,5
STIP,2021-10-11,2.19,2.19,2.19,2.19,5
STIP,2021-10-13,2.19,2.19,2.19,2.19,15
STIP,2021-10-19,2.19,2.19,2.19,2.19,179
STIP,2021-10-21,2.21,2.21,2.19,2.21,10
STIP,2021-10-22,2.3,2.3,2.21,2.3,10
STIP,2021-10-25,2.3,2.3,2.3,2.3,1485
STIP,2021-10-28,2.5,2.5,2.4,2.5,328
STIP,2021-10-29,2.6,2.6,2.5,2.6,10
STIP,2021-11-01,2.71,2.71,2.6,2.71,11
STIP,2021-11-05,2.48,2.59,2.48,2.48,625
STIP,2021-11-12,2.0,2.08,2.0,2.0,1050
STIP,2021-06-02,1.3,1.3,1.3,1.3,87
STIP,2021-06-03,1.27,1.27,1.27,1.27,25
STIP,2021-06-08,1.3,1.3,1.3,1.3,75
STIP,2021-06-10,1.3,1.3,1.3,1.3,399
STIP,2021-06-14,1.27,1.27,1.27,1.27,224
STIP,2021-06-16,1.27,1.27,1.27,1.27,400
STIP,2021-06-18,1.27,1.27,1.27,1.27,2715
STIP,2021-06-25,1.24,1.24,1.24,1.24,1
STIP,2021-06-29,1.25,1.25,1.25,1.25,5
STIP,2021-07-06,1.22,1.22,1.22,1.22,1
STIP,2021-07-12,1.28,1.28,1.28,1.28,315
STIP,2021-07-16,1.4,1.4,1.4,1.4,150
STIP,2021-07-19,1.42,1.42,1.42,1.42,300
STIP,2021-07-23,1.46,1.46,1.46,1.46,25
STIP,2021-07-27,1.46,1.46,1.46,1.46,1
STIP,2021-08-09,1.65,1.65,1.65,1.65,2880
STIP,2021-08-12,1.65,1.65,1.65,1.65,1000
STIP,2021-08-16,1.65,1.65,1.65,1.65,25
STIP,2021-08-24,1.74,1.74,1.74,1.74,10
STIP,2021-08-25,1.79,1.79,1.79,1.79,100
STIP,2021-03-09,1.13,1.13,1.13,1.13,17400
STIP,2021-03-11,1.1,1.1,1.1,1.1,1
STIP,2021-04-05,1.11,1.11,1.11,1.11,62
STIP,2021-04-06,1.11,1.11,1.11,1.11,3120
STIP,2021-04-15,1.18,1.18,1.18,1.18,250
STIP,2021-04-20,1.21,1.21,1.21,1.21,95
