Ticker,Date,Open,High,Low,Close,Volume
STPIL,2022-10-24,13.0,13.0,12.9,13.0,5
STPIL,2022-10-27,13.0,13.0,12.99,13.0,216
STPIL,2022-10-28,13.0,13.0,13.0,13.0,22
STPIL,2022-11-01,12.99,13.0,12.99,12.99,4
STPIL,2022-11-02,12.51,12.99,12.51,12.51,320
STPIL,2022-11-03,12.7,12.7,12.51,12.7,73
STPIL,2022-11-04,12.7,12.8,12.55,12.7,39
STPIL,2022-11-07,12.6,12.8,12.55,12.6,574
STPIL,2022-11-08,12.8,12.8,12.6,12.8,82
STPIL,2022-11-09,12.98,12.99,12.55,12.98,4053
STPIL,2022-11-10,12.51,12.99,12.22,12.51,20232
STPIL,2022-11-11,12.65,12.9,12.31,12.65,9970
STPIL,2022-11-14,12.25,12.9,12.22,12.25,5079
STPIL,2022-11-15,12.5,12.5,12.26,12.5,1583
STPIL,2022-11-16,12.22,12.5,12.22,12.22,572
STPIL,2022-11-17,12.22,12.45,12.2,12.22,2062
STPIL,2022-11-18,12.4,12.4,12.18,12.4,19
STPIL,2022-11-22,12.2,12.4,12.2,12.2,367
STPIL,2022-11-23,12.2,12.4,12.1,12.2,2041
STPIL,2022-11-24,12.2,12.2,12.2,12.2,59
STPIL,2022-11-25,12.25,12.3,12.2,12.25,908
STPIL,2022-11-28,12.2,12.25,12.2,12.2,3000
STPIL,2022-11-29,12.2,12.44,12.2,12.2,2323
STPIL,2022-11-30,12.2,12.2,12.2,12.2,3641
STPIL,2022-12-01,12.2,12.2,12.2,12.2,1189
STPIL,2022-12-02,12.2,12.2,12.2,12.2,150
STPIL,2022-12-05,12.15,12.2,12.11,12.15,238
STPIL,2022-12-06,12.09,12.16,12.06,12.09,10848
STPIL,2022-12-07,12.15,12.15,12.09,12.15,573
STPIL,2022-12-08,12.05,12.15,12.05,12.05,1060
STPIL,2022-12-09,12.1,12.2,12.1,12.1,34
STPIL,2022-12-12,12.11,12.11,12.1,12.11,1699
STPIL,2022-12-13,12.42,12.42,12.11,12.42,6
STPIL,2022-12-14,12.44,12.44,12.22,12.44,517
STPIL,2022-12-15,12.44,12.44,12.43,12.44,68
STPIL,2022-12-20,12.3,12.42,12.3,12.3,20035
STPIL,2022-12-21,12.12,12.3,12.12,12.12,10
STPIL,2022-12-22,12.2,12.2,12.2,12.2,19
STPIL,2022-12-23,12.17,12.2,12.17,12.17,867
STPIL,2022-12-26,12.15,12.17,12.15,12.15,620
STPIL,2022-12-27,12.42,12.42,12.11,12.42,1411
STPIL,2022-12-28,12.42,12.42,12.42,12.42,3
STPIL,2022-12-29,12.41,12.42,12.2,12.41,55
STPIL,2022-12-30,12.41,12.41,12.4,12.41,83
STPIL,2022-08-01,12.7,12.7,12.51,12.7,5891
STPIL,2022-08-03,12.52,12.7,12.52,12.52,11570
STPIL,2022-08-05,12.65,12.65,12.52,12.65,5
STPIL,2022-08-09,12.8,12.8,12.65,12.8,6
STPIL,2022-08-10,12.8,12.8,12.8,12.8,269
STPIL,2022-08-11,12.7,12.8,12.7,12.7,20
STPIL,2022-08-12,12.7,12.7,12.6,12.7,24
STPIL,2022-08-15,12.6,12.7,12.6,12.6,160
STPIL,2022-08-16,12.65,12.65,12.6,12.65,355
STPIL,2022-08-17,12.7,12.7,12.65,12.7,127
STPIL,2022-08-18,12.8,12.8,12.7,12.8,10
STPIL,2022-08-19,12.8,12.8,12.7,12.8,175
STPIL,2022-08-22,12.8,12.8,12.8,12.8,156
STPIL,2022-08-23,12.8,12.8,12.8,12.8,10
STPIL,2022-08-24,12.75,12.8,12.7,12.75,304
STPIL,2022-08-25,12.75,12.75,12.7,12.75,127
STPIL,2022-08-26,12.75,12.75,12.7,12.75,807
STPIL,2022-08-29,12.75,12.75,12.7,12.75,81
STPIL,2022-08-30,12.8,12.8,12.75,12.8,235
STPIL,2022-08-31,12.99,12.99,12.75,12.99,5992
STPIL,2022-09-01,12.99,12.99,12.9,12.99,106
STPIL,2022-09-02,12.99,12.99,12.99,12.99,248
STPIL,2022-09-05,13.39,13.39,12.99,13.39,1118
STPIL,2022-09-06,13.39,13.4,13.0,13.39,339
STPIL,2022-09-07,13.4,13.4,13.38,13.4,30
STPIL,2022-09-08,13.4,13.4,13.4,13.4,24
STPIL,2022-09-09,13.38,13.4,13.1,13.38,115
STPIL,2022-09-12,13.41,13.41,13.38,13.41,985
STPIL,2022-09-13,13.39,13.41,13.39,13.39,112
STPIL,2022-09-14,13.38,13.39,13.38,13.38,6
STPIL,2022-09-15,13.3,13.38,13.3,13.3,20
STPIL,2022-09-16,13.38,13.38,13.3,13.38,55
STPIL,2022-09-20,13.1,13.38,13.1,13.1,260
STPIL,2022-09-21,13.29,13.29,13.1,13.29,10
STPIL,2022-09-22,13.2,13.3,13.2,13.2,305
STPIL,2022-09-23,13.15,13.2,13.04,13.15,1583
STPIL,2022-09-26,13.18,13.18,13.15,13.18,6
STPIL,2022-09-27,13.2,13.2,13.0,13.2,1385
STPIL,2022-09-28,13.2,13.2,13.15,13.2,549
STPIL,2022-09-29,13.2,13.2,13.09,13.2,346
STPIL,2022-09-30,13.15,13.2,13.1,13.15,410
STPIL,2022-10-04,13.15,13.15,13.1,13.15,825
STPIL,2022-10-05,13.15,13.19,13.15,13.15,1515
STPIL,2022-10-06,13.18,13.19,13.0,13.18,537
STPIL,2022-10-07,13.14,13.18,12.95,13.14,157
STPIL,2022-10-10,13.15,13.15,12.95,13.15,104
STPIL,2022-10-11,12.95,13.15,12.95,12.95,53
STPIL,2022-10-12,13.15,13.15,12.95,13.15,245
STPIL,2022-10-13,13.14,13.15,12.9,13.14,502
STPIL,2022-10-14,12.9,13.14,12.8,12.9,212
STPIL,2022-10-17,12.9,12.9,12.9,12.9,94
