symbole,date,ouverture,haut,bas,cloture,volume
TBIDX,2022-12-01,175.13,175.13,175.13,175.13,0
TBIDX,2022-12-02,175.19,175.19,175.19,175.19,0
TBIDX,2022-12-05,175.32,175.32,175.32,175.32,0
TBIDX,2022-12-06,175.36,175.36,175.36,175.36,0
TBIDX,2022-12-07,175.24,175.24,175.24,175.24,0
TBIDX,2022-12-08,175.28,175.28,175.28,175.28,0
TBIDX,2022-12-09,175.32,175.32,175.32,175.32,0
TBIDX,2022-12-12,175.34,175.34,175.34,175.34,0
TBIDX,2022-12-13,175.38,175.38,175.38,175.38,0
TBIDX,2022-12-14,175.41,175.41,175.41,175.41,0
TBIDX,2022-12-15,175.45,175.45,175.45,175.45,0
TBIDX,2022-12-16,175.49,175.49,175.49,175.49,0
TBIDX,2022-12-19,175.59,175.59,175.59,175.59,0
TBIDX,2022-12-20,175.64,175.64,175.64,175.64,0
TBIDX,2022-12-21,175.47,175.47,175.47,175.47,0
TBIDX,2022-12-22,175.51,175.51,175.51,175.51,0
TBIDX,2022-12-23,175.64,175.64,175.64,175.64,0
TBIDX,2022-12-26,175.75,175.75,175.75,175.75,0
TBIDX,2022-12-27,175.72,175.72,175.72,175.72,0
TBIDX,2022-12-28,175.84,175.84,175.84,175.84,0
TBIDX,2022-12-29,175.89,175.89,175.89,175.89,0
TBIDX,2022-12-30,175.99,175.99,175.99,175.99,0
TBIDX,2022-09-05,171.96,171.96,171.96,171.96,0
TBIDX,2022-09-06,171.85,171.85,171.85,171.85,0
TBIDX,2022-09-07,171.91,171.91,171.91,171.91,0
TBIDX,2022-09-08,171.95,171.95,171.95,171.95,0
TBIDX,2022-09-09,171.99,171.99,171.99,171.99,0
TBIDX,2022-09-12,172.12,172.12,172.12,172.12,0
TBIDX,2022-09-13,172.16,172.16,172.16,172.16,0
TBIDX,2022-09-14,172.2,172.2,172.2,172.2,0
TBIDX,2022-09-15,172.26,172.26,172.26,172.26,0
TBIDX,2022-09-16,172.3,172.3,172.3,172.3,0
TBIDX,2022-09-19,172.42,172.42,172.42,172.42,0
TBIDX,2022-09-20,172.45,172.45,172.45,172.45,0
TBIDX,2022-09-21,172.48,172.48,172.48,172.48,0
TBIDX,2022-09-22,172.5,172.5,172.5,172.5,0
TBIDX,2022-09-23,172.55,172.55,172.55,172.55,0
TBIDX,2022-09-26,172.65,172.65,172.65,172.65,0
TBIDX,2022-09-27,172.67,172.67,172.67,172.67,0
TBIDX,2022-09-28,172.71,172.71,172.71,172.71,0
TBIDX,2022-09-29,172.75,172.75,172.75,172.75,0
TBIDX,2022-09-30,172.79,172.79,172.79,172.79,0
TBIDX,2022-10-03,172.91,172.91,172.91,172.91,0
TBIDX,2022-10-04,172.95,172.95,172.95,172.95,0
TBIDX,2022-10-05,172.99,172.99,172.99,172.99,0
TBIDX,2022-10-06,173.03,173.03,173.03,173.03,0
TBIDX,2022-10-07,173.08,173.08,173.08,173.08,0
TBIDX,2022-10-10,173.2,173.2,173.2,173.2,0
TBIDX,2022-10-11,173.26,173.26,173.26,173.26,0
TBIDX,2022-10-12,173.3,173.3,173.3,173.3,0
TBIDX,2022-10-13,173.34,173.34,173.34,173.34,0
TBIDX,2022-10-14,173.37,173.37,173.37,173.37,0
TBIDX,2022-10-17,173.49,173.49,173.49,173.49,0
