Ticker,Date,Open,High,Low,Close,Volume
TGH,2022-10-24,0.58,0.6,0.58,0.58,4448
TGH,2022-10-25,0.56,0.58,0.56,0.56,61222
TGH,2022-10-26,0.54,0.56,0.54,0.54,182702
TGH,2022-10-27,0.56,0.56,0.54,0.56,1750
TGH,2022-10-28,0.57,0.57,0.56,0.57,360
TGH,2022-11-01,0.56,0.57,0.56,0.56,12
TGH,2022-11-02,0.56,0.56,0.56,0.56,7000
TGH,2022-11-03,0.56,0.56,0.56,0.56,1327
TGH,2022-11-04,0.55,0.56,0.55,0.55,4000
TGH,2022-11-07,0.55,0.55,0.55,0.55,12292
TGH,2022-11-08,0.57,0.57,0.55,0.57,10000
TGH,2022-11-09,0.57,0.57,0.57,0.57,18200
TGH,2022-11-10,0.55,0.57,0.55,0.55,28876
TGH,2022-11-11,0.57,0.57,0.55,0.57,10000
TGH,2022-11-14,0.56,0.57,0.56,0.56,9217
TGH,2022-11-15,0.56,0.56,0.56,0.56,445
TGH,2022-11-16,0.56,0.56,0.56,0.56,520
TGH,2022-11-21,0.55,0.56,0.55,0.55,10412
TGH,2022-11-22,0.54,0.55,0.54,0.54,43566
TGH,2022-11-23,0.55,0.55,0.54,0.55,10
TGH,2022-11-24,0.55,0.55,0.55,0.55,400
TGH,2022-11-28,0.54,0.55,0.54,0.54,56891
TGH,2022-11-29,0.56,0.56,0.54,0.56,5160
TGH,2022-12-02,0.56,0.56,0.55,0.56,60
TGH,2022-12-07,0.55,0.56,0.55,0.55,660
TGH,2022-12-09,0.53,0.55,0.53,0.53,6000
TGH,2022-12-12,0.54,0.54,0.53,0.54,2500
TGH,2022-12-15,0.54,0.54,0.54,0.54,5000
TGH,2022-12-20,0.53,0.54,0.53,0.53,1740
TGH,2022-12-21,0.52,0.53,0.52,0.52,8061
TGH,2022-12-22,0.52,0.52,0.52,0.52,799
TGH,2022-12-23,0.52,0.52,0.52,0.52,2151
TGH,2022-12-28,0.58,0.58,0.56,0.58,44280
TGH,2022-12-30,0.6,0.6,0.6,0.6,146218
TGH,2022-08-01,0.7,0.7,0.68,0.7,3398
TGH,2022-08-02,0.7,0.7,0.7,0.7,8000
TGH,2022-08-03,0.7,0.7,0.7,0.7,3790
TGH,2022-08-05,0.69,0.7,0.69,0.69,10439
TGH,2022-08-08,0.67,0.69,0.67,0.67,20264
TGH,2022-08-09,0.66,0.67,0.66,0.66,2500
TGH,2022-08-10,0.68,0.68,0.66,0.68,4368
TGH,2022-08-11,0.69,0.69,0.68,0.69,365
TGH,2022-08-15,0.7,0.7,0.69,0.7,5190
TGH,2022-08-22,0.68,0.7,0.68,0.68,5880
TGH,2022-08-23,0.66,0.68,0.66,0.66,1446
TGH,2022-08-24,0.64,0.66,0.64,0.64,32470
TGH,2022-08-25,0.66,0.66,0.64,0.66,18999
TGH,2022-08-29,0.64,0.64,0.64,0.64,6650
TGH,2022-08-30,0.65,0.65,0.64,0.65,10020
TGH,2022-08-31,0.63,0.65,0.63,0.63,12600
TGH,2022-09-01,0.62,0.63,0.62,0.62,36339
TGH,2022-09-02,0.63,0.63,0.62,0.63,24438
TGH,2022-09-05,0.64,0.64,0.63,0.64,1300
TGH,2022-09-06,0.64,0.64,0.64,0.64,10000
TGH,2022-09-07,0.62,0.64,0.62,0.62,10290
TGH,2022-09-08,0.61,0.62,0.61,0.61,16130
TGH,2022-09-09,0.6,0.61,0.6,0.6,138420
TGH,2022-09-13,0.62,0.62,0.62,0.62,2500
TGH,2022-09-14,0.62,0.62,0.62,0.62,20313
TGH,2022-09-15,0.6,0.62,0.6,0.6,30037
TGH,2022-09-16,0.6,0.6,0.6,0.6,28330
TGH,2022-09-19,0.62,0.62,0.6,0.62,220
TGH,2022-09-20,0.64,0.64,0.62,0.64,7500
