Ticker,Date,Open,High,Low,Close,Volume
TINV,2022-10-24,6.36,6.65,6.36,6.36,202
TINV,2022-10-26,6.36,6.36,6.36,6.36,126
TINV,2022-10-28,6.5,6.5,6.36,6.5,5
TINV,2022-10-31,6.5,6.5,6.5,6.5,7
TINV,2022-11-03,6.21,6.5,6.21,6.21,5
TINV,2022-11-08,6.0,6.21,6.0,6.0,210
TINV,2022-11-09,6.01,6.01,6.0,6.01,281
TINV,2022-11-15,6.01,6.01,6.01,6.01,1
TINV,2022-11-22,5.57,5.83,5.57,5.57,42914
TINV,2022-11-23,5.81,5.82,5.57,5.81,56
TINV,2022-11-25,6.34,6.34,6.07,6.34,16
TINV,2022-11-29,6.91,6.91,6.62,6.91,117
TINV,2022-12-01,7.09,7.09,6.91,7.09,4
TINV,2022-12-07,7.08,7.08,6.78,7.08,245
TINV,2022-12-12,7.07,7.08,6.78,7.07,277
TINV,2022-12-15,7.07,7.07,7.07,7.07,500
TINV,2022-12-16,7.1,7.1,6.78,7.1,772
TINV,2022-12-26,7.4,7.4,7.1,7.4,200
TINV,2022-12-28,7.73,7.73,7.4,7.73,50
TINV,2022-12-29,8.07,8.07,7.73,8.07,178
TINV,2022-12-30,8.4,8.4,8.07,8.4,150
TINV,2022-08-01,7.79,7.8,7.79,7.79,1200
TINV,2022-08-03,7.5,7.79,7.5,7.5,80
TINV,2022-08-17,7.0,7.0,7.0,7.0,51
TINV,2022-08-25,7.0,7.0,7.0,7.0,78
TINV,2022-09-06,7.28,7.28,7.0,7.28,1
TINV,2022-09-12,7.28,7.28,7.28,7.28,30
TINV,2022-09-27,6.96,7.28,6.96,6.96,170
TINV,2022-10-21,6.65,6.96,6.65,6.65,205
TINV,2022-10-24,6.36,6.65,6.36,6.36,202
TINV,2022-07-15,7.5,7.64,7.5,7.5,150
TINV,2022-07-22,7.5,7.5,7.5,7.5,324
TINV,2022-07-26,7.8,7.8,7.5,7.8,50
TINV,2022-02-15,10.03,10.5,10.03,10.03,200
TINV,2022-02-16,9.58,10.03,9.58,9.58,100
TINV,2022-02-17,9.15,9.58,9.15,9.15,152
TINV,2022-02-21,8.74,9.15,8.74,8.74,18
TINV,2022-02-23,8.35,8.74,8.35,8.35,100
TINV,2022-02-24,7.98,8.35,7.98,7.98,20
TINV,2022-02-25,7.64,7.98,7.64,7.64,30
TINV,2022-03-01,7.31,7.64,7.31,7.31,30
TINV,2022-03-02,7.02,7.31,7.02,7.02,36
TINV,2022-03-09,7.02,7.02,7.02,7.02,665
TINV,2022-03-10,7.0,7.02,7.0,7.0,200
TINV,2022-03-11,7.02,7.02,6.72,7.02,536
TINV,2022-03-21,8.34,8.34,7.99,8.34,100
TINV,2022-03-22,8.71,8.71,8.34,8.71,10
TINV,2022-03-24,8.74,8.74,8.71,8.74,90
TINV,2022-03-25,8.75,8.75,8.74,8.75,100
TINV,2022-04-06,8.7,8.75,8.7,8.7,142
TINV,2022-04-11,8.4,8.7,8.4,8.4,299
TINV,2022-04-18,8.1,8.4,8.1,8.1,51
TINV,2022-04-19,8.1,8.1,8.1,8.1,668
TINV,2022-04-21,8.25,8.25,8.1,8.25,75
TINV,2021-11-19,11.96,11.96,11.96,11.96,1
TINV,2021-12-21,11.43,11.96,11.43,11.43,112
TINV,2021-12-23,11.89,11.89,11.43,11.89,300
TINV,2021-12-28,11.8,11.89,11.8,11.8,152
TINV,2021-12-29,11.88,11.89,11.8,11.88,1098
TINV,2021-12-30,11.88,11.88,11.88,11.88,10
TINV,2022-01-05,11.88,11.88,11.88,11.88,352
