Ticker,Date,Open,High,Low,Close,Volume
TJARI,2022-10-24,37.1,37.5,37.0,37.1,1119
TJARI,2022-10-25,37.1,37.1,37.1,37.1,1388
TJARI,2022-10-26,37.49,37.5,37.1,37.49,3721
TJARI,2022-10-27,37.49,37.5,37.49,37.49,1243
TJARI,2022-10-28,38.68,38.69,37.49,38.68,15290
TJARI,2022-10-31,38.9,38.97,38.68,38.9,7999
TJARI,2022-11-01,39.2,39.46,38.9,39.2,9523
TJARI,2022-11-02,39.0,39.2,38.73,39.0,885
TJARI,2022-11-03,38.89,39.0,38.0,38.89,609
TJARI,2022-11-04,38.84,38.99,38.84,38.84,320
TJARI,2022-11-07,38.6,38.84,38.5,38.6,4513
TJARI,2022-11-08,38.6,38.66,38.6,38.6,2600
TJARI,2022-11-09,38.59,38.6,38.5,38.59,1852
TJARI,2022-11-10,38.3,38.59,38.3,38.3,1363
TJARI,2022-11-11,38.09,38.57,37.83,38.09,1353
TJARI,2022-11-14,38.0,38.49,37.83,38.0,1832
TJARI,2022-11-15,37.5,38.0,37.5,37.5,2354
TJARI,2022-11-16,37.01,37.5,37.0,37.01,2105
TJARI,2022-11-17,37.8,37.8,37.01,37.8,1581
TJARI,2022-11-18,37.5,37.8,37.05,37.5,2093
TJARI,2022-11-21,37.5,37.65,36.5,37.5,4363
TJARI,2022-11-22,37.5,37.65,37.1,37.5,5482
TJARI,2022-11-23,37.4,37.5,37.01,37.4,2698
TJARI,2022-11-24,37.4,37.6,37.3,37.4,405
TJARI,2022-11-25,37.38,37.4,37.38,37.38,619
TJARI,2022-11-28,37.36,37.38,37.02,37.36,3204
TJARI,2022-11-29,37.1,37.36,36.9,37.1,8316
TJARI,2022-11-30,37.2,37.2,36.99,37.2,1020
TJARI,2022-12-01,37.0,37.2,37.0,37.0,5938
TJARI,2022-12-02,37.0,37.0,36.9,37.0,668
TJARI,2022-12-05,36.9,37.0,36.4,36.9,7723
TJARI,2022-12-06,36.88,36.9,36.4,36.88,1520
TJARI,2022-12-07,36.8,36.88,36.5,36.8,4559
TJARI,2022-12-08,36.35,36.8,36.35,36.35,866
TJARI,2022-12-09,36.3,36.5,36.3,36.3,644
TJARI,2022-12-12,36.31,36.5,36.3,36.31,389
TJARI,2022-12-13,36.5,36.5,36.3,36.5,1095
TJARI,2022-12-14,36.45,36.5,36.13,36.45,1418
TJARI,2022-12-15,36.3,36.45,36.13,36.3,9079
TJARI,2022-12-16,36.3,36.34,36.29,36.3,2950
TJARI,2022-12-19,36.34,36.34,36.31,36.34,366
TJARI,2022-12-20,36.3,36.34,36.13,36.3,4596
TJARI,2022-12-21,35.99,36.3,35.95,35.99,2992
TJARI,2022-12-22,35.98,35.99,35.55,35.98,594
TJARI,2022-12-23,35.96,35.98,35.51,35.96,2598
TJARI,2022-12-26,35.89,35.98,35.5,35.89,2718
TJARI,2022-12-27,35.89,35.9,35.3,35.89,16137
TJARI,2022-12-28,35.6,35.9,35.6,35.6,700
TJARI,2022-12-29,37.0,37.7,35.45,37.0,5940
TJARI,2022-12-30,37.0,37.0,36.5,37.0,3739
TJARI,2022-08-01,36.3,36.4,36.0,36.3,711
TJARI,2022-08-02,36.25,36.3,36.2,36.25,273
TJARI,2022-08-03,36.3,36.3,36.2,36.3,668
TJARI,2022-08-04,37.0,37.0,36.25,37.0,1838
TJARI,2022-08-05,36.5,37.0,36.5,36.5,883
TJARI,2022-08-08,36.89,36.9,36.3,36.89,218
TJARI,2022-08-09,36.9,36.9,36.89,36.9,815
TJARI,2022-08-10,36.8,36.9,36.6,36.8,621
TJARI,2022-08-11,36.8,36.8,36.5,36.8,854
TJARI,2022-08-12,36.7,36.8,36.5,36.7,148
TJARI,2022-08-15,36.7,36.7,36.5,36.7,303
TJARI,2022-08-16,36.7,36.7,36.7,36.7,516
TJARI,2022-08-17,36.7,36.7,36.5,36.7,410
TJARI,2022-08-18,36.9,36.9,36.5,36.9,2734
TJARI,2022-08-19,36.84,36.9,36.7,36.84,511
TJARI,2022-08-22,36.98,36.98,36.8,36.98,1002
TJARI,2022-08-23,36.94,36.98,36.9,36.94,4142
TJARI,2022-08-24,36.9,36.94,36.7,36.9,544
TJARI,2022-08-25,36.81,36.9,36.8,36.81,863
TJARI,2022-08-26,37.5,37.5,36.8,37.5,1637
TJARI,2022-08-29,36.99,37.5,36.5,36.99,4509
TJARI,2022-08-30,35.5,36.99,35.5,35.5,7841
TJARI,2022-08-31,36.0,36.44,35.5,36.0,14549
TJARI,2022-09-01,36.3,36.3,35.52,36.3,8631
TJARI,2022-09-02,36.3,36.3,35.8,36.3,1031
TJARI,2022-09-05,35.7,36.3,35.7,35.7,3654
TJARI,2022-09-06,35.62,35.89,35.55,35.62,7471
TJARI,2022-09-07,36.29,36.29,35.62,36.29,14874
TJARI,2022-09-08,36.14,36.29,36.14,36.14,1813
TJARI,2022-09-09,36.25,36.25,36.14,36.25,2847
TJARI,2022-09-12,36.16,36.3,36.16,36.16,3673
TJARI,2022-09-13,36.2,36.25,36.0,36.2,4145
TJARI,2022-09-14,36.3,36.3,36.16,36.3,3012
TJARI,2022-09-15,36.4,36.4,36.3,36.4,490
TJARI,2022-09-16,36.49,36.5,36.3,36.49,1020
TJARI,2022-09-19,36.8,36.94,36.49,36.8,733
TJARI,2022-09-20,36.8,36.8,36.6,36.8,258
TJARI,2022-09-21,36.8,36.8,36.6,36.8,2417
TJARI,2022-09-22,36.8,36.8,36.5,36.8,3359
TJARI,2022-09-23,38.3,38.44,36.8,38.3,3869
TJARI,2022-09-26,39.0,39.05,38.28,39.0,8306
TJARI,2022-09-27,39.11,39.59,39.0,39.11,4022
TJARI,2022-09-28,39.5,39.6,39.11,39.5,13047
TJARI,2022-09-29,39.49,39.5,39.3,39.49,9220
TJARI,2022-09-30,38.79,39.49,38.5,38.79,7344
TJARI,2022-10-03,38.66,38.8,37.0,38.66,33385
TJARI,2022-10-04,38.5,38.7,37.0,38.5,48752
TJARI,2022-10-05,37.5,38.5,37.0,37.5,774
TJARI,2022-10-06,37.3,37.5,37.0,37.3,2689
TJARI,2022-10-07,37.0,37.3,37.0,37.0,306
TJARI,2022-10-10,37.0,37.0,36.6,37.0,331
TJARI,2022-10-11,37.45,37.9,37.0,37.45,4621
TJARI,2022-10-12,37.3,37.8,37.3,37.3,6661
TJARI,2022-10-13,37.5,37.79,37.2,37.5,456
TJARI,2022-10-14,37.49,37.5,37.21,37.49,430
TJARI,2022-10-17,37.4,37.49,37.3,37.4,4971
TJARI,2022-10-18,37.5,37.8,37.4,37.5,2187
TJARI,2022-10-19,37.5,37.5,37.45,37.5,342
TJARI,2022-10-20,37.5,37.8,37.5,37.5,437
TJARI,2022-10-21,37.5,37.5,37.0,37.5,12939
TJARI,2022-10-24,37.1,37.5,37.0,37.1,1119
TJARI,2022-05-09,30.81,30.81,30.5,30.81,259
TJARI,2022-05-10,30.55,30.81,30.5,30.55,2128
TJARI,2022-05-11,30.2,30.55,30.15,30.2,5843
TJARI,2022-05-12,30.5,30.5,30.3,30.5,2434
TJARI,2022-05-13,30.75,30.75,30.5,30.75,2041
TJARI,2022-05-16,30.51,30.75,30.5,30.51,1749
TJARI,2022-05-17,30.75,30.75,30.5,30.75,5490
TJARI,2022-05-18,30.95,30.99,30.6,30.95,1903
TJARI,2022-05-19,31.01,31.9,30.95,31.01,1059
TJARI,2022-05-20,31.3,31.4,31.0,31.3,1869
TJARI,2022-05-23,31.0,31.2,30.8,31.0,471
TJARI,2022-05-24,31.1,31.2,31.0,31.1,4800
TJARI,2022-05-25,31.7,31.9,31.1,31.7,2621
TJARI,2022-05-26,31.7,31.74,31.5,31.7,1192
TJARI,2022-05-27,31.6,31.7,31.6,31.6,2184
TJARI,2022-05-30,31.6,31.73,31.6,31.6,479
TJARI,2022-05-31,31.9,31.9,31.61,31.9,1882
TJARI,2022-06-01,32.4,32.49,31.8,32.4,1992
TJARI,2022-06-02,32.4,32.4,32.13,32.4,1534
TJARI,2022-06-03,32.2,32.4,32.2,32.2,779
TJARI,2022-06-06,32.25,32.25,32.2,32.25,412
TJARI,2022-06-07,32.32,32.32,32.2,32.32,6620
TJARI,2022-06-08,33.2,33.5,32.299,33.2,10700
TJARI,2022-06-09,33.2,33.2,33.0,33.2,2
TJARI,2022-06-10,33.2,33.4,33.2,33.2,1455
TJARI,2022-06-13,33.31,33.49,33.31,33.31,1180
TJARI,2022-06-14,33.9,33.9,33.4,33.9,1039
TJARI,2022-06-15,34.5,34.79,33.9,34.5,4202
TJARI,2022-06-16,36.79,36.8,34.79,36.79,13775
TJARI,2022-06-17,35.5,36.79,34.59,35.5,10835
TJARI,2022-06-20,35.4,35.48,35.4,35.4,19
TJARI,2022-06-21,35.4,35.4,35.0,35.4,6320
TJARI,2022-06-22,36.0,36.0,35.4,36.0,9751
TJARI,2022-06-23,37.0,37.7,36.47,37.0,7372
TJARI,2022-06-24,37.0,37.5,36.5,37.0,2105
TJARI,2022-06-27,36.0,37.0,36.0,36.0,1618
TJARI,2022-06-28,36.0,36.9,35.56,36.0,1509
TJARI,2022-06-29,36.0,36.49,35.5,36.0,1201
TJARI,2022-06-30,35.3,36.0,35.3,35.3,1321
TJARI,2022-07-01,35.8,35.8,35.1,35.8,1907
TJARI,2022-07-04,35.8,35.8,35.37,35.8,1001
TJARI,2022-07-05,35.2,36.0,35.2,35.2,922
TJARI,2022-07-06,35.2,35.2,35.2,35.2,627
TJARI,2022-07-07,35.2,35.2,35.11,35.2,3929
TJARI,2022-07-08,35.22,35.3,35.2,35.22,2373
TJARI,2022-07-11,35.3,35.3,35.2,35.3,1383
TJARI,2022-07-12,35.4,35.4,35.2,35.4,3363
TJARI,2022-07-13,35.4,35.51,35.4,35.4,3167
TJARI,2022-07-14,35.6,35.8,35.28,35.6,1841
TJARI,2022-07-15,36.0,36.09,35.6,36.0,2972
TJARI,2022-07-18,36.0,36.0,35.66,36.0,452
TJARI,2022-07-19,35.7,36.0,35.7,35.7,3331
TJARI,2022-07-20,36.0,36.0,35.7,36.0,741
TJARI,2022-07-21,35.5,36.0,35.5,35.5,1997
TJARI,2022-07-22,35.99,35.99,35.5,35.99,1892
TJARI,2022-07-26,35.99,36.0,35.5,35.99,4851
TJARI,2022-07-27,35.99,36.0,35.99,35.99,1812
TJARI,2022-07-28,36.3,36.3,35.99,36.3,551
TJARI,2022-07-29,36.4,36.4,36.3,36.4,1175
TJARI,2022-02-11,31.0,31.0,30.92,31.0,206
TJARI,2022-02-14,31.0,31.0,30.7,31.0,8581
TJARI,2022-02-15,30.8,31.45,30.8,30.8,5388
TJARI,2022-02-16,31.2,31.2,30.8,31.2,1049
