Ticker,Date,Open,High,Low,Close,Volume
TJL,2022-10-24,13.4,13.49,13.4,13.4,19
TJL,2022-10-25,13.3,13.4,13.2,13.3,416
TJL,2022-10-27,13.2,13.3,13.2,13.2,2
TJL,2022-10-28,13.11,13.3,13.1,13.11,477
TJL,2022-10-31,13.25,13.25,13.11,13.25,6
TJL,2022-11-01,13.25,13.25,13.25,13.25,9
TJL,2022-11-02,13.2,13.25,13.1,13.2,16
TJL,2022-11-03,13.3,13.3,13.1,13.3,750
TJL,2022-11-04,13.1,13.3,13.1,13.1,497
TJL,2022-11-07,13.07,13.3,13.07,13.07,100
TJL,2022-11-08,13.19,13.2,13.07,13.19,317
TJL,2022-11-09,13.3,13.3,13.19,13.3,158
TJL,2022-11-10,13.15,13.3,13.15,13.15,405
TJL,2022-11-11,13.05,13.15,13.05,13.05,734
TJL,2022-11-14,13.3,13.3,13.05,13.3,5
TJL,2022-11-15,13.3,13.3,13.3,13.3,1
TJL,2022-11-16,13.24,13.3,13.24,13.24,1
TJL,2022-11-17,13.08,13.24,13.08,13.08,208
TJL,2022-11-21,13.15,13.49,13.15,13.15,293
TJL,2022-11-22,13.75,13.75,13.15,13.75,8
TJL,2022-11-23,13.4,13.75,13.3,13.4,126
TJL,2022-11-24,13.4,13.4,13.2,13.4,12
TJL,2022-11-25,13.76,13.8,13.25,13.76,272
TJL,2022-12-07,13.7,13.76,13.16,13.7,150
TJL,2022-08-01,13.6,13.78,13.6,13.6,503
TJL,2022-08-02,13.78,13.78,13.57,13.78,24
TJL,2022-08-03,13.6,13.78,13.6,13.6,203
TJL,2022-08-04,13.69,13.69,13.6,13.69,1
TJL,2022-08-08,13.75,13.78,13.69,13.75,12
TJL,2022-08-09,13.77,13.77,13.75,13.77,1
TJL,2022-08-11,13.57,13.77,13.57,13.57,13
TJL,2022-08-12,13.5,13.57,13.5,13.5,207
TJL,2022-08-17,13.6,13.6,13.45,13.6,162
TJL,2022-08-18,13.6,13.6,13.6,13.6,1
TJL,2022-08-22,13.78,13.78,13.6,13.78,1
TJL,2022-08-25,13.78,13.78,13.78,13.78,31
TJL,2022-08-26,13.8,13.8,13.78,13.8,1
TJL,2022-08-29,13.83,13.83,13.8,13.83,1
TJL,2022-09-02,13.35,13.83,13.35,13.35,463
TJL,2022-09-05,13.85,13.85,13.35,13.85,1
TJL,2022-09-06,13.6,13.85,13.58,13.6,167
TJL,2022-09-07,13.58,13.6,13.58,13.58,220
TJL,2022-09-09,13.58,13.58,13.58,13.58,10
TJL,2022-09-12,13.58,13.75,13.58,13.58,3617
TJL,2022-09-14,13.5,13.58,13.4,13.5,316
TJL,2022-09-15,13.35,13.5,13.35,13.35,50
TJL,2022-09-19,13.8,13.85,13.35,13.8,271
TJL,2022-09-20,13.8,13.85,13.8,13.8,125
TJL,2022-09-21,13.5,13.8,13.49,13.5,345
TJL,2022-09-22,13.3,13.5,13.3,13.3,50
TJL,2022-09-23,13.4,13.84,13.01,13.4,830
TJL,2022-09-26,13.39,13.63,13.0,13.39,303
TJL,2022-09-27,13.29,13.39,13.19,13.29,75
TJL,2022-09-28,13.25,13.29,13.25,13.25,100
TJL,2022-09-29,13.3,13.3,13.15,13.3,126
TJL,2022-09-30,13.29,13.3,13.1,13.29,125
TJL,2022-10-03,13.72,13.73,13.29,13.72,11
TJL,2022-10-04,13.1,13.72,13.1,13.1,214
TJL,2022-10-05,13.0,13.1,13.0,13.0,514
TJL,2022-10-06,13.2,13.2,13.0,13.2,301
TJL,2022-10-07,13.2,13.2,13.05,13.2,169
TJL,2022-10-10,13.2,13.2,13.05,13.2,11
TJL,2022-10-12,13.2,13.2,13.2,13.2,260
TJL,2022-10-13,13.29,13.3,13.2,13.29,70
TJL,2022-10-14,13.29,13.3,13.28,13.29,158
TJL,2022-10-17,13.52,13.79,13.29,13.52,451
TJL,2022-10-18,13.5,13.52,13.11,13.5,790
TJL,2022-10-19,13.5,13.77,13.0,13.5,534
TJL,2022-10-21,13.49,13.5,13.49,13.49,20
TJL,2022-10-24,13.4,13.49,13.4,13.4,19
TJL,2022-05-10,13.89,13.99,13.85,13.89,1451
TJL,2022-05-11,13.85,13.99,13.8,13.85,505
TJL,2022-05-12,13.8,13.98,13.8,13.8,781
TJL,2022-05-13,13.72,13.8,13.72,13.72,1325
TJL,2022-05-16,13.72,13.72,13.6,13.72,210
TJL,2022-05-17,13.7,13.72,13.7,13.7,400
TJL,2022-05-18,13.7,13.7,13.7,13.7,1418
TJL,2022-05-19,13.8,13.98,13.51,13.8,711
TJL,2022-05-20,13.79,13.8,13.5,13.79,40
TJL,2022-05-23,13.94,13.98,13.79,13.94,8053
TJL,2022-05-24,13.5,13.5,12.74,13.5,1
TJL,2022-05-25,13.76,13.77,13.5,13.76,1084
TJL,2022-05-26,13.45,13.45,12.69,13.45,524
TJL,2022-05-27,13.71,13.71,13.45,13.71,1
TJL,2022-06-06,13.5,13.71,13.5,13.5,2
TJL,2022-06-08,13.21,13.5,13.21,13.21,100
TJL,2022-06-09,13.21,13.5,13.21,13.21,111
TJL,2022-06-10,13.3,13.5,13.21,13.3,751
TJL,2022-06-16,13.5,13.5,13.3,13.5,250
TJL,2022-06-17,13.7,13.7,13.5,13.7,1
TJL,2022-06-21,13.9,13.9,13.7,13.9,1
TJL,2022-06-24,13.31,13.9,13.31,13.31,9
TJL,2022-06-27,13.59,13.89,13.5,13.59,6
TJL,2022-06-28,13.5,13.59,13.5,13.5,5
TJL,2022-07-04,13.9,13.9,13.5,13.9,1
TJL,2022-07-05,13.9,13.9,13.35,13.9,266
TJL,2022-07-06,13.5,13.9,13.5,13.5,1318
TJL,2022-07-07,13.85,13.85,13.5,13.85,53
TJL,2022-07-08,13.55,13.85,13.52,13.55,156
TJL,2022-07-11,13.75,13.75,13.52,13.75,19
TJL,2022-07-12,13.85,13.85,13.74,13.85,35
TJL,2022-07-14,13.55,13.85,13.55,13.55,78
TJL,2022-07-15,13.8,13.8,13.55,13.8,1
TJL,2022-07-18,13.78,13.8,13.7,13.78,30
TJL,2022-07-19,13.79,13.79,13.51,13.79,438
TJL,2022-07-20,13.78,13.83,13.78,13.78,158
TJL,2022-07-21,13.83,13.83,13.78,13.83,1
TJL,2022-07-22,13.78,13.83,13.57,13.78,2
TJL,2022-07-28,13.7,13.78,13.56,13.7,316
TJL,2022-02-11,12.19,12.19,11.8,12.19,5757
TJL,2022-02-14,12.33,12.33,12.08,12.33,231
TJL,2022-02-15,12.5,12.5,12.33,12.5,546
TJL,2022-02-16,12.5,12.5,12.5,12.5,2
TJL,2022-02-18,12.69,12.7,12.5,12.69,157
TJL,2022-02-21,12.95,12.99,12.68,12.95,331
TJL,2022-02-22,13.1,13.1,12.35,13.1,375
TJL,2022-02-23,13.24,13.25,13.1,13.24,465
TJL,2022-02-24,13.43,13.43,13.24,13.43,1
TJL,2022-03-01,13.19,13.45,13.19,13.19,102
TJL,2022-03-02,12.99,13.19,12.74,12.99,301
TJL,2022-03-03,13.44,13.44,12.99,13.44,27
TJL,2022-03-04,13.43,13.44,13.43,13.43,25
TJL,2022-03-07,13.0,13.43,13.0,13.0,340
TJL,2022-03-08,13.73,13.75,13.0,13.73,385
TJL,2022-03-09,13.72,13.73,13.72,13.72,84
TJL,2022-03-11,13.64,13.72,13.64,13.64,10
TJL,2022-03-14,13.4,13.64,13.4,13.4,1
TJL,2022-03-16,13.3,13.4,13.3,13.3,100
TJL,2022-03-21,13.23,13.3,13.0,13.23,476
TJL,2022-03-22,13.15,13.23,13.15,13.15,59
TJL,2022-03-23,13.23,13.23,13.15,13.23,1
TJL,2022-03-24,13.23,13.23,13.22,13.23,6
TJL,2022-03-29,13.23,13.23,13.2,13.23,1
TJL,2022-03-30,13.23,13.23,13.23,13.23,1
TJL,2022-03-31,13.4,13.85,13.23,13.4,2724
TJL,2022-04-01,13.4,13.4,13.4,13.4,5
TJL,2022-04-04,13.3,13.4,13.16,13.3,301
TJL,2022-04-05,13.4,13.4,13.2,13.4,1235
TJL,2022-04-06,13.4,13.4,13.2,13.4,107
TJL,2022-04-07,13.4,13.4,13.4,13.4,2
TJL,2022-04-08,13.39,13.4,13.3,13.39,49
TJL,2022-04-11,13.21,13.39,13.21,13.21,263
TJL,2022-04-12,13.5,13.5,13.21,13.5,605
TJL,2022-04-14,13.9,13.9,13.5,13.9,152
TJL,2022-04-15,13.25,13.9,13.25,13.25,5166
TJL,2022-04-18,13.75,13.75,13.23,13.75,103
TJL,2022-04-19,13.75,13.75,13.75,13.75,300
TJL,2022-04-20,13.8,13.8,13.3,13.8,72
TJL,2022-04-21,13.6,13.8,13.6,13.6,37
TJL,2022-04-22,13.5,13.6,13.5,13.5,10
TJL,2022-04-25,13.31,13.5,13.31,13.31,371
TJL,2022-04-26,13.6,13.6,13.31,13.6,517
TJL,2022-04-27,14.0,14.0,13.3,14.0,1478
TJL,2022-04-28,13.77,14.0,13.5,13.77,157
TJL,2022-04-29,13.99,13.99,13.77,13.99,60
TJL,2022-05-04,13.99,13.99,13.99,13.99,4
TJL,2022-05-05,13.89,13.99,13.89,13.89,283
TJL,2021-11-22,11.49,11.7,11.47,11.49,88
TJL,2021-11-23,11.35,11.49,10.83,11.35,1500
TJL,2021-11-24,11.35,11.35,11.01,11.35,8
TJL,2021-11-25,12.0,12.0,11.35,12.0,100
TJL,2021-11-26,12.0,12.0,12.0,12.0,100
TJL,2021-11-29,12.0,12.2,11.65,12.0,210
TJL,2021-11-30,11.74,11.74,11.28,11.74,30
TJL,2021-12-01,12.32,12.33,11.95,12.32,190
TJL,2021-12-02,12.0,12.32,12.0,12.0,200
TJL,2021-12-03,12.33,12.36,12.0,12.33,230
TJL,2021-12-06,12.33,12.33,12.33,12.33,50
TJL,2021-12-07,12.2,12.33,12.2,12.2,24
TJL,2021-12-09,11.8,12.2,11.8,11.8,144
TJL,2021-12-10,12.0,12.0,11.8,12.0,2
TJL,2021-12-13,12.2,12.2,11.9,12.2,105
TJL,2021-12-14,11.48,12.2,11.48,11.48,1
TJL,2021-12-16,12.16,12.16,11.48,12.16,2
TJL,2021-12-20,11.45,12.5,11.45,11.45,9157
TJL,2021-12-21,12.13,12.13,11.45,12.13,87
TJL,2021-12-22,12.36,12.36,12.13,12.36,100
TJL,2021-12-23,12.5,12.7,12.36,12.5,24
TJL,2021-12-27,12.69,12.72,12.0,12.69,222
TJL,2021-12-28,12.1,12.69,12.1,12.1,3037
TJL,2021-12-29,12.72,12.73,12.1,12.72,76
TJL,2021-12-30,12.36,12.73,12.36,12.36,3
TJL,2021-12-31,12.0,12.36,12.0,12.0,46
TJL,2022-01-03,12.1,12.1,12.0,12.1,40
TJL,2022-01-04,12.69,12.72,12.02,12.69,11
TJL,2022-01-06,12.0,12.69,12.0,12.0,146
TJL,2022-01-07,11.99,12.0,11.99,11.99,5
TJL,2022-01-11,11.28,11.99,11.28,11.28,254
TJL,2022-01-13,11.11,11.28,11.11,11.11,1
TJL,2022-01-14,11.62,11.62,11.11,11.62,118
TJL,2022-01-18,11.97,11.99,11.62,11.97,79
TJL,2022-01-19,11.3,11.97,11.3,11.3,292
TJL,2022-01-20,11.96,11.96,11.3,11.96,101
TJL,2022-01-26,11.33,11.96,11.33,11.33,95
TJL,2022-01-27,11.71,11.94,11.33,11.71,632
TJL,2022-01-28,11.5,11.71,11.5,11.5,2
TJL,2022-01-31,11.96,11.96,11.5,11.96,174
TJL,2022-02-01,11.92,11.96,11.92,11.92,336
TJL,2022-02-03,11.88,11.92,11.88,11.88,88
TJL,2022-02-04,11.65,11.88,11.65,11.65,10
TJL,2022-02-07,11.6,11.88,11.6,11.6,1101
TJL,2022-02-08,11.88,11.88,11.27,11.88,2
TJL,2022-02-09,11.84,11.88,11.84,11.84,38
TJL,2022-02-10,11.8,11.89,11.79,11.8,197
TJL,2022-02-11,12.19,12.19,11.8,12.19,5757
TJL,2021-08-30,10.3,10.3,10.3,10.3,71
TJL,2021-09-08,10.2,10.5,10.2,10.5,150
TJL,2021-09-15,10.5,10.5,10.5,10.5,88
TJL,2021-09-20,10.71,11.1,10.7,11.1,345
TJL,2021-09-21,11.0,11.0,11.0,11.7,1000
TJL,2021-09-22,11.7,11.7,11.7,11.7,50
TJL,2021-09-23,11.75,11.98,11.75,11.98,980
TJL,2021-09-24,11.75,11.75,11.75,11.75,233
TJL,2021-09-28,11.36,11.75,11.36,11.36,190
TJL,2021-09-29,11.36,11.5,11.36,11.5,739
TJL,2021-09-30,11.35,11.35,11.35,11.35,100
TJL,2021-10-04,11.35,11.35,11.35,11.35,600
TJL,2021-10-06,11.75,11.75,11.35,11.75,100
TJL,2021-10-07,11.75,11.75,11.7,11.75,781
TJL,2021-10-14,11.6,11.75,11.6,11.6,463
TJL,2021-10-19,11.5,11.6,11.5,11.5,46
TJL,2021-10-20,11.9,11.9,11.5,11.9,1036
TJL,2021-10-22,11.9,11.9,11.9,11.9,500
TJL,2021-10-28,12.05,12.05,11.9,12.05,1977
TJL,2021-10-29,12.2,12.2,12.05,12.2,1
TJL,2021-11-01,12.0,12.2,12.0,12.0,50
TJL,2021-11-03,11.7,12.0,11.7,11.7,1
TJL,2021-11-08,11.7,11.75,11.7,11.7,289
TJL,2021-11-09,11.4,11.7,11.4,11.4,600
TJL,2021-11-10,11.4,11.4,11.38,11.4,652
TJL,2021-11-15,11.62,11.62,11.4,11.62,162
TJL,2021-11-16,11.62,12.1,11.62,11.62,628
TJL,2021-11-17,11.7,11.8,11.62,11.7,260
TJL,2021-06-01,11.55,11.55,11.55,11.55,5
TJL,2021-06-02,11.69,11.69,11.35,11.35,8
TJL,2021-06-03,11.35,11.35,11.35,11.35,10
TJL,2021-06-04,11.01,11.01,11.01,11.01,10
TJL,2021-06-08,11.01,11.01,11.01,11.01,90
TJL,2021-06-09,10.68,10.68,10.68,10.68,25
TJL,2021-06-29,10.68,10.68,10.68,10.68,153
TJL,2021-07-01,10.33,10.33,10.33,10.33,2
TJL,2021-07-02,10.33,10.63,10.03,10.63,109
TJL,2021-07-09,10.32,10.32,10.32,10.32,10
TJL,2021-07-13,10.03,10.03,10.03,10.03,110
TJL,2021-07-16,9.73,10.0,9.73,10.0,607
TJL,2021-07-22,10.0,10.0,10.0,10.0,20
TJL,2021-07-29,10.0,10.0,10.0,10.0,358
TJL,2021-08-02,10.03,10.3,10.03,10.3,101
