Ticker,Date,Open,High,Low,Close,Volume
TLNET,2022-10-24,7.36,7.36,7.22,7.36,378
TLNET,2022-10-25,7.19,7.37,7.01,7.19,15644
TLNET,2022-10-26,7.37,7.45,7.29,7.37,3040
TLNET,2022-10-27,7.35,7.45,7.3,7.35,1333
TLNET,2022-10-28,7.35,7.35,7.3,7.35,302
TLNET,2022-10-31,7.34,7.35,7.3,7.34,384
TLNET,2022-11-01,7.25,7.34,7.18,7.25,4104
TLNET,2022-11-02,7.25,7.25,7.1,7.25,21280
TLNET,2022-11-03,7.2,7.25,7.13,7.2,1735
TLNET,2022-11-04,7.2,7.2,7.15,7.2,973
TLNET,2022-11-07,7.45,7.45,7.2,7.45,2315
TLNET,2022-11-08,7.25,7.45,7.2,7.25,1990
TLNET,2022-11-09,7.3,7.3,7.25,7.3,1
TLNET,2022-11-10,7.4,7.4,7.3,7.4,1
TLNET,2022-11-14,7.25,7.4,7.25,7.25,481
TLNET,2022-11-15,7.2,7.35,7.2,7.2,402
TLNET,2022-11-16,7.3,7.35,7.2,7.3,24
TLNET,2022-11-17,7.29,7.3,7.22,7.29,580
TLNET,2022-11-18,7.3,7.3,7.25,7.3,565
TLNET,2022-11-21,7.18,7.3,7.18,7.18,3140
TLNET,2022-11-22,7.18,7.18,7.08,7.18,39960
TLNET,2022-11-23,7.27,7.29,7.17,7.27,1799
TLNET,2022-11-24,7.2,7.27,7.13,7.2,607
TLNET,2022-11-25,7.2,7.2,7.1,7.2,4013
TLNET,2022-11-28,7.2,7.2,7.1,7.2,2265
TLNET,2022-11-29,7.18,7.2,7.1,7.18,848
TLNET,2022-11-30,7.16,7.29,7.16,7.16,798
TLNET,2022-12-01,7.13,7.29,7.13,7.13,76
TLNET,2022-12-02,7.23,7.23,7.1,7.23,501
TLNET,2022-12-05,7.21,7.23,7.21,7.21,566
TLNET,2022-12-06,7.2,7.29,7.2,7.2,961
TLNET,2022-12-07,7.2,7.2,7.2,7.2,314
TLNET,2022-12-08,7.16,7.2,7.16,7.16,400
TLNET,2022-12-09,7.15,7.2,7.15,7.15,837
TLNET,2022-12-12,7.22,7.22,7.16,7.22,2554
TLNET,2022-12-13,7.18,7.22,7.18,7.18,545
TLNET,2022-12-14,7.15,7.18,7.15,7.15,50
TLNET,2022-12-15,7.21,7.22,7.15,7.21,113
TLNET,2022-12-16,7.19,7.21,7.15,7.19,1841
TLNET,2022-12-19,7.15,7.19,7.15,7.15,92
TLNET,2022-12-20,7.07,7.2,7.07,7.07,578
TLNET,2022-12-21,7.0,7.1,7.0,7.0,4597
TLNET,2022-12-22,7.1,7.2,7.0,7.1,62
TLNET,2022-12-23,7.0,7.2,6.85,7.0,10462
TLNET,2022-12-26,7.0,7.0,6.95,7.0,396
TLNET,2022-12-27,7.09,7.09,6.95,7.09,1047
TLNET,2022-12-28,7.5,7.5,7.07,7.5,19104
TLNET,2022-12-29,7.79,7.95,7.48,7.79,23498
TLNET,2022-12-30,7.68,7.79,7.59,7.68,30391
TLNET,2022-08-01,7.6,7.6,7.5,7.6,1972
TLNET,2022-08-02,7.7,7.7,7.56,7.7,1327
TLNET,2022-08-03,8.0,8.1,7.7,8.0,5884
TLNET,2022-08-04,8.15,8.2,8.0,8.15,9269
