Ticker,Date,Open,High,Low,Close,Volume
TRE,2022-10-24,6.4,6.4,6.4,6.4,1307
TRE,2022-10-25,6.4,6.4,6.4,6.4,1600
TRE,2022-10-26,6.4,6.4,6.4,6.4,5
TRE,2022-10-27,6.44,6.44,6.4,6.44,500
TRE,2022-10-28,6.42,6.44,6.42,6.42,100
TRE,2022-10-31,6.49,6.49,6.42,6.49,1221
TRE,2022-11-01,6.49,6.49,6.49,6.49,400
TRE,2022-11-02,6.42,6.49,6.42,6.42,1800
TRE,2022-11-03,6.42,6.42,6.42,6.42,5175
TRE,2022-11-04,6.42,6.42,6.42,6.42,1110
TRE,2022-11-07,6.42,6.42,6.42,6.42,4348
TRE,2022-11-08,6.4,6.42,6.4,6.4,22
TRE,2022-11-09,6.25,6.4,6.24,6.25,824
TRE,2022-11-10,6.42,6.42,6.25,6.42,1700
TRE,2022-11-11,6.4,6.42,6.4,6.4,4100
TRE,2022-11-14,6.4,6.4,6.4,6.4,435
TRE,2022-11-15,6.21,6.4,6.21,6.21,152
TRE,2022-11-16,6.22,6.22,6.21,6.22,1650
TRE,2022-11-17,6.2,6.22,6.2,6.2,983
TRE,2022-11-18,6.24,6.24,6.2,6.24,1167
TRE,2022-11-22,6.5,6.59,6.5,6.5,1165
TRE,2022-11-23,6.5,6.5,6.5,6.5,1987
TRE,2022-11-24,6.5,6.5,6.5,6.5,3000
TRE,2022-11-25,6.5,6.5,6.5,6.5,5100
TRE,2022-11-28,6.26,6.5,6.26,6.26,6
TRE,2022-11-29,6.4,6.4,6.26,6.4,113
TRE,2022-11-30,6.58,6.58,6.4,6.58,5750
TRE,2022-12-01,6.58,6.58,6.58,6.58,3700
TRE,2022-12-02,6.58,6.58,6.58,6.58,1000
TRE,2022-12-05,6.59,6.59,6.58,6.59,4899
TRE,2022-12-06,6.67,6.67,6.59,6.67,7272
TRE,2022-12-07,6.97,6.97,6.67,6.97,166
TRE,2022-12-08,6.97,6.97,6.88,6.97,300
TRE,2022-12-09,6.99,6.99,6.97,6.99,1100
TRE,2022-12-12,7.08,7.08,6.99,7.08,1032
TRE,2022-12-13,7.07,7.08,7.07,7.07,579
TRE,2022-12-14,7.07,7.07,7.07,7.07,474
TRE,2022-12-15,7.07,7.07,7.07,7.07,349
TRE,2022-12-19,7.04,7.07,7.04,7.04,3275
TRE,2022-12-20,7.02,7.04,7.02,7.02,1350
TRE,2022-12-21,7.05,7.05,7.02,7.05,1425
TRE,2022-12-22,7.0,7.05,7.0,7.0,3600
TRE,2022-12-23,6.99,7.0,6.99,6.99,2182
TRE,2022-12-26,7.07,7.07,6.99,7.07,500
TRE,2022-12-27,7.03,7.05,7.03,7.03,800
TRE,2022-12-28,7.0,7.03,7.0,7.0,150
TRE,2022-12-29,6.99,7.0,6.99,6.99,600
TRE,2022-12-30,6.99,6.99,6.99,6.99,927
TRE,2022-08-01,6.97,6.97,6.75,6.97,2
TRE,2022-08-03,6.67,6.97,6.67,6.67,156
TRE,2022-08-04,6.9,6.9,6.67,6.9,3
TRE,2022-08-10,6.61,6.9,6.61,6.61,235
TRE,2022-08-11,6.8,6.8,6.61,6.8,5
TRE,2022-08-15,6.89,6.89,6.8,6.89,7
TRE,2022-08-18,6.84,6.89,6.84,6.84,100
