Ticker,Date,Open,High,Low,Close,Volume
UADH,2022-10-24,0.44,0.44,0.44,0.44,7100
UADH,2022-10-25,0.45,0.45,0.44,0.45,10570
UADH,2022-10-26,0.45,0.45,0.45,0.45,4480
UADH,2022-10-27,0.45,0.45,0.45,0.45,20
UADH,2022-10-31,0.45,0.45,0.45,0.45,2401
UADH,2022-11-01,0.46,0.46,0.45,0.46,350
UADH,2022-11-07,0.42,0.43,0.42,0.42,20974
UADH,2022-11-08,0.42,0.42,0.42,0.42,848
UADH,2022-11-09,0.41,0.42,0.41,0.41,7948
UADH,2022-11-10,0.4,0.41,0.4,0.4,18327
UADH,2022-11-11,0.4,0.4,0.4,0.4,7214
UADH,2022-11-14,0.41,0.41,0.4,0.41,13995
UADH,2022-11-15,0.4,0.41,0.4,0.4,5645
UADH,2022-11-16,0.4,0.4,0.4,0.4,11548
UADH,2022-11-17,0.41,0.41,0.4,0.41,9400
UADH,2022-11-18,0.42,0.42,0.41,0.42,9416
UADH,2022-11-21,0.41,0.42,0.41,0.41,2510
UADH,2022-11-22,0.42,0.42,0.41,0.42,10
UADH,2022-11-23,0.42,0.42,0.42,0.42,10
UADH,2022-11-29,0.41,0.42,0.41,0.41,10
UADH,2022-11-30,0.41,0.41,0.41,0.41,2
UADH,2022-12-02,0.41,0.42,0.41,0.41,730
UADH,2022-12-05,0.42,0.42,0.41,0.42,5855
UADH,2022-12-13,0.47,0.47,0.45,0.47,11408
UADH,2022-12-15,0.44,0.45,0.44,0.44,1435
UADH,2022-12-16,0.43,0.44,0.43,0.43,2820
UADH,2022-12-19,0.42,0.43,0.42,0.42,2857
UADH,2022-12-20,0.41,0.42,0.41,0.41,2302
UADH,2022-12-21,0.4,0.41,0.4,0.4,11491
UADH,2022-12-23,0.41,0.41,0.41,0.41,1591
UADH,2022-12-28,0.39,0.4,0.39,0.39,14316
UADH,2022-12-29,0.39,0.39,0.39,0.39,8177
UADH,2022-12-30,0.39,0.39,0.39,0.39,92
UADH,2022-08-01,0.55,0.55,0.53,0.55,6785
UADH,2022-08-02,0.56,0.56,0.55,0.56,1432
UADH,2022-08-03,0.57,0.57,0.56,0.57,1300
UADH,2022-08-05,0.55,0.57,0.55,0.55,833
UADH,2022-08-08,0.57,0.57,0.55,0.57,20
UADH,2022-08-10,0.53,0.55,0.53,0.53,1452
UADH,2022-08-11,0.53,0.53,0.53,0.53,730
UADH,2022-08-12,0.54,0.54,0.53,0.54,1480
UADH,2022-08-15,0.54,0.54,0.54,0.54,1000
UADH,2022-08-16,0.52,0.54,0.52,0.52,10379
UADH,2022-08-17,0.52,0.52,0.52,0.52,14950
UADH,2022-08-18,0.53,0.53,0.52,0.53,14406
UADH,2022-08-19,0.51,0.53,0.51,0.51,23371
UADH,2022-08-22,0.52,0.52,0.51,0.52,3010
UADH,2022-08-23,0.52,0.52,0.52,0.52,910
UADH,2022-08-24,0.51,0.52,0.51,0.51,25451
UADH,2022-08-25,0.51,0.51,0.51,0.51,3765
UADH,2022-08-26,0.51,0.51,0.51,0.51,22025
UADH,2022-08-29,0.53,0.53,0.51,0.53,990
UADH,2022-08-31,0.49,0.51,0.49,0.49,23526
UADH,2022-09-01,0.49,0.49,0.49,0.49,18220
UADH,2022-09-02,0.49,0.49,0.49,0.49,8766
UADH,2022-09-05,0.49,0.49,0.49,0.49,6552
UADH,2022-09-06,0.47,0.49,0.47,0.47,74344
UADH,2022-09-07,0.48,0.48,0.47,0.48,8365
UADH,2022-09-08,0.47,0.48,0.47,0.47,30200
UADH,2022-09-09,0.48,0.48,0.47,0.48,3530
UADH,2022-09-12,0.46,0.48,0.46,0.46,43924
UADH,2022-09-13,0.44,0.46,0.44,0.44,11160
UADH,2022-09-15,0.43,0.43,0.43,0.43,47257
UADH,2022-09-16,0.44,0.44,0.43,0.44,9510
UADH,2022-09-19,0.45,0.45,0.44,0.45,14095
UADH,2022-09-20,0.47,0.47,0.45,0.47,4955
UADH,2022-09-22,0.44,0.45,0.44,0.44,6156
UADH,2022-09-23,0.44,0.44,0.44,0.44,987
UADH,2022-09-26,0.43,0.44,0.43,0.43,13054
UADH,2022-09-27,0.43,0.43,0.43,0.43,4527
UADH,2022-09-29,0.41,0.42,0.41,0.41,26517
UADH,2022-09-30,0.41,0.41,0.41,0.41,25353
UADH,2022-10-04,0.41,0.42,0.41,0.41,12610
UADH,2022-10-05,0.42,0.42,0.41,0.42,3500
UADH,2022-10-06,0.42,0.42,0.42,0.42,3010
UADH,2022-10-07,0.43,0.43,0.42,0.43,247
UADH,2022-10-10,0.43,0.43,0.43,0.43,1005
UADH,2022-10-11,0.43,0.43,0.43,0.43,50
UADH,2022-10-12,0.43,0.43,0.43,0.43,1800
UADH,2022-10-14,0.42,0.43,0.42,0.42,1406
UADH,2022-10-17,0.42,0.42,0.42,0.42,120
UADH,2022-10-19,0.43,0.43,0.43,0.43,5325
UADH,2022-10-20,0.43,0.43,0.43,0.43,5999
UADH,2022-10-21,0.44,0.44,0.43,0.44,985
UADH,2022-10-24,0.44,0.44,0.44,0.44,7100
UADH,2022-05-12,0.41,0.41,0.4,0.41,95621
UADH,2022-06-01,0.65,0.65,0.63,0.65,220601
UADH,2022-06-02,0.64,0.65,0.64,0.64,48933
UADH,2022-06-07,0.58,0.6,0.58,0.58,37558
UADH,2022-06-14,0.52,0.52,0.5,0.52,86299
UADH,2022-06-15,0.54,0.54,0.52,0.54,103645
UADH,2022-06-16,0.52,0.54,0.52,0.52,57240
UADH,2022-06-17,0.54,0.54,0.52,0.54,8240
UADH,2022-06-21,0.58,0.58,0.56,0.58,20525
UADH,2022-06-22,0.59,0.59,0.58,0.59,35109
UADH,2022-06-27,0.54,0.55,0.54,0.54,45324
UADH,2022-06-28,0.54,0.54,0.54,0.54,3000
UADH,2022-06-29,0.56,0.56,0.54,0.56,7820
UADH,2022-06-30,0.58,0.58,0.56,0.58,25210
UADH,2022-07-01,0.59,0.59,0.58,0.59,21715
UADH,2022-07-04,0.6,0.6,0.59,0.6,19922
UADH,2022-07-05,0.6,0.6,0.6,0.6,9600
UADH,2022-07-07,0.58,0.58,0.58,0.58,38725
UADH,2022-07-11,0.56,0.56,0.56,0.56,11351
UADH,2022-07-12,0.55,0.56,0.55,0.55,12130
UADH,2022-07-13,0.55,0.55,0.55,0.55,23790
UADH,2022-07-14,0.55,0.55,0.55,0.55,1000
UADH,2022-07-15,0.54,0.55,0.54,0.54,10222
UADH,2022-07-18,0.52,0.54,0.52,0.52,18974
UADH,2022-07-19,0.53,0.53,0.52,0.53,8071
UADH,2022-07-20,0.53,0.53,0.53,0.53,1656
UADH,2022-07-21,0.51,0.53,0.51,0.51,28809
UADH,2022-07-22,0.53,0.53,0.51,0.53,7974
UADH,2022-07-26,0.51,0.53,0.51,0.51,6282
UADH,2022-07-27,0.51,0.51,0.51,0.51,4619
UADH,2022-07-28,0.53,0.53,0.51,0.53,9
