Ticker,Date,Open,High,Low,Close,Volume
UBCI,2022-10-25,22.3,22.5,22.3,22.3,447
UBCI,2022-10-26,22.3,22.3,22.3,22.3,297
UBCI,2022-10-31,22.3,22.3,22.3,22.3,190
UBCI,2022-11-01,22.3,22.3,22.3,22.3,101
UBCI,2022-11-03,22.3,22.3,22.3,22.3,24
UBCI,2022-11-07,22.35,22.35,22.3,22.35,110
UBCI,2022-11-09,22.3,22.35,22.3,22.3,460
UBCI,2022-11-10,22.3,22.3,22.3,22.3,661
UBCI,2022-11-18,22.3,22.32,22.3,22.3,1000
UBCI,2022-11-22,22.3,22.3,22.3,22.3,20
UBCI,2022-11-24,23.0,23.0,22.3,23.0,10
UBCI,2022-11-30,23.0,23.0,23.0,23.0,1736
UBCI,2022-12-01,23.0,23.0,23.0,23.0,250
UBCI,2022-12-09,21.97,23.0,21.97,21.97,43
UBCI,2022-12-16,21.97,21.97,21.97,21.97,8
UBCI,2022-12-20,22.0,22.0,21.97,22.0,46
UBCI,2022-12-21,22.98,22.98,22.0,22.98,200
UBCI,2022-12-28,22.0,22.98,22.0,22.0,250108
UBCI,2022-08-03,22.1,22.1,22.04,22.1,1000
UBCI,2022-08-04,22.1,22.1,22.1,22.1,217
UBCI,2022-08-12,22.1,22.1,22.1,22.1,296
UBCI,2022-08-18,22.1,22.1,22.1,22.1,8
UBCI,2022-08-23,22.1,22.1,22.1,22.1,8
UBCI,2022-08-24,22.1,22.1,22.1,22.1,7
UBCI,2022-08-25,22.1,22.1,22.1,22.1,15
UBCI,2022-08-26,22.1,22.1,22.1,22.1,5
UBCI,2022-08-30,22.1,22.1,22.1,22.1,1944
UBCI,2022-09-01,22.1,22.1,22.1,22.1,2431
UBCI,2022-09-02,22.1,22.1,22.1,22.1,2150
UBCI,2022-09-05,22.1,22.1,22.1,22.1,4529
UBCI,2022-09-06,22.1,22.1,22.1,22.1,54
UBCI,2022-09-07,21.21,22.1,21.21,21.21,13
UBCI,2022-09-13,21.21,21.21,21.21,21.21,200
UBCI,2022-09-21,21.21,21.21,21.21,21.21,256
UBCI,2022-09-30,22.15,22.16,21.21,22.15,116
UBCI,2022-10-03,23.0,23.0,22.15,23.0,215
UBCI,2022-10-04,23.1,23.1,23.0,23.1,24
UBCI,2022-10-12,23.09,23.1,23.09,23.09,385
UBCI,2022-10-17,23.05,23.09,23.05,23.05,138
UBCI,2022-10-21,22.5,23.05,22.5,22.5,250
UBCI,2022-05-11,21.35,21.35,21.35,21.35,3
UBCI,2022-05-12,21.35,21.35,21.35,21.35,2
UBCI,2022-05-17,21.34,21.35,21.34,21.34,5
UBCI,2022-05-19,20.4,20.5,20.4,20.4,7
UBCI,2022-05-20,20.5,20.5,20.5,20.5,3
UBCI,2022-06-09,20.05,20.05,20.05,20.05,4
UBCI,2022-06-10,20.0,20.05,20.0,20.0,14
UBCI,2022-06-17,20.0,20.0,20.0,20.0,9
UBCI,2022-07-04,21.99,21.99,21.84,21.99,2
UBCI,2022-07-19,21.1,21.99,21.1,21.1,775
UBCI,2022-07-27,22.04,22.04,21.1,22.04,10
UBCI,2022-02-14,22.22,22.22,22.21,22.22,22
UBCI,2022-02-16,22.25,22.25,22.22,22.25,5
UBCI,2022-02-23,22.25,22.25,22.25,22.25,390
UBCI,2022-02-25,22.0,22.25,22.0,22.0,50
UBCI,2022-02-28,22.0,22.0,22.0,22.0,20
UBCI,2022-03-01,22.0,22.0,22.0,22.0,250
UBCI,2022-03-02,21.99,22.0,21.99,21.99,840
UBCI,2022-03-03,22.01,22.01,21.99,22.01,4680
UBCI,2022-03-04,22.01,22.01,22.01,22.01,1691
UBCI,2022-03-07,22.01,22.01,22.01,22.01,1691
UBCI,2022-03-09,22.01,22.01,22.01,22.01,10
UBCI,2022-03-10,22.0,22.01,22.0,22.0,20
UBCI,2022-03-16,22.01,22.01,22.0,22.01,41
UBCI,2022-03-17,22.01,22.01,22.01,22.01,3
UBCI,2022-03-21,22.02,22.02,22.01,22.02,1702
UBCI,2022-03-22,22.02,22.02,22.02,22.02,1691
UBCI,2022-04-06,22.1,22.1,22.02,22.1,60
UBCI,2022-04-11,22.1,22.1,22.1,22.1,15
UBCI,2022-04-14,22.09,22.1,22.09,22.09,1692
UBCI,2022-04-18,22.13,23.08,22.13,22.13,35
UBCI,2022-04-20,22.1,22.13,22.1,22.1,250
UBCI,2022-04-21,22.1,22.1,22.1,22.1,250
UBCI,2022-04-22,22.1,22.1,22.09,22.1,11070
UBCI,2022-05-05,22.1,22.1,22.1,22.1,10
UBCI,2021-11-22,19.5,20.0,19.5,19.5,109
UBCI,2021-11-24,19.57,19.57,19.5,19.57,99
UBCI,2021-11-29,19.75,19.75,19.57,19.75,99
UBCI,2021-12-10,20.02,20.02,20.01,20.02,90
UBCI,2021-12-14,20.1,20.1,20.02,20.1,99
UBCI,2021-12-16,20.1,20.1,20.1,20.1,31
UBCI,2021-12-21,20.25,20.25,20.1,20.25,2214
UBCI,2021-12-24,20.3,20.3,20.25,20.3,400
UBCI,2021-12-27,19.7,20.3,19.7,19.7,1091
UBCI,2021-12-29,19.8,19.8,19.7,19.8,24
UBCI,2022-01-06,20.5,20.5,19.8,20.5,1
UBCI,2022-01-19,20.5,20.5,20.5,20.5,50
UBCI,2022-01-21,21.0,21.0,20.5,21.0,1
UBCI,2022-01-26,22.5,22.5,21.94,22.5,20
UBCI,2022-01-31,21.0,21.49,21.0,21.0,6400
UBCI,2022-02-02,21.21,21.21,21.0,21.21,13
UBCI,2022-02-07,21.25,21.25,21.21,21.25,903
UBCI,2022-02-08,22.2,22.2,21.25,22.2,13
UBCI,2022-02-09,22.21,22.21,22.2,22.21,5074
UBCI,2021-08-25,20.1,20.1,20.1,20.1,99
UBCI,2021-08-26,20.0,20.0,20.0,20.0,98
UBCI,2021-08-27,20.01,20.01,20.01,20.01,200
UBCI,2021-09-02,20.0,20.0,20.0,20.0,99
UBCI,2021-09-03,20.0,20.0,20.0,20.0,99
UBCI,2021-09-06,20.0,20.0,20.0,20.0,99
UBCI,2021-09-07,20.0,20.0,20.0,20.0,337
UBCI,2021-09-08,20.0,20.0,20.0,20.0,99
UBCI,2021-09-09,20.0,20.0,20.0,20.0,198
UBCI,2021-09-10,20.5,20.5,20.5,20.5,2200
UBCI,2021-09-13,20.5,20.51,20.5,20.51,998
UBCI,2021-09-14,20.0,20.0,20.0,20.0,149
UBCI,2021-09-15,20.01,20.01,20.01,20.01,472
UBCI,2021-09-16,20.02,20.02,20.02,20.02,178
UBCI,2021-09-22,20.02,20.02,20.02,20.02,50
UBCI,2021-10-05,20.03,20.03,20.02,20.03,99
UBCI,2021-10-06,20.0,20.03,20.0,20.0,98
UBCI,2021-10-07,20.0,20.0,20.0,20.0,99
UBCI,2021-10-08,20.0,20.0,20.0,20.0,99
UBCI,2021-10-11,19.57,20.0,19.51,19.57,104
UBCI,2021-10-19,19.58,19.58,19.57,19.58,109
UBCI,2021-10-20,19.58,19.58,19.58,19.58,109
UBCI,2021-10-21,19.59,19.59,19.58,19.59,10680
UBCI,2021-10-22,19.6,19.6,19.59,19.6,99
UBCI,2021-10-25,19.53,19.6,19.53,19.53,99
UBCI,2021-10-26,19.53,19.53,19.53,19.53,99
UBCI,2021-10-27,19.6,19.6,19.53,19.6,137
UBCI,2021-10-28,19.54,19.6,19.54,19.54,99
UBCI,2021-11-01,19.5,19.54,19.5,19.5,30
UBCI,2021-11-02,19.5,19.5,19.5,19.5,99
UBCI,2021-11-03,19.5,19.5,19.5,19.5,98
UBCI,2021-11-04,19.5,19.5,19.5,19.5,99
UBCI,2021-11-08,19.51,19.51,19.5,19.51,99
UBCI,2021-11-09,20.0,20.0,19.51,20.0,1599
UBCI,2021-11-10,19.51,20.0,19.51,19.51,98
UBCI,2021-11-12,19.51,19.51,19.51,19.51,99
UBCI,2021-11-16,20.0,20.0,19.51,20.0,4525
UBCI,2021-11-17,20.0,20.0,20.0,20.0,239
UBCI,2021-06-01,21.72,21.72,21.72,21.72,99
UBCI,2021-06-03,21.73,21.73,21.73,21.73,225
UBCI,2021-06-04,21.73,21.73,21.73,21.73,99
UBCI,2021-06-07,21.74,21.74,21.74,21.74,99
UBCI,2021-06-08,21.74,21.74,21.74,21.74,99
UBCI,2021-06-09,21.75,21.75,21.75,21.75,99
UBCI,2021-06-11,21.82,21.82,21.82,21.82,99
UBCI,2021-06-14,21.81,21.81,21.81,21.81,99
UBCI,2021-06-15,21.81,21.81,21.81,21.81,99
UBCI,2021-06-16,21.81,21.82,21.81,21.82,300
UBCI,2021-06-17,21.86,21.86,21.86,21.86,99
UBCI,2021-06-18,21.9,21.9,21.9,21.9,1883
UBCI,2021-06-21,21.9,21.91,21.9,21.91,84618
UBCI,2021-06-23,22.0,22.0,22.0,22.0,514
UBCI,2021-06-24,21.8,21.8,21.6,21.6,807
UBCI,2021-06-28,21.5,21.5,21.5,21.5,99
UBCI,2021-06-29,21.51,21.51,21.51,21.51,159
UBCI,2021-06-30,21.51,21.51,21.51,21.51,99
UBCI,2021-07-01,21.0,21.0,21.0,21.0,30
UBCI,2021-07-08,21.0,21.0,21.0,21.0,500
UBCI,2021-07-09,21.0,21.0,21.0,21.0,99
UBCI,2021-07-12,21.0,21.0,21.0,21.0,5
UBCI,2021-07-15,21.0,21.0,21.0,21.0,99
UBCI,2021-07-19,21.0,21.0,21.0,21.0,105
UBCI,2021-07-22,21.0,21.0,21.0,21.0,99
UBCI,2021-07-23,21.0,21.0,21.0,21.0,99
UBCI,2021-07-26,21.0,21.0,21.0,21.0,98
UBCI,2021-07-30,21.0,21.0,21.0,21.0,97
UBCI,2021-08-18,20.41,20.41,20.41,20.41,21
UBCI,2021-08-20,20.0,20.0,20.0,20.0,80
UBCI,2021-08-23,20.0,20.0,20.0,20.0,575
UBCI,2021-08-24,20.0,20.1,20.0,20.1,1524
UBCI,2021-08-25,20.1,20.1,20.1,20.1,99
UBCI,2021-03-08,21.2,21.83,21.2,21.83,110
UBCI,2021-03-09,21.2,21.2,21.2,21.2,100
UBCI,2021-03-10,21.2,21.2,21.2,21.2,997
UBCI,2021-03-11,21.2,21.2,21.2,21.2,99
UBCI,2021-03-12,21.2,21.83,21.2,21.83,100
UBCI,2021-03-15,22.48,22.48,22.48,22.48,1
UBCI,2021-03-17,21.81,21.81,21.81,21.81,230
UBCI,2021-03-22,21.0,21.0,21.0,21.0,99
UBCI,2021-03-25,21.0,21.0,21.0,21.0,99
UBCI,2021-03-26,21.0,21.0,21.0,21.0,99
UBCI,2021-03-29,21.0,21.0,21.0,21.0,273
UBCI,2021-03-30,21.63,21.63,21.0,21.0,1157
UBCI,2021-03-31,21.0,21.0,21.0,21.0,894
UBCI,2021-04-01,21.0,21.0,21.0,21.0,8
UBCI,2021-04-05,20.37,20.37,20.37,20.37,99
UBCI,2021-04-06,21.1,21.1,21.1,21.1,105
UBCI,2021-04-07,21.0,21.0,21.0,21.0,99
UBCI,2021-04-08,21.94,21.94,21.94,21.94,102
UBCI,2021-04-12,21.95,21.95,21.95,21.95,99
UBCI,2021-04-14,22.6,22.6,22.6,22.6,2
UBCI,2021-04-15,22.8,22.8,22.8,22.8,118
UBCI,2021-04-16,23.48,23.48,23.48,23.48,200
UBCI,2021-04-19,23.0,23.0,23.0,23.0,119
UBCI,2021-04-20,23.69,23.69,23.69,23.69,133
UBCI,2021-04-21,24.0,24.0,24.0,24.0,593
UBCI,2021-04-23,22.93,22.93,22.93,22.93,900
UBCI,2021-04-27,22.91,22.91,22.91,22.91,8
UBCI,2021-05-06,22.91,22.91,22.91,22.91,78
UBCI,2021-05-07,22.9,22.9,22.9,22.9,37
UBCI,2021-05-11,22.87,22.87,22.87,22.87,5
UBCI,2021-05-18,22.19,22.19,22.19,22.19,247
UBCI,2021-05-19,22.14,22.14,22.14,22.14,1985
UBCI,2021-05-20,21.6,21.6,21.6,21.6,99
UBCI,2021-05-21,21.6,21.99,21.6,21.99,114
UBCI,2021-05-24,21.99,21.99,21.6,21.99,124
UBCI,2021-05-25,21.61,21.61,21.61,21.61,99
UBCI,2021-05-26,21.7,21.7,21.7,21.7,99
UBCI,2021-05-27,22.19,22.19,22.19,22.19,45
UBCI,2021-05-31,21.8,21.8,21.8,21.8,99
UBCI,2021-06-01,21.72,21.72,21.72,21.72,99
UBCI,2020-12-14,20.99,20.99,20.99,20.99,1
UBCI,2020-12-15,20.1,20.1,20.1,20.1,499
UBCI,2020-12-16,20.1,20.1,20.1,20.1,97
UBCI,2020-12-17,20.15,20.15,20.15,20.15,99
UBCI,2020-12-18,20.1,20.1,20.1,20.1,98
UBCI,2020-12-21,20.15,20.75,20.15,20.75,100
UBCI,2020-12-22,20.99,20.99,20.99,20.99,1
