Ticker,Date,Open,High,Low,Close,Volume
UMED,2022-10-24,7.49,7.58,7.4,7.49,49
UMED,2022-10-25,7.4,7.49,7.3,7.4,960
UMED,2022-10-26,7.4,7.4,7.3,7.4,440
UMED,2022-10-27,7.4,7.4,7.4,7.4,3001
UMED,2022-10-28,7.44,7.44,7.4,7.44,1117
UMED,2022-10-31,7.37,7.49,7.3,7.37,7254
UMED,2022-11-01,7.4,7.45,7.27,7.4,632
UMED,2022-11-02,7.3,7.4,7.2,7.3,7102
UMED,2022-11-03,7.2,7.3,7.2,7.2,5365
UMED,2022-11-04,7.35,7.35,7.2,7.35,70
UMED,2022-11-07,7.35,7.35,7.2,7.35,1530
UMED,2022-11-08,7.37,7.49,7.35,7.37,2
UMED,2022-11-09,7.4,7.4,7.37,7.4,250
UMED,2022-11-10,7.35,7.4,7.24,7.35,1235
UMED,2022-11-11,7.34,7.35,7.25,7.34,258
UMED,2022-11-15,7.2,7.35,7.18,7.2,5850
UMED,2022-11-16,7.2,7.2,7.2,7.2,262
UMED,2022-11-17,7.3,7.3,7.2,7.3,348
UMED,2022-11-18,7.29,7.3,7.2,7.29,5888
UMED,2022-11-21,7.28,7.29,7.11,7.28,48148
UMED,2022-11-22,7.3,7.3,7.28,7.3,1
UMED,2022-11-23,7.2,7.3,7.2,7.2,7
UMED,2022-11-24,7.2,7.2,7.2,7.2,3993
UMED,2022-11-25,7.29,7.29,7.16,7.29,76
UMED,2022-11-28,7.3,7.3,7.29,7.3,302
UMED,2022-11-29,7.16,7.3,7.16,7.16,3163
UMED,2022-11-30,7.4,7.5,7.16,7.4,6240
UMED,2022-12-01,7.4,7.5,7.4,7.4,1055
UMED,2022-12-02,7.5,7.5,7.4,7.5,1
UMED,2022-12-05,7.3,7.4,7.25,7.3,3914
UMED,2022-12-06,7.25,7.3,7.25,7.25,2034
UMED,2022-12-07,7.2,7.25,7.2,7.2,205
UMED,2022-12-08,7.25,7.25,7.2,7.25,2
UMED,2022-12-09,7.15,7.25,7.15,7.15,1633
UMED,2022-12-12,7.15,7.25,7.15,7.15,599
UMED,2022-12-13,7.23,7.25,7.23,7.23,369
UMED,2022-12-14,7.1,7.23,7.1,7.1,3782
UMED,2022-12-15,7.1,7.1,7.1,7.1,3365
UMED,2022-12-16,7.1,7.1,7.02,7.1,1370
UMED,2022-12-19,7.0,7.1,6.9,7.0,7129
UMED,2022-12-20,7.1,7.15,7.0,7.1,2560
UMED,2022-12-21,7.0,7.1,6.99,7.0,730
UMED,2022-12-22,6.99,7.0,6.99,6.99,1906
UMED,2022-12-23,6.99,6.99,6.99,6.99,41
UMED,2022-12-26,6.9,6.99,6.81,6.9,1578
UMED,2022-12-27,7.15,7.15,6.8,7.15,4704
UMED,2022-12-28,7.13,7.15,7.13,7.13,3
UMED,2022-12-29,7.14,7.14,7.04,7.14,1853
UMED,2022-12-30,7.12,7.14,7.12,7.12,8
UMED,2022-08-01,7.25,7.27,7.25,7.25,76
UMED,2022-08-02,7.22,7.25,7.17,7.22,13390
UMED,2022-08-03,7.2,7.25,7.16,7.2,208
UMED,2022-08-04,7.27,7.27,7.2,7.27,10321
UMED,2022-08-05,7.23,7.27,7.17,7.23,3703
UMED,2022-08-08,7.22,7.23,7.18,7.22,1607
UMED,2022-08-09,7.25,7.3,7.18,7.25,6745
UMED,2022-08-10,7.58,7.58,7.25,7.58,11293
UMED,2022-08-11,7.8,7.8,7.58,7.8,6225
UMED,2022-08-12,7.74,7.8,7.68,7.74,3051
UMED,2022-08-15,7.68,7.74,7.68,7.68,3797
UMED,2022-08-16,7.62,7.68,7.4,7.62,1552
UMED,2022-08-17,7.39,7.62,7.39,7.39,2848
UMED,2022-08-18,7.4,7.45,7.35,7.4,628
UMED,2022-08-19,7.55,7.55,7.4,7.55,1294
UMED,2022-08-22,7.54,7.55,7.5,7.54,3050
UMED,2022-08-23,7.45,7.54,7.45,7.45,2049
UMED,2022-08-24,7.49,7.55,7.45,7.49,2416
UMED,2022-08-25,7.7,7.7,7.49,7.7,14929
UMED,2022-08-26,7.79,7.84,7.7,7.79,4901
UMED,2022-08-29,7.95,7.97,7.79,7.95,13679
