Ticker,Date,Open,High,Low,Close,Volume
WIFAK,2022-10-25,7.0,7.0,6.96,7.0,152070
WIFAK,2022-10-26,6.69,7.0,6.69,6.69,562500
WIFAK,2022-10-27,6.74,6.74,6.69,6.74,49400
WIFAK,2022-10-28,6.78,6.78,6.74,6.78,30720
WIFAK,2022-10-31,7.0,7.0,6.78,7.0,5
WIFAK,2022-11-01,6.99,7.0,6.99,6.99,11100
WIFAK,2022-11-03,6.95,6.99,6.95,6.95,50
WIFAK,2022-11-07,6.8,6.95,6.8,6.8,422901
WIFAK,2022-11-08,7.0,7.0,6.8,7.0,1842
WIFAK,2022-11-15,6.81,7.0,6.81,6.81,1174
WIFAK,2022-11-17,7.0,7.0,7.0,7.0,7000
WIFAK,2022-11-23,7.0,7.0,7.0,7.0,341
WIFAK,2022-11-24,7.0,7.0,7.0,7.0,150
WIFAK,2022-11-25,7.0,7.0,7.0,7.0,80
WIFAK,2022-11-28,6.81,7.0,6.81,6.81,399
WIFAK,2022-11-29,7.05,7.05,6.81,7.05,7025
WIFAK,2022-11-30,7.21,7.21,7.05,7.21,375
WIFAK,2022-12-02,7.2,7.21,7.2,7.2,6300
WIFAK,2022-12-09,7.05,7.2,6.88,7.05,181545
WIFAK,2022-12-12,7.2,7.2,7.05,7.2,200
WIFAK,2022-12-16,7.2,7.2,7.2,7.2,9
WIFAK,2022-12-19,7.0,7.2,7.0,7.0,555
WIFAK,2022-12-20,7.2,7.2,7.0,7.2,25
WIFAK,2022-12-22,7.19,7.2,7.19,7.19,1302
WIFAK,2022-12-23,7.19,7.19,7.19,7.19,1316
WIFAK,2022-12-26,7.2,7.2,7.19,7.2,20
WIFAK,2022-12-27,7.2,7.2,7.2,7.2,500
WIFAK,2022-12-28,7.21,7.21,7.2,7.21,400
WIFAK,2022-12-29,7.3,7.3,7.21,7.3,13519
WIFAK,2022-12-30,7.4,7.4,7.3,7.4,2975
WIFAK,2022-08-01,6.93,6.94,6.93,6.93,3000
WIFAK,2022-08-02,7.1,7.1,6.93,7.1,10
WIFAK,2022-08-04,7.1,7.1,7.1,7.1,10
WIFAK,2022-08-05,7.1,7.1,7.1,7.1,75
WIFAK,2022-08-08,6.8,7.1,6.8,6.8,120
WIFAK,2022-08-09,6.75,6.8,6.75,6.75,500
WIFAK,2022-08-10,7.05,7.05,6.75,7.05,10
WIFAK,2022-08-22,7.05,7.05,7.05,7.05,9
WIFAK,2022-08-26,7.05,7.05,7.05,7.05,5
WIFAK,2022-09-07,6.75,7.05,6.75,6.75,805
WIFAK,2022-09-08,6.75,6.75,6.75,6.75,407
WIFAK,2022-09-09,6.5,6.75,6.5,6.5,750
WIFAK,2022-09-12,6.75,6.75,6.5,6.75,96
WIFAK,2022-09-16,6.75,6.75,6.75,6.75,300
WIFAK,2022-09-21,6.75,6.75,6.46,6.75,180
WIFAK,2022-09-22,6.7,6.75,6.7,6.7,60
WIFAK,2022-09-27,6.7,6.7,6.7,6.7,130
WIFAK,2022-09-29,6.69,6.7,6.69,6.69,100
WIFAK,2022-09-30,6.69,6.69,6.69,6.69,1248
WIFAK,2022-10-04,6.98,6.98,6.69,6.98,555
WIFAK,2022-10-05,6.98,6.98,6.98,6.98,100
WIFAK,2022-10-12,6.7,6.98,6.7,6.7,582
WIFAK,2022-10-13,6.7,6.7,6.7,6.7,310
WIFAK,2022-10-14,6.97,6.97,6.7,6.97,200
WIFAK,2022-10-17,6.82,6.97,6.82,6.82,899750
WIFAK,2022-10-19,6.96,6.96,6.82,6.96,36549
WIFAK,2022-05-11,6.6,6.6,6.6,6.6,52125
WIFAK,2022-05-24,6.98,7.0,6.98,6.98,1513
WIFAK,2022-05-26,6.69,6.98,6.69,6.69,5000
WIFAK,2022-06-06,7.27,7.27,6.97,7.27,1148
WIFAK,2022-06-13,7.23,7.27,7.23,7.23,879
WIFAK,2022-06-27,6.69,6.7,6.69,6.69,1000
WIFAK,2022-06-30,6.99,6.99,6.89,6.99,25
WIFAK,2022-07-05,6.69,6.99,6.69,6.69,95
WIFAK,2022-07-06,6.95,6.95,6.69,6.95,25
WIFAK,2022-07-12,6.94,6.95,6.94,6.94,75
WIFAK,2022-07-13,6.94,6.94,6.94,6.94,637
WIFAK,2022-07-15,6.94,6.94,6.94,6.94,562
WIFAK,2022-07-18,6.94,6.94,6.94,6.94,40
WIFAK,2022-07-19,6.94,6.94,6.94,6.94,100
