name,ticker
ADWYA,ADWYA
AETECH,AETEC
AIR LIQUIDE TUNISIE,AL
AMEN BANK,AB
AMI,AMI
AMS,AMS
ARAB TUNISIAN BANK,ATB
ARAB TUNISIAN LEASE,ATL
ARTES,ARTES
ASSAD,ASSAD
ASSURANCES MAGHREBIA,ASSMA
ASTREE,AST
ATTIJARI LEASING,TJL
BANQUE ATTIJARI DE TUNIS,TJARI
BANQUE DE TUNISIE,BT
BANQUE NATIONALE AGRICOLE,BNA
BEST LEASE,BL
BH ASSURANCE,BHASS
BH BANK,BH
BIAT,BIAT
BTE (ADP),BTE
CARTHAGE CEMENT,CC
CELLCOM,CELL
CEREALIS,CREAL
CIL,CIL
CIMENTS DE BIZERTE,SCB
CITY CARS,CITY
DELICE HOLDING,DH
ELBENE,ELBEN
ELECTROSTAR,LSTR
ENNAKL AUTOMOBILES,NAKL
ESSOUKNA,SOKNA
EURO-CYCLES,ECYCL
GIF FILTER,GIF
HANNIBAL LEASE,HL
HEXABYTE,XABYT
ICF,ICF
LAND'OR,LNDOR
MAGASIN GENERAL,MAG
MAGHREBIA VIE,AMV
MEUBLES INTERIEURS,SAM
MIP,MIP
MODERN LEASING,BHL
MONOPRIX,MNP
MPBS,MPBS
NEW BODY LINE,NBL
OFFICE PLAST,PLAST
ONE TECH,OTH
PLACEMENTS DE TUNISIE - SICAF,PLTU
POULINA GROUP HOLDING,PGH
SAH,SAH
SANIMED,SMD
SERVICOM,SERVI
SFBT,SFBT
SIAME,SIAME
SIMPAR,SIMPA
SIPHAT,SIPHA
SITS,SITS
SMART TUNISIE,SMART
SOCIETE CHIMIQUE ALKIMIA,ALKIM
SOMOCER,SOMOC
SOPAT,SOPAT
SOTEMAIL,SOTEM
SOTETEL,SOTET
SOTIPAPIER,STPAP
SOTRAPIL,STPIL
SOTUMAG,MGR
SOTUVER,SOTUV
SPDIT - SICAF,SPDIT
STA,STA
STAR,STAR
STB BANK,STB
STEQ,STEQ
STIP,STIP
SYPHAX AIRLINES,SPHAX
TAWASOL,TGH
TELNET HOLDING,TLNET
TPR,TPR
TUNINDEX,PX1
TUNINVEST - SICAR,TINV
TUNIS RE,TRE
TUNISAIR,TAIR
TUNISIAN BOND INDEX,TBIDX
TUNISIE LEASING & FACTORING,TLS
TUNISIE VALEURS,TVAL
UADH,UADH
UBCI,UBCI
UIB,UIB
UNIMED,UMED
WIFAK INT BANK,WIFAK
